#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR2052--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR4938--MA1421.1.TCF7L1	chr5	129191994	129192005	-	0.000	0.000	Merged-chr5-129191899-21
NR1245--MA0523.1.TCF7L2	chr12	26059328	26059341	-	0.000	0.000	Merged-chr12-26059295-22
NR3469--MA0769.1.Tcf7	chr2	48379938	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR3160--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR5396--MA1421.1.TCF7L1	chr6	144953040	144953051	-	0.000	0.000	Merged-chr6-144953133-29
NR4828--MA0523.1.TCF7L2	chr5	96919306	96919319	-	0.000	0.000	Merged-chr5-96919308-24
NR4866--MA0523.1.TCF7L2	chr5	103746717	103746730	-	0.000	0.000	Merged-chr5-103746858-38
NR2517--MA0523.1.TCF7L2	chr16	21689397	21689410	-	0.000	0.000	Merged-chr16-21689391-19
NR2075--MA0769.1.Tcf7	chr14	68078402	68078413	-	0.000	0.000	Merged-chr14-68078565-20
NR1670--MA0769.1.Tcf7	chr13	52800882	52800893	-	0.000	0.000	Merged-chr13-52800951-49
NR36--MA0769.1.Tcf7	chr1	38723949	38723960	-	0.000	0.000	Merged-chr1-38723833-22
NR4744--MA1421.1.TCF7L1	chr5	64764617	64764628	+	0.000	0.000	Merged-chr5-64764597-23
NR2989--MA0523.1.TCF7L2	chr18	13010852	13010865	-	0.000	0.000	Merged-chr18-13010968-6
NR3468--MA1421.1.TCF7L1	chr2	48379938	48379949	-	0.000	0.000	Merged-chr2-48379752-8
NR5224--MA0769.1.Tcf7	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR100--MA0523.1.TCF7L2	chr1	66552807	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR3880--MA1421.1.TCF7L1	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR3510--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR3526--MA0523.1.TCF7L2	chr2	75148121	75148134	+	0.000	0.000	Merged-chr2-75148078-33
NR5569--MA0769.1.Tcf7	chr7	79300946	79300957	+	0.000	0.000	Merged-chr7-79300921-71
NR1868--MA0523.1.TCF7L2	chr13	112809879	112809892	+	0.000	0.000	Merged-chr13-112809842-36
NR764--MA1421.1.TCF7L1	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR3889--MA1421.1.TCF7L1	chr3	10212024	10212035	-	0.000	0.000	Merged-chr3-10212114-17
NR5656--MA0523.1.TCF7L2	chr7	107659352	107659365	-	0.000	0.000	Merged-chr7-107659322-39
NR1496--MA1421.1.TCF7L1	chr12	112855156	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1312--MA1421.1.TCF7L1	chr12	59170104	59170115	-	0.000	0.000	Merged-chr12-59170039-43
NR5269--MA0523.1.TCF7L2	chr6	108526365	108526378	+	0.000	0.000	Merged-chr6-108526296-8
NR231--MA1421.1.TCF7L1	chr1	133012465	133012476	+	0.000	0.000	Merged-chr1-133012523-20
NR3770--MA0769.1.Tcf7	chr2	157746753	157746764	+	0.000	0.000	Merged-chr2-157746803-36
NR6480--MA0769.1.Tcf7	chr9	121925042	121925053	+	0.000	0.000	Merged-chr9-121925182-15
NR2744--MA0523.1.TCF7L2	chr17	5748008	5748021	-	0.000	0.000	Merged-chr17-5748141-46
NR1483--MA0769.1.Tcf7	chr12	110759071	110759082	-	0.000	0.000	Merged-chr12-110759192-38
NR4874--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR233--MA0769.1.Tcf7	chr1	133012465	133012476	+	0.000	0.000	Merged-chr1-133012523-20
NR121--MA0523.1.TCF7L2	chr1	78591518	78591531	-	0.000	0.000	Merged-chr1-78591432-38
NR1346--MA1421.1.TCF7L1	chr12	76950384	76950395	+	0.000	0.000	Merged-chr12-76950525-26
NR1246--MA0769.1.Tcf7	chr12	26059330	26059341	-	0.000	0.000	Merged-chr12-26059295-22
NR4838--MA0769.1.Tcf7	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR1083--MA1421.1.TCF7L1	chr11	97905703	97905714	-	0.000	0.000	Merged-chr11-97905718-19
NR6484--MA0523.1.TCF7L2	chr9	122398993	122399006	+	0.000	0.000	Merged-chr9-122399009-31
NR4994--MA0523.1.TCF7L2	chr5	146974238	146974251	-	0.000	0.000	Merged-chr5-146974233-28
NR2742--MA1421.1.TCF7L1	chr17	5748002	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR976--MA0523.1.TCF7L2	chr11	63146800	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR4995--MA0769.1.Tcf7	chr5	146974240	146974251	-	0.000	0.000	Merged-chr5-146974233-28
NR5086--MA1421.1.TCF7L1	chr6	37037504	37037515	+	0.000	0.000	Merged-chr6-37037443-39
NR4447--MA1421.1.TCF7L1	chr4	118449812	118449823	-	0.000	0.000	Merged-chr4-118449765-23
NR4051--MA1421.1.TCF7L1	chr3	108124345	108124356	+	0.000	0.000	Merged-chr3-108124378-33
NR1730--MA0769.1.Tcf7	chr13	84769229	84769240	-	0.000	0.000	Merged-chr13-84769190-19
NR288--MA0523.1.TCF7L2	chr1	152053525	152053538	+	0.000	0.000	Merged-chr1-152053412-31
NR3749--MA0523.1.TCF7L2	chr2	150578759	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR3521--MA0523.1.TCF7L2	chr2	71360383	71360396	-	0.000	0.000	Merged-chr2-71360379-16
NR2714--MA0523.1.TCF7L2	chr16	94454260	94454273	-	0.000	0.000	Merged-chr16-94454291-19
NR4266--MA1421.1.TCF7L1	chr3	157938813	157938824	+	0.000	0.000	Merged-chr3-157938783-43
NR3158--MA1421.1.TCF7L1	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR6467--MA0523.1.TCF7L2	chr9	120082887	120082900	+	0.000	0.000	Merged-chr9-120082843-44
NR2885--MA0523.1.TCF7L2	chr17	52468547	52468560	+	0.000	0.000	Merged-chr17-52468640-52
NR4047--MA1421.1.TCF7L1	chr3	108124309	108124320	-	0.000	0.000	Merged-chr3-108124378-33
NR974--MA1421.1.TCF7L1	chr11	63146787	63146798	-	0.000	0.000	Merged-chr11-63146790-18
NR1990--MA0769.1.Tcf7	chr14	48427779	48427790	-	0.000	0.000	Merged-chr14-48427656-16
NR153--MA1421.1.TCF7L1	chr1	87637227	87637238	-	0.000	0.000	Merged-chr1-87637275-111
NR4678--MA0769.1.Tcf7	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR140--MA1421.1.TCF7L1	chr1	84742384	84742395	+	0.000	0.000	Merged-chr1-84742431-28
NR5200--MA0523.1.TCF7L2	chr6	88782957	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR4745--MA0523.1.TCF7L2	chr5	64764617	64764630	+	0.000	0.000	Merged-chr5-64764597-23
NR2228--MA0523.1.TCF7L2	chr14	122902341	122902354	-	0.000	0.000	Merged-chr14-122902262-49
NR3420--MA1421.1.TCF7L1	chr2	29666799	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR6260--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR6304--MA0523.1.TCF7L2	chr9	80318138	80318151	-	0.000	0.000	Merged-chr9-80318250-48
NR1570--MA0769.1.Tcf7	chr13	5806325	5806336	+	0.000	0.000	Merged-chr13-5806398-17
NR2969--MA0769.1.Tcf7	chr17	88480582	88480593	-	0.000	0.000	Merged-chr17-88480530-23
NR3938--MA0769.1.Tcf7	chr3	61368939	61368950	-	0.000	0.000	Merged-chr3-61368860-22
NR3538--MA0523.1.TCF7L2	chr2	78860080	78860093	+	0.000	0.000	Merged-chr2-78860154-39
NR3310--MA0523.1.TCF7L2	chr19	55792729	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR5440--MA0523.1.TCF7L2	chr7	4613910	4613923	-	0.000	0.000	Merged-chr7-4614138-46
NR5874--MA0523.1.TCF7L2	chr8	46543319	46543332	-	0.000	0.000	Merged-chr8-46543326-23
NR232--MA0523.1.TCF7L2	chr1	133012465	133012478	+	0.000	0.000	Merged-chr1-133012523-20
NR4004--MA1421.1.TCF7L1	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR213--MA0769.1.Tcf7	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR4388--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR325--MA0769.1.Tcf7	chr1	159938619	159938630	+	0.000	0.000	Merged-chr1-159938641-24
NR4294--MA0769.1.Tcf7	chr4	31941744	31941755	+	0.000	0.000	Merged-chr4-31941792-10
NR544--MA1421.1.TCF7L1	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR1347--MA0523.1.TCF7L2	chr12	76950384	76950397	+	0.000	0.000	Merged-chr12-76950525-26
NR4381--MA1421.1.TCF7L1	chr4	88079061	88079072	-	0.000	0.000	Merged-chr4-88079193-33
NR3081--MA0523.1.TCF7L2	chr18	61479977	61479990	+	0.000	0.000	Merged-chr18-61480035-15
NR531--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR5872--MA1421.1.TCF7L1	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR3894--MA0769.1.Tcf7	chr3	22040806	22040817	+	0.000	0.000	Merged-chr3-22040885-32
