#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR3751--MA0523.1.TCF7L2	chr16	52068234	52068247	+	0.000	0.000	Merged-chr16-52068153-48
NR4062--MA1421.1.TCF7L1	chr17	47171264	47171275	-	0.000	0.000	Merged-chr17-47171280-54
NR8824--MA0523.1.TCF7L2	chr8	81761672	81761685	-	0.000	0.000	Merged-chr8-81761666-20
NR4399--MA0523.1.TCF7L2	chr18	53951307	53951320	-	0.000	0.000	Merged-chr18-53951279-47
NR9425--MA0769.1.Tcf7	chrX	75587892	75587903	+	0.000	0.000	Merged-chrX-75587867-43
NR7138--MA1421.1.TCF7L1	chr5	52609941	52609952	+	0.000	0.000	Merged-chr5-52609918-24
NR1440--MA0523.1.TCF7L2	chr11	5415750	5415763	+	0.000	0.000	Merged-chr11-5415987-23
NR7813--MA1421.1.TCF7L1	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR4428--MA0769.1.Tcf7	chr18	57362759	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR4348--MA0523.1.TCF7L2	chr18	39915749	39915762	-	0.000	0.000	Merged-chr18-39915688-13
NR1617--MA0523.1.TCF7L2	chr11	75282809	75282822	+	0.000	0.000	Merged-chr11-75282753-54
NR3762--MA1421.1.TCF7L1	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR5290--MA1421.1.TCF7L1	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR7329--MA0523.1.TCF7L2	chr5	98018288	98018301	+	0.000	0.000	Merged-chr5-98018284-53
NR1245--MA1421.1.TCF7L1	chr10	96569827	96569838	-	0.000	0.000	Merged-chr10-96569818-31
NR6082--MA0523.1.TCF7L2	chr3	129561215	129561228	-	0.000	0.000	Merged-chr3-129561081-2
NR4558--MA0769.1.Tcf7	chr18	79297906	79297917	+	0.000	0.000	Merged-chr18-79298014-36
NR9459--MA0523.1.TCF7L2	chrX	104485819	104485832	-	0.000	0.000	Merged-chrX-104485808-11
NR8873--MA1421.1.TCF7L1	chr8	95247524	95247535	+	0.000	0.000	Merged-chr8-95247520-25
NR2938--MA0769.1.Tcf7	chr14	72822371	72822382	+	0.000	0.000	Merged-chr14-72822179-91
NR6617--MA0769.1.Tcf7	chr4	86683549	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR3300--MA0523.1.TCF7L2	chr15	39913587	39913600	-	0.000	0.000	Merged-chr15-39913439-55
NR7398--MA0769.1.Tcf7	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR6465--MA0523.1.TCF7L2	chr4	46182306	46182319	+	0.000	0.000	Merged-chr4-46182367-16
NR7354--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR4999--MA1421.1.TCF7L1	chr2	59469816	59469827	-	0.000	0.000	Merged-chr2-59469655-1
NR6756--MA0769.1.Tcf7	chr4	116735218	116735229	-	0.000	0.000	Merged-chr4-116735189-24
NR3276--MA0769.1.Tcf7	chr15	35465169	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR3061--MA0769.1.Tcf7	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR6620--MA0523.1.TCF7L2	chr4	86722085	86722098	+	0.000	0.000	Merged-chr4-86721990-52
NR1441--MA0769.1.Tcf7	chr11	5415750	5415761	+	0.000	0.000	Merged-chr11-5415987-23
NR2870--MA0523.1.TCF7L2	chr14	54179074	54179087	+	0.000	0.000	Merged-chr14-54179182-19
NR6629--MA0523.1.TCF7L2	chr4	88071099	88071112	-	0.000	0.000	Merged-chr4-88071071-19
NR3290--MA0523.1.TCF7L2	chr15	36521652	36521665	-	0.000	0.000	Merged-chr15-36521520-11
NR4371--MA1421.1.TCF7L1	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR1868--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR9010--MA1421.1.TCF7L1	chr9	14262675	14262686	+	0.000	0.000	Merged-chr9-14262730-55
NR1334--MA0769.1.Tcf7	chr10	111578772	111578783	+	0.000	0.000	Merged-chr10-111578564-64
NR6014--MA0523.1.TCF7L2	chr3	115604041	115604054	+	0.000	0.000	Merged-chr3-115603959-15
NR3299--MA0523.1.TCF7L2	chr15	38634664	38634677	+	0.000	0.000	Merged-chr15-38634612-4
NR2518--MA0769.1.Tcf7	chr13	97439971	97439982	+	0.000	0.000	Merged-chr13-97439792-27
NR3396--MA1421.1.TCF7L1	chr15	63989878	63989889	+	0.000	0.000	Merged-chr15-63989879-13
NR5163--MA0523.1.TCF7L2	chr2	102044453	102044466	-	0.000	0.000	Merged-chr2-102044515-18
NR6616--MA0523.1.TCF7L2	chr4	86683547	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR1558--MA0769.1.Tcf7	chr11	49722944	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR2894--MA0769.1.Tcf7	chr14	58071571	58071582	-	0.000	0.000	Merged-chr14-58071398-3
NR8623--MA0769.1.Tcf7	chr8	13986988	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR7939--MA0523.1.TCF7L2	chr6	120934363	120934376	+	0.000	0.000	Merged-chr6-120934426-25
NR9057--MA1421.1.TCF7L1	chr9	32939057	32939068	+	0.000	0.000	Merged-chr9-32939001-13
NR904--MA1421.1.TCF7L1	chr10	25387446	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8359--MA0523.1.TCF7L2	chr7	76229076	76229089	-	0.000	0.000	Merged-chr7-76229137-51
NR8624--MA1421.1.TCF7L1	chr8	15018977	15018988	-	0.000	0.000	Merged-chr8-15019042-1
NR2853--MA0523.1.TCF7L2	chr14	48427650	48427663	-	0.000	0.000	Merged-chr14-48427656-16
NR1594--MA0769.1.Tcf7	chr11	63146802	63146813	-	0.000	0.000	Merged-chr11-63146790-18
NR3635--MA0769.1.Tcf7	chr16	20480325	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR9055--MA0769.1.Tcf7	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR1240--MA1421.1.TCF7L1	chr10	96201432	96201443	+	0.000	0.000	Merged-chr10-96201472-66
NR5424--MA1421.1.TCF7L1	chr2	157121957	157121968	+	0.000	0.000	Merged-chr2-157121969-26
NR7386--MA1421.1.TCF7L1	chr5	118621287	118621298	-	0.000	0.000	Merged-chr5-118621233-14
NR2796--MA0769.1.Tcf7	chr14	31414454	31414465	+	0.000	0.000	Merged-chr14-31414405-2
NR6871--MA1421.1.TCF7L1	chr4	149854387	149854398	-	0.000	0.000	Merged-chr4-149854542-67
NR4837--MA0769.1.Tcf7	chr2	19050361	19050372	+	0.000	0.000	Merged-chr2-19050158-33
NR2658--MA1421.1.TCF7L1	chr13	119472028	119472039	-	0.000	0.000	Merged-chr13-119472102-16
NR458--MA0523.1.TCF7L2	chr1	131325031	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR3919--MA0523.1.TCF7L2	chr17	5239080	5239093	-	0.000	0.000	Merged-chr17-5238914-28
NR107--MA0769.1.Tcf7	chr1	33578648	33578659	-	0.000	0.000	Merged-chr1-33578784-30
NR4958--MA0769.1.Tcf7	chr2	52310864	52310875	+	0.000	0.000	Merged-chr2-52310809-21
NR3379--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR6688--MA0523.1.TCF7L2	chr4	97996043	97996056	+	0.000	0.000	Merged-chr4-97996259-58
NR6023--MA0769.1.Tcf7	chr3	116374667	116374678	+	0.000	0.000	Merged-chr3-116374678-28
NR4956--MA1421.1.TCF7L1	chr2	52310864	52310875	+	0.000	0.000	Merged-chr2-52310809-21
NR2696--MA1421.1.TCF7L1	chr14	10146586	10146597	+	0.000	0.000	Merged-chr14-10146570-14
NR5166--MA0769.1.Tcf7	chr2	102044477	102044488	+	0.000	0.000	Merged-chr2-102044515-18
NR4094--MA0769.1.Tcf7	chr17	57286902	57286913	+	0.000	0.000	Merged-chr17-57286889-25
NR9368--MA0523.1.TCF7L2	chrX	17521301	17521314	-	0.000	0.000	Merged-chrX-17521323-26
NR1068--MA1421.1.TCF7L1	chr10	60000165	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR4873--MA0769.1.Tcf7	chr2	32181554	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR5175--MA0769.1.Tcf7	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR3443--MA0769.1.Tcf7	chr15	74667790	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR8189--MA1421.1.TCF7L1	chr7	25576080	25576091	-	0.000	0.000	Merged-chr7-25575910-1
NR1274--MA1421.1.TCF7L1	chr10	100695993	100696004	+	0.000	0.000	Merged-chr10-100696169-14
NR5081--MA0769.1.Tcf7	chr2	78860080	78860091	+	0.000	0.000	Merged-chr2-78860154-39
NR2851--MA1421.1.TCF7L1	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR9149--MA0523.1.TCF7L2	chr9	70310227	70310240	-	0.000	0.000	Merged-chr9-70310142-32
NR2698--MA0769.1.Tcf7	chr14	10146586	10146597	+	0.000	0.000	Merged-chr14-10146570-14
NR7449--MA0769.1.Tcf7	chr5	140502567	140502578	-	0.000	0.000	Merged-chr5-140502630-23
NR8395--MA1421.1.TCF7L1	chr7	84645090	84645101	+	0.000	0.000	Merged-chr7-84644943-16
NR7659--MA0523.1.TCF7L2	chr6	55256721	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR8548--MA0523.1.TCF7L2	chr7	129774360	129774373	+	0.000	0.000	Merged-chr7-129774380-36
NR5773--MA0523.1.TCF7L2	chr3	55660081	55660094	+	0.000	0.000	Merged-chr3-55660012-44
NR2143--MA0769.1.Tcf7	chr13	5806325	5806336	+	0.000	0.000	Merged-chr13-5806398-17
NR7373--MA0769.1.Tcf7	chr5	110594705	110594716	-	0.000	0.000	Merged-chr5-110594723-25
NR139--MA0769.1.Tcf7	chr1	43403604	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR1598--MA0523.1.TCF7L2	chr11	67010559	67010572	+	0.000	0.000	Merged-chr11-67010576-15
NR4410--MA1421.1.TCF7L1	chr18	55107226	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR5879--MA1421.1.TCF7L1	chr3	79536028	79536039	-	0.000	0.000	Merged-chr3-79535854-18
NR8960--MA0523.1.TCF7L2	chr8	126687068	126687081	+	0.000	0.000	Merged-chr8-126687126-29
NR7478--MA0523.1.TCF7L2	chr5	150373128	150373141	+	0.000	0.000	Merged-chr5-150373139-22
NR1606--MA1421.1.TCF7L1	chr11	70265488	70265499	-	0.000	0.000	Merged-chr11-70265494-15
NR8125--MA1421.1.TCF7L1	chr7	12987584	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR1042--MA1421.1.TCF7L1	chr10	53959766	53959777	+	0.000	0.000	Merged-chr10-53959939-11
NR479--MA0523.1.TCF7L2	chr1	136618922	136618935	+	0.000	0.000	Merged-chr1-136618798-23
NR7318--MA1421.1.TCF7L1	chr5	96825232	96825243	+	0.000	0.000	Merged-chr5-96825060-50
NR4050--MA0523.1.TCF7L2	chr17	42887608	42887621	-	0.000	0.000	Merged-chr17-42887503-23
NR275--MA1421.1.TCF7L1	chr1	80441128	80441139	+	0.000	0.000	Merged-chr1-80441020-53
NR9380--MA0523.1.TCF7L2	chrX	36609411	36609424	+	0.000	0.000	Merged-chrX-36609305-28
NR7145--MA0769.1.Tcf7	chr5	53584558	53584569	-	0.000	0.000	Merged-chr5-53584497-5
NR4118--MA1421.1.TCF7L1	chr17	64629129	64629140	-	0.000	0.000	Merged-chr17-64628994-21
NR1188--MA0769.1.Tcf7	chr10	85359573	85359584	-	0.000	0.000	Merged-chr10-85359625-39
NR466--MA0523.1.TCF7L2	chr1	134077744	134077757	-	0.000	0.000	Merged-chr1-134077877-43
NR7387--MA0769.1.Tcf7	chr5	118621287	118621298	-	0.000	0.000	Merged-chr5-118621233-14
NR6439--MA0523.1.TCF7L2	chr4	34429185	34429198	+	0.000	0.000	Merged-chr4-34429163-2
NR7452--MA0523.1.TCF7L2	chr5	142891542	142891555	-	0.000	0.000	Merged-chr5-142891617-16
NR8495--MA0769.1.Tcf7	chr7	109951567	109951578	-	0.000	0.000	Merged-chr7-109951636-55
NR2266--MA1421.1.TCF7L1	chr13	34914828	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR6054--MA1421.1.TCF7L1	chr3	123084119	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR8822--MA0769.1.Tcf7	chr8	81492050	81492061	-	0.000	0.000	Merged-chr8-81491835-29
NR3456--MA1421.1.TCF7L1	chr15	79729194	79729205	+	0.000	0.000	Merged-chr15-79729133-34
NR749--MA0769.1.Tcf7	chr1	191259381	191259392	+	0.000	0.000	Merged-chr1-191259374-46
NR3397--MA0523.1.TCF7L2	chr15	63989878	63989891	+	0.000	0.000	Merged-chr15-63989879-13
NR9263--MA0769.1.Tcf7	chr9	94945765	94945776	+	0.000	0.000	Merged-chr9-94945890-45
NR8191--MA0769.1.Tcf7	chr7	25576080	25576091	-	0.000	0.000	Merged-chr7-25575910-1
NR3288--MA0769.1.Tcf7	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR7849--MA0769.1.Tcf7	chr6	100581189	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR7634--MA0769.1.Tcf7	chr6	50009509	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR6777--MA0769.1.Tcf7	chr4	123416330	123416341	-	0.000	0.000	Merged-chr4-123416422-1
NR7532--MA1421.1.TCF7L1	chr6	17932052	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR436--MA0523.1.TCF7L2	chr1	127322672	127322685	-	0.000	0.000	Merged-chr1-127322582-29
NR628--MA1421.1.TCF7L1	chr1	165063212	165063223	+	0.000	0.000	Merged-chr1-165063084-17
NR785--MA0769.1.Tcf7	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR212--MA0769.1.Tcf7	chr1	66552809	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR5080--MA0523.1.TCF7L2	chr2	78860080	78860093	+	0.000	0.000	Merged-chr2-78860154-39
NR5007--MA0769.1.Tcf7	chr2	60717568	60717579	-	0.000	0.000	Merged-chr2-60717548-24
NR3634--MA0523.1.TCF7L2	chr16	20480323	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR230--MA0769.1.Tcf7	chr1	69331700	69331711	-	0.000	0.000	Merged-chr1-69331775-34
NR5907--MA0769.1.Tcf7	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR3908--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR7545--MA0769.1.Tcf7	chr6	22412083	22412094	-	0.000	0.000	Merged-chr6-22412021-48
NR7330--MA0769.1.Tcf7	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR3512--MA1421.1.TCF7L1	chr15	95826626	95826637	+	0.000	0.000	Merged-chr15-95826706-34
NR5970--MA0523.1.TCF7L2	chr3	103641497	103641510	+	0.000	0.000	Merged-chr3-103641510-13
NR7657--MA0769.1.Tcf7	chr6	55016479	55016490	+	0.000	0.000	Merged-chr6-55016500-80
NR8626--MA0769.1.Tcf7	chr8	15018977	15018988	-	0.000	0.000	Merged-chr8-15019042-1
NR1385--MA1421.1.TCF7L1	chr10	120556375	120556386	-	0.000	0.000	Merged-chr10-120556279-62
NR9501--MA0523.1.TCF7L2	chrX	153375284	153375297	-	0.000	0.000	Merged-chrX-153375365-26
NR9333--MA0523.1.TCF7L2	chr9	122399008	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR2345--MA0523.1.TCF7L2	chr13	59696013	59696026	+	0.000	0.000	Merged-chr13-59695978-11
NR1591--MA1421.1.TCF7L1	chr11	63146787	63146798	-	0.000	0.000	Merged-chr11-63146790-18
NR7471--MA1421.1.TCF7L1	chr5	149392213	149392224	-	0.000	0.000	Merged-chr5-149392157-30
NR1069--MA0523.1.TCF7L2	chr10	60000163	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR9395--MA1421.1.TCF7L1	chrX	52679290	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR459--MA0769.1.Tcf7	chr1	131325033	131325044	-	0.000	0.000	Merged-chr1-131325042-10
NR3632--MA1421.1.TCF7L1	chr16	20480309	20480320	+	0.000	0.000	Merged-chr16-20480311-19
NR8962--MA1421.1.TCF7L1	chr8	126839489	126839500	-	0.000	0.000	Merged-chr8-126839529-33
NR5966--MA0523.1.TCF7L2	chr3	103347945	103347958	+	0.000	0.000	Merged-chr3-103347840-2
NR6348--MA0523.1.TCF7L2	chr4	11143326	11143339	+	0.000	0.000	Merged-chr4-11143309-7
NR5497--MA0523.1.TCF7L2	chr2	172977458	172977471	-	0.000	0.000	Merged-chr2-172977593-131
NR7193--MA0523.1.TCF7L2	chr5	64764617	64764630	+	0.000	0.000	Merged-chr5-64764597-23
NR7443--MA0523.1.TCF7L2	chr5	136550891	136550904	-	0.000	0.000	Merged-chr5-136550897-14
NR7219--MA0769.1.Tcf7	chr5	67930823	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR280--MA0769.1.Tcf7	chr1	82443948	82443959	+	0.000	0.000	Merged-chr1-82443829-28
NR8318--MA1421.1.TCF7L1	chr7	68298654	68298665	-	0.000	0.000	Merged-chr7-68298573-21
NR5953--MA0523.1.TCF7L2	chr3	97274117	97274130	+	0.000	0.000	Merged-chr3-97274158-19
NR4736--MA1421.1.TCF7L1	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR4411--MA0523.1.TCF7L2	chr18	55107224	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR4243--MA0523.1.TCF7L2	chr18	10154685	10154698	+	0.000	0.000	Merged-chr18-10154788-16
NR1140--MA1421.1.TCF7L1	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR9148--MA0523.1.TCF7L2	chr9	69757528	69757541	-	0.000	0.000	Merged-chr9-69757438-24
NR6541--MA0523.1.TCF7L2	chr4	62552172	62552185	-	0.000	0.000	Merged-chr4-62552113-23
NR2257--MA1421.1.TCF7L1	chr13	31505530	31505541	+	0.000	0.000	Merged-chr13-31505526-12
NR8797--MA0769.1.Tcf7	chr8	70160266	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR8695--MA1421.1.TCF7L1	chr8	34817930	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR7479--MA0769.1.Tcf7	chr5	150373128	150373139	+	0.000	0.000	Merged-chr5-150373139-22
NR4761--MA1421.1.TCF7L1	chr2	8965213	8965224	-	0.000	0.000	Merged-chr2-8965212-53
NR564--MA0523.1.TCF7L2	chr1	151973285	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR2412--MA1421.1.TCF7L1	chr13	77141039	77141050	-	0.000	0.000	Merged-chr13-77141048-16
NR8886--MA0523.1.TCF7L2	chr8	105825787	105825800	-	0.000	0.000	Merged-chr8-105825697-6
NR3594--MA0523.1.TCF7L2	chr16	8455243	8455256	+	0.000	0.000	Merged-chr16-8455328-28
NR7632--MA0523.1.TCF7L2	chr6	50009507	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR1380--MA1421.1.TCF7L1	chr10	118714401	118714412	+	0.000	0.000	Merged-chr10-118714396-52
NR3472--MA1421.1.TCF7L1	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR2904--MA0523.1.TCF7L2	chr14	61784756	61784769	+	0.000	0.000	Merged-chr14-61784854-5
NR8713--MA1421.1.TCF7L1	chr8	36028577	36028588	-	0.000	0.000	Merged-chr8-36028490-56
NR5770--MA1421.1.TCF7L1	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR1867--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR6618--MA0769.1.Tcf7	chr4	86721965	86721976	-	0.000	0.000	Merged-chr4-86721990-52
NR934--MA0523.1.TCF7L2	chr10	30627891	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR8486--MA0523.1.TCF7L2	chr7	107659352	107659365	-	0.000	0.000	Merged-chr7-107659322-39
NR2517--MA0523.1.TCF7L2	chr13	97439971	97439984	+	0.000	0.000	Merged-chr13-97439792-27
NR1979--MA0769.1.Tcf7	chr12	76932776	76932787	+	0.000	0.000	Merged-chr12-76932922-30
NR6542--MA0769.1.Tcf7	chr4	62552174	62552185	-	0.000	0.000	Merged-chr4-62552113-23
NR5470--MA0769.1.Tcf7	chr2	168575215	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR8459--MA1421.1.TCF7L1	chr7	100699991	100700002	+	0.000	0.000	Merged-chr7-100699955-31
NR6199--MA1421.1.TCF7L1	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR5164--MA1421.1.TCF7L1	chr2	102044477	102044488	+	0.000	0.000	Merged-chr2-102044515-18
NR2336--MA0523.1.TCF7L2	chr13	55716357	55716370	+	0.000	0.000	Merged-chr13-55716427-16
NR9023--MA0523.1.TCF7L2	chr9	15582155	15582168	+	0.000	0.000	Merged-chr9-15582230-13
NR7533--MA0523.1.TCF7L2	chr6	17932050	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR7630--MA1421.1.TCF7L1	chr6	50009509	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR9024--MA0769.1.Tcf7	chr9	15582155	15582166	+	0.000	0.000	Merged-chr9-15582230-13
NR9129--MA1421.1.TCF7L1	chr9	63174179	63174190	-	0.000	0.000	Merged-chr9-63174130-6
NR4262--MA1421.1.TCF7L1	chr18	15331926	15331937	-	0.000	0.000	Merged-chr18-15331866-28
NR109--MA0523.1.TCF7L2	chr1	34831577	34831590	+	0.000	0.000	Merged-chr1-34831505-37
NR313--MA0769.1.Tcf7	chr1	88475655	88475666	+	0.000	0.000	Merged-chr1-88475619-20
NR9238--MA0523.1.TCF7L2	chr9	90301221	90301234	-	0.000	0.000	Merged-chr9-90301276-26
NR8082--MA0769.1.Tcf7	chr6	143115267	143115278	-	0.000	0.000	Merged-chr6-143115192-122
NR6713--MA0523.1.TCF7L2	chr4	103007251	103007264	+	0.000	0.000	Merged-chr4-103007088-44
NR2385--MA1421.1.TCF7L1	chr13	69488208	69488219	-	0.000	0.000	Merged-chr13-69488029-32
NR5906--MA0523.1.TCF7L2	chr3	81489541	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR7534--MA0769.1.Tcf7	chr6	17932052	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR3752--MA0769.1.Tcf7	chr16	52068234	52068245	+	0.000	0.000	Merged-chr16-52068153-48
NR3274--MA1421.1.TCF7L1	chr15	35465169	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR4426--MA1421.1.TCF7L1	chr18	57362759	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR993--MA0523.1.TCF7L2	chr10	42888502	42888515	-	0.000	0.000	Merged-chr10-42888420-50
NR231--MA1421.1.TCF7L1	chr1	69331723	69331734	+	0.000	0.000	Merged-chr1-69331775-34
NR8521--MA0769.1.Tcf7	chr7	117559196	117559207	-	0.000	0.000	Merged-chr7-117559166-31
NR4836--MA0523.1.TCF7L2	chr2	19050361	19050374	+	0.000	0.000	Merged-chr2-19050158-33
NR1202--MA0523.1.TCF7L2	chr10	89766142	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR2936--MA1421.1.TCF7L1	chr14	72822371	72822382	+	0.000	0.000	Merged-chr14-72822179-91
NR3739--MA0769.1.Tcf7	chr16	49943640	49943651	-	0.000	0.000	Merged-chr16-49943826-20
NR3524--MA0769.1.Tcf7	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR9103--MA1421.1.TCF7L1	chr9	48538518	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR233--MA0769.1.Tcf7	chr1	69331723	69331734	+	0.000	0.000	Merged-chr1-69331775-34
NR614--MA1421.1.TCF7L1	chr1	161480192	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR8290--MA1421.1.TCF7L1	chr7	58618385	58618396	+	0.000	0.000	Merged-chr7-58618252-16
NR8502--MA1421.1.TCF7L1	chr7	113263111	113263122	+	0.000	0.000	Merged-chr7-113263148-32
NR9168--MA0769.1.Tcf7	chr9	75537213	75537224	+	0.000	0.000	Merged-chr9-75537156-9
NR7722--MA0523.1.TCF7L2	chr6	66493935	66493948	+	0.000	0.000	Merged-chr6-66493907-23
NR3606--MA1421.1.TCF7L1	chr16	11577691	11577702	-	0.000	0.000	Merged-chr16-11577786-44
NR9082--MA0523.1.TCF7L2	chr9	45083363	45083376	-	0.000	0.000	Merged-chr9-45083304-24
NR2797--MA0769.1.Tcf7	chr14	31414854	31414865	-	0.000	0.000	Merged-chr14-31414970-54
NR5292--MA0769.1.Tcf7	chr2	132691812	132691823	+	0.000	0.000	Merged-chr2-132691913-20
NR747--MA1421.1.TCF7L1	chr1	191259381	191259392	+	0.000	0.000	Merged-chr1-191259374-46
NR1720--MA1421.1.TCF7L1	chr11	118226118	118226129	+	0.000	0.000	Merged-chr11-118225979-35
NR6953--MA0523.1.TCF7L2	chr5	13629166	13629179	-	0.000	0.000	Merged-chr5-13629066-35
NR5677--MA0523.1.TCF7L2	chr3	37484161	37484174	-	0.000	0.000	Merged-chr3-37484009-38
NR4762--MA0769.1.Tcf7	chr2	8965234	8965245	+	0.000	0.000	Merged-chr2-8965212-53
NR5121--MA1421.1.TCF7L1	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR4173--MA0523.1.TCF7L2	chr17	83546165	83546178	-	0.000	0.000	Merged-chr17-83546171-22
NR3740--MA0523.1.TCF7L2	chr16	49943813	49943826	+	0.000	0.000	Merged-chr16-49943826-20
NR2258--MA0523.1.TCF7L2	chr13	31505530	31505543	+	0.000	0.000	Merged-chr13-31505526-12
NR6311--MA1421.1.TCF7L1	chr4	6675100	6675111	-	0.000	0.000	Merged-chr4-6675237-24
NR1223--MA0523.1.TCF7L2	chr10	93050845	93050858	+	0.000	0.000	Merged-chr10-93050674-1
NR7141--MA0769.1.Tcf7	chr5	52872354	52872365	+	0.000	0.000	Merged-chr5-52872385-12
NR2144--MA0769.1.Tcf7	chr13	5806400	5806411	+	0.000	0.000	Merged-chr13-5806398-17
NR7369--MA0523.1.TCF7L2	chr5	110274208	110274221	+	0.000	0.000	Merged-chr5-110274346-15
NR1863--MA0523.1.TCF7L2	chr12	40529888	40529901	+	0.000	0.000	Merged-chr12-40529975-10
NR7371--MA1421.1.TCF7L1	chr5	110594705	110594716	-	0.000	0.000	Merged-chr5-110594723-25
NR6056--MA0769.1.Tcf7	chr3	123084119	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR4868--MA1421.1.TCF7L1	chr2	30527749	30527760	+	0.000	0.000	Merged-chr2-30527787-16
NR5925--MA1421.1.TCF7L1	chr3	89892614	89892625	-	0.000	0.000	Merged-chr3-89892725-25
