#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/TFH_Associated--ATAC_peaks.bed all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
Merged-chr13-73490941-1	chr13	73490843	73491041	+	0.000	0.000	Merged-chr13-73490941-1
Merged-chr6-143184922-10	chr6	143184765	143185107	+	0.000	0.000	Merged-chr6-143184922-10
Merged-chr7-49247695-1	chr7	49247597	49247795	+	0.000	0.000	Merged-chr7-49247695-1
Merged-chr4-136053304-66	chr4	136052935	136053684	+	0.000	0.000	Merged-chr4-136053304-66
Merged-chr5-123930715-52	chr5	123930495	123930935	+	0.000	0.000	Merged-chr5-123930715-52
Merged-chr11-77489748-14	chr11	77489504	77490066	+	0.000	0.000	Merged-chr11-77489748-14
Merged-chr5-138263904-55	chr5	138263475	138264221	+	0.000	0.000	Merged-chr5-138263904-55
Merged-chr8-126720855-1	chr8	126720757	126720955	+	0.000	0.000	Merged-chr8-126720855-1
Merged-chr13-35906103-57	chr13	35905861	35906302	+	0.000	0.000	Merged-chr13-35906103-57
Merged-chr4-149308628-4	chr4	149308477	149308791	+	0.000	0.000	Merged-chr4-149308628-4
Merged-chr1-128593290-2	chr1	128593177	128593406	+	0.000	0.000	Merged-chr1-128593290-2
Merged-chr4-6903816-37	chr4	6903551	6903982	+	0.000	0.000	Merged-chr4-6903816-37
Merged-chr8-128320967-22	chr8	128320749	128321186	+	0.000	0.000	Merged-chr8-128320967-22
Merged-chr6-85432014-45	chr6	85431758	85432249	+	0.000	0.000	Merged-chr6-85432014-45
Merged-chr10-96621091-45	chr10	96620846	96621464	+	0.000	0.000	Merged-chr10-96621091-45
Merged-chr2-117358189-8	chr2	117357946	117358407	+	0.000	0.000	Merged-chr2-117358189-8
Merged-chr19-46520392-2	chr19	46520257	46520530	+	0.000	0.000	Merged-chr19-46520392-2
Merged-chrX-169986880-44	chrX	169986657	169987151	+	0.000	0.000	Merged-chrX-169986880-44
Merged-chr7-79743033-54	chr7	79742826	79743318	+	0.000	0.000	Merged-chr7-79743033-54
Merged-chr1-69496310-11	chr1	69496043	69496536	+	0.000	0.000	Merged-chr1-69496310-11
Merged-chr6-85154206-31	chr6	85153910	85154455	+	0.000	0.000	Merged-chr6-85154206-31
Merged-chr17-46248104-53	chr17	46247845	46248337	+	0.000	0.000	Merged-chr17-46248104-53
Merged-chr2-150218165-69	chr2	150217873	150218496	+	0.000	0.000	Merged-chr2-150218165-69
Merged-chr17-57188930-47	chr17	57188754	57189177	+	0.000	0.000	Merged-chr17-57188930-47
Merged-chr7-83660655-125	chr7	83660138	83661164	+	0.000	0.000	Merged-chr7-83660655-125
Merged-chr11-59839574-91	chr11	59839315	59839819	+	0.000	0.000	Merged-chr11-59839574-91
Merged-chr14-101482517-9	chr14	101482315	101482742	+	0.000	0.000	Merged-chr14-101482517-9
Merged-chr11-22859129-5	chr11	22858963	22859331	+	0.000	0.000	Merged-chr11-22859129-5
Merged-chr15-100551165-1	chr15	100551067	100551265	+	0.000	0.000	Merged-chr15-100551165-1
Merged-chr6-86397021-74	chr6	86396770	86397307	+	0.000	0.000	Merged-chr6-86397021-74
Merged-chr6-147603239-1	chr6	147603141	147603339	+	0.000	0.000	Merged-chr6-147603239-1
Merged-chr3-96161251-32	chr3	96160904	96161534	+	0.000	0.000	Merged-chr3-96161251-32
Merged-chr4-129803546-1	chr4	129803448	129803646	+	0.000	0.000	Merged-chr4-129803546-1
Merged-chr9-94993790-30	chr9	94993515	94994035	+	0.000	0.000	Merged-chr9-94993790-30
Merged-chr16-94239755-12	chr16	94239554	94239955	+	0.000	0.000	Merged-chr16-94239755-12
Merged-chr15-72929064-48	chr15	72928620	72929331	+	0.000	0.000	Merged-chr15-72929064-48
Merged-chr8-126673229-3	chr8	126673075	126673415	+	0.000	0.000	Merged-chr8-126673229-3
Merged-chr9-7897799-25	chr9	7897502	7897997	+	0.000	0.000	Merged-chr9-7897799-25
Merged-chr3-131156512-43	chr3	131156256	131156724	+	0.000	0.000	Merged-chr3-131156512-43
Merged-chr19-57243321-1	chr19	57243223	57243421	+	0.000	0.000	Merged-chr19-57243321-1
Merged-chr10-17566277-15	chr10	17566026	17566494	+	0.000	0.000	Merged-chr10-17566277-15
Merged-chr15-102263146-38	chr15	102262754	102263410	+	0.000	0.000	Merged-chr15-102263146-38
Merged-chr2-34982434-20	chr2	34982215	34982609	+	0.000	0.000	Merged-chr2-34982434-20
Merged-chr12-77060270-44	chr12	77060068	77060492	+	0.000	0.000	Merged-chr12-77060270-44
Merged-chr3-131116331-5	chr3	131116196	131116492	+	0.000	0.000	Merged-chr3-131116331-5
Merged-chr16-97478788-37	chr16	97478371	97479133	+	0.000	0.000	Merged-chr16-97478788-37
Merged-chr1-179031869-2	chr1	179031731	179032010	+	0.000	0.000	Merged-chr1-179031869-2
Merged-chr6-144917284-5	chr6	144917165	144917403	+	0.000	0.000	Merged-chr6-144917284-5
Merged-chr9-53346409-3	chr9	53346187	53346594	+	0.000	0.000	Merged-chr9-53346409-3
Merged-chr4-106830452-8	chr4	106830176	106830660	+	0.000	0.000	Merged-chr4-106830452-8
Merged-chr5-125189815-23	chr5	125189525	125189985	+	0.000	0.000	Merged-chr5-125189815-23
Merged-chr5-149246178-51	chr5	149245876	149246397	+	0.000	0.000	Merged-chr5-149246178-51
Merged-chr17-24720759-1	chr17	24720661	24720859	+	0.000	0.000	Merged-chr17-24720759-1
Merged-chr11-22833941-10	chr11	22833748	22834136	+	0.000	0.000	Merged-chr11-22833941-10
Merged-chr5-65875369-5	chr5	65875216	65875516	+	0.000	0.000	Merged-chr5-65875369-5
Merged-chr1-192730377-1	chr1	192730279	192730477	+	0.000	0.000	Merged-chr1-192730377-1
Merged-chr8-111643802-110	chr8	111643334	111644268	+	0.000	0.000	Merged-chr8-111643802-110
Merged-chr18-55586555-2	chr18	55586398	55586714	+	0.000	0.000	Merged-chr18-55586555-2
Merged-chr10-127603833-11	chr10	127603518	127604278	+	0.000	0.000	Merged-chr10-127603833-11
Merged-chrX-12006353-78	chrX	12005445	12007027	+	0.000	0.000	Merged-chrX-12006353-78
Merged-chr10-121310778-72	chr10	121310475	121311081	+	0.000	0.000	Merged-chr10-121310778-72
Merged-chr3-131154084-19	chr3	131153923	131154273	+	0.000	0.000	Merged-chr3-131154084-19
Merged-chr7-118113743-35	chr7	118113409	118114116	+	0.000	0.000	Merged-chr7-118113743-35
Merged-chr1-131089879-35	chr1	131089419	131090296	+	0.000	0.000	Merged-chr1-131089879-35
Merged-chr15-85258102-30	chr15	85257846	85258314	+	0.000	0.000	Merged-chr15-85258102-30
Merged-chr10-17684024-29	chr10	17683756	17684277	+	0.000	0.000	Merged-chr10-17684024-29
Merged-chr3-37640427-117	chr3	37639753	37641238	+	0.000	0.000	Merged-chr3-37640427-117
Merged-chr9-41073372-94	chr9	41072672	41073848	+	0.000	0.000	Merged-chr9-41073372-94
Merged-chr11-22852938-82	chr11	22852541	22853411	+	0.000	0.000	Merged-chr11-22852938-82
Merged-chr2-144642270-5	chr2	144642143	144642402	+	0.000	0.000	Merged-chr2-144642270-5
Merged-chr11-105181558-137	chr11	105181262	105181866	+	0.000	0.000	Merged-chr11-105181558-137
Merged-chr2-135905474-1	chr2	135905376	135905574	+	0.000	0.000	Merged-chr2-135905474-1
Merged-chr11-117952385-45	chr11	117952166	117952600	+	0.000	0.000	Merged-chr11-117952385-45
Merged-chr15-53235617-41	chr15	53235389	53235979	+	0.000	0.000	Merged-chr15-53235617-41
Merged-chr7-45718106-51	chr7	45717862	45718330	+	0.000	0.000	Merged-chr7-45718106-51
Merged-chr7-80901263-54	chr7	80900990	80901575	+	0.000	0.000	Merged-chr7-80901263-54
Merged-chr9-62354040-45	chr9	62353836	62354240	+	0.000	0.000	Merged-chr9-62354040-45
Merged-chr9-56258297-30	chr9	56257768	56258653	+	0.000	0.000	Merged-chr9-56258297-30
Merged-chr12-17717287-34	chr12	17716938	17717588	+	0.000	0.000	Merged-chr12-17717287-34
Merged-chr1-69555862-39	chr1	69555663	69556086	+	0.000	0.000	Merged-chr1-69555862-39
Merged-chr6-144269959-70	chr6	144269282	144270667	+	0.000	0.000	Merged-chr6-144269959-70
Merged-chr19-43940128-49	chr19	43939878	43940368	+	0.000	0.000	Merged-chr19-43940128-49
Merged-chr3-130978433-14	chr3	130978150	130978685	+	0.000	0.000	Merged-chr3-130978433-14
Merged-chr12-3781537-41	chr12	3781324	3781728	+	0.000	0.000	Merged-chr12-3781537-41
Merged-chr1-138348736-39	chr1	138348570	138348928	+	0.000	0.000	Merged-chr1-138348736-39
Merged-chr5-150595349-1	chr5	150595251	150595449	+	0.000	0.000	Merged-chr5-150595349-1
Merged-chr17-3082994-35	chr17	3082865	3083140	+	0.000	0.000	Merged-chr17-3082994-35
Merged-chr5-122653282-75	chr5	122652959	122653756	+	0.000	0.000	Merged-chr5-122653282-75
Merged-chr2-169622471-1	chr2	169622373	169622571	+	0.000	0.000	Merged-chr2-169622471-1
Merged-chr6-128798454-9	chr6	128798322	128798577	+	0.000	0.000	Merged-chr6-128798454-9
Merged-chr15-6578689-3	chr15	6578563	6578806	+	0.000	0.000	Merged-chr15-6578689-3
Merged-chr15-93628295-7	chr15	93628090	93628477	+	0.000	0.000	Merged-chr15-93628295-7
Merged-chr2-71055719-62	chr2	71055436	71055938	+	0.000	0.000	Merged-chr2-71055719-62
Merged-chr9-106886867-102	chr9	106886653	106887430	+	0.000	0.000	Merged-chr9-106886867-102
Merged-chr5-143287992-36	chr5	143287702	143288416	+	0.000	0.000	Merged-chr5-143287992-36
Merged-chr1-178336064-1	chr1	178335966	178336164	+	0.000	0.000	Merged-chr1-178336064-1
Merged-chr4-139578524-2	chr4	139578425	139578625	+	0.000	0.000	Merged-chr4-139578524-2
Merged-chr9-114509981-26	chr9	114509708	114510184	+	0.000	0.000	Merged-chr9-114509981-26
Merged-chr2-24748146-35	chr2	24747937	24748386	+	0.000	0.000	Merged-chr2-24748146-35
Merged-chr4-155150729-52	chr4	155150507	155151107	+	0.000	0.000	Merged-chr4-155150729-52
Merged-chr4-129741655-2	chr4	129741554	129741758	+	0.000	0.000	Merged-chr4-129741655-2
Merged-chr5-142938564-20	chr5	142938357	142938773	+	0.000	0.000	Merged-chr5-142938564-20
Merged-chr18-11837125-2	chr18	11836999	11837253	+	0.000	0.000	Merged-chr18-11837125-2
Merged-chr4-102724644-2	chr4	102724511	102724780	+	0.000	0.000	Merged-chr4-102724644-2
Merged-chr3-101010885-53	chr3	101010672	101011163	+	0.000	0.000	Merged-chr3-101010885-53
Merged-chr10-12842715-46	chr10	12842477	12842883	+	0.000	0.000	Merged-chr10-12842715-46
Merged-chr12-82170231-18	chr12	82169986	82170450	+	0.000	0.000	Merged-chr12-82170231-18
Merged-chr16-45223020-10	chr16	45222828	45223169	+	0.000	0.000	Merged-chr16-45223020-10
Merged-chr5-75792010-32	chr5	75791628	75792654	+	0.000	0.000	Merged-chr5-75792010-32
Merged-chr15-78915861-11	chr15	78915623	78916029	+	0.000	0.000	Merged-chr15-78915861-11
Merged-chr9-14080056-3	chr9	14079956	14080158	+	0.000	0.000	Merged-chr9-14080056-3
Merged-chr11-120990355-3	chr11	120990248	120990469	+	0.000	0.000	Merged-chr11-120990355-3
Merged-chr11-58867366-50	chr11	58867103	58867593	+	0.000	0.000	Merged-chr11-58867366-50
Merged-chr2-34962465-3	chr2	34962367	34962565	+	0.000	0.000	Merged-chr2-34962465-3
Merged-chr11-70597550-26	chr11	70597364	70597747	+	0.000	0.000	Merged-chr11-70597550-26
Merged-chr2-75685689-38	chr2	75685457	75685875	+	0.000	0.000	Merged-chr2-75685689-38
Merged-chr10-121364422-1	chr10	121364324	121364522	+	0.000	0.000	Merged-chr10-121364422-1
Merged-chr16-57434811-45	chr16	57434592	57435036	+	0.000	0.000	Merged-chr16-57434811-45
Merged-chr19-12798675-11	chr19	12798540	12798815	+	0.000	0.000	Merged-chr19-12798675-11
Merged-chr15-61987115-78	chr15	61986710	61987610	+	0.000	0.000	Merged-chr15-61987115-78
Merged-chr16-11476945-5	chr16	11476777	11477083	+	0.000	0.000	Merged-chr16-11476945-5
Merged-chr5-107868826-60	chr5	107868377	107869370	+	0.000	0.000	Merged-chr5-107868826-60
Merged-chr7-30051314-49	chr7	30051153	30051502	+	0.000	0.000	Merged-chr7-30051314-49
Merged-chr10-14014214-21	chr10	14013999	14014383	+	0.000	0.000	Merged-chr10-14014214-21
Merged-chr2-91957300-36	chr2	91957101	91957574	+	0.000	0.000	Merged-chr2-91957300-36
Merged-chr14-101520070-1	chr14	101519972	101520170	+	0.000	0.000	Merged-chr14-101520070-1
Merged-chr15-12558296-9	chr15	12558129	12558447	+	0.000	0.000	Merged-chr15-12558296-9
Merged-chr15-86062195-14	chr15	86061879	86062436	+	0.000	0.000	Merged-chr15-86062195-14
Merged-chr19-32112588-4	chr19	32112474	32112701	+	0.000	0.000	Merged-chr19-32112588-4
Merged-chr1-128540410-9	chr1	128540237	128540590	+	0.000	0.000	Merged-chr1-128540410-9
Merged-chr9-62455455-9	chr9	62455301	62455641	+	0.000	0.000	Merged-chr9-62455455-9
Merged-chr12-112994371-22	chr12	112994215	112994547	+	0.000	0.000	Merged-chr12-112994371-22
Merged-chr11-113201628-64	chr11	113201315	113201939	+	0.000	0.000	Merged-chr11-113201628-64
Merged-chr14-55089396-1	chr14	55089298	55089496	+	0.000	0.000	Merged-chr14-55089396-1
Merged-chr16-76346185-17	chr16	76345970	76346416	+	0.000	0.000	Merged-chr16-76346185-17
Merged-chr18-7869140-116	chr18	7868708	7869455	+	0.000	0.000	Merged-chr18-7869140-116
Merged-chr1-55489612-12	chr1	55489447	55489806	+	0.000	0.000	Merged-chr1-55489612-12
Merged-chr10-96724956-66	chr10	96724760	96725252	+	0.000	0.000	Merged-chr10-96724956-66
Merged-chr17-47294215-12	chr17	47294006	47294416	+	0.000	0.000	Merged-chr17-47294215-12
Merged-chr2-146497617-49	chr2	146496937	146498135	+	0.000	0.000	Merged-chr2-146497617-49
Merged-chr2-68471266-4	chr2	68471144	68471390	+	0.000	0.000	Merged-chr2-68471266-4
Merged-chr17-24549778-103	chr17	24549460	24550298	+	0.000	0.000	Merged-chr17-24549778-103
Merged-chr13-109701151-1	chr13	109701053	109701251	+	0.000	0.000	Merged-chr13-109701151-1
Merged-chr11-22852385-3	chr11	22852271	22852518	+	0.000	0.000	Merged-chr11-22852385-3
Merged-chr7-30194867-53	chr7	30194318	30195235	+	0.000	0.000	Merged-chr7-30194867-53
Merged-chr5-44218043-54	chr5	44217520	44218596	+	0.000	0.000	Merged-chr5-44218043-54
Merged-chr13-100108112-61	chr13	100107921	100108379	+	0.000	0.000	Merged-chr13-100108112-61
Merged-chr2-91950520-49	chr2	91950053	91950743	+	0.000	0.000	Merged-chr2-91950520-49
Merged-chr10-67200954-2	chr10	67200807	67201103	+	0.000	0.000	Merged-chr10-67200954-2
Merged-chr15-58655104-54	chr15	58654874	58655354	+	0.000	0.000	Merged-chr15-58655104-54
Merged-chr6-99435291-39	chr6	99435060	99435540	+	0.000	0.000	Merged-chr6-99435291-39
Merged-chr10-13553137-58	chr10	13552918	13553364	+	0.000	0.000	Merged-chr10-13553137-58
Merged-chr2-167680290-50	chr2	167679914	167680604	+	0.000	0.000	Merged-chr2-167680290-50
Merged-chr15-6520162-57	chr15	6519950	6520387	+	0.000	0.000	Merged-chr15-6520162-57
Merged-chr5-147071000-57	chr5	147070534	147071340	+	0.000	0.000	Merged-chr5-147071000-57
Merged-chr14-122187060-26	chr14	122186808	122187251	+	0.000	0.000	Merged-chr14-122187060-26
Merged-chr13-28886911-3	chr13	28886792	28887052	+	0.000	0.000	Merged-chr13-28886911-3
Merged-chr19-16128909-3	chr19	16128752	16129044	+	0.000	0.000	Merged-chr19-16128909-3
Merged-chr18-75000558-76	chr18	75000251	75000830	+	0.000	0.000	Merged-chr18-75000558-76
Merged-chr8-72285397-19	chr8	72285196	72285648	+	0.000	0.000	Merged-chr8-72285397-19
Merged-chr8-90797946-13	chr8	90797788	90798073	+	0.000	0.000	Merged-chr8-90797946-13
Merged-chr9-61669996-60	chr9	61669687	61670197	+	0.000	0.000	Merged-chr9-61669996-60
Merged-chr7-25109540-13	chr7	25109315	25109815	+	0.000	0.000	Merged-chr7-25109540-13
Merged-chr9-41078542-5	chr9	41078429	41078652	+	0.000	0.000	Merged-chr9-41078542-5
Merged-chr5-72937939-2	chr5	72937833	72938048	+	0.000	0.000	Merged-chr5-72937939-2
Merged-chr11-4823993-46	chr11	4823724	4824233	+	0.000	0.000	Merged-chr11-4823993-46
Merged-chr3-63905416-23	chr3	63905154	63905723	+	0.000	0.000	Merged-chr3-63905416-23
Merged-chr5-65091600-42	chr5	65091365	65091838	+	0.000	0.000	Merged-chr5-65091600-42
Merged-chr11-75914004-27	chr11	75913672	75914363	+	0.000	0.000	Merged-chr11-75914004-27
Merged-chr4-155094632-7	chr4	155094469	155094833	+	0.000	0.000	Merged-chr4-155094632-7
Merged-chr2-112493136-105	chr2	112492741	112493392	+	0.000	0.000	Merged-chr2-112493136-105
Merged-chr2-62441216-45	chr2	62440993	62441408	+	0.000	0.000	Merged-chr2-62441216-45
Merged-chr18-80492606-36	chr18	80492452	80492785	+	0.000	0.000	Merged-chr18-80492606-36
Merged-chr17-3082332-197	chr17	3082009	3082685	+	0.000	0.000	Merged-chr17-3082332-197
Merged-chr5-123382042-18	chr5	123381842	123382249	+	0.000	0.000	Merged-chr5-123382042-18
Merged-chr9-102792084-52	chr9	102791886	102792254	+	0.000	0.000	Merged-chr9-102792084-52
Merged-chr12-85944621-1	chr12	85944523	85944721	+	0.000	0.000	Merged-chr12-85944621-1
Merged-chr12-55467879-2	chr12	55467740	55468020	+	0.000	0.000	Merged-chr12-55467879-2
Merged-chr11-101316251-71	chr11	101315843	101316640	+	0.000	0.000	Merged-chr11-101316251-71
Merged-chr11-5219481-13	chr11	5219270	5219662	+	0.000	0.000	Merged-chr11-5219481-13
Merged-chr16-76357413-27	chr16	76357223	76357581	+	0.000	0.000	Merged-chr16-76357413-27
Merged-chrX-9272776-84	chrX	9272464	9273083	+	0.000	0.000	Merged-chrX-9272776-84
Merged-chr16-17927970-1	chr16	17927872	17928070	+	0.000	0.000	Merged-chr16-17927970-1
Merged-chr1-94147296-7	chr1	94147005	94147537	+	0.000	0.000	Merged-chr1-94147296-7
Merged-chr11-32445818-14	chr11	32445604	32446021	+	0.000	0.000	Merged-chr11-32445818-14
Merged-chr6-125239634-12	chr6	125239298	125239877	+	0.000	0.000	Merged-chr6-125239634-12
Merged-chr5-34513309-1	chr5	34513211	34513409	+	0.000	0.000	Merged-chr5-34513309-1
Merged-chr1-128608288-19	chr1	128608141	128608435	+	0.000	0.000	Merged-chr1-128608288-19
Merged-chr3-131157614-46	chr3	131157372	131157914	+	0.000	0.000	Merged-chr3-131157614-46
Merged-chr15-85070702-6	chr15	85070530	85070959	+	0.000	0.000	Merged-chr15-85070702-6
Merged-chr1-125519353-27	chr1	125519062	125519549	+	0.000	0.000	Merged-chr1-125519353-27
Merged-chr11-77483872-51	chr11	77483576	77484235	+	0.000	0.000	Merged-chr11-77483872-51
Merged-chr15-76576495-44	chr15	76576162	76577075	+	0.000	0.000	Merged-chr15-76576495-44
Merged-chr9-98333368-51	chr9	98333046	98333625	+	0.000	0.000	Merged-chr9-98333368-51
Merged-chr11-6655201-10	chr11	6655047	6655346	+	0.000	0.000	Merged-chr11-6655201-10
Merged-chr10-121626268-63	chr10	121625821	121626564	+	0.000	0.000	Merged-chr10-121626268-63
Merged-chr5-117107665-16	chr5	117107461	117107865	+	0.000	0.000	Merged-chr5-117107665-16
Merged-chr14-121931088-62	chr14	121930795	121931485	+	0.000	0.000	Merged-chr14-121931088-62
Merged-chr13-92244928-37	chr13	92244655	92245206	+	0.000	0.000	Merged-chr13-92244928-37
Merged-chr1-189879850-1	chr1	189879752	189879950	+	0.000	0.000	Merged-chr1-189879850-1
Merged-chr2-92434096-58	chr2	92433865	92434382	+	0.000	0.000	Merged-chr2-92434096-58
Merged-chr4-132308791-34	chr4	132308508	132309143	+	0.000	0.000	Merged-chr4-132308791-34
Merged-chr7-80176723-11	chr7	80176395	80177024	+	0.000	0.000	Merged-chr7-80176723-11
Merged-chr15-64364676-9	chr15	64364335	64364918	+	0.000	0.000	Merged-chr15-64364676-9
Merged-chr9-22143116-1	chr9	22143018	22143216	+	0.000	0.000	Merged-chr9-22143116-1
Merged-chr15-100687236-65	chr15	100686841	100687615	+	0.000	0.000	Merged-chr15-100687236-65
Merged-chr5-118361974-51	chr5	118361679	118362226	+	0.000	0.000	Merged-chr5-118361974-51
Merged-chr3-129552605-9	chr3	129552439	129552745	+	0.000	0.000	Merged-chr3-129552605-9
Merged-chrX-165825546-1	chrX	165825448	165825646	+	0.000	0.000	Merged-chrX-165825546-1
Merged-chr9-41072439-1	chr9	41072341	41072539	+	0.000	0.000	Merged-chr9-41072439-1
Merged-chr9-106477001-83	chr9	106476640	106477382	+	0.000	0.000	Merged-chr9-106477001-83
Merged-chr4-33204850-23	chr4	33204683	33205077	+	0.000	0.000	Merged-chr4-33204850-23
Merged-chr2-75689231-12	chr2	75689014	75689598	+	0.000	0.000	Merged-chr2-75689231-12
Merged-chr8-124751336-1	chr8	124751238	124751436	+	0.000	0.000	Merged-chr8-124751336-1
Merged-chr1-69548718-45	chr1	69548407	69548966	+	0.000	0.000	Merged-chr1-69548718-45
Merged-chr2-28517592-38	chr2	28517324	28517798	+	0.000	0.000	Merged-chr2-28517592-38
Merged-chr9-101074267-139	chr9	101073906	101074944	+	0.000	0.000	Merged-chr9-101074267-139
Merged-chr7-19816986-25	chr7	19816789	19817139	+	0.000	0.000	Merged-chr7-19816986-25
Merged-chr6-6149577-22	chr6	6149285	6150045	+	0.000	0.000	Merged-chr6-6149577-22
Merged-chr11-6562547-9	chr11	6562368	6562724	+	0.000	0.000	Merged-chr11-6562547-9
Merged-chr17-84333098-53	chr17	84332914	84333273	+	0.000	0.000	Merged-chr17-84333098-53
Merged-chr10-96633546-4	chr10	96633315	96633767	+	0.000	0.000	Merged-chr10-96633546-4
Merged-chr17-84435331-72	chr17	84434837	84436236	+	0.000	0.000	Merged-chr17-84435331-72
Merged-chr6-128474299-11	chr6	128474175	128474426	+	0.000	0.000	Merged-chr6-128474299-11
Merged-chr11-79057153-11	chr11	79056971	79057335	+	0.000	0.000	Merged-chr11-79057153-11
Merged-chr11-4289401-53	chr11	4289183	4289605	+	0.000	0.000	Merged-chr11-4289401-53
Merged-chr11-106160193-191	chr11	106159344	106161166	+	0.000	0.000	Merged-chr11-106160193-191
Merged-chr15-61984586-7	chr15	61984433	61984704	+	0.000	0.000	Merged-chr15-61984586-7
Merged-chr15-100041805-84	chr15	100041156	100042194	+	0.000	0.000	Merged-chr15-100041805-84
Merged-chr2-59484761-2	chr2	59484654	59484870	+	0.000	0.000	Merged-chr2-59484761-2
Merged-chr8-81693347-14	chr8	81693148	81693516	+	0.000	0.000	Merged-chr8-81693347-14
Merged-chr19-6869528-29	chr19	6869268	6869727	+	0.000	0.000	Merged-chr19-6869528-29
Merged-chr11-54972474-51	chr11	54972175	54972855	+	0.000	0.000	Merged-chr11-54972474-51
Merged-chr13-46984100-22	chr13	46983869	46984294	+	0.000	0.000	Merged-chr13-46984100-22
Merged-chr13-91461110-110	chr13	91460681	91461478	+	0.000	0.000	Merged-chr13-91461110-110
Merged-chr15-62038583-121	chr15	62037767	62039413	+	0.000	0.000	Merged-chr15-62038583-121
Merged-chr4-7112485-9	chr4	7112271	7112662	+	0.000	0.000	Merged-chr4-7112485-9
Merged-chr15-97581834-38	chr15	97581587	97582061	+	0.000	0.000	Merged-chr15-97581834-38
Merged-chr16-14439328-12	chr16	14439072	14439508	+	0.000	0.000	Merged-chr16-14439328-12
Merged-chr11-69409995-6	chr11	69409897	69410095	+	0.000	0.000	Merged-chr11-69409995-6
Merged-chr12-71136492-3	chr12	71136362	71136658	+	0.000	0.000	Merged-chr12-71136492-3
Merged-chr9-14498849-2	chr9	14498736	14498964	+	0.000	0.000	Merged-chr9-14498849-2
Merged-chr18-79300351-1	chr18	79300253	79300451	+	0.000	0.000	Merged-chr18-79300351-1
Merged-chr17-34092675-17	chr17	34092366	34092880	+	0.000	0.000	Merged-chr17-34092675-17
Merged-chr12-41096290-9	chr12	41096144	41096413	+	0.000	0.000	Merged-chr12-41096290-9
Merged-chr16-89904595-58	chr16	89904089	89904980	+	0.000	0.000	Merged-chr16-89904595-58
Merged-chr15-6570956-4	chr15	6570742	6571179	+	0.000	0.000	Merged-chr15-6570956-4
Merged-chr16-57549399-62	chr16	57549136	57549673	+	0.000	0.000	Merged-chr16-57549399-62
Merged-chr9-14088046-43	chr9	14087819	14088327	+	0.000	0.000	Merged-chr9-14088046-43
Merged-chr15-61983458-31	chr15	61983240	61983651	+	0.000	0.000	Merged-chr15-61983458-31
Merged-chr3-146450553-52	chr3	146450345	146450753	+	0.000	0.000	Merged-chr3-146450553-52
Merged-chr10-18139344-30	chr10	18139069	18139590	+	0.000	0.000	Merged-chr10-18139344-30
Merged-chr10-21158926-108	chr10	21158531	21159449	+	0.000	0.000	Merged-chr10-21158926-108
Merged-chr12-36155639-21	chr12	36155273	36156055	+	0.000	0.000	Merged-chr12-36155639-21
Merged-chr4-32335883-56	chr4	32335604	32336164	+	0.000	0.000	Merged-chr4-32335883-56
Merged-chr8-86077410-12	chr8	86077171	86077613	+	0.000	0.000	Merged-chr8-86077410-12
Merged-chr3-68794543-41	chr3	68794134	68794775	+	0.000	0.000	Merged-chr3-68794543-41
Merged-chr13-117206316-8	chr13	117206154	117206480	+	0.000	0.000	Merged-chr13-117206316-8
Merged-chr2-146270625-1	chr2	146270527	146270725	+	0.000	0.000	Merged-chr2-146270625-1
Merged-chr12-8829730-25	chr12	8829548	8829986	+	0.000	0.000	Merged-chr12-8829730-25
Merged-chr15-103258343-65	chr15	103258160	103258624	+	0.000	0.000	Merged-chr15-103258343-65
Merged-chr17-28801273-108	chr17	28800602	28801549	+	0.000	0.000	Merged-chr17-28801273-108
Merged-chr2-30124519-66	chr2	30124283	30124811	+	0.000	0.000	Merged-chr2-30124519-66
Merged-chr8-14965734-19	chr8	14965526	14965968	+	0.000	0.000	Merged-chr8-14965734-19
Merged-chr4-32252453-5	chr4	32252221	32252642	+	0.000	0.000	Merged-chr4-32252453-5
Merged-chr14-70075792-28	chr14	70075599	70075943	+	0.000	0.000	Merged-chr14-70075792-28
Merged-chr15-102246754-122	chr15	102246357	102247129	+	0.000	0.000	Merged-chr15-102246754-122
Merged-chr2-120850426-67	chr2	120850128	120850724	+	0.000	0.000	Merged-chr2-120850426-67
Merged-chr13-104526729-1	chr13	104526631	104526829	+	0.000	0.000	Merged-chr13-104526729-1
Merged-chr4-115101833-38	chr4	115101596	115102118	+	0.000	0.000	Merged-chr4-115101833-38
Merged-chr7-80183609-6	chr7	80183485	80183733	+	0.000	0.000	Merged-chr7-80183609-6
Merged-chr19-57344006-22	chr19	57343781	57344296	+	0.000	0.000	Merged-chr19-57344006-22
Merged-chr6-147604597-1	chr6	147604499	147604697	+	0.000	0.000	Merged-chr6-147604597-1
Merged-chr9-59536904-3	chr9	59536757	59537032	+	0.000	0.000	Merged-chr9-59536904-3
Merged-chr8-125720220-10	chr8	125720006	125720399	+	0.000	0.000	Merged-chr8-125720220-10
Merged-chr18-24206447-6	chr18	24206293	24206681	+	0.000	0.000	Merged-chr18-24206447-6
