#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_II--ATAC_peaks.bed all.df.numx.c5-WT_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-WT_Th1_vs_Naive.dn.bed
Merged-chr8-35250826-10	chr8	35250547	35251030	+	0.000	0.000	Merged-chr8-35250826-10
Merged-chr1-43542582-56	chr1	43542340	43542834	+	0.000	0.000	Merged-chr1-43542582-56
Merged-chr10-40165050-35	chr10	40164780	40165252	+	0.000	0.000	Merged-chr10-40165050-35
Merged-chr18-56374140-32	chr18	56373970	56374464	+	0.000	0.000	Merged-chr18-56374140-32
Merged-chr12-73625605-55	chr12	73624915	73625863	+	0.000	0.000	Merged-chr12-73625605-55
Merged-chr7-80123359-34	chr7	80123127	80123585	+	0.000	0.000	Merged-chr7-80123359-34
Merged-chr1-20820206-62	chr1	20819935	20820525	+	0.000	0.000	Merged-chr1-20820206-62
Merged-chr13-12334170-11	chr13	12334019	12334356	+	0.000	0.000	Merged-chr13-12334170-11
Merged-chr4-15300125-32	chr4	15299816	15300455	+	0.000	0.000	Merged-chr4-15300125-32
Merged-chr1-172310200-78	chr1	172309913	172310461	+	0.000	0.000	Merged-chr1-172310200-78
Merged-chr18-89176946-25	chr18	89176601	89177380	+	0.000	0.000	Merged-chr18-89176946-25
Merged-chr7-75849476-13	chr7	75849218	75849638	+	0.000	0.000	Merged-chr7-75849476-13
Merged-chr15-92976525-2	chr15	92976397	92976656	+	0.000	0.000	Merged-chr15-92976525-2
Merged-chr13-21783235-60	chr13	21783004	21783442	+	0.000	0.000	Merged-chr13-21783235-60
Merged-chr5-124028703-2	chr5	124028538	124028871	+	0.000	0.000	Merged-chr5-124028703-2
Merged-chr12-16259149-1	chr12	16259051	16259249	+	0.000	0.000	Merged-chr12-16259149-1
Merged-chr15-73523297-26	chr15	73522875	73523549	+	0.000	0.000	Merged-chr15-73523297-26
Merged-chr19-29325284-39	chr19	29325083	29325483	+	0.000	0.000	Merged-chr19-29325284-39
Merged-chr11-98943480-23	chr11	98943239	98943966	+	0.000	0.000	Merged-chr11-98943480-23
Merged-chr12-16589670-47	chr12	16589430	16589900	+	0.000	0.000	Merged-chr12-16589670-47
Merged-chr13-35754496-1	chr13	35754398	35754596	+	0.000	0.000	Merged-chr13-35754496-1
Merged-chr13-12344548-13	chr13	12344367	12344735	+	0.000	0.000	Merged-chr13-12344548-13
Merged-chr13-4192046-2	chr13	4191921	4192174	+	0.000	0.000	Merged-chr13-4192046-2
Merged-chr6-30896193-1	chr6	30896095	30896293	+	0.000	0.000	Merged-chr6-30896193-1
Merged-chr1-120057307-12	chr1	120057090	120057575	+	0.000	0.000	Merged-chr1-120057307-12
Merged-chr2-103668249-32	chr2	103667930	103668501	+	0.000	0.000	Merged-chr2-103668249-32
Merged-chr17-23739826-1	chr17	23739728	23739926	+	0.000	0.000	Merged-chr17-23739826-1
Merged-chr11-101201152-7	chr11	101201016	101201294	+	0.000	0.000	Merged-chr11-101201152-7
Merged-chr13-12520187-58	chr13	12519874	12520514	+	0.000	0.000	Merged-chr13-12520187-58
Merged-chr10-89462110-46	chr10	89461829	89462408	+	0.000	0.000	Merged-chr10-89462110-46
Merged-chr9-45268867-53	chr9	45268090	45269403	+	0.000	0.000	Merged-chr9-45268867-53
Merged-chr13-113866021-18	chr13	113865780	113866198	+	0.000	0.000	Merged-chr13-113866021-18
Merged-chr4-120951059-1	chr4	120950961	120951159	+	0.000	0.000	Merged-chr4-120951059-1
Merged-chr19-5844986-1	chr19	5844888	5845086	+	0.000	0.000	Merged-chr19-5844986-1
Merged-chr15-31166801-87	chr15	31166400	31167098	+	0.000	0.000	Merged-chr15-31166801-87
Merged-chr10-118087775-2	chr10	118087677	118087876	+	0.000	0.000	Merged-chr10-118087775-2
Merged-chrX-102160370-10	chrX	102160057	102160621	+	0.000	0.000	Merged-chrX-102160370-10
Merged-chr5-32055860-1	chr5	32055762	32055960	+	0.000	0.000	Merged-chr5-32055860-1
Merged-chr6-54120248-58	chr6	54119641	54120652	+	0.000	0.000	Merged-chr6-54120248-58
Merged-chr7-89308449-38	chr7	89308205	89308820	+	0.000	0.000	Merged-chr7-89308449-38
Merged-chr12-16591719-49	chr12	16591487	16591940	+	0.000	0.000	Merged-chr12-16591719-49
Merged-chr7-81863346-31	chr7	81863108	81863562	+	0.000	0.000	Merged-chr7-81863346-31
Merged-chr2-60881249-79	chr2	60880986	60881461	+	0.000	0.000	Merged-chr2-60881249-79
Merged-chr15-80576638-1	chr15	80576540	80576738	+	0.000	0.000	Merged-chr15-80576638-1
Merged-chr1-21052360-12	chr1	21052165	21052576	+	0.000	0.000	Merged-chr1-21052360-12
Merged-chr1-9850734-3	chr1	9850602	9850877	+	0.000	0.000	Merged-chr1-9850734-3
Merged-chr15-97849644-64	chr15	97849424	97850160	+	0.000	0.000	Merged-chr15-97849644-64
Merged-chr13-63431477-108	chr13	63431238	63431734	+	0.000	0.000	Merged-chr13-63431477-108
Merged-chr13-8885796-61	chr13	8885614	8885988	+	0.000	0.000	Merged-chr13-8885796-61
Merged-chrX-77796416-1	chrX	77796318	77796516	+	0.000	0.000	Merged-chrX-77796416-1
Merged-chr17-26886283-27	chr17	26885937	26886482	+	0.000	0.000	Merged-chr17-26886283-27
Merged-chr13-23734534-7	chr13	23734388	23734680	+	0.000	0.000	Merged-chr13-23734534-7
Merged-chr5-107718117-32	chr5	107717931	107718348	+	0.000	0.000	Merged-chr5-107718117-32
Merged-chr6-54965079-68	chr6	54964625	54965566	+	0.000	0.000	Merged-chr6-54965079-68
Merged-chr9-83834539-74	chr9	83834232	83834850	+	0.000	0.000	Merged-chr9-83834539-74
Merged-chr4-11960864-24	chr4	11960626	11961058	+	0.000	0.000	Merged-chr4-11960864-24
Merged-chr5-74200641-59	chr5	74200428	74200842	+	0.000	0.000	Merged-chr5-74200641-59
Merged-chr2-45197380-25	chr2	45196813	45197644	+	0.000	0.000	Merged-chr2-45197380-25
Merged-chr9-120078496-7	chr9	120078302	120078670	+	0.000	0.000	Merged-chr9-120078496-7
Merged-chr6-97473618-39	chr6	97473066	97474132	+	0.000	0.000	Merged-chr6-97473618-39
Merged-chr2-30982189-58	chr2	30982015	30982372	+	0.000	0.000	Merged-chr2-30982189-58
Merged-chr17-80222435-8	chr17	80222249	80222621	+	0.000	0.000	Merged-chr17-80222435-8
Merged-chr1-60903295-3	chr1	60903143	60903459	+	0.000	0.000	Merged-chr1-60903295-3
Merged-chr8-70618591-1	chr8	70618493	70618691	+	0.000	0.000	Merged-chr8-70618591-1
Merged-chr1-97661969-7	chr1	97661787	97662165	+	0.000	0.000	Merged-chr1-97661969-7
Merged-chr4-145266696-11	chr4	145266492	145266863	+	0.000	0.000	Merged-chr4-145266696-11
Merged-chr14-51098450-32	chr14	51098095	51098717	+	0.000	0.000	Merged-chr14-51098450-32
Merged-chr7-90410085-21	chr7	90409921	90410308	+	0.000	0.000	Merged-chr7-90410085-21
Merged-chr6-51580456-21	chr6	51580292	51580660	+	0.000	0.000	Merged-chr6-51580456-21
Merged-chr5-63961886-28	chr5	63961622	63962080	+	0.000	0.000	Merged-chr5-63961886-28
Merged-chr17-47515680-12	chr17	47515386	47515946	+	0.000	0.000	Merged-chr17-47515680-12
Merged-chr10-92791286-37	chr10	92790915	92791643	+	0.000	0.000	Merged-chr10-92791286-37
Merged-chr2-18392553-59	chr2	18392028	18392815	+	0.000	0.000	Merged-chr2-18392553-59
Merged-chr6-97701586-2	chr6	97701463	97701711	+	0.000	0.000	Merged-chr6-97701586-2
Merged-chr2-32464081-1	chr2	32463983	32464181	+	0.000	0.000	Merged-chr2-32464081-1
Merged-chr3-107062583-69	chr3	107061940	107063027	+	0.000	0.000	Merged-chr3-107062583-69
Merged-chr11-107468885-1	chr11	107468787	107468985	+	0.000	0.000	Merged-chr11-107468885-1
Merged-chr7-127991926-5	chr7	127991812	127992065	+	0.000	0.000	Merged-chr7-127991926-5
Merged-chr16-46008957-18	chr16	46008719	46009188	+	0.000	0.000	Merged-chr16-46008957-18
Merged-chr12-99322326-28	chr12	99322138	99322578	+	0.000	0.000	Merged-chr12-99322326-28
Merged-chr5-137707287-72	chr5	137707003	137707591	+	0.000	0.000	Merged-chr5-137707287-72
Merged-chr9-80261052-5	chr9	80260915	80261224	+	0.000	0.000	Merged-chr9-80261052-5
Merged-chr16-8830910-11	chr16	8830728	8831138	+	0.000	0.000	Merged-chr16-8830910-11
Merged-chr6-97394715-16	chr6	97394511	97394974	+	0.000	0.000	Merged-chr6-97394715-16
Merged-chr7-88313151-1	chr7	88313053	88313251	+	0.000	0.000	Merged-chr7-88313151-1
Merged-chr13-108347269-17	chr13	108346997	108347542	+	0.000	0.000	Merged-chr13-108347269-17
Merged-chr10-89383738-30	chr10	89383404	89383952	+	0.000	0.000	Merged-chr10-89383738-30
Merged-chr15-92971247-1	chr15	92971149	92971347	+	0.000	0.000	Merged-chr15-92971247-1
Merged-chr13-6000907-14	chr13	6000362	6001467	+	0.000	0.000	Merged-chr13-6000907-14
Merged-chr7-64011985-78	chr7	64011793	64012314	+	0.000	0.000	Merged-chr7-64011985-78
Merged-chr7-80444672-5	chr7	80444518	80444883	+	0.000	0.000	Merged-chr7-80444672-5
Merged-chr17-35734690-16	chr17	35734481	35734910	+	0.000	0.000	Merged-chr17-35734690-16
Merged-chr12-73679547-19	chr12	73679324	73679736	+	0.000	0.000	Merged-chr12-73679547-19
Merged-chr3-79567170-4	chr3	79566961	79567352	+	0.000	0.000	Merged-chr3-79567170-4
Merged-chr8-122432082-1	chr8	122431984	122432182	+	0.000	0.000	Merged-chr8-122432082-1
Merged-chr10-118083304-59	chr10	118082987	118083600	+	0.000	0.000	Merged-chr10-118083304-59
Merged-chr1-60565774-1	chr1	60565676	60565874	+	0.000	0.000	Merged-chr1-60565774-1
Merged-chr4-15307094-14	chr4	15306743	15307297	+	0.000	0.000	Merged-chr4-15307094-14
Merged-chr7-126758941-1	chr7	126758843	126759041	+	0.000	0.000	Merged-chr7-126758941-1
Merged-chr11-11775045-14	chr11	11774771	11775272	+	0.000	0.000	Merged-chr11-11775045-14
Merged-chr7-64043125-48	chr7	64042929	64043369	+	0.000	0.000	Merged-chr7-64043125-48
Merged-chr2-35658449-2	chr2	35658330	35658571	+	0.000	0.000	Merged-chr2-35658449-2
Merged-chr16-10969472-37	chr16	10969163	10969812	+	0.000	0.000	Merged-chr16-10969472-37
Merged-chr18-55843500-1	chr18	55843402	55843600	+	0.000	0.000	Merged-chr18-55843500-1
Merged-chr6-130245976-1	chr6	130245878	130246076	+	0.000	0.000	Merged-chr6-130245976-1
Merged-chr6-51768092-8	chr6	51767936	51768264	+	0.000	0.000	Merged-chr6-51768092-8
Merged-chr10-128232604-5	chr10	128232480	128232736	+	0.000	0.000	Merged-chr10-128232604-5
Merged-chrX-48713049-46	chrX	48712767	48713349	+	0.000	0.000	Merged-chrX-48713049-46
Merged-chr5-140608984-1	chr5	140608886	140609084	+	0.000	0.000	Merged-chr5-140608984-1
Merged-chr10-54035850-5	chr10	54035712	54036006	+	0.000	0.000	Merged-chr10-54035850-5
Merged-chr7-89200737-1	chr7	89200639	89200837	+	0.000	0.000	Merged-chr7-89200737-1
Merged-chr3-59132317-35	chr3	59132041	59132636	+	0.000	0.000	Merged-chr3-59132317-35
Merged-chr2-36214220-40	chr2	36213974	36214480	+	0.000	0.000	Merged-chr2-36214220-40
Merged-chr17-47504977-46	chr17	47504687	47505205	+	0.000	0.000	Merged-chr17-47504977-46
Merged-chr19-5257394-33	chr19	5257132	5257685	+	0.000	0.000	Merged-chr19-5257394-33
Merged-chr9-114758587-29	chr9	114758253	114758875	+	0.000	0.000	Merged-chr9-114758587-29
Merged-chr13-5863449-10	chr13	5863275	5863646	+	0.000	0.000	Merged-chr13-5863449-10
Merged-chr1-9847836-2	chr1	9847707	9847967	+	0.000	0.000	Merged-chr1-9847836-2
Merged-chr14-78725467-2	chr14	78725369	78725567	+	0.000	0.000	Merged-chr14-78725467-2
Merged-chr1-128359360-82	chr1	128358229	128359878	+	0.000	0.000	Merged-chr1-128359360-82
Merged-chr15-59315041-54	chr15	59314808	59315370	+	0.000	0.000	Merged-chr15-59315041-54
Merged-chr14-30722606-2	chr14	30722508	30722706	+	0.000	0.000	Merged-chr14-30722606-2
Merged-chr8-85700831-84	chr8	85700463	85701207	+	0.000	0.000	Merged-chr8-85700831-84
Merged-chr1-172312178-79	chr1	172311861	172312584	+	0.000	0.000	Merged-chr1-172312178-79
Merged-chr5-34643160-22	chr5	34643007	34643365	+	0.000	0.000	Merged-chr5-34643160-22
Merged-chr6-128838356-4	chr6	128838253	128838468	+	0.000	0.000	Merged-chr6-128838356-4
Merged-chr12-16569127-88	chr12	16568531	16569679	+	0.000	0.000	Merged-chr12-16569127-88
Merged-chr14-30717039-13	chr14	30716833	30717245	+	0.000	0.000	Merged-chr14-30717039-13
Merged-chr12-73687229-37	chr12	73686948	73687572	+	0.000	0.000	Merged-chr12-73687229-37
Merged-chr8-33931697-13	chr8	33931433	33931922	+	0.000	0.000	Merged-chr8-33931697-13
Merged-chr6-51586174-3	chr6	51586040	51586322	+	0.000	0.000	Merged-chr6-51586174-3
Merged-chr10-77282922-22	chr10	77282702	77283146	+	0.000	0.000	Merged-chr10-77282922-22
Merged-chr13-107890491-165	chr13	107890011	107890980	+	0.000	0.000	Merged-chr13-107890491-165
Merged-chr1-97522024-1	chr1	97521926	97522124	+	0.000	0.000	Merged-chr1-97522024-1
Merged-chr3-59229189-56	chr3	59228933	59229536	+	0.000	0.000	Merged-chr3-59229189-56
Merged-chr2-32487405-32	chr2	32487123	32487618	+	0.000	0.000	Merged-chr2-32487405-32
Merged-chr17-12746015-29	chr17	12745782	12746265	+	0.000	0.000	Merged-chr17-12746015-29
Merged-chr2-165639505-4	chr2	165639372	165639649	+	0.000	0.000	Merged-chr2-165639505-4
Merged-chr12-17257057-21	chr12	17256839	17257300	+	0.000	0.000	Merged-chr12-17257057-21
Merged-chr12-17253265-28	chr12	17253031	17253490	+	0.000	0.000	Merged-chr12-17253265-28
Merged-chr3-146121713-45	chr3	146121539	146121938	+	0.000	0.000	Merged-chr3-146121713-45
Merged-chr6-50503909-4	chr6	50503679	50504133	+	0.000	0.000	Merged-chr6-50503909-4
Merged-chr11-63908633-20	chr11	63908406	63908868	+	0.000	0.000	Merged-chr11-63908633-20
Merged-chr11-57617750-2	chr11	57617642	57617860	+	0.000	0.000	Merged-chr11-57617750-2
Merged-chr2-103761224-59	chr2	103761021	103761431	+	0.000	0.000	Merged-chr2-103761224-59
Merged-chr7-4816774-19	chr7	4816628	4816961	+	0.000	0.000	Merged-chr7-4816774-19
Merged-chr17-46202897-79	chr17	46202591	46203122	+	0.000	0.000	Merged-chr17-46202897-79
Merged-chr14-73253840-37	chr14	73253606	73254117	+	0.000	0.000	Merged-chr14-73253840-37
Merged-chr1-144273228-38	chr1	144273084	144273460	+	0.000	0.000	Merged-chr1-144273228-38
Merged-chr15-80572443-63	chr15	80572165	80572792	+	0.000	0.000	Merged-chr15-80572443-63
Merged-chr10-118110099-23	chr10	118109903	118110324	+	0.000	0.000	Merged-chr10-118110099-23
Merged-chr5-124034642-47	chr5	124034480	124034923	+	0.000	0.000	Merged-chr5-124034642-47
Merged-chr11-98925291-3	chr11	98925168	98925422	+	0.000	0.000	Merged-chr11-98925291-3
Merged-chr12-73647879-51	chr12	73647624	73648246	+	0.000	0.000	Merged-chr12-73647879-51
Merged-chr18-55841714-1	chr18	55841616	55841814	+	0.000	0.000	Merged-chr18-55841714-1
Merged-chr10-28194242-1	chr10	28194144	28194342	+	0.000	0.000	Merged-chr10-28194242-1
Merged-chr7-127144596-50	chr7	127144369	127144820	+	0.000	0.000	Merged-chr7-127144596-50
Merged-chr3-27067455-6	chr3	27067239	27067589	+	0.000	0.000	Merged-chr3-27067455-6
Merged-chr3-19305697-23	chr3	19305488	19305923	+	0.000	0.000	Merged-chr3-19305697-23
Merged-chr4-134683033-16	chr4	134682785	134683359	+	0.000	0.000	Merged-chr4-134683033-16
Merged-chr13-5956279-20	chr13	5956088	5956497	+	0.000	0.000	Merged-chr13-5956279-20
Merged-chr2-25224699-69	chr2	25224461	25224875	+	0.000	0.000	Merged-chr2-25224699-69
Merged-chr5-124029380-3	chr5	124029252	124029520	+	0.000	0.000	Merged-chr5-124029380-3
Merged-chr14-78733697-3	chr14	78733502	78733938	+	0.000	0.000	Merged-chr14-78733697-3
Merged-chr5-8722882-18	chr5	8722631	8723242	+	0.000	0.000	Merged-chr5-8722882-18
Merged-chr7-88318941-12	chr7	88318774	88319213	+	0.000	0.000	Merged-chr7-88318941-12
Merged-chr13-13582107-29	chr13	13581776	13582307	+	0.000	0.000	Merged-chr13-13582107-29
Merged-chr5-140609850-28	chr5	140609569	140610273	+	0.000	0.000	Merged-chr5-140609850-28
Merged-chr15-31222442-41	chr15	31222061	31222658	+	0.000	0.000	Merged-chr15-31222442-41
Merged-chr17-79354846-10	chr17	79354706	79354992	+	0.000	0.000	Merged-chr17-79354846-10
Merged-chr15-34237471-2	chr15	34237330	34237614	+	0.000	0.000	Merged-chr15-34237471-2
Merged-chr3-40800246-87	chr3	40799963	40800487	+	0.000	0.000	Merged-chr3-40800246-87
Merged-chr14-120479008-3	chr14	120478881	120479167	+	0.000	0.000	Merged-chr14-120479008-3
Merged-chr2-25180911-83	chr2	25180468	25181351	+	0.000	0.000	Merged-chr2-25180911-83
Merged-chr9-94078373-1	chr9	94078275	94078473	+	0.000	0.000	Merged-chr9-94078373-1
Merged-chr2-3284320-138	chr2	3283894	3284581	+	0.000	0.000	Merged-chr2-3284320-138
Merged-chr5-32104376-51	chr5	32104173	32104605	+	0.000	0.000	Merged-chr5-32104376-51
Merged-chr10-117864903-52	chr10	117864576	117865207	+	0.000	0.000	Merged-chr10-117864903-52
Merged-chr7-126759483-50	chr7	126759047	126759799	+	0.000	0.000	Merged-chr7-126759483-50
Merged-chr10-17946175-1	chr10	17946077	17946275	+	0.000	0.000	Merged-chr10-17946175-1
Merged-chr3-107754801-18	chr3	107754612	107755022	+	0.000	0.000	Merged-chr3-107754801-18
Merged-chr6-51509825-65	chr6	51509296	51510323	+	0.000	0.000	Merged-chr6-51509825-65
Merged-chr11-46421538-60	chr11	46421244	46421869	+	0.000	0.000	Merged-chr11-46421538-60
Merged-chr13-107874570-1	chr13	107874472	107874670	+	0.000	0.000	Merged-chr13-107874570-1
Merged-chr10-7667535-49	chr10	7667290	7667802	+	0.000	0.000	Merged-chr10-7667535-49
Merged-chr19-10881723-47	chr19	10881316	10881996	+	0.000	0.000	Merged-chr19-10881723-47
Merged-chr13-12565989-76	chr13	12565569	12566223	+	0.000	0.000	Merged-chr13-12565989-76
Merged-chr4-103093936-18	chr4	103093762	103094123	+	0.000	0.000	Merged-chr4-103093936-18
Merged-chr1-161761657-43	chr1	161761506	161761815	+	0.000	0.000	Merged-chr1-161761657-43
Merged-chr10-117906589-68	chr10	117906235	117906855	+	0.000	0.000	Merged-chr10-117906589-68
Merged-chr17-86801996-47	chr17	86801737	86802259	+	0.000	0.000	Merged-chr17-86801996-47
Merged-chr15-96778537-47	chr15	96778299	96778738	+	0.000	0.000	Merged-chr15-96778537-47
Merged-chr1-120265266-63	chr1	120265001	120265528	+	0.000	0.000	Merged-chr1-120265266-63
Merged-chr4-134714108-20	chr4	134713878	134714503	+	0.000	0.000	Merged-chr4-134714108-20
Merged-chr15-75085658-7	chr15	75085533	75085793	+	0.000	0.000	Merged-chr15-75085658-7
Merged-chr5-100713876-4	chr5	100713724	100714006	+	0.000	0.000	Merged-chr5-100713876-4
Merged-chr1-93343253-109	chr1	93343020	93343698	+	0.000	0.000	Merged-chr1-93343253-109
Merged-chr1-65179947-8	chr1	65179773	65180094	+	0.000	0.000	Merged-chr1-65179947-8
Merged-chr13-24988665-13	chr13	24988405	24988850	+	0.000	0.000	Merged-chr13-24988665-13
Merged-chr1-151564558-27	chr1	151564316	151564772	+	0.000	0.000	Merged-chr1-151564558-27
Merged-chr19-40721772-1	chr19	40721674	40721872	+	0.000	0.000	Merged-chr19-40721772-1
Merged-chr8-124314112-1	chr8	124314014	124314212	+	0.000	0.000	Merged-chr8-124314112-1
Merged-chr7-19910963-25	chr7	19910748	19911205	+	0.000	0.000	Merged-chr7-19910963-25
Merged-chr1-43482907-14	chr1	43482715	43483139	+	0.000	0.000	Merged-chr1-43482907-14
Merged-chr1-119837262-93	chr1	119836712	119837654	+	0.000	0.000	Merged-chr1-119837262-93
Merged-chr13-5864867-1	chr13	5864769	5864967	+	0.000	0.000	Merged-chr13-5864867-1
Merged-chr7-112307932-1	chr7	112307834	112308032	+	0.000	0.000	Merged-chr7-112307932-1
Merged-chr4-145224828-1	chr4	145224730	145224928	+	0.000	0.000	Merged-chr4-145224828-1
Merged-chr5-66075257-56	chr5	66075054	66075455	+	0.000	0.000	Merged-chr5-66075257-56
Merged-chr13-107866970-30	chr13	107866717	107867223	+	0.000	0.000	Merged-chr13-107866970-30
Merged-chr10-117843991-52	chr10	117843698	117844243	+	0.000	0.000	Merged-chr10-117843991-52
Merged-chr3-109027393-92	chr3	109027029	109027942	+	0.000	0.000	Merged-chr3-109027393-92
Merged-chr2-103684902-15	chr2	103684523	103685388	+	0.000	0.000	Merged-chr2-103684902-15
Merged-chr2-121514944-1	chr2	121514846	121515044	+	0.000	0.000	Merged-chr2-121514944-1
Merged-chr7-13302226-5	chr7	13302016	13302396	+	0.000	0.000	Merged-chr7-13302226-5
Merged-chr4-9642211-13	chr4	9641963	9642524	+	0.000	0.000	Merged-chr4-9642211-13
Merged-chr16-64799944-2	chr16	64799846	64800044	+	0.000	0.000	Merged-chr16-64799944-2
Merged-chr4-41773141-1	chr4	41773043	41773241	+	0.000	0.000	Merged-chr4-41773141-1
Merged-chr2-18343725-11	chr2	18343533	18343954	+	0.000	0.000	Merged-chr2-18343725-11
Merged-chr11-107470208-115	chr11	107469002	107470994	+	0.000	0.000	Merged-chr11-107470208-115
Merged-chr15-55906443-143	chr15	55905906	55906722	+	0.000	0.000	Merged-chr15-55906443-143
Merged-chr10-83140838-15	chr10	83140684	83140984	+	0.000	0.000	Merged-chr10-83140838-15
Merged-chr19-40722467-30	chr19	40722145	40722722	+	0.000	0.000	Merged-chr19-40722467-30
Merged-chr19-40737260-25	chr19	40737099	40737442	+	0.000	0.000	Merged-chr19-40737260-25
Merged-chr4-15286136-5	chr4	15285999	15286267	+	0.000	0.000	Merged-chr4-15286136-5
Merged-chr2-163719480-37	chr2	163719275	163719678	+	0.000	0.000	Merged-chr2-163719480-37
Merged-chr15-80012139-10	chr15	80011970	80012339	+	0.000	0.000	Merged-chr15-80012139-10
Merged-chr1-153101655-26	chr1	153101461	153101876	+	0.000	0.000	Merged-chr1-153101655-26
Merged-chr1-75218362-9	chr1	75218117	75218609	+	0.000	0.000	Merged-chr1-75218362-9
Merged-chr13-95712941-67	chr13	95712525	95713165	+	0.000	0.000	Merged-chr13-95712941-67
Merged-chr9-78732444-13	chr9	78732176	78732634	+	0.000	0.000	Merged-chr9-78732444-13
Merged-chr2-152029501-52	chr2	152029130	152029936	+	0.000	0.000	Merged-chr2-152029501-52
Merged-chr15-80611666-31	chr15	80611442	80611901	+	0.000	0.000	Merged-chr15-80611666-31
Merged-chr3-19258744-53	chr3	19258487	19259052	+	0.000	0.000	Merged-chr3-19258744-53
Merged-chr14-47418232-53	chr14	47417962	47418489	+	0.000	0.000	Merged-chr14-47418232-53
Merged-chr10-99107593-160	chr10	99107363	99107844	+	0.000	0.000	Merged-chr10-99107593-160
Merged-chr10-111532370-8	chr10	111532212	111532523	+	0.000	0.000	Merged-chr10-111532370-8
Merged-chr2-3285142-5	chr2	3285040	3285250	+	0.000	0.000	Merged-chr2-3285142-5
Merged-chr7-28605979-11	chr7	28605839	28606149	+	0.000	0.000	Merged-chr7-28605979-11
Merged-chr5-140271378-9	chr5	140271260	140271514	+	0.000	0.000	Merged-chr5-140271378-9
Merged-chr5-63906671-29	chr5	63906355	63906931	+	0.000	0.000	Merged-chr5-63906671-29
Merged-chr16-36720416-27	chr16	36720110	36720695	+	0.000	0.000	Merged-chr16-36720416-27
Merged-chr2-60757314-6	chr2	60757193	60757450	+	0.000	0.000	Merged-chr2-60757314-6
Merged-chr5-107061883-14	chr5	107061654	107062180	+	0.000	0.000	Merged-chr5-107061883-14
Merged-chr16-64723844-10	chr16	64723703	64724027	+	0.000	0.000	Merged-chr16-64723844-10
Merged-chr4-103113589-3	chr4	103113428	103113740	+	0.000	0.000	Merged-chr4-103113589-3
Merged-chr6-48725705-47	chr6	48725494	48726037	+	0.000	0.000	Merged-chr6-48725705-47
Merged-chr17-79346494-1	chr17	79346396	79346594	+	0.000	0.000	Merged-chr17-79346494-1
Merged-chr5-67404737-28	chr5	67404400	67405131	+	0.000	0.000	Merged-chr5-67404737-28
Merged-chr6-130235815-5	chr6	130235658	130235997	+	0.000	0.000	Merged-chr6-130235815-5
Merged-chr7-67372198-2	chr7	67372080	67372319	+	0.000	0.000	Merged-chr7-67372198-2
Merged-chr1-135132862-98	chr1	135132519	135133256	+	0.000	0.000	Merged-chr1-135132862-98
Merged-chr1-60567269-3	chr1	60567056	60567463	+	0.000	0.000	Merged-chr1-60567269-3
Merged-chr6-115853380-61	chr6	115853179	115853758	+	0.000	0.000	Merged-chr6-115853380-61
Merged-chr10-75893293-53	chr10	75893076	75893482	+	0.000	0.000	Merged-chr10-75893293-53
Merged-chr11-63914482-33	chr11	63914199	63914663	+	0.000	0.000	Merged-chr11-63914482-33
Merged-chr5-74205707-4	chr5	74205596	74205826	+	0.000	0.000	Merged-chr5-74205707-4
Merged-chr1-71037099-26	chr1	71036883	71037322	+	0.000	0.000	Merged-chr1-71037099-26
Merged-chr11-11772227-1	chr11	11772129	11772327	+	0.000	0.000	Merged-chr11-11772227-1
Merged-chr11-11776895-24	chr11	11776258	11777432	+	0.000	0.000	Merged-chr11-11776895-24
Merged-chr13-13538788-21	chr13	13538597	13539020	+	0.000	0.000	Merged-chr13-13538788-21
Merged-chr8-83997144-69	chr8	83996785	83997474	+	0.000	0.000	Merged-chr8-83997144-69
Merged-chr9-22388345-1	chr9	22388247	22388445	+	0.000	0.000	Merged-chr9-22388345-1
Merged-chr14-78611005-3	chr14	78610883	78611131	+	0.000	0.000	Merged-chr14-78611005-3
Merged-chr6-97531148-12	chr6	97530933	97531446	+	0.000	0.000	Merged-chr6-97531148-12
Merged-chr13-23555593-105	chr13	23555023	23555867	+	0.000	0.000	Merged-chr13-23555593-105
Merged-chr3-59261558-2	chr3	59261460	59261658	+	0.000	0.000	Merged-chr3-59261558-2
Merged-chr9-48740358-13	chr9	48740146	48740525	+	0.000	0.000	Merged-chr9-48740358-13
Merged-chr5-100476590-14	chr5	100476359	100476744	+	0.000	0.000	Merged-chr5-100476590-14
Merged-chr17-35731700-41	chr17	35731054	35732289	+	0.000	0.000	Merged-chr17-35731700-41
Merged-chr12-44209945-88	chr12	44209737	44210377	+	0.000	0.000	Merged-chr12-44209945-88
Merged-chr8-33599880-76	chr8	33599591	33600320	+	0.000	0.000	Merged-chr8-33599880-76
Merged-chr15-56047041-38	chr15	56046827	56047331	+	0.000	0.000	Merged-chr15-56047041-38
Merged-chr17-73891792-6	chr17	73891645	73891971	+	0.000	0.000	Merged-chr17-73891792-6
Merged-chr17-35837655-1	chr17	35837557	35837755	+	0.000	0.000	Merged-chr17-35837655-1
Merged-chr1-135725509-1	chr1	135725411	135725609	+	0.000	0.000	Merged-chr1-135725509-1
