#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_IV--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_Naive.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_Naive.dn.bed
Merged-chr14-7964637-21	chr14	7964455	7964885	+	0.000	0.000	Merged-chr14-7964637-21
Merged-chr3-121444097-11	chr3	121443637	121444598	+	0.000	0.000	Merged-chr3-121444097-11
Merged-chr1-191288953-28	chr1	191288659	191289134	+	0.000	0.000	Merged-chr1-191288953-28
Merged-chr7-49451105-18	chr7	49450562	49451655	+	0.000	0.000	Merged-chr7-49451105-18
Merged-chr19-5823518-15	chr19	5823305	5823711	+	0.000	0.000	Merged-chr19-5823518-15
Merged-chr4-16254823-5	chr4	16254648	16254962	+	0.000	0.000	Merged-chr4-16254823-5
Merged-chr15-36396472-80	chr15	36396025	36396897	+	0.000	0.000	Merged-chr15-36396472-80
Merged-chr14-14632490-1	chr14	14632392	14632590	+	0.000	0.000	Merged-chr14-14632490-1
Merged-chr9-25173461-5	chr9	25173206	25173640	+	0.000	0.000	Merged-chr9-25173461-5
Merged-chr1-91459490-61	chr1	91459176	91459727	+	0.000	0.000	Merged-chr1-91459490-61
Merged-chr15-36397113-3	chr15	36396956	36397243	+	0.000	0.000	Merged-chr15-36397113-3
Merged-chr2-59203140-2	chr2	59203019	59203264	+	0.000	0.000	Merged-chr2-59203140-2
Merged-chr18-79366086-1	chr18	79365988	79366186	+	0.000	0.000	Merged-chr18-79366086-1
Merged-chr15-27926448-169	chr15	27925469	27927245	+	0.000	0.000	Merged-chr15-27926448-169
Merged-chr5-122707725-80	chr5	122707507	122707955	+	0.000	0.000	Merged-chr5-122707725-80
Merged-chr18-54839071-1	chr18	54838973	54839171	+	0.000	0.000	Merged-chr18-54839071-1
Merged-chr2-174050373-2	chr2	174050208	174050541	+	0.000	0.000	Merged-chr2-174050373-2
Merged-chr16-30686693-12	chr16	30686544	30686918	+	0.000	0.000	Merged-chr16-30686693-12
Merged-chr13-112133906-22	chr13	112133710	112134152	+	0.000	0.000	Merged-chr13-112133906-22
Merged-chr9-34987227-2	chr9	34987057	34987400	+	0.000	0.000	Merged-chr9-34987227-2
Merged-chr13-100002073-34	chr13	100001868	100002261	+	0.000	0.000	Merged-chr13-100002073-34
Merged-chrX-12080672-46	chrX	12080179	12081271	+	0.000	0.000	Merged-chrX-12080672-46
Merged-chr5-89900078-10	chr5	89899742	89900409	+	0.000	0.000	Merged-chr5-89900078-10
Merged-chr19-4100140-2	chr19	4099991	4100291	+	0.000	0.000	Merged-chr19-4100140-2
Merged-chr7-132430450-1	chr7	132430352	132430550	+	0.000	0.000	Merged-chr7-132430450-1
Merged-chr5-107289121-92	chr5	107288833	107289597	+	0.000	0.000	Merged-chr5-107289121-92
Merged-chr9-34996088-18	chr9	34995856	34996385	+	0.000	0.000	Merged-chr9-34996088-18
Merged-chr15-36521520-11	chr15	36521352	36521671	+	0.000	0.000	Merged-chr15-36521520-11
Merged-chr5-120747462-1	chr5	120747364	120747562	+	0.000	0.000	Merged-chr5-120747462-1
Merged-chr15-64285392-6	chr15	64285236	64285557	+	0.000	0.000	Merged-chr15-64285392-6
Merged-chr12-80113137-75	chr12	80112945	80113476	+	0.000	0.000	Merged-chr12-80113137-75
Merged-chr19-12488322-25	chr19	12488095	12488559	+	0.000	0.000	Merged-chr19-12488322-25
Merged-chr16-97313121-43	chr16	97312793	97313698	+	0.000	0.000	Merged-chr16-97313121-43
Merged-chr3-95995239-3	chr3	95995109	95995374	+	0.000	0.000	Merged-chr3-95995239-3
Merged-chr8-81761666-20	chr8	81761495	81761840	+	0.000	0.000	Merged-chr8-81761666-20
Merged-chr18-34840702-39	chr18	34840356	34841188	+	0.000	0.000	Merged-chr18-34840702-39
Merged-chr4-10919191-12	chr4	10918933	10919412	+	0.000	0.000	Merged-chr4-10919191-12
Merged-chr4-95490410-1	chr4	95490312	95490510	+	0.000	0.000	Merged-chr4-95490410-1
Merged-chr7-128382170-51	chr7	128381823	128382531	+	0.000	0.000	Merged-chr7-128382170-51
Merged-chr10-12813028-5	chr10	12812758	12813258	+	0.000	0.000	Merged-chr10-12813028-5
Merged-chr9-50768250-64	chr9	50768049	50768501	+	0.000	0.000	Merged-chr9-50768250-64
Merged-chr12-8351458-49	chr12	8351180	8351772	+	0.000	0.000	Merged-chr12-8351458-49
Merged-chr15-36474869-12	chr15	36474623	36475104	+	0.000	0.000	Merged-chr15-36474869-12
Merged-chr13-93498486-2	chr13	93498375	93498599	+	0.000	0.000	Merged-chr13-93498486-2
Merged-chr2-172937621-25	chr2	172937458	172937777	+	0.000	0.000	Merged-chr2-172937621-25
Merged-chr10-43478998-1	chr10	43478900	43479098	+	0.000	0.000	Merged-chr10-43478998-1
Merged-chr17-65724346-42	chr17	65724071	65724723	+	0.000	0.000	Merged-chr17-65724346-42
Merged-chr19-5742004-5	chr19	5741822	5742161	+	0.000	0.000	Merged-chr19-5742004-5
Merged-chr12-52701322-34	chr12	52701105	52701698	+	0.000	0.000	Merged-chr12-52701322-34
Merged-chr13-73469751-49	chr13	73469500	73470002	+	0.000	0.000	Merged-chr13-73469751-49
Merged-chr6-99521786-49	chr6	99521041	99522279	+	0.000	0.000	Merged-chr6-99521786-49
Merged-chr7-4949541-1	chr7	4949443	4949641	+	0.000	0.000	Merged-chr7-4949541-1
Merged-chr2-135648236-1	chr2	135648138	135648336	+	0.000	0.000	Merged-chr2-135648236-1
Merged-chr12-86047582-19	chr12	86047237	86047856	+	0.000	0.000	Merged-chr12-86047582-19
Merged-chr15-25623101-2	chr15	25623003	25623201	+	0.000	0.000	Merged-chr15-25623101-2
Merged-chr5-114356887-29	chr5	114356600	114357216	+	0.000	0.000	Merged-chr5-114356887-29
Merged-chr14-52141237-71	chr14	52140442	52141707	+	0.000	0.000	Merged-chr14-52141237-71
Merged-chr13-99398640-45	chr13	99398089	99399362	+	0.000	0.000	Merged-chr13-99398640-45
Merged-chr19-29064177-55	chr19	29063927	29064414	+	0.000	0.000	Merged-chr19-29064177-55
Merged-chr2-117342772-139	chr2	117342431	117343016	+	0.000	0.000	Merged-chr2-117342772-139
Merged-chr2-103566209-140	chr2	103565642	103566785	+	0.000	0.000	Merged-chr2-103566209-140
Merged-chr6-59412569-64	chr6	59412200	59412967	+	0.000	0.000	Merged-chr6-59412569-64
Merged-chr12-80114436-28	chr12	80114168	80114624	+	0.000	0.000	Merged-chr12-80114436-28
Merged-chr5-118069472-39	chr5	118069193	118069693	+	0.000	0.000	Merged-chr5-118069472-39
Merged-chr15-93751087-35	chr15	93750893	93751279	+	0.000	0.000	Merged-chr15-93751087-35
Merged-chr10-67898474-11	chr10	67898298	67898741	+	0.000	0.000	Merged-chr10-67898474-11
Merged-chr4-6963700-17	chr4	6963498	6963915	+	0.000	0.000	Merged-chr4-6963700-17
Merged-chr10-96618337-31	chr10	96618073	96618537	+	0.000	0.000	Merged-chr10-96618337-31
Merged-chr3-121950760-1	chr3	121950662	121950860	+	0.000	0.000	Merged-chr3-121950760-1
Merged-chr7-142968090-41	chr7	142967754	142968407	+	0.000	0.000	Merged-chr7-142968090-41
Merged-chr12-69724305-1	chr12	69724207	69724405	+	0.000	0.000	Merged-chr12-69724305-1
Merged-chr4-6958431-33	chr4	6958131	6958844	+	0.000	0.000	Merged-chr4-6958431-33
Merged-chr5-107148487-19	chr5	107148311	107148692	+	0.000	0.000	Merged-chr5-107148487-19
Merged-chr7-44246733-118	chr7	44246482	44247003	+	0.000	0.000	Merged-chr7-44246733-118
Merged-chr8-84985409-5	chr8	84985257	84985545	+	0.000	0.000	Merged-chr8-84985409-5
Merged-chr3-159840263-108	chr3	159839531	159840660	+	0.000	0.000	Merged-chr3-159840263-108
Merged-chr2-60019234-65	chr2	60018940	60019504	+	0.000	0.000	Merged-chr2-60019234-65
Merged-chr1-134561420-1	chr1	134561322	134561520	+	0.000	0.000	Merged-chr1-134561420-1
Merged-chr7-28371731-2	chr7	28371629	28371835	+	0.000	0.000	Merged-chr7-28371731-2
Merged-chr5-64806242-38	chr5	64806009	64806419	+	0.000	0.000	Merged-chr5-64806242-38
Merged-chr10-20948545-7	chr10	20948367	20948744	+	0.000	0.000	Merged-chr10-20948545-7
Merged-chr5-36946571-4	chr5	36946442	36946703	+	0.000	0.000	Merged-chr5-36946571-4
Merged-chr1-128602708-8	chr1	128602416	128602942	+	0.000	0.000	Merged-chr1-128602708-8
Merged-chr16-48760801-13	chr16	48760639	48761025	+	0.000	0.000	Merged-chr16-48760801-13
Merged-chr1-52500431-96	chr1	52499834	52500993	+	0.000	0.000	Merged-chr1-52500431-96
Merged-chr10-96822645-10	chr10	96822274	96822901	+	0.000	0.000	Merged-chr10-96822645-10
Merged-chr4-149896301-4	chr4	149896165	149896423	+	0.000	0.000	Merged-chr4-149896301-4
Merged-chr6-59417759-25	chr6	59417538	59417951	+	0.000	0.000	Merged-chr6-59417759-25
Merged-chr8-119424922-1	chr8	119424824	119425022	+	0.000	0.000	Merged-chr8-119424922-1
Merged-chr6-90810191-40	chr6	90809967	90810404	+	0.000	0.000	Merged-chr6-90810191-40
Merged-chr16-94383515-34	chr16	94383260	94383744	+	0.000	0.000	Merged-chr16-94383515-34
Merged-chr13-63568451-1	chr13	63568353	63568551	+	0.000	0.000	Merged-chr13-63568451-1
Merged-chr2-84455319-48	chr2	84454995	84455598	+	0.000	0.000	Merged-chr2-84455319-48
Merged-chrX-151344372-127	chrX	151344172	151344550	+	0.000	0.000	Merged-chrX-151344372-127
Merged-chr7-39518107-73	chr7	39517642	39519011	+	0.000	0.000	Merged-chr7-39518107-73
Merged-chr6-99249838-17	chr6	99249558	99250132	+	0.000	0.000	Merged-chr6-99249838-17
Merged-chr1-52389023-12	chr1	52388841	52389200	+	0.000	0.000	Merged-chr1-52389023-12
Merged-chrX-9662792-75	chrX	9662541	9663117	+	0.000	0.000	Merged-chrX-9662792-75
Merged-chr8-40610083-54	chr8	40609886	40610262	+	0.000	0.000	Merged-chr8-40610083-54
Merged-chr12-40580480-3	chr12	40580277	40580684	+	0.000	0.000	Merged-chr12-40580480-3
Merged-chr10-99220538-1	chr10	99220440	99220638	+	0.000	0.000	Merged-chr10-99220538-1
Merged-chr7-101422737-10	chr7	101422337	101423030	+	0.000	0.000	Merged-chr7-101422737-10
Merged-chr9-89909785-17	chr9	89909391	89910046	+	0.000	0.000	Merged-chr9-89909785-17
Merged-chr9-108338566-1	chr9	108338468	108338666	+	0.000	0.000	Merged-chr9-108338566-1
Merged-chr11-113472415-1	chr11	113472317	113472515	+	0.000	0.000	Merged-chr11-113472415-1
Merged-chr3-55635835-3	chr3	55635714	55635958	+	0.000	0.000	Merged-chr3-55635835-3
Merged-chr17-74754654-12	chr17	74754374	74754852	+	0.000	0.000	Merged-chr17-74754654-12
Merged-chr16-92038114-2	chr16	92037996	92038234	+	0.000	0.000	Merged-chr16-92038114-2
Merged-chr12-14152213-14	chr12	14151912	14152718	+	0.000	0.000	Merged-chr12-14152213-14
Merged-chr2-174018150-40	chr2	174017965	174018428	+	0.000	0.000	Merged-chr2-174018150-40
Merged-chr12-80115176-7	chr12	80115026	80115346	+	0.000	0.000	Merged-chr12-80115176-7
Merged-chr8-81491424-1	chr8	81491326	81491524	+	0.000	0.000	Merged-chr8-81491424-1
Merged-chr8-70601430-20	chr8	70601064	70601680	+	0.000	0.000	Merged-chr8-70601430-20
Merged-chr6-30738083-12	chr6	30737912	30738290	+	0.000	0.000	Merged-chr6-30738083-12
Merged-chr7-45704207-5	chr7	45704083	45704319	+	0.000	0.000	Merged-chr7-45704207-5
Merged-chr9-84030524-2	chr9	84030369	84030681	+	0.000	0.000	Merged-chr9-84030524-2
Merged-chr14-7937215-13	chr14	7936891	7937443	+	0.000	0.000	Merged-chr14-7937215-13
Merged-chr10-77033384-72	chr10	77033044	77033651	+	0.000	0.000	Merged-chr10-77033384-72
Merged-chr3-55600303-1	chr3	55600205	55600403	+	0.000	0.000	Merged-chr3-55600303-1
Merged-chr16-30768472-1	chr16	30768374	30768572	+	0.000	0.000	Merged-chr16-30768472-1
Merged-chr3-8968845-18	chr3	8968645	8969058	+	0.000	0.000	Merged-chr3-8968845-18
Merged-chr6-147573254-5	chr6	147573081	147573501	+	0.000	0.000	Merged-chr6-147573254-5
Merged-chr4-95663846-5	chr4	95663707	95663989	+	0.000	0.000	Merged-chr4-95663846-5
Merged-chr7-120843087-78	chr7	120842813	120843348	+	0.000	0.000	Merged-chr7-120843087-78
Merged-chr15-27828052-47	chr15	27827554	27828265	+	0.000	0.000	Merged-chr15-27828052-47
Merged-chr5-92381886-27	chr5	92381694	92382096	+	0.000	0.000	Merged-chr5-92381886-27
Merged-chr12-17568698-31	chr12	17568514	17568878	+	0.000	0.000	Merged-chr12-17568698-31
Merged-chr3-8963743-1	chr3	8963645	8963843	+	0.000	0.000	Merged-chr3-8963743-1
Merged-chr4-115085754-39	chr4	115085530	115085983	+	0.000	0.000	Merged-chr4-115085754-39
Merged-chr3-57843915-8	chr3	57843719	57844104	+	0.000	0.000	Merged-chr3-57843915-8
Merged-chr10-81248090-40	chr10	81247840	81248321	+	0.000	0.000	Merged-chr10-81248090-40
Merged-chr12-80111391-4	chr12	80111224	80111544	+	0.000	0.000	Merged-chr12-80111391-4
Merged-chr16-57473811-19	chr16	57473504	57474037	+	0.000	0.000	Merged-chr16-57473811-19
Merged-chr5-118087962-12	chr5	118087822	118088164	+	0.000	0.000	Merged-chr5-118087962-12
Merged-chr14-69823576-22	chr14	69823269	69823807	+	0.000	0.000	Merged-chr14-69823576-22
Merged-chr11-69233174-16	chr11	69232872	69233398	+	0.000	0.000	Merged-chr11-69233174-16
Merged-chr2-72145290-56	chr2	72144841	72145775	+	0.000	0.000	Merged-chr2-72145290-56
Merged-chr13-44733889-78	chr13	44733475	44734335	+	0.000	0.000	Merged-chr13-44733889-78
Merged-chr16-89960330-1	chr16	89960232	89960430	+	0.000	0.000	Merged-chr16-89960330-1
Merged-chr3-84314739-19	chr3	84314560	84314915	+	0.000	0.000	Merged-chr3-84314739-19
Merged-chr15-36499976-4	chr15	36499832	36500120	+	0.000	0.000	Merged-chr15-36499976-4
Merged-chr10-71348168-2	chr10	71348048	71348290	+	0.000	0.000	Merged-chr10-71348168-2
Merged-chr17-31039781-31	chr17	31039579	31040012	+	0.000	0.000	Merged-chr17-31039781-31
Merged-chr5-64780950-29	chr5	64780667	64781143	+	0.000	0.000	Merged-chr5-64780950-29
Merged-chr12-112629266-49	chr12	112628871	112629516	+	0.000	0.000	Merged-chr12-112629266-49
Merged-chr16-76333860-1	chr16	76333762	76333960	+	0.000	0.000	Merged-chr16-76333860-1
Merged-chr13-64429583-2	chr13	64429459	64429710	+	0.000	0.000	Merged-chr13-64429583-2
Merged-chr19-6976214-1	chr19	6976116	6976314	+	0.000	0.000	Merged-chr19-6976214-1
Merged-chr6-116632298-26	chr6	116632051	116632490	+	0.000	0.000	Merged-chr6-116632298-26
Merged-chr12-86046383-40	chr12	86046104	86046745	+	0.000	0.000	Merged-chr12-86046383-40
Merged-chr11-69409455-74	chr11	69409100	69409880	+	0.000	0.000	Merged-chr11-69409455-74
Merged-chr13-92636983-54	chr13	92636738	92637284	+	0.000	0.000	Merged-chr13-92636983-54
Merged-chr1-192790678-23	chr1	192790372	192790940	+	0.000	0.000	Merged-chr1-192790678-23
Merged-chr3-51701450-64	chr3	51700922	51701751	+	0.000	0.000	Merged-chr3-51701450-64
Merged-chr12-17724763-61	chr12	17724507	17724936	+	0.000	0.000	Merged-chr12-17724763-61
Merged-chr9-51239066-41	chr9	51238818	51239260	+	0.000	0.000	Merged-chr9-51239066-41
Merged-chr3-37225987-2	chr3	37225888	37226088	+	0.000	0.000	Merged-chr3-37225987-2
Merged-chr10-14208417-1	chr10	14208319	14208517	+	0.000	0.000	Merged-chr10-14208417-1
Merged-chr14-120352240-6	chr14	120352057	120352391	+	0.000	0.000	Merged-chr14-120352240-6
Merged-chr11-22164019-19	chr11	22163791	22164331	+	0.000	0.000	Merged-chr11-22164019-19
Merged-chr16-76562914-1	chr16	76562816	76563014	+	0.000	0.000	Merged-chr16-76562914-1
Merged-chr3-55422516-4	chr3	55422318	55422665	+	0.000	0.000	Merged-chr3-55422516-4
Merged-chr2-90890259-1	chr2	90890161	90890359	+	0.000	0.000	Merged-chr2-90890259-1
Merged-chr16-48769458-10	chr16	48769181	48769702	+	0.000	0.000	Merged-chr16-48769458-10
Merged-chr13-46780080-38	chr13	46779717	46780646	+	0.000	0.000	Merged-chr13-46780080-38
Merged-chr16-45224130-153	chr16	45223766	45224485	+	0.000	0.000	Merged-chr16-45224130-153
Merged-chr10-99417083-63	chr10	99416823	99417342	+	0.000	0.000	Merged-chr10-99417083-63
Merged-chr10-68154258-88	chr10	68153899	68154481	+	0.000	0.000	Merged-chr10-68154258-88
Merged-chr8-3248783-13	chr8	3248481	3248993	+	0.000	0.000	Merged-chr8-3248783-13
Merged-chr10-96635391-5	chr10	96635164	96635701	+	0.000	0.000	Merged-chr10-96635391-5
Merged-chr14-120372978-21	chr14	120372758	120373240	+	0.000	0.000	Merged-chr14-120372978-21
Merged-chr6-89632208-46	chr6	89631948	89632419	+	0.000	0.000	Merged-chr6-89632208-46
Merged-chr1-93512028-56	chr1	93511807	93512271	+	0.000	0.000	Merged-chr1-93512028-56
Merged-chr2-28540150-39	chr2	28539906	28540504	+	0.000	0.000	Merged-chr2-28540150-39
Merged-chr12-36474027-1	chr12	36473929	36474127	+	0.000	0.000	Merged-chr12-36474027-1
Merged-chr6-48771054-58	chr6	48770791	48771530	+	0.000	0.000	Merged-chr6-48771054-58
Merged-chr14-55540407-42	chr14	55540093	55540725	+	0.000	0.000	Merged-chr14-55540407-42
Merged-chr4-134750367-60	chr4	134749957	134750682	+	0.000	0.000	Merged-chr4-134750367-60
Merged-chr18-55337877-1	chr18	55337779	55337977	+	0.000	0.000	Merged-chr18-55337877-1
Merged-chr8-84709387-31	chr8	84709140	84709553	+	0.000	0.000	Merged-chr8-84709387-31
Merged-chr2-18998003-84	chr2	18997581	18998367	+	0.000	0.000	Merged-chr2-18998003-84
Merged-chr1-190875350-16	chr1	190875136	190875678	+	0.000	0.000	Merged-chr1-190875350-16
Merged-chr5-114922090-53	chr5	114921847	114922329	+	0.000	0.000	Merged-chr5-114922090-53
Merged-chr12-82139405-7	chr12	82139226	82139588	+	0.000	0.000	Merged-chr12-82139405-7
Merged-chr15-27937826-6	chr15	27937670	27937986	+	0.000	0.000	Merged-chr15-27937826-6
Merged-chr15-85043311-1	chr15	85043213	85043411	+	0.000	0.000	Merged-chr15-85043311-1
Merged-chr1-74083131-11	chr1	74082950	74083297	+	0.000	0.000	Merged-chr1-74083131-11
Merged-chr2-71041194-14	chr2	71041034	71041437	+	0.000	0.000	Merged-chr2-71041194-14
Merged-chr2-33354145-1	chr2	33354047	33354245	+	0.000	0.000	Merged-chr2-33354145-1
Merged-chr9-20975783-8	chr9	20975648	20975953	+	0.000	0.000	Merged-chr9-20975783-8
Merged-chr5-125016719-26	chr5	125016494	125016915	+	0.000	0.000	Merged-chr5-125016719-26
Merged-chr11-72176027-2	chr11	72175911	72176146	+	0.000	0.000	Merged-chr11-72176027-2
Merged-chr14-10430786-8	chr14	10430608	10430911	+	0.000	0.000	Merged-chr14-10430786-8
Merged-chr15-85250640-38	chr15	85250494	85250807	+	0.000	0.000	Merged-chr15-85250640-38
Merged-chr11-32199362-4	chr11	32199240	32199485	+	0.000	0.000	Merged-chr11-32199362-4
Merged-chr12-8313039-1	chr12	8312941	8313139	+	0.000	0.000	Merged-chr12-8313039-1
Merged-chr11-20332805-89	chr11	20332543	20333025	+	0.000	0.000	Merged-chr11-20332805-89
Merged-chr8-84998087-35	chr8	84997899	84998250	+	0.000	0.000	Merged-chr8-84998087-35
Merged-chr8-61239855-9	chr8	61239620	61240051	+	0.000	0.000	Merged-chr8-61239855-9
Merged-chr2-135957913-49	chr2	135957602	135958145	+	0.000	0.000	Merged-chr2-135957913-49
Merged-chr1-36068645-92	chr1	36068140	36069128	+	0.000	0.000	Merged-chr1-36068645-92
Merged-chr6-41558524-11	chr6	41558298	41558719	+	0.000	0.000	Merged-chr6-41558524-11
Merged-chr1-60416960-33	chr1	60416737	60417145	+	0.000	0.000	Merged-chr1-60416960-33
Merged-chr2-84481991-45	chr2	84481700	84482239	+	0.000	0.000	Merged-chr2-84481991-45
Merged-chr11-88455019-1	chr11	88454921	88455119	+	0.000	0.000	Merged-chr11-88455019-1
Merged-chr8-81736050-71	chr8	81735726	81736338	+	0.000	0.000	Merged-chr8-81736050-71
Merged-chr5-123314213-3	chr5	123314081	123314341	+	0.000	0.000	Merged-chr5-123314213-3
Merged-chr5-143630947-39	chr5	143630719	143631189	+	0.000	0.000	Merged-chr5-143630947-39
Merged-chr3-63919841-19	chr3	63919654	63920144	+	0.000	0.000	Merged-chr3-63919841-19
Merged-chr5-103459309-20	chr5	103459072	103459564	+	0.000	0.000	Merged-chr5-103459309-20
Merged-chr1-181017150-106	chr1	181016602	181017657	+	0.000	0.000	Merged-chr1-181017150-106
Merged-chr1-92080187-57	chr1	92079936	92080528	+	0.000	0.000	Merged-chr1-92080187-57
Merged-chr5-65881132-7	chr5	65880865	65881455	+	0.000	0.000	Merged-chr5-65881132-7
Merged-chr6-125219300-1	chr6	125219202	125219400	+	0.000	0.000	Merged-chr6-125219300-1
Merged-chr5-125158641-59	chr5	125158406	125158921	+	0.000	0.000	Merged-chr5-125158641-59
Merged-chr11-97030056-43	chr11	97029855	97030292	+	0.000	0.000	Merged-chr11-97030056-43
Merged-chr7-49802865-9	chr7	49802670	49803096	+	0.000	0.000	Merged-chr7-49802865-9
Merged-chr15-72810099-125	chr15	72809550	72810496	+	0.000	0.000	Merged-chr15-72810099-125
Merged-chr4-86886222-78	chr4	86885915	86886586	+	0.000	0.000	Merged-chr4-86886222-78
Merged-chr7-30322363-141	chr7	30321996	30322617	+	0.000	0.000	Merged-chr7-30322363-141
Merged-chr10-17728854-10	chr10	17728649	17729025	+	0.000	0.000	Merged-chr10-17728854-10
Merged-chr13-92615338-2	chr13	92615222	92615456	+	0.000	0.000	Merged-chr13-92615338-2
Merged-chr11-60330779-5	chr11	60330643	60330927	+	0.000	0.000	Merged-chr11-60330779-5
Merged-chr18-14783377-95	chr18	14783004	14783617	+	0.000	0.000	Merged-chr18-14783377-95
Merged-chr4-7207158-12	chr4	7206926	7207361	+	0.000	0.000	Merged-chr4-7207158-12
Merged-chr10-128934578-1	chr10	128934480	128934678	+	0.000	0.000	Merged-chr10-128934578-1
Merged-chr14-52316174-44	chr14	52315934	52316475	+	0.000	0.000	Merged-chr14-52316174-44
Merged-chr7-141072410-71	chr7	141072229	141072623	+	0.000	0.000	Merged-chr7-141072410-71
Merged-chr2-169409438-1	chr2	169409340	169409538	+	0.000	0.000	Merged-chr2-169409438-1
Merged-chr2-140066734-59	chr2	140066472	140066946	+	0.000	0.000	Merged-chr2-140066734-59
Merged-chr13-93554105-5	chr13	93553872	93554264	+	0.000	0.000	Merged-chr13-93554105-5
Merged-chr9-70094753-12	chr9	70094537	70095048	+	0.000	0.000	Merged-chr9-70094753-12
Merged-chr13-58072674-2	chr13	58072487	58072864	+	0.000	0.000	Merged-chr13-58072674-2
Merged-chr11-77348681-109	chr11	77347890	77349335	+	0.000	0.000	Merged-chr11-77348681-109
Merged-chr17-56443573-18	chr17	56443379	56443805	+	0.000	0.000	Merged-chr17-56443573-18
Merged-chr14-61682596-69	chr14	61682272	61682995	+	0.000	0.000	Merged-chr14-61682596-69
Merged-chr18-49979677-114	chr18	49979158	49980155	+	0.000	0.000	Merged-chr18-49979677-114
Merged-chr7-64158985-48	chr7	64158670	64159267	+	0.000	0.000	Merged-chr7-64158985-48
Merged-chr2-174612913-27	chr2	174612687	174613191	+	0.000	0.000	Merged-chr2-174612913-27
Merged-chr4-6965504-3	chr4	6965333	6965650	+	0.000	0.000	Merged-chr4-6965504-3
Merged-chr1-35652992-2	chr1	35652894	35653092	+	0.000	0.000	Merged-chr1-35652992-2
Merged-chr18-79298014-36	chr18	79297813	79298211	+	0.000	0.000	Merged-chr18-79298014-36
Merged-chr10-17540117-1	chr10	17540019	17540217	+	0.000	0.000	Merged-chr10-17540117-1
Merged-chr17-70849864-58	chr17	70849449	70850396	+	0.000	0.000	Merged-chr17-70849864-58
Merged-chr15-53140511-27	chr15	53140276	53140743	+	0.000	0.000	Merged-chr15-53140511-27
Merged-chr10-59335139-1	chr10	59335041	59335239	+	0.000	0.000	Merged-chr10-59335139-1
Merged-chr6-59426111-89	chr6	59425866	59426551	+	0.000	0.000	Merged-chr6-59426111-89
Merged-chr11-6568162-40	chr11	6567948	6568403	+	0.000	0.000	Merged-chr11-6568162-40
Merged-chr6-142528004-10	chr6	142527753	142528192	+	0.000	0.000	Merged-chr6-142528004-10
Merged-chr3-154509671-9	chr3	154509498	154509840	+	0.000	0.000	Merged-chr3-154509671-9
Merged-chr5-65866574-1	chr5	65866476	65866674	+	0.000	0.000	Merged-chr5-65866574-1
Merged-chr17-23841285-7	chr17	23841122	23841446	+	0.000	0.000	Merged-chr17-23841285-7
Merged-chr15-36346245-49	chr15	36346000	36346440	+	0.000	0.000	Merged-chr15-36346245-49
Merged-chr7-16175293-44	chr7	16174863	16175619	+	0.000	0.000	Merged-chr7-16175293-44
Merged-chr2-117333794-2	chr2	117333665	117333926	+	0.000	0.000	Merged-chr2-117333794-2
Merged-chr17-56325890-57	chr17	56325664	56326067	+	0.000	0.000	Merged-chr17-56325890-57
Merged-chr7-68139606-11	chr7	68139435	68139768	+	0.000	0.000	Merged-chr7-68139606-11
Merged-chr6-37401015-8	chr6	37400809	37401242	+	0.000	0.000	Merged-chr6-37401015-8
Merged-chr1-164457333-1	chr1	164457235	164457433	+	0.000	0.000	Merged-chr1-164457333-1
Merged-chr10-81268235-12	chr10	81268118	81268355	+	0.000	0.000	Merged-chr10-81268235-12
Merged-chr6-125260143-17	chr6	125259981	125260341	+	0.000	0.000	Merged-chr6-125260143-17
Merged-chr2-144636109-46	chr2	144635918	144636393	+	0.000	0.000	Merged-chr2-144636109-46
Merged-chr6-128760193-2	chr6	128760057	128760332	+	0.000	0.000	Merged-chr6-128760193-2
Merged-chr12-85477740-7	chr12	85477632	85477844	+	0.000	0.000	Merged-chr12-85477740-7
Merged-chr1-78658063-75	chr1	78657740	78658447	+	0.000	0.000	Merged-chr1-78658063-75
Merged-chr18-37751717-34	chr18	37751549	37751920	+	0.000	0.000	Merged-chr18-37751717-34
Merged-chr19-60755904-7	chr19	60755732	60756075	+	0.000	0.000	Merged-chr19-60755904-7
Merged-chr17-6055126-17	chr17	6054968	6055347	+	0.000	0.000	Merged-chr17-6055126-17
Merged-chr10-95894302-1	chr10	95894204	95894402	+	0.000	0.000	Merged-chr10-95894302-1
Merged-chr2-49620151-3	chr2	49620053	49620251	+	0.000	0.000	Merged-chr2-49620151-3
Merged-chr6-37464263-62	chr6	37463984	37464497	+	0.000	0.000	Merged-chr6-37464263-62
Merged-chr4-33983877-2	chr4	33983741	33984015	+	0.000	0.000	Merged-chr4-33983877-2
Merged-chr16-33499243-20	chr16	33499024	33499518	+	0.000	0.000	Merged-chr16-33499243-20
Merged-chr1-92180417-91	chr1	92179956	92180791	+	0.000	0.000	Merged-chr1-92180417-91
Merged-chr3-131159676-35	chr3	131159351	131160161	+	0.000	0.000	Merged-chr3-131159676-35
Merged-chr6-145002461-23	chr6	145002226	145002752	+	0.000	0.000	Merged-chr6-145002461-23
