#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/6_GeneGroupMotifAnalysis/byGroup/bed/Group_III--ATAC_peaks.bed all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	all.df.numx.c5-Bcl6KO_Th1_vs_WT_Tfh.dn.bed
Merged-chr11-4339426-10	chr11	4339178	4339775	+	0.000	0.000	Merged-chr11-4339426-10
Merged-chr9-14201080-12	chr9	14200879	14201479	+	0.000	0.000	Merged-chr9-14201080-12
Merged-chr9-38727917-2	chr9	38727729	38728107	+	0.000	0.000	Merged-chr9-38727917-2
Merged-chr18-46574183-54	chr18	46573972	46574445	+	0.000	0.000	Merged-chr18-46574183-54
Merged-chr13-4771617-34	chr13	4771429	4771832	+	0.000	0.000	Merged-chr13-4771617-34
Merged-chr3-52272680-5	chr3	52272542	52272859	+	0.000	0.000	Merged-chr3-52272680-5
Merged-chr16-38761036-6	chr16	38760716	38761251	+	0.000	0.000	Merged-chr16-38761036-6
Merged-chr4-144907129-1	chr4	144907031	144907229	+	0.000	0.000	Merged-chr4-144907129-1
Merged-chr13-30192249-19	chr13	30192012	30192445	+	0.000	0.000	Merged-chr13-30192249-19
Merged-chr16-38742658-84	chr16	38742139	38743068	+	0.000	0.000	Merged-chr16-38742658-84
Merged-chr16-10744424-15	chr16	10744214	10744639	+	0.000	0.000	Merged-chr16-10744424-15
Merged-chr19-46042474-4	chr19	46042271	46042619	+	0.000	0.000	Merged-chr19-46042474-4
Merged-chr13-30166672-75	chr13	30166323	30167136	+	0.000	0.000	Merged-chr13-30166672-75
Merged-chr16-14350919-24	chr16	14350711	14351164	+	0.000	0.000	Merged-chr16-14350919-24
Merged-chr13-116711857-1	chr13	116711759	116711957	+	0.000	0.000	Merged-chr13-116711857-1
Merged-chr1-189917417-5	chr1	189917242	189917620	+	0.000	0.000	Merged-chr1-189917417-5
Merged-chr14-118655155-1	chr14	118655057	118655255	+	0.000	0.000	Merged-chr14-118655155-1
Merged-chr2-17741101-1	chr2	17741003	17741201	+	0.000	0.000	Merged-chr2-17741101-1
Merged-chr2-77270925-54	chr2	77270277	77271276	+	0.000	0.000	Merged-chr2-77270925-54
Merged-chr12-116049840-17	chr12	116049503	116050078	+	0.000	0.000	Merged-chr12-116049840-17
Merged-chr14-122807151-20	chr14	122806893	122807415	+	0.000	0.000	Merged-chr14-122807151-20
Merged-chr4-32258239-72	chr4	32258006	32258521	+	0.000	0.000	Merged-chr4-32258239-72
Merged-chr2-21205632-118	chr2	21205417	21205828	+	0.000	0.000	Merged-chr2-21205632-118
Merged-chr6-67475756-29	chr6	67475493	67476019	+	0.000	0.000	Merged-chr6-67475756-29
Merged-chr3-116512239-1	chr3	116512141	116512339	+	0.000	0.000	Merged-chr3-116512239-1
Merged-chr4-128811652-46	chr4	128811395	128811913	+	0.000	0.000	Merged-chr4-128811652-46
Merged-chr12-52552304-7	chr12	52552173	52552434	+	0.000	0.000	Merged-chr12-52552304-7
Merged-chr17-15804141-1	chr17	15804043	15804241	+	0.000	0.000	Merged-chr17-15804141-1
Merged-chr16-91551484-1	chr16	91551386	91551584	+	0.000	0.000	Merged-chr16-91551484-1
Merged-chr9-14463327-1	chr9	14463229	14463427	+	0.000	0.000	Merged-chr9-14463327-1
Merged-chr10-130313729-35	chr10	130313443	130314040	+	0.000	0.000	Merged-chr10-130313729-35
Merged-chr10-115394911-1	chr10	115394813	115395011	+	0.000	0.000	Merged-chr10-115394911-1
Merged-chr3-129831268-81	chr3	129831046	129831559	+	0.000	0.000	Merged-chr3-129831268-81
Merged-chr6-125468241-50	chr6	125467876	125468789	+	0.000	0.000	Merged-chr6-125468241-50
Merged-chr4-134483836-10	chr4	134483619	134484206	+	0.000	0.000	Merged-chr4-134483836-10
Merged-chr12-36134299-2	chr12	36134162	36134439	+	0.000	0.000	Merged-chr12-36134299-2
Merged-chr7-73584611-15	chr7	73584330	73585004	+	0.000	0.000	Merged-chr7-73584611-15
Merged-chr17-35194472-47	chr17	35194234	35194794	+	0.000	0.000	Merged-chr17-35194472-47
Merged-chr15-12322339-4	chr15	12322230	12322451	+	0.000	0.000	Merged-chr15-12322339-4
Merged-chr4-123416422-1	chr4	123416324	123416522	+	0.000	0.000	Merged-chr4-123416422-1
Merged-chr14-121798052-125	chr14	121797771	121798264	+	0.000	0.000	Merged-chr14-121798052-125
Merged-chr1-82900738-32	chr1	82900482	82901059	+	0.000	0.000	Merged-chr1-82900738-32
Merged-chr11-99124300-22	chr11	99123999	99124588	+	0.000	0.000	Merged-chr11-99124300-22
Merged-chr13-51951802-36	chr13	51951567	51952006	+	0.000	0.000	Merged-chr13-51951802-36
Merged-chr6-71494113-84	chr6	71493772	71494401	+	0.000	0.000	Merged-chr6-71494113-84
Merged-chr17-84163237-37	chr17	84163035	84163466	+	0.000	0.000	Merged-chr17-84163237-37
Merged-chr7-125554660-11	chr7	125554403	125554945	+	0.000	0.000	Merged-chr7-125554660-11
Merged-chr14-118709896-7	chr14	118709732	118710087	+	0.000	0.000	Merged-chr14-118709896-7
Merged-chr18-53864493-20	chr18	53864338	53864669	+	0.000	0.000	Merged-chr18-53864493-20
Merged-chr9-41030058-11	chr9	41029833	41030299	+	0.000	0.000	Merged-chr9-41030058-11
Merged-chr5-75693512-1	chr5	75693414	75693612	+	0.000	0.000	Merged-chr5-75693512-1
Merged-chr8-61462424-22	chr8	61462142	61462715	+	0.000	0.000	Merged-chr8-61462424-22
Merged-chr13-117217993-49	chr13	117217619	117218438	+	0.000	0.000	Merged-chr13-117217993-49
Merged-chr13-3642271-16	chr13	3642103	3642437	+	0.000	0.000	Merged-chr13-3642271-16
Merged-chr12-113258561-1	chr12	113258463	113258661	+	0.000	0.000	Merged-chr12-113258561-1
Merged-chr8-4404338-13	chr8	4404179	4404515	+	0.000	0.000	Merged-chr8-4404338-13
Merged-chr18-70472429-87	chr18	70472074	70472753	+	0.000	0.000	Merged-chr18-70472429-87
Merged-chr7-80192617-45	chr7	80192418	80192849	+	0.000	0.000	Merged-chr7-80192617-45
Merged-chr1-138589299-7	chr1	138589008	138589538	+	0.000	0.000	Merged-chr1-138589299-7
Merged-chr1-38597807-10	chr1	38597607	38598039	+	0.000	0.000	Merged-chr1-38597807-10
Merged-chr3-36151200-64	chr3	36150943	36151411	+	0.000	0.000	Merged-chr3-36151200-64
Merged-chr1-82819589-51	chr1	82819331	82819910	+	0.000	0.000	Merged-chr1-82819589-51
Merged-chr6-89410132-1	chr6	89410034	89410232	+	0.000	0.000	Merged-chr6-89410132-1
Merged-chr17-57194978-1	chr17	57194880	57195078	+	0.000	0.000	Merged-chr17-57194978-1
Merged-chr3-135863053-35	chr3	135862795	135863344	+	0.000	0.000	Merged-chr3-135863053-35
Merged-chr5-43841618-50	chr5	43841176	43842145	+	0.000	0.000	Merged-chr5-43841618-50
Merged-chr8-104565019-56	chr8	104564793	104565297	+	0.000	0.000	Merged-chr8-104565019-56
Merged-chr7-80187054-9	chr7	80186857	80187220	+	0.000	0.000	Merged-chr7-80187054-9
Merged-chr16-23985710-3	chr16	23985593	23985837	+	0.000	0.000	Merged-chr16-23985710-3
Merged-chr17-7878189-16	chr17	7877987	7878397	+	0.000	0.000	Merged-chr17-7878189-16
Merged-chr7-35773451-7	chr7	35773275	35773593	+	0.000	0.000	Merged-chr7-35773451-7
Merged-chr16-10769811-36	chr16	10769414	10770299	+	0.000	0.000	Merged-chr16-10769811-36
Merged-chr7-100750250-1	chr7	100750152	100750350	+	0.000	0.000	Merged-chr7-100750250-1
Merged-chr4-15958337-98	chr4	15958096	15958617	+	0.000	0.000	Merged-chr4-15958337-98
Merged-chr18-65015553-1	chr18	65015455	65015653	+	0.000	0.000	Merged-chr18-65015553-1
Merged-chr1-189927861-32	chr1	189927685	189928120	+	0.000	0.000	Merged-chr1-189927861-32
Merged-chr5-105620720-17	chr5	105620463	105621046	+	0.000	0.000	Merged-chr5-105620720-17
Merged-chr11-4506645-22	chr11	4506445	4506843	+	0.000	0.000	Merged-chr11-4506645-22
Merged-chr12-113224551-1	chr12	113224453	113224651	+	0.000	0.000	Merged-chr12-113224551-1
Merged-chr14-62733787-20	chr14	62733629	62733998	+	0.000	0.000	Merged-chr14-62733787-20
Merged-chr13-30136524-51	chr13	30136315	30136905	+	0.000	0.000	Merged-chr13-30136524-51
Merged-chr8-126596361-10	chr8	126596130	126596513	+	0.000	0.000	Merged-chr8-126596361-10
Merged-chr2-16292147-16	chr2	16291910	16292355	+	0.000	0.000	Merged-chr2-16292147-16
Merged-chr10-117628787-2	chr10	117628689	117628887	+	0.000	0.000	Merged-chr10-117628787-2
Merged-chr16-10774943-5	chr16	10774808	10775088	+	0.000	0.000	Merged-chr16-10774943-5
Merged-chr2-16352654-2	chr2	16352556	16352754	+	0.000	0.000	Merged-chr2-16352654-2
Merged-chr7-92561441-74	chr7	92561235	92561687	+	0.000	0.000	Merged-chr7-92561441-74
Merged-chr6-143861453-1	chr6	143861355	143861553	+	0.000	0.000	Merged-chr6-143861453-1
Merged-chr5-28329563-25	chr5	28329364	28329854	+	0.000	0.000	Merged-chr5-28329563-25
Merged-chr8-125744334-1	chr8	125744236	125744434	+	0.000	0.000	Merged-chr8-125744334-1
Merged-chr19-47855075-76	chr19	47854685	47855362	+	0.000	0.000	Merged-chr19-47855075-76
Merged-chr11-3146960-2	chr11	3146824	3147098	+	0.000	0.000	Merged-chr11-3146960-2
Merged-chr10-100488141-2	chr10	100488043	100488241	+	0.000	0.000	Merged-chr10-100488141-2
Merged-chr1-127302862-6	chr1	127302717	127302997	+	0.000	0.000	Merged-chr1-127302862-6
Merged-chr14-78536863-71	chr14	78536645	78537157	+	0.000	0.000	Merged-chr14-78536863-71
Merged-chr13-117230467-15	chr13	117230277	117230752	+	0.000	0.000	Merged-chr13-117230467-15
Merged-chr12-73888255-48	chr12	73888018	73888550	+	0.000	0.000	Merged-chr12-73888255-48
Merged-chr1-39383444-1	chr1	39383346	39383544	+	0.000	0.000	Merged-chr1-39383444-1
Merged-chr4-139611653-20	chr4	139611378	139611842	+	0.000	0.000	Merged-chr4-139611653-20
Merged-chr1-20890851-96	chr1	20890599	20891115	+	0.000	0.000	Merged-chr1-20890851-96
Merged-chr4-32426640-23	chr4	32426393	32426890	+	0.000	0.000	Merged-chr4-32426640-23
Merged-chr9-35421650-87	chr9	35421288	35422004	+	0.000	0.000	Merged-chr9-35421650-87
Merged-chr1-33739390-46	chr1	33739051	33739921	+	0.000	0.000	Merged-chr1-33739390-46
Merged-chr1-38627618-38	chr1	38627265	38628279	+	0.000	0.000	Merged-chr1-38627618-38
Merged-chr11-54860715-54	chr11	54860358	54860944	+	0.000	0.000	Merged-chr11-54860715-54
Merged-chr4-124703869-75	chr4	124703658	124704197	+	0.000	0.000	Merged-chr4-124703869-75
Merged-chr10-75764403-65	chr10	75764114	75764755	+	0.000	0.000	Merged-chr10-75764403-65
Merged-chr6-67475225-1	chr6	67475127	67475325	+	0.000	0.000	Merged-chr6-67475225-1
Merged-chr11-3157744-93	chr11	3156688	3158306	+	0.000	0.000	Merged-chr11-3157744-93
Merged-chr5-75574836-1	chr5	75574738	75574936	+	0.000	0.000	Merged-chr5-75574836-1
Merged-chr14-103345864-9	chr14	103345599	103346114	+	0.000	0.000	Merged-chr14-103345864-9
Merged-chr10-118882775-60	chr10	118882552	118883006	+	0.000	0.000	Merged-chr10-118882775-60
Merged-chr10-31313443-90	chr10	31313171	31313643	+	0.000	0.000	Merged-chr10-31313443-90
Merged-chr19-40831431-72	chr19	40831051	40831746	+	0.000	0.000	Merged-chr19-40831431-72
Merged-chr14-121906463-47	chr14	121905991	121906838	+	0.000	0.000	Merged-chr14-121906463-47
Merged-chr17-83365702-38	chr17	83365104	83366275	+	0.000	0.000	Merged-chr17-83365702-38
Merged-chr2-181458398-1	chr2	181458300	181458498	+	0.000	0.000	Merged-chr2-181458398-1
Merged-chr14-122558294-11	chr14	122558144	122558467	+	0.000	0.000	Merged-chr14-122558294-11
Merged-chr11-3330703-18	chr11	3330537	3330928	+	0.000	0.000	Merged-chr11-3330703-18
Merged-chr2-68471818-151	chr2	68471580	68472330	+	0.000	0.000	Merged-chr2-68471818-151
Merged-chr7-130826804-1	chr7	130826706	130826904	+	0.000	0.000	Merged-chr7-130826804-1
Merged-chr8-13159392-64	chr8	13158927	13159756	+	0.000	0.000	Merged-chr8-13159392-64
Merged-chr9-44708535-22	chr9	44708228	44708753	+	0.000	0.000	Merged-chr9-44708535-22
Merged-chr11-70562826-54	chr11	70562460	70563251	+	0.000	0.000	Merged-chr11-70562826-54
Merged-chr12-51888619-1	chr12	51888521	51888719	+	0.000	0.000	Merged-chr12-51888619-1
Merged-chr9-106447571-44	chr9	106447343	106447803	+	0.000	0.000	Merged-chr9-106447571-44
Merged-chr19-43921566-29	chr19	43921140	43921819	+	0.000	0.000	Merged-chr19-43921566-29
Merged-chr16-94237010-44	chr16	94236713	94237188	+	0.000	0.000	Merged-chr16-94237010-44
Merged-chr7-48749788-92	chr7	48749459	48750025	+	0.000	0.000	Merged-chr7-48749788-92
Merged-chr10-79908801-95	chr10	79908422	79909040	+	0.000	0.000	Merged-chr10-79908801-95
Merged-chr13-67214299-31	chr13	67214019	67214600	+	0.000	0.000	Merged-chr13-67214299-31
Merged-chr6-121239911-4	chr6	121239790	121240036	+	0.000	0.000	Merged-chr6-121239911-4
Merged-chr16-32609068-64	chr16	32608714	32609293	+	0.000	0.000	Merged-chr16-32609068-64
Merged-chr8-18846559-82	chr8	18846310	18846761	+	0.000	0.000	Merged-chr8-18846559-82
Merged-chr5-75812374-1	chr5	75812276	75812474	+	0.000	0.000	Merged-chr5-75812374-1
Merged-chr15-86028178-32	chr15	86027872	86028517	+	0.000	0.000	Merged-chr15-86028178-32
Merged-chr16-24164966-5	chr16	24164828	24165129	+	0.000	0.000	Merged-chr16-24164966-5
Merged-chr1-127225883-3	chr1	127225756	127226003	+	0.000	0.000	Merged-chr1-127225883-3
Merged-chr18-80490792-23	chr18	80490550	80490960	+	0.000	0.000	Merged-chr18-80490792-23
Merged-chr10-75765225-18	chr10	75765030	75765407	+	0.000	0.000	Merged-chr10-75765225-18
Merged-chr14-24490940-66	chr14	24490584	24491301	+	0.000	0.000	Merged-chr14-24490940-66
Merged-chr4-131843494-43	chr4	131843330	131843723	+	0.000	0.000	Merged-chr4-131843494-43
Merged-chr1-60096883-1	chr1	60096785	60096983	+	0.000	0.000	Merged-chr1-60096883-1
Merged-chr2-29253616-2	chr2	29253457	29253777	+	0.000	0.000	Merged-chr2-29253616-2
Merged-chr10-59958273-13	chr10	59957825	59958555	+	0.000	0.000	Merged-chr10-59958273-13
Merged-chr6-144264296-10	chr6	144264134	144264471	+	0.000	0.000	Merged-chr6-144264296-10
Merged-chr9-5308201-1	chr9	5308103	5308301	+	0.000	0.000	Merged-chr9-5308201-1
Merged-chr12-113222932-1	chr12	113222834	113223032	+	0.000	0.000	Merged-chr12-113222932-1
Merged-chr9-14276872-1	chr9	14276774	14276972	+	0.000	0.000	Merged-chr9-14276872-1
Merged-chr18-58661867-1	chr18	58661769	58661967	+	0.000	0.000	Merged-chr18-58661867-1
Merged-chr13-91540408-4	chr13	91540286	91540535	+	0.000	0.000	Merged-chr13-91540408-4
Merged-chr11-3193402-56	chr11	3193098	3193766	+	0.000	0.000	Merged-chr11-3193402-56
Merged-chr10-19185061-36	chr10	19184865	19185221	+	0.000	0.000	Merged-chr10-19185061-36
Merged-chr4-35156799-155	chr4	35155898	35157542	+	0.000	0.000	Merged-chr4-35156799-155
Merged-chr9-121360909-87	chr9	121360693	121361265	+	0.000	0.000	Merged-chr9-121360909-87
Merged-chr15-9533546-44	chr15	9533198	9533838	+	0.000	0.000	Merged-chr15-9533546-44
Merged-chr4-144892585-78	chr4	144892107	144892975	+	0.000	0.000	Merged-chr4-144892585-78
Merged-chr17-84146048-57	chr17	84145648	84146378	+	0.000	0.000	Merged-chr17-84146048-57
Merged-chr10-118766153-45	chr10	118765932	118766409	+	0.000	0.000	Merged-chr10-118766153-45
Merged-chrX-133898261-39	chrX	133897827	133898553	+	0.000	0.000	Merged-chrX-133898261-39
Merged-chr2-21281024-30	chr2	21280807	21281234	+	0.000	0.000	Merged-chr2-21281024-30
Merged-chr1-82917988-3	chr1	82917851	82918136	+	0.000	0.000	Merged-chr1-82917988-3
Merged-chr2-17861880-15	chr2	17861542	17862202	+	0.000	0.000	Merged-chr2-17861880-15
Merged-chr11-61579224-3	chr11	61579095	61579341	+	0.000	0.000	Merged-chr11-61579224-3
Merged-chr11-62538363-2	chr11	62538240	62538489	+	0.000	0.000	Merged-chr11-62538363-2
Merged-chr12-117447459-59	chr12	117447252	117447707	+	0.000	0.000	Merged-chr12-117447459-59
Merged-chr17-7905100-9	chr17	7904981	7905224	+	0.000	0.000	Merged-chr17-7905100-9
Merged-chr6-17675529-35	chr6	17675313	17675905	+	0.000	0.000	Merged-chr6-17675529-35
Merged-chr5-75378709-26	chr5	75378400	75379024	+	0.000	0.000	Merged-chr5-75378709-26
Merged-chr17-3084193-55	chr17	3083981	3084379	+	0.000	0.000	Merged-chr17-3084193-55
Merged-chr14-118673606-72	chr14	118673303	118674034	+	0.000	0.000	Merged-chr14-118673606-72
Merged-chr11-3129320-11	chr11	3129135	3129518	+	0.000	0.000	Merged-chr11-3129320-11
Merged-chr1-39913450-3	chr1	39913320	39913583	+	0.000	0.000	Merged-chr1-39913450-3
Merged-chr1-171966306-50	chr1	171965992	171966663	+	0.000	0.000	Merged-chr1-171966306-50
Merged-chr2-28840437-75	chr2	28840181	28840702	+	0.000	0.000	Merged-chr2-28840437-75
Merged-chr11-79129992-68	chr11	79129767	79130325	+	0.000	0.000	Merged-chr11-79129992-68
Merged-chr4-152120692-77	chr4	152120258	152120961	+	0.000	0.000	Merged-chr4-152120692-77
Merged-chr9-121354935-22	chr9	121354750	121355121	+	0.000	0.000	Merged-chr9-121354935-22
Merged-chr10-60028260-54	chr10	60027793	60028692	+	0.000	0.000	Merged-chr10-60028260-54
Merged-chr5-105798670-49	chr5	105798403	105799051	+	0.000	0.000	Merged-chr5-105798670-49
Merged-chr19-40267576-38	chr19	40267355	40267757	+	0.000	0.000	Merged-chr19-40267576-38
Merged-chr16-93547363-12	chr16	93547198	93547537	+	0.000	0.000	Merged-chr16-93547363-12
Merged-chr18-77121790-35	chr18	77121529	77122023	+	0.000	0.000	Merged-chr18-77121790-35
Merged-chr1-23882900-25	chr1	23882664	23883089	+	0.000	0.000	Merged-chr1-23882900-25
Merged-chr2-77280729-98	chr2	77280340	77281121	+	0.000	0.000	Merged-chr2-77280729-98
Merged-chr6-38848269-41	chr6	38847981	38848532	+	0.000	0.000	Merged-chr6-38848269-41
Merged-chr11-99150380-50	chr11	99150033	99150740	+	0.000	0.000	Merged-chr11-99150380-50
Merged-chr9-97110986-70	chr9	97110701	97111261	+	0.000	0.000	Merged-chr9-97110986-70
Merged-chr16-70408152-21	chr16	70407975	70408404	+	0.000	0.000	Merged-chr16-70408152-21
Merged-chr4-65605051-78	chr4	65604772	65605318	+	0.000	0.000	Merged-chr4-65605051-78
Merged-chr5-41841893-1	chr5	41841795	41841993	+	0.000	0.000	Merged-chr5-41841893-1
Merged-chr2-26628456-31	chr2	26628172	26628790	+	0.000	0.000	Merged-chr2-26628456-31
Merged-chr4-32239722-14	chr4	32239455	32239907	+	0.000	0.000	Merged-chr4-32239722-14
Merged-chrX-101419940-50	chrX	101419648	101420215	+	0.000	0.000	Merged-chrX-101419940-50
Merged-chr13-117198790-41	chr13	117198533	117198981	+	0.000	0.000	Merged-chr13-117198790-41
Merged-chr10-116476725-3	chr10	116476608	116476846	+	0.000	0.000	Merged-chr10-116476725-3
Merged-chrX-134842652-1	chrX	134842554	134842752	+	0.000	0.000	Merged-chrX-134842652-1
Merged-chr19-40256674-17	chr19	40256500	40256845	+	0.000	0.000	Merged-chr19-40256674-17
Merged-chr10-127621046-1	chr10	127620948	127621146	+	0.000	0.000	Merged-chr10-127621046-1
Merged-chr14-59201374-100	chr14	59200894	59201604	+	0.000	0.000	Merged-chr14-59201374-100
Merged-chr1-38395375-19	chr1	38395072	38395682	+	0.000	0.000	Merged-chr1-38395375-19
Merged-chr9-44691735-2	chr9	44691635	44691837	+	0.000	0.000	Merged-chr9-44691735-2
Merged-chr6-58596586-84	chr6	58596156	58597302	+	0.000	0.000	Merged-chr6-58596586-84
Merged-chr16-36057640-19	chr16	36057411	36057970	+	0.000	0.000	Merged-chr16-36057640-19
Merged-chr15-91664603-13	chr15	91664248	91664878	+	0.000	0.000	Merged-chr15-91664603-13
Merged-chr5-120776535-1	chr5	120776437	120776635	+	0.000	0.000	Merged-chr5-120776535-1
Merged-chr18-65062031-13	chr18	65061801	65062275	+	0.000	0.000	Merged-chr18-65062031-13
Merged-chr15-89148530-1	chr15	89148432	89148630	+	0.000	0.000	Merged-chr15-89148530-1
Merged-chr13-91462266-9	chr13	91461993	91462525	+	0.000	0.000	Merged-chr13-91462266-9
Merged-chr15-100126840-34	chr15	100126630	100127055	+	0.000	0.000	Merged-chr15-100126840-34
Merged-chr12-78198818-9	chr12	78198664	78198965	+	0.000	0.000	Merged-chr12-78198818-9
Merged-chr17-45686351-100	chr17	45685921	45686675	+	0.000	0.000	Merged-chr17-45686351-100
Merged-chr7-4647555-37	chr7	4647365	4647789	+	0.000	0.000	Merged-chr7-4647555-37
Merged-chr1-178336524-15	chr1	178336238	178336745	+	0.000	0.000	Merged-chr1-178336524-15
Merged-chr9-40415403-51	chr9	40414908	40415942	+	0.000	0.000	Merged-chr9-40415403-51
Merged-chr1-82807419-20	chr1	82807199	82807686	+	0.000	0.000	Merged-chr1-82807419-20
Merged-chrX-75759126-1	chrX	75759028	75759226	+	0.000	0.000	Merged-chrX-75759126-1
Merged-chr5-148601430-1	chr5	148601332	148601530	+	0.000	0.000	Merged-chr5-148601430-1
Merged-chr6-121218095-31	chr6	121217768	121218287	+	0.000	0.000	Merged-chr6-121218095-31
Merged-chr1-138592749-28	chr1	138592569	138592900	+	0.000	0.000	Merged-chr1-138592749-28
Merged-chr16-14379528-8	chr16	14379393	14379651	+	0.000	0.000	Merged-chr16-14379528-8
Merged-chr19-44282748-31	chr19	44282525	44283105	+	0.000	0.000	Merged-chr19-44282748-31
Merged-chr8-14998165-42	chr8	14997653	14998511	+	0.000	0.000	Merged-chr8-14998165-42
Merged-chr4-128807702-2	chr4	128807603	128807804	+	0.000	0.000	Merged-chr4-128807702-2
Merged-chr2-17730861-92	chr2	17730229	17731281	+	0.000	0.000	Merged-chr2-17730861-92
Merged-chr1-38602117-20	chr1	38601833	38602329	+	0.000	0.000	Merged-chr1-38602117-20
Merged-chr12-108706218-1	chr12	108706120	108706318	+	0.000	0.000	Merged-chr12-108706218-1
Merged-chr7-122020926-63	chr7	122020699	122021126	+	0.000	0.000	Merged-chr7-122020926-63
Merged-chr14-14351922-2	chr14	14351777	14352069	+	0.000	0.000	Merged-chr14-14351922-2
Merged-chr14-121913666-1	chr14	121913568	121913766	+	0.000	0.000	Merged-chr14-121913666-1
Merged-chr5-105731381-8	chr5	105731203	105731718	+	0.000	0.000	Merged-chr5-105731381-8
Merged-chr12-81860438-124	chr12	81859869	81860784	+	0.000	0.000	Merged-chr12-81860438-124
Merged-chr9-114452652-12	chr9	114452499	114452867	+	0.000	0.000	Merged-chr9-114452652-12
Merged-chr13-117282370-1	chr13	117282272	117282470	+	0.000	0.000	Merged-chr13-117282370-1
Merged-chr19-44266259-1	chr19	44266161	44266359	+	0.000	0.000	Merged-chr19-44266259-1
Merged-chr17-8235955-6	chr17	8235821	8236102	+	0.000	0.000	Merged-chr17-8235955-6
Merged-chr7-24601143-27	chr7	24600905	24601320	+	0.000	0.000	Merged-chr7-24601143-27
Merged-chr4-123411504-1	chr4	123411406	123411604	+	0.000	0.000	Merged-chr4-123411504-1
Merged-chr6-144909826-5	chr6	144909698	144909961	+	0.000	0.000	Merged-chr6-144909826-5
Merged-chr10-42848913-29	chr10	42848679	42849289	+	0.000	0.000	Merged-chr10-42848913-29
Merged-chr7-130866004-59	chr7	130865640	130866221	+	0.000	0.000	Merged-chr7-130866004-59
Merged-chr1-34843057-106	chr1	34842464	34843468	+	0.000	0.000	Merged-chr1-34843057-106
Merged-chr17-35424832-52	chr17	35424547	35425392	+	0.000	0.000	Merged-chr17-35424832-52
Merged-chr7-24462599-1	chr7	24462501	24462699	+	0.000	0.000	Merged-chr7-24462599-1
Merged-chr17-15826286-103	chr17	15826046	15826765	+	0.000	0.000	Merged-chr17-15826286-103
Merged-chrX-134808769-61	chrX	134808427	134809265	+	0.000	0.000	Merged-chrX-134808769-61
Merged-chr14-78559223-28	chr14	78559020	78559374	+	0.000	0.000	Merged-chr14-78559223-28
Merged-chr1-82849868-1	chr1	82849770	82849968	+	0.000	0.000	Merged-chr1-82849868-1
Merged-chr10-59953841-5	chr10	59953685	59953979	+	0.000	0.000	Merged-chr10-59953841-5
Merged-chr14-78462451-1	chr14	78462353	78462551	+	0.000	0.000	Merged-chr14-78462451-1
Merged-chr10-100496204-1	chr10	100496106	100496304	+	0.000	0.000	Merged-chr10-100496204-1
Merged-chr1-127212036-1	chr1	127211938	127212136	+	0.000	0.000	Merged-chr1-127212036-1
Merged-chr17-35428128-1	chr17	35428030	35428228	+	0.000	0.000	Merged-chr17-35428128-1
Merged-chrX-95164272-24	chrX	95164066	95164508	+	0.000	0.000	Merged-chrX-95164272-24
Merged-chr10-115396208-36	chr10	115395949	115396420	+	0.000	0.000	Merged-chr10-115396208-36
Merged-chr10-117652105-48	chr10	117651698	117652419	+	0.000	0.000	Merged-chr10-117652105-48
Merged-chr1-55410920-19	chr1	55410761	55411103	+	0.000	0.000	Merged-chr1-55410920-19
Merged-chr1-189007695-69	chr1	189007424	189007947	+	0.000	0.000	Merged-chr1-189007695-69
Merged-chr11-3160255-18	chr11	3159882	3160704	+	0.000	0.000	Merged-chr11-3160255-18
Merged-chr11-99145976-1	chr11	99145878	99146076	+	0.000	0.000	Merged-chr11-99145976-1
Merged-chr15-62092754-58	chr15	62092321	62093123	+	0.000	0.000	Merged-chr15-62092754-58
Merged-chr12-77949698-47	chr12	77949217	77950005	+	0.000	0.000	Merged-chr12-77949698-47
Merged-chr9-92252931-14	chr9	92252768	92253112	+	0.000	0.000	Merged-chr9-92252931-14
Merged-chr9-42124176-82	chr9	42123942	42124441	+	0.000	0.000	Merged-chr9-42124176-82
Merged-chr2-164077659-1	chr2	164077561	164077759	+	0.000	0.000	Merged-chr2-164077659-1
Merged-chr12-4080460-2	chr12	4080320	4080602	+	0.000	0.000	Merged-chr12-4080460-2
Merged-chr14-121702650-15	chr14	121702441	121702868	+	0.000	0.000	Merged-chr14-121702650-15
Merged-chr11-3180102-24	chr11	3179853	3180340	+	0.000	0.000	Merged-chr11-3180102-24
Merged-chr17-73853686-38	chr17	73853178	73854070	+	0.000	0.000	Merged-chr17-73853686-38
Merged-chr6-144093257-1	chr6	144093159	144093357	+	0.000	0.000	Merged-chr6-144093257-1
Merged-chr4-32291576-26	chr4	32291319	32291855	+	0.000	0.000	Merged-chr4-32291576-26
Merged-chrX-9254140-30	chrX	9253989	9254355	+	0.000	0.000	Merged-chrX-9254140-30
Merged-chr13-4942811-70	chr13	4942452	4943015	+	0.000	0.000	Merged-chr13-4942811-70
Merged-chr2-13265108-24	chr2	13264901	13265347	+	0.000	0.000	Merged-chr2-13265108-24
Merged-chr2-77268969-1	chr2	77268871	77269069	+	0.000	0.000	Merged-chr2-77268969-1
Merged-chr7-125559265-2	chr7	125559139	125559394	+	0.000	0.000	Merged-chr7-125559265-2
