#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR2447--MA1421.1.TCF7L1	chr17	43645423	43645434	+	0.000	0.000	Merged-chr17-43645396-23
NR4539--MA1421.1.TCF7L1	chr6	108512292	108512303	-	0.000	0.000	Merged-chr6-108512233-21
NR3688--MA1421.1.TCF7L1	chr3	152355525	152355536	-	0.000	0.000	Merged-chr3-152355609-21
NR3011--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR3171--MA0769.1.Tcf7	chr2	132669231	132669242	+	0.000	0.000	Merged-chr2-132669439-31
NR2594--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR4355--MA0769.1.Tcf7	chr6	22340122	22340133	+	0.000	0.000	Merged-chr6-22340067-27
NR2981--MA0769.1.Tcf7	chr2	52891408	52891419	-	0.000	0.000	Merged-chr2-52891472-34
NR258--MA1421.1.TCF7L1	chr1	138952414	138952425	+	0.000	0.000	Merged-chr1-138952405-35
NR3719--MA1421.1.TCF7L1	chr4	7455298	7455309	+	0.000	0.000	Merged-chr4-7455242-36
NR619--MA0769.1.Tcf7	chr10	80659059	80659070	-	0.000	0.000	Merged-chr10-80658824-84
NR5188--MA0523.1.TCF7L2	chr8	83740307	83740320	+	0.000	0.000	Merged-chr8-83740218-49
NR2753--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR1364--MA1421.1.TCF7L1	chr12	113005278	113005289	-	0.000	0.000	Merged-chr12-113005235-22
NR3470--MA0523.1.TCF7L2	chr3	100475183	100475196	+	0.000	0.000	Merged-chr3-100475201-27
NR3609--MA0523.1.TCF7L2	chr3	136905833	136905846	-	0.000	0.000	Merged-chr3-136905694-23
NR1220--MA0769.1.Tcf7	chr12	73876809	73876820	+	0.000	0.000	Merged-chr12-73876720-26
NR570--MA0769.1.Tcf7	chr10	58354866	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR1601--MA1421.1.TCF7L1	chr13	101669081	101669092	-	0.000	0.000	Merged-chr13-101669067-25
NR1168--MA0523.1.TCF7L2	chr12	40536138	40536151	+	0.000	0.000	Merged-chr12-40536190-67
NR212--MA0769.1.Tcf7	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR569--MA0523.1.TCF7L2	chr10	58354864	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR324--MA0769.1.Tcf7	chr1	156574337	156574348	-	0.000	0.000	Merged-chr1-156574252-14
NR3802--MA0523.1.TCF7L2	chr4	86722085	86722098	+	0.000	0.000	Merged-chr4-86721990-52
NR1170--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR2888--MA0769.1.Tcf7	chr2	6706258	6706269	+	0.000	0.000	Merged-chr2-6706159-91
NR4714--MA0769.1.Tcf7	chr6	148136275	148136286	-	0.000	0.000	Merged-chr6-148136166-24
NR4054--MA0523.1.TCF7L2	chr5	28402976	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR4835--MA0769.1.Tcf7	chr7	75642373	75642384	+	0.000	0.000	Merged-chr7-75642451-22
NR981--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR2396--MA0523.1.TCF7L2	chr17	25942039	25942052	+	0.000	0.000	Merged-chr17-25941942-32
NR4065--MA0769.1.Tcf7	chr5	31831722	31831733	+	0.000	0.000	Merged-chr5-31831785-25
NR360--MA0769.1.Tcf7	chr1	166016451	166016462	+	0.000	0.000	Merged-chr1-166016547-30
NR1949--MA1421.1.TCF7L1	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR1261--MA0769.1.Tcf7	chr12	85818540	85818551	+	0.000	0.000	Merged-chr12-85818661-14
NR1467--MA0769.1.Tcf7	chr13	30777869	30777880	-	0.000	0.000	Merged-chr13-30777847-15
NR4195--MA0769.1.Tcf7	chr5	100651722	100651733	-	0.000	0.000	Merged-chr5-100651654-38
NR3432--MA0769.1.Tcf7	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR375--MA0523.1.TCF7L2	chr1	171782708	171782721	+	0.000	0.000	Merged-chr1-171782627-54
NR1239--MA0769.1.Tcf7	chr12	79430130	79430141	+	0.000	0.000	Merged-chr12-79430089-33
NR1915--MA0769.1.Tcf7	chr14	122952207	122952218	-	0.000	0.000	Merged-chr14-122951933-82
NR2217--MA0769.1.Tcf7	chr16	45261674	45261685	+	0.000	0.000	Merged-chr16-45261551-46
NR1319--MA0523.1.TCF7L2	chr12	102581813	102581826	+	0.000	0.000	Merged-chr12-102581960-56
NR3464--MA1421.1.TCF7L1	chr3	97929085	97929096	+	0.000	0.000	Merged-chr3-97929190-25
NR5063--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1950--MA0523.1.TCF7L2	chr15	36396449	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR5107--MA0523.1.TCF7L2	chr8	33548715	33548728	-	0.000	0.000	Merged-chr8-33548647-24
NR4858--MA0523.1.TCF7L2	chr7	83852587	83852600	+	0.000	0.000	Merged-chr7-83852721-40
NR4955--MA1421.1.TCF7L1	chr7	114159822	114159833	+	0.000	0.000	Merged-chr7-114159939-24
NR1951--MA0769.1.Tcf7	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR4896--MA0523.1.TCF7L2	chr7	97067537	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR796--MA0523.1.TCF7L2	chr10	128940662	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR2644--MA1421.1.TCF7L1	chr18	56714591	56714602	+	0.000	0.000	Merged-chr18-56714625-64
NR1908--MA0523.1.TCF7L2	chr14	121137384	121137397	+	0.000	0.000	Merged-chr14-121137502-35
NR3026--MA1421.1.TCF7L1	chr2	77176534	77176545	+	0.000	0.000	Merged-chr2-77176488-48
NR2381--MA1421.1.TCF7L1	chr17	17826156	17826167	-	0.000	0.000	Merged-chr17-17826185-6
NR2495--MA0769.1.Tcf7	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR1780--MA1421.1.TCF7L1	chr14	47740485	47740496	+	0.000	0.000	Merged-chr14-47740703-52
NR4086--MA1421.1.TCF7L1	chr5	52126117	52126128	-	0.000	0.000	Merged-chr5-52126006-25
NR3012--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR4496--MA0523.1.TCF7L2	chr6	90391831	90391844	-	0.000	0.000	Merged-chr6-90391920-9
NR4504--MA1421.1.TCF7L1	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR970--MA0769.1.Tcf7	chr11	83118303	83118314	-	0.000	0.000	Merged-chr11-83118266-24
NR5644--MA0769.1.Tcf7	chr9	120082887	120082898	+	0.000	0.000	Merged-chr9-120082843-44
NR3204--MA0523.1.TCF7L2	chr2	144167664	144167677	-	0.000	0.000	Merged-chr2-144167536-46
NR1995--MA1421.1.TCF7L1	chr15	58655206	58655217	-	0.000	0.000	Merged-chr15-58655104-54
NR345--MA0523.1.TCF7L2	chr1	163374838	163374851	+	0.000	0.000	Merged-chr1-163374764-34
NR5662--MA0769.1.Tcf7	chr9	123734309	123734320	-	0.000	0.000	Merged-chr9-123734197-54
NR1174--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR2397--MA0769.1.Tcf7	chr17	25942039	25942050	+	0.000	0.000	Merged-chr17-25941942-32
NR3844--MA0523.1.TCF7L2	chr4	101217141	101217154	+	0.000	0.000	Merged-chr4-101217167-64
NR4559--MA0769.1.Tcf7	chr6	115762220	115762231	-	0.000	0.000	Merged-chr6-115762298-33
NR2970--MA0769.1.Tcf7	chr2	48322474	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR4577--MA0769.1.Tcf7	chr6	120199642	120199653	+	0.000	0.000	Merged-chr6-120199707-32
NR5321--MA0523.1.TCF7L2	chr9	7501333	7501346	+	0.000	0.000	Merged-chr9-7501482-49
NR4213--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR2742--MA0769.1.Tcf7	chr18	80600716	80600727	+	0.000	0.000	Merged-chr18-80600681-25
NR1270--MA0523.1.TCF7L2	chr12	89719236	89719249	-	0.000	0.000	Merged-chr12-89719457-81
NR411--MA0769.1.Tcf7	chr1	181299227	181299238	-	0.000	0.000	Merged-chr1-181299360-30
NR210--MA1421.1.TCF7L1	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR5383--MA1421.1.TCF7L1	chr9	46015114	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR2187--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1506--MA1421.1.TCF7L1	chr13	59536414	59536425	+	0.000	0.000	Merged-chr13-59536572-15
NR996--MA1421.1.TCF7L1	chr11	95824433	95824444	-	0.000	0.000	Merged-chr11-95824420-49
NR2093--MA0769.1.Tcf7	chr15	94255223	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR4134--MA0769.1.Tcf7	chr5	86816950	86816961	+	0.000	0.000	Merged-chr5-86816982-25
NR4275--MA1421.1.TCF7L1	chr5	129190414	129190425	-	0.000	0.000	Merged-chr5-129190300-30
NR756--MA0769.1.Tcf7	chr10	118064900	118064911	-	0.000	0.000	Merged-chr10-118064945-40
NR1119--MA1421.1.TCF7L1	chr11	121777144	121777155	-	0.000	0.000	Merged-chr11-121777303-26
NR2626--MA0769.1.Tcf7	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR1691--MA0523.1.TCF7L2	chr13	113071294	113071307	+	0.000	0.000	Merged-chr13-113071273-26
NR4385--MA0769.1.Tcf7	chr6	39348107	39348118	+	0.000	0.000	Merged-chr6-39348126-65
NR5222--MA0523.1.TCF7L2	chr8	107437224	107437237	+	0.000	0.000	Merged-chr8-107437181-10
NR2420--MA1421.1.TCF7L1	chr17	30363529	30363540	+	0.000	0.000	Merged-chr17-30363504-27
NR3949--MA0769.1.Tcf7	chr4	141917967	141917978	+	0.000	0.000	Merged-chr4-141918116-30
NR147--MA0523.1.TCF7L2	chr1	91405857	91405870	+	0.000	0.000	Merged-chr1-91405791-30
NR3661--MA1421.1.TCF7L1	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR377--MA1421.1.TCF7L1	chr1	172197335	172197346	-	0.000	0.000	Merged-chr1-172197316-25
NR3345--MA0523.1.TCF7L2	chr3	21995859	21995872	+	0.000	0.000	Merged-chr3-21996009-51
NR4269--MA0769.1.Tcf7	chr5	124022502	124022513	-	0.000	0.000	Merged-chr5-124022476-27
NR2322--MA0769.1.Tcf7	chr16	94185592	94185603	+	0.000	0.000	Merged-chr16-94185634-42
NR5032--MA0769.1.Tcf7	chr7	132415459	132415470	-	0.000	0.000	Merged-chr7-132415500-16
NR5643--MA0523.1.TCF7L2	chr9	120082887	120082900	+	0.000	0.000	Merged-chr9-120082843-44
NR231--MA1421.1.TCF7L1	chr1	133012465	133012476	+	0.000	0.000	Merged-chr1-133012523-20
NR3618--MA0769.1.Tcf7	chr3	138334344	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR4860--MA0769.1.Tcf7	chr7	83852807	83852818	+	0.000	0.000	Merged-chr7-83852721-40
NR5749--MA1421.1.TCF7L1	chrX	159828200	159828211	+	0.000	0.000	Merged-chrX-159828290-35
NR2115--MA1421.1.TCF7L1	chr15	98631712	98631723	-	0.000	0.000	Merged-chr15-98631640-23
NR4972--MA0769.1.Tcf7	chr7	117404664	117404675	+	0.000	0.000	Merged-chr7-117404576-18
NR1308--MA1421.1.TCF7L1	chr12	99084375	99084386	-	0.000	0.000	Merged-chr12-99084355-37
NR233--MA0769.1.Tcf7	chr1	133012465	133012476	+	0.000	0.000	Merged-chr1-133012523-20
NR5630--MA0523.1.TCF7L2	chr9	118285729	118285742	-	0.000	0.000	Merged-chr9-118285683-37
NR1810--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR4990--MA0769.1.Tcf7	chr7	123354475	123354486	+	0.000	0.000	Merged-chr7-123354508-1
NR5692--MA1421.1.TCF7L1	chrX	52930410	52930421	-	0.000	0.000	Merged-chrX-52930355-32
NR5736--MA1421.1.TCF7L1	chrX	137015417	137015428	-	0.000	0.000	Merged-chrX-137015463-27
NR2696--MA0523.1.TCF7L2	chr18	69548096	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR5243--MA0523.1.TCF7L2	chr8	115771146	115771159	+	0.000	0.000	Merged-chr8-115771261-45
NR3426--MA0769.1.Tcf7	chr3	83997231	83997242	+	0.000	0.000	Merged-chr3-83997240-19
NR4762--MA0769.1.Tcf7	chr7	25835639	25835650	-	0.000	0.000	Merged-chr7-25835602-47
NR5064--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR542--MA0523.1.TCF7L2	chr10	39517646	39517659	+	0.000	0.000	Merged-chr10-39517662-15
NR3332--MA0769.1.Tcf7	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR4217--MA0523.1.TCF7L2	chr5	105198257	105198270	+	0.000	0.000	Merged-chr5-105198197-37
NR3162--MA1421.1.TCF7L1	chr2	130555058	130555069	-	0.000	0.000	Merged-chr2-130555023-33
NR323--MA0523.1.TCF7L2	chr1	156574335	156574348	-	0.000	0.000	Merged-chr1-156574252-14
NR3462--MA0769.1.Tcf7	chr3	96814544	96814555	-	0.000	0.000	Merged-chr3-96814496-20
NR757--MA0523.1.TCF7L2	chr10	118064942	118064955	+	0.000	0.000	Merged-chr10-118064945-40
NR274--MA0769.1.Tcf7	chr1	143819072	143819083	-	0.000	0.000	Merged-chr1-143819193-15
NR1175--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR3521--MA0523.1.TCF7L2	chr3	108124256	108124269	-	0.000	0.000	Merged-chr3-108124378-33
NR104--MA0523.1.TCF7L2	chr1	78591295	78591308	-	0.000	0.000	Merged-chr1-78591432-38
NR5445--MA0523.1.TCF7L2	chr9	72660352	72660365	-	0.000	0.000	Merged-chr9-72660303-37
NR3592--MA0769.1.Tcf7	chr3	133626744	133626755	-	0.000	0.000	Merged-chr3-133626779-42
NR4602--MA1421.1.TCF7L1	chr6	129239825	129239836	+	0.000	0.000	Merged-chr6-129239949-37
NR4098--MA1421.1.TCF7L1	chr5	64389852	64389863	+	0.000	0.000	Merged-chr5-64389971-20
NR3346--MA0769.1.Tcf7	chr3	21995859	21995870	+	0.000	0.000	Merged-chr3-21996009-51
NR4897--MA0769.1.Tcf7	chr7	97067539	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR4419--MA0523.1.TCF7L2	chr6	50009507	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR5432--MA0523.1.TCF7L2	chr9	69023583	69023596	-	0.000	0.000	Merged-chr9-69023585-49
NR2180--MA0769.1.Tcf7	chr16	25587910	25587921	-	0.000	0.000	Merged-chr16-25587871-42
NR1219--MA0523.1.TCF7L2	chr12	73876809	73876822	+	0.000	0.000	Merged-chr12-73876720-26
NR5494--MA1421.1.TCF7L1	chr9	85011576	85011587	+	0.000	0.000	Merged-chr9-85011578-31
NR4194--MA0523.1.TCF7L2	chr5	100651720	100651733	-	0.000	0.000	Merged-chr5-100651654-38
NR5069--MA1421.1.TCF7L1	chr7	143153953	143153964	-	0.000	0.000	Merged-chr7-143154031-30
NR2506--MA1421.1.TCF7L1	chr17	69422860	69422871	-	0.000	0.000	Merged-chr17-69422874-19
NR2013--MA0523.1.TCF7L2	chr15	63971803	63971816	-	0.000	0.000	Merged-chr15-63971776-11
NR4472--MA0769.1.Tcf7	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR1874--MA0769.1.Tcf7	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR4417--MA1421.1.TCF7L1	chr6	50009509	50009520	-	0.000	0.000	Merged-chr6-50009459-48
NR2903--MA0523.1.TCF7L2	chr2	17861893	17861906	+	0.000	0.000	Merged-chr2-17861880-15
NR5306--MA1421.1.TCF7L1	chr8	128418695	128418706	-	0.000	0.000	Merged-chr8-128418642-30
NR523--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR2215--MA0523.1.TCF7L2	chr16	45261674	45261687	+	0.000	0.000	Merged-chr16-45261551-46
NR781--MA0769.1.Tcf7	chr10	121497999	121498010	+	0.000	0.000	Merged-chr10-121498117-10
NR3128--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR3803--MA1421.1.TCF7L1	chr4	87669755	87669766	+	0.000	0.000	Merged-chr4-87669731-33
NR2855--MA0523.1.TCF7L2	chr19	55792754	55792767	+	0.000	0.000	Merged-chr19-55792789-50
NR3334--MA1421.1.TCF7L1	chr3	10151768	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1074--MA1421.1.TCF7L1	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR380--MA1421.1.TCF7L1	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR1844--MA1421.1.TCF7L1	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR66--MA0769.1.Tcf7	chr1	63002092	63002103	-	0.000	0.000	Merged-chr1-63002017-23
NR232--MA0523.1.TCF7L2	chr1	133012465	133012478	+	0.000	0.000	Merged-chr1-133012523-20
NR389--MA1421.1.TCF7L1	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR4276--MA0769.1.Tcf7	chr5	129190414	129190425	-	0.000	0.000	Merged-chr5-129190300-30
NR213--MA0769.1.Tcf7	chr1	127796594	127796605	-	0.000	0.000	Merged-chr1-127796546-56
NR5655--MA0523.1.TCF7L2	chr9	122399008	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR4438--MA1421.1.TCF7L1	chr6	61125650	61125661	+	0.000	0.000	Merged-chr6-61125660-31
NR2880--MA0523.1.TCF7L2	chr2	5061514	5061527	+	0.000	0.000	Merged-chr2-5061621-34
NR4042--MA1421.1.TCF7L1	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR110--MA1421.1.TCF7L1	chr1	80441128	80441139	+	0.000	0.000	Merged-chr1-80441020-53
NR1238--MA1421.1.TCF7L1	chr12	79430130	79430141	+	0.000	0.000	Merged-chr12-79430089-33
NR3858--MA0769.1.Tcf7	chr4	102967912	102967923	-	0.000	0.000	Merged-chr4-102968093-31
NR5496--MA0769.1.Tcf7	chr9	85011576	85011587	+	0.000	0.000	Merged-chr9-85011578-31
NR5628--MA1421.1.TCF7L1	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR653--MA0523.1.TCF7L2	chr10	89766142	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR1141--MA0769.1.Tcf7	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR325--MA1421.1.TCF7L1	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2891--MA1421.1.TCF7L1	chr2	8965213	8965224	-	0.000	0.000	Merged-chr2-8965212-53
NR2298--MA1421.1.TCF7L1	chr16	87754945	87754956	-	0.000	0.000	Merged-chr16-87755077-33
