#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR1460--MA1104.1.GATA6	chr12	14086784	14086796	-	0.000	0.000	Merged-chr12-14086767-28
NR5629--MA0036.3.GATA2	chr6	108607017	108607027	+	0.000	0.000	Merged-chr6-108607013-11
NR5164--MA0482.1.Gata4	chr5	53605613	53605623	-	0.000	0.000	Merged-chr5-53605625-25
NR1159--MA0037.3.GATA3	chr11	64037641	64037648	+	0.000	0.000	Merged-chr11-64037767-32
NR3575--MA0140.2.GATA1::TAL1	chr19	32926371	32926388	-	0.000	0.000	Merged-chr19-32926300-25
NR4613--MA0036.3.GATA2	chr3	136725868	136725878	+	0.000	0.000	Merged-chr3-136725981-1
NR3424--MA1104.1.GATA6	chr18	79257454	79257466	+	0.000	0.000	Merged-chr18-79257508-110
NR1074--MA0036.3.GATA2	chr11	11836940	11836950	+	0.000	0.000	Merged-chr11-11837020-26
NR4059--MA0140.2.GATA1::TAL1	chr2	124634793	124634810	-	0.000	0.000	Merged-chr2-124634585-20
NR139--MA0037.3.GATA3	chr1	87899817	87899824	-	0.000	0.000	Merged-chr1-87899931-42
NR3819--MA0036.3.GATA2	chr2	49744821	49744831	+	0.000	0.000	Merged-chr2-49744707-28
NR820--MA1104.1.GATA6	chr10	79417357	79417369	-	0.000	0.000	Merged-chr10-79417442-89
NR5210--MA0140.2.GATA1::TAL1	chr5	86783451	86783468	-	0.000	0.000	Merged-chr5-86783243-43
NR1595--MA1104.1.GATA6	chr12	85818539	85818551	+	0.000	0.000	Merged-chr12-85818661-14
NR2019--MA0140.2.GATA1::TAL1	chr13	95449890	95449907	-	0.000	0.000	Merged-chr13-95449730-51
NR282--MA0766.1.GATA5	chr1	130838475	130838482	+	0.000	0.000	Merged-chr1-130838519-27
NR4640--MA0035.3.Gata1	chr3	138334345	138334355	+	0.000	0.000	Merged-chr3-138334424-50
NR66--MA0482.1.Gata4	chr1	61402630	61402640	+	0.000	0.000	Merged-chr1-61402618-25
NR6774--MA0037.3.GATA3	chr9	69073402	69073409	-	0.000	0.000	Merged-chr9-69073494-25
NR780--MA1104.1.GATA6	chr10	67065542	67065554	-	0.000	0.000	Merged-chr10-67065679-35
NR3713--MA0482.1.Gata4	chr2	11617067	11617077	+	0.000	0.000	Merged-chr2-11617013-39
NR2543--MA0037.3.GATA3	chr15	59010878	59010885	-	0.000	0.000	Merged-chr15-59010782-34
NR1414--MA0482.1.Gata4	chr11	115746912	115746922	+	0.000	0.000	Merged-chr11-115746671-90
NR1024--MA0035.3.Gata1	chr10	127759708	127759718	+	0.000	0.000	Merged-chr10-127759558-36
NR142--MA0036.3.GATA2	chr1	87899816	87899826	+	0.000	0.000	Merged-chr1-87899931-42
NR1299--MA0482.1.Gata4	chr11	98487787	98487797	-	0.000	0.000	Merged-chr11-98487809-30
NR3978--MA0482.1.Gata4	chr2	103652312	103652322	+	0.000	0.000	Merged-chr2-103652335-51
NR4616--MA0037.3.GATA3	chr3	136742960	136742967	-	0.000	0.000	Merged-chr3-136742959-57
NR2914--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR3995--MA0037.3.GATA3	chr2	106985121	106985128	-	0.000	0.000	Merged-chr2-106985167-21
NR4473--MA0140.2.GATA1::TAL1	chr3	107076712	107076729	+	0.000	0.000	Merged-chr3-107076709-51
NR3577--MA0482.1.Gata4	chr19	33053337	33053347	+	0.000	0.000	Merged-chr19-33053321-32
NR5289--MA0036.3.GATA2	chr5	115755109	115755119	-	0.000	0.000	Merged-chr5-115755148-41
NR4911--MA0036.3.GATA2	chr4	115056685	115056695	+	0.000	0.000	Merged-chr4-115056666-5
NR7012--MA0482.1.Gata4	chr9	109863296	109863306	-	0.000	0.000	Merged-chr9-109863307-1
NR4216--MA0140.2.GATA1::TAL1	chr2	167723887	167723904	+	0.000	0.000	Merged-chr2-167723859-27
NR5938--MA1104.1.GATA6	chr7	27357771	27357783	+	0.000	0.000	Merged-chr7-27357694-29
NR6950--MA1104.1.GATA6	chr9	95836022	95836034	-	0.000	0.000	Merged-chr9-95835913-33
NR7015--MA0035.3.Gata1	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
