#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.3-log2fc-0.5_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval0.3-log2fc0.5_up.bed
NR3222--MA1421.1.TCF7L1	chr15	75894512	75894523	+	0.000	0.000	Merged-chr15-75894455-46
NR8623--MA0523.1.TCF7L2	chr9	42463999	42464012	+	0.000	0.000	Merged-chr9-42464013-7
NR7238--MA1421.1.TCF7L1	chr6	67105659	67105670	+	0.000	0.000	Merged-chr6-67105676-29
NR3800--MA0523.1.TCF7L2	chr17	29082151	29082164	+	0.000	0.000	Merged-chr17-29082107-45
NR7816--MA0523.1.TCF7L2	chr7	79190893	79190906	+	0.000	0.000	Merged-chr7-79190820-25
NR6106--MA0523.1.TCF7L2	chr4	34429185	34429198	+	0.000	0.000	Merged-chr4-34429163-2
NR8869--MA0769.1.Tcf7	chr9	96936095	96936106	-	0.000	0.000	Merged-chr9-96936027-74
NR773--MA0523.1.TCF7L2	chr10	17539373	17539386	-	0.000	0.000	Merged-chr10-17539427-37
NR8661--MA0523.1.TCF7L2	chr9	51185627	51185640	+	0.000	0.000	Merged-chr9-51185836-35
NR8493--MA0523.1.TCF7L2	chr8	126864514	126864527	+	0.000	0.000	Merged-chr8-126864545-1
NR8560--MA0769.1.Tcf7	chr9	25549250	25549261	-	0.000	0.000	Merged-chr9-25549394-11
NR1770--MA1421.1.TCF7L1	chr12	35999207	35999218	+	0.000	0.000	Merged-chr12-35999221-22
NR6152--MA0769.1.Tcf7	chr4	53227934	53227945	+	0.000	0.000	Merged-chr4-53228038-46
NR613--MA1421.1.TCF7L1	chr1	176994951	176994962	-	0.000	0.000	Merged-chr1-176995011-9
NR5689--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR3694--MA1421.1.TCF7L1	chr16	95682398	95682409	+	0.000	0.000	Merged-chr16-95682592-12
NR445--MA1421.1.TCF7L1	chr1	143749852	143749863	+	0.000	0.000	Merged-chr1-143749938-18
NR7019--MA1421.1.TCF7L1	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR5786--MA1421.1.TCF7L1	chr3	121689285	121689296	+	0.000	0.000	Merged-chr3-121689232-23
NR3437--MA1421.1.TCF7L1	chr16	29856383	29856394	+	0.000	0.000	Merged-chr16-29856280-19
NR3971--MA0523.1.TCF7L2	chr17	84636036	84636049	-	0.000	0.000	Merged-chr17-84636147-9
NR8610--MA0523.1.TCF7L2	chr9	40759635	40759648	+	0.000	0.000	Merged-chr9-40759529-7
NR6350--MA0523.1.TCF7L2	chr4	109854808	109854821	-	0.000	0.000	Merged-chr4-109854829-14
NR2402--MA1421.1.TCF7L1	chr13	84791268	84791279	-	0.000	0.000	Merged-chr13-84791325-24
NR4282--MA1421.1.TCF7L1	chr18	80228653	80228664	-	0.000	0.000	Merged-chr18-80228617-43
NR2996--MA0523.1.TCF7L2	chr14	121354191	121354204	+	0.000	0.000	Merged-chr14-121354142-24
NR3150--MA0523.1.TCF7L2	chr15	55327405	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR760--MA0523.1.TCF7L2	chr10	13467072	13467085	+	0.000	0.000	Merged-chr10-13467057-15
NR7166--MA0523.1.TCF7L2	chr6	51509993	51510006	-	0.000	0.000	Merged-chr6-51509825-65
NR3572--MA0769.1.Tcf7	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR7841--MA0523.1.TCF7L2	chr7	84417810	84417823	-	0.000	0.000	Merged-chr7-84417695-8
NR8672--MA1421.1.TCF7L1	chr9	53856645	53856656	+	0.000	0.000	Merged-chr9-53856540-10
NR1704--MA0523.1.TCF7L2	chr12	17726667	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR6712--MA0769.1.Tcf7	chr5	74132873	74132884	-	0.000	0.000	Merged-chr5-74132835-25
NR4869--MA0523.1.TCF7L2	chr2	76030059	76030072	-	0.000	0.000	Merged-chr2-76030062-28
NR4107--MA1421.1.TCF7L1	chr18	39326043	39326054	+	0.000	0.000	Merged-chr18-39326096-6
NR7014--MA0769.1.Tcf7	chr5	149203177	149203188	-	0.000	0.000	Merged-chr5-149203183-18
NR990--MA1421.1.TCF7L1	chr10	74952959	74952970	+	0.000	0.000	Merged-chr10-74953108-5
NR4473--MA0523.1.TCF7L2	chr19	47915525	47915538	+	0.000	0.000	Merged-chr19-47915460-18
NR8825--MA0523.1.TCF7L2	chr9	88332673	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR5348--MA1421.1.TCF7L1	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR3088--MA1421.1.TCF7L1	chr15	35465169	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR3630--MA1421.1.TCF7L1	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR3409--MA0523.1.TCF7L2	chr16	21689397	21689410	-	0.000	0.000	Merged-chr16-21689391-19
NR8695--MA0523.1.TCF7L2	chr9	61745155	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR8960--MA1421.1.TCF7L1	chr9	116091304	116091315	+	0.000	0.000	Merged-chr9-116091467-52
NR7032--MA0769.1.Tcf7	chr5	150840678	150840689	+	0.000	0.000	Merged-chr5-150840546-64
NR1016--MA0523.1.TCF7L2	chr10	78594767	78594780	+	0.000	0.000	Merged-chr10-78594668-32
NR9174--MA1421.1.TCF7L1	chrX	159828200	159828211	+	0.000	0.000	Merged-chrX-159828290-35
NR3615--MA0523.1.TCF7L2	chr16	78247903	78247916	-	0.000	0.000	Merged-chr16-78247900-23
NR2026--MA0769.1.Tcf7	chr12	105538381	105538392	+	0.000	0.000	Merged-chr12-105538395-6
NR4688--MA0523.1.TCF7L2	chr2	44528728	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR6384--MA0523.1.TCF7L2	chr4	121000344	121000357	+	0.000	0.000	Merged-chr4-121000350-3
NR853--MA1421.1.TCF7L1	chr10	39170467	39170478	+	0.000	0.000	Merged-chr10-39170391-11
NR389--MA0769.1.Tcf7	chr1	133571485	133571496	+	0.000	0.000	Merged-chr1-133571423-3
NR5739--MA0769.1.Tcf7	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR9026--MA0523.1.TCF7L2	chr9	123376968	123376981	-	0.000	0.000	Merged-chr9-123377036-7
NR6576--MA1421.1.TCF7L1	chr5	23610872	23610883	+	0.000	0.000	Merged-chr5-23610857-14
NR1656--MA0523.1.TCF7L2	chr11	117092937	117092950	-	0.000	0.000	Merged-chr11-117092893-43
NR5769--MA1421.1.TCF7L1	chr3	116386819	116386830	+	0.000	0.000	Merged-chr3-116386953-10
NR7536--MA0523.1.TCF7L2	chr6	134184019	134184032	+	0.000	0.000	Merged-chr6-134184108-53
NR5276--MA0523.1.TCF7L2	chr2	160383110	160383123	-	0.000	0.000	Merged-chr2-160383104-3
NR4059--MA1421.1.TCF7L1	chr18	24237172	24237183	+	0.000	0.000	Merged-chr18-24237197-17
NR8346--MA0769.1.Tcf7	chr8	86779422	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR3237--MA0769.1.Tcf7	chr15	81131233	81131244	-	0.000	0.000	Merged-chr15-81131354-10
NR6972--MA0769.1.Tcf7	chr5	140151348	140151359	+	0.000	0.000	Merged-chr5-140151320-8
NR1187--MA0769.1.Tcf7	chr10	111446562	111446573	-	0.000	0.000	Merged-chr10-111446386-39
NR4690--MA1421.1.TCF7L1	chr2	44557374	44557385	+	0.000	0.000	Merged-chr2-44557255-38
NR4779--MA0769.1.Tcf7	chr2	59969284	59969295	-	0.000	0.000	Merged-chr2-59969233-23
NR4902--MA1421.1.TCF7L1	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR1862--MA0523.1.TCF7L2	chr12	72748582	72748595	-	0.000	0.000	Merged-chr12-72748579-13
NR7950--MA0769.1.Tcf7	chr7	115426757	115426768	+	0.000	0.000	Merged-chr7-115426820-20
NR5482--MA0523.1.TCF7L2	chr3	54400015	54400028	-	0.000	0.000	Merged-chr3-54399982-24
NR3134--MA0769.1.Tcf7	chr15	50694323	50694334	+	0.000	0.000	Merged-chr15-50694314-20
NR7574--MA0523.1.TCF7L2	chr6	142567724	142567737	-	0.000	0.000	Merged-chr6-142567710-6
NR2751--MA0523.1.TCF7L2	chr14	52008753	52008766	+	0.000	0.000	Merged-chr14-52008925-52
NR3133--MA0523.1.TCF7L2	chr15	50694323	50694336	+	0.000	0.000	Merged-chr15-50694314-20
NR7292--MA0769.1.Tcf7	chr6	83437444	83437455	+	0.000	0.000	Merged-chr6-83437448-19
NR1729--MA0769.1.Tcf7	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR8270--MA0769.1.Tcf7	chr8	68247281	68247292	-	0.000	0.000	Merged-chr8-68247177-14
NR1475--MA0523.1.TCF7L2	chr11	75319049	75319062	+	0.000	0.000	Merged-chr11-75318979-50
NR3399--MA0523.1.TCF7L2	chr16	20480323	20480336	-	0.000	0.000	Merged-chr16-20480311-19
NR6744--MA0769.1.Tcf7	chr5	89900166	89900177	-	0.000	0.000	Merged-chr5-89900078-10
NR5588--MA1421.1.TCF7L1	chr3	81489543	81489554	-	0.000	0.000	Merged-chr3-81489616-14
NR5263--MA0523.1.TCF7L2	chr2	158673176	158673189	-	0.000	0.000	Merged-chr2-158673458-23
NR2295--MA0769.1.Tcf7	chr13	52617347	52617358	+	0.000	0.000	Merged-chr13-52617361-10
NR7722--MA0769.1.Tcf7	chr7	49421423	49421434	-	0.000	0.000	Merged-chr7-49421353-29
NR2962--MA0769.1.Tcf7	chr14	115015359	115015370	+	0.000	0.000	Merged-chr14-115015527-11
NR6716--MA0523.1.TCF7L2	chr5	74471131	74471144	-	0.000	0.000	Merged-chr5-74471085-11
NR3773--MA0523.1.TCF7L2	chr17	21661789	21661802	-	0.000	0.000	Merged-chr17-21661730-8
NR3011--MA1421.1.TCF7L1	chr14	122908311	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR5103--MA1421.1.TCF7L1	chr2	132180715	132180726	+	0.000	0.000	Merged-chr2-132180846-32
NR7027--MA1421.1.TCF7L1	chr5	149846647	149846658	+	0.000	0.000	Merged-chr5-149846777-12
NR9119--MA1421.1.TCF7L1	chrX	100789554	100789565	-	0.000	0.000	Merged-chrX-100789555-32
NR6176--MA1421.1.TCF7L1	chr4	57681664	57681675	-	0.000	0.000	Merged-chr4-57681748-10
NR6754--MA0523.1.TCF7L2	chr5	91960143	91960156	-	0.000	0.000	Merged-chr5-91960197-8
NR5690--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR2762--MA1421.1.TCF7L1	chr14	54056893	54056904	+	0.000	0.000	Merged-chr14-54056823-18
NR7731--MA0769.1.Tcf7	chr7	56042588	56042599	-	0.000	0.000	Merged-chr7-56042551-23
NR8248--MA0769.1.Tcf7	chr8	56398906	56398917	+	0.000	0.000	Merged-chr8-56398896-15
NR4193--MA0523.1.TCF7L2	chr18	64931388	64931401	+	0.000	0.000	Merged-chr18-64931407-12
NR2145--MA0523.1.TCF7L2	chr13	5313261	5313274	-	0.000	0.000	Merged-chr13-5313405-28
NR1630--MA0523.1.TCF7L2	chr11	113206356	113206369	+	0.000	0.000	Merged-chr11-113206318-17
NR1787--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR9011--MA0769.1.Tcf7	chr9	120692066	120692077	-	0.000	0.000	Merged-chr9-120691973-52
NR2067--MA0769.1.Tcf7	chr12	113220011	113220022	-	0.000	0.000	Merged-chr12-113220068-2
NR5659--MA0769.1.Tcf7	chr3	98031083	98031094	-	0.000	0.000	Merged-chr3-98031258-17
NR5444--MA0769.1.Tcf7	chr3	37174957	37174968	+	0.000	0.000	Merged-chr3-37174845-28
NR996--MA0523.1.TCF7L2	chr10	75406146	75406159	+	0.000	0.000	Merged-chr10-75406076-29
NR761--MA0769.1.Tcf7	chr10	13467072	13467083	+	0.000	0.000	Merged-chr10-13467057-15
NR7835--MA1421.1.TCF7L1	chr7	82715863	82715874	+	0.000	0.000	Merged-chr7-82715837-23
NR6628--MA0769.1.Tcf7	chr5	44180972	44180983	-	0.000	0.000	Merged-chr5-44180865-15
NR7082--MA0769.1.Tcf7	chr6	22409411	22409422	-	0.000	0.000	Merged-chr6-22409213-46
NR8583--MA0523.1.TCF7L2	chr9	33186573	33186586	-	0.000	0.000	Merged-chr9-33186543-16
NR792--MA1421.1.TCF7L1	chr10	21911703	21911714	-	0.000	0.000	Merged-chr10-21911694-25
NR3226--MA1421.1.TCF7L1	chr15	78683698	78683709	-	0.000	0.000	Merged-chr15-78683730-20
NR5350--MA0769.1.Tcf7	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR7944--MA0523.1.TCF7L2	chr7	115218910	115218923	+	0.000	0.000	Merged-chr7-115218920-27
NR7194--MA0769.1.Tcf7	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR4126--MA0769.1.Tcf7	chr18	46381242	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR2752--MA0769.1.Tcf7	chr14	52008753	52008764	+	0.000	0.000	Merged-chr14-52008925-52
NR1340--MA1421.1.TCF7L1	chr11	20035502	20035513	+	0.000	0.000	Merged-chr11-20035595-25
NR5259--MA0523.1.TCF7L2	chr2	157746753	157746766	+	0.000	0.000	Merged-chr2-157746803-36
NR777--MA0523.1.TCF7L2	chr10	19321923	19321936	+	0.000	0.000	Merged-chr10-19321944-43
NR1680--MA0769.1.Tcf7	chr12	3990030	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR4576--MA0523.1.TCF7L2	chr2	13080602	13080615	-	0.000	0.000	Merged-chr2-13080560-18
NR9047--MA0523.1.TCF7L2	chrX	17521301	17521314	-	0.000	0.000	Merged-chrX-17521323-26
NR46--MA0769.1.Tcf7	chr1	30839814	30839825	+	0.000	0.000	Merged-chr1-30839662-25
NR6272--MA0523.1.TCF7L2	chr4	89505563	89505576	+	0.000	0.000	Merged-chr4-89505388-45
NR741--MA1421.1.TCF7L1	chr10	7819774	7819785	-	0.000	0.000	Merged-chr10-7819674-9
NR8689--MA1421.1.TCF7L1	chr9	61069843	61069854	-	0.000	0.000	Merged-chr9-61069791-4
NR3769--MA0523.1.TCF7L2	chr17	21438158	21438171	-	0.000	0.000	Merged-chr17-21438248-5
NR8196--MA0523.1.TCF7L2	chr8	33594514	33594527	-	0.000	0.000	Merged-chr8-33594381-37
NR8408--MA0523.1.TCF7L2	chr8	109708129	109708142	-	0.000	0.000	Merged-chr8-109708114-35
NR8461--MA1421.1.TCF7L1	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR124--MA0523.1.TCF7L2	chr1	59189725	59189738	+	0.000	0.000	Merged-chr1-59189721-10
NR7389--MA0523.1.TCF7L2	chr6	100255577	100255590	+	0.000	0.000	Merged-chr6-100255672-12
NR3397--MA1421.1.TCF7L1	chr16	20480309	20480320	+	0.000	0.000	Merged-chr16-20480311-19
NR5489--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR1024--MA0523.1.TCF7L2	chr10	81249642	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR4050--MA0769.1.Tcf7	chr18	23773176	23773187	-	0.000	0.000	Merged-chr18-23773308-23
NR4256--MA0769.1.Tcf7	chr18	75374209	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR5899--MA0523.1.TCF7L2	chr3	138842536	138842549	+	0.000	0.000	Merged-chr3-138842482-12
NR8711--MA1421.1.TCF7L1	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR73--MA0523.1.TCF7L2	chr1	39954852	39954865	-	0.000	0.000	Merged-chr1-39954782-26
NR2309--MA0523.1.TCF7L2	chr13	55255253	55255266	-	0.000	0.000	Merged-chr13-55255412-37
NR4286--MA1421.1.TCF7L1	chr18	80715711	80715722	+	0.000	0.000	Merged-chr18-80715827-3
NR3184--MA0769.1.Tcf7	chr15	66313651	66313662	-	0.000	0.000	Merged-chr15-66313802-12
NR8826--MA0769.1.Tcf7	chr9	88332675	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR8611--MA0769.1.Tcf7	chr9	40759635	40759646	+	0.000	0.000	Merged-chr9-40759529-7
NR1230--MA0523.1.TCF7L2	chr10	117625874	117625887	+	0.000	0.000	Merged-chr10-117625957-44
NR3090--MA0769.1.Tcf7	chr15	35465169	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR7110--MA0523.1.TCF7L2	chr6	34902136	34902149	+	0.000	0.000	Merged-chr6-34902272-26
NR4950--MA0769.1.Tcf7	chr2	103004800	103004811	-	0.000	0.000	Merged-chr2-103004784-33
NR3756--MA0523.1.TCF7L2	chr17	13479952	13479965	+	0.000	0.000	Merged-chr17-13479919-17
NR339--MA0523.1.TCF7L2	chr1	118477028	118477041	-	0.000	0.000	Merged-chr1-118477016-17
NR3192--MA0523.1.TCF7L2	chr15	67196442	67196455	+	0.000	0.000	Merged-chr15-67196543-23
NR4028--MA0769.1.Tcf7	chr18	10154685	10154696	+	0.000	0.000	Merged-chr18-10154788-16
NR1011--MA0523.1.TCF7L2	chr10	77677794	77677807	-	0.000	0.000	Merged-chr10-77677865-23
NR6790--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR713--MA0523.1.TCF7L2	chr1	192693147	192693160	+	0.000	0.000	Merged-chr1-192693207-29
NR2745--MA1421.1.TCF7L1	chr14	48422211	48422222	+	0.000	0.000	Merged-chr14-48422314-53
NR3632--MA0769.1.Tcf7	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR60--MA0523.1.TCF7L2	chr1	36646630	36646643	+	0.000	0.000	Merged-chr1-36646512-17
NR5490--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR7582--MA0523.1.TCF7L2	chr6	142909558	142909571	+	0.000	0.000	Merged-chr6-142909361-51
NR8625--MA1421.1.TCF7L1	chr9	43242567	43242578	-	0.000	0.000	Merged-chr9-43242516-24
NR6197--MA1421.1.TCF7L1	chr4	59167647	59167658	+	0.000	0.000	Merged-chr4-59167570-29
NR1710--MA1421.1.TCF7L1	chr12	21172236	21172247	+	0.000	0.000	Merged-chr12-21172304-14
NR6669--MA0769.1.Tcf7	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR4778--MA0523.1.TCF7L2	chr2	59969282	59969295	-	0.000	0.000	Merged-chr2-59969233-23
NR1336--MA0769.1.Tcf7	chr11	16858780	16858791	+	0.000	0.000	Merged-chr11-16858803-1
NR8092--MA0769.1.Tcf7	chr7	138886488	138886499	-	0.000	0.000	Merged-chr7-138886601-6
NR1879--MA0523.1.TCF7L2	chr12	75449702	75449715	-	0.000	0.000	Merged-chr12-75449860-75
NR9021--MA0523.1.TCF7L2	chr9	122398993	122399006	+	0.000	0.000	Merged-chr9-122399009-31
NR4426--MA0523.1.TCF7L2	chr19	34510905	34510918	+	0.000	0.000	Merged-chr19-34511025-19
NR775--MA1421.1.TCF7L1	chr10	19188548	19188559	-	0.000	0.000	Merged-chr10-19188580-55
NR8495--MA1421.1.TCF7L1	chr8	127516084	127516095	+	0.000	0.000	Merged-chr8-127516186-36
NR3575--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR6122--MA0523.1.TCF7L2	chr4	41295754	41295767	+	0.000	0.000	Merged-chr4-41295781-15
NR6049--MA0523.1.TCF7L2	chr4	7987507	7987520	-	0.000	0.000	Merged-chr4-7987596-39
NR3095--MA0769.1.Tcf7	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR7195--MA0523.1.TCF7L2	chr6	57449456	57449469	-	0.000	0.000	Merged-chr6-57449516-18
NR4800--MA0523.1.TCF7L2	chr2	65214400	65214413	+	0.000	0.000	Merged-chr2-65214427-21
NR1058--MA0523.1.TCF7L2	chr10	85050896	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR1569--MA0769.1.Tcf7	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR4946--MA0769.1.Tcf7	chr2	102040250	102040261	-	0.000	0.000	Merged-chr2-102040255-6
NR2299--MA0523.1.TCF7L2	chr13	52702317	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR7035--MA1421.1.TCF7L1	chr5	151417186	151417197	+	0.000	0.000	Merged-chr5-151417137-15
NR2115--MA0523.1.TCF7L2	chr12	117679064	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR1264--MA0523.1.TCF7L2	chr10	121300836	121300849	-	0.000	0.000	Merged-chr10-121300859-24
NR2998--MA1421.1.TCF7L1	chr14	121992794	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR1288--MA1421.1.TCF7L1	chr10	128039315	128039326	-	0.000	0.000	Merged-chr10-128039274-35
NR7316--MA0769.1.Tcf7	chr6	88782959	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR8650--MA1421.1.TCF7L1	chr9	48538518	48538529	+	0.000	0.000	Merged-chr9-48538454-59
NR5942--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR1699--MA0769.1.Tcf7	chr12	15940839	15940850	+	0.000	0.000	Merged-chr12-15940918-8
NR4870--MA0769.1.Tcf7	chr2	76030061	76030072	-	0.000	0.000	Merged-chr2-76030062-28
NR871--MA0523.1.TCF7L2	chr10	44539539	44539552	+	0.000	0.000	Merged-chr10-44539362-34
NR3305--MA0523.1.TCF7L2	chr15	96778434	96778447	+	0.000	0.000	Merged-chr15-96778537-47
NR346--MA0769.1.Tcf7	chr1	119795337	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR6711--MA0523.1.TCF7L2	chr5	74132871	74132884	-	0.000	0.000	Merged-chr5-74132835-25
NR131--MA0769.1.Tcf7	chr1	60883022	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR5499--MA0769.1.Tcf7	chr3	58658551	58658562	-	0.000	0.000	Merged-chr3-58658570-11
NR5435--MA0523.1.TCF7L2	chr3	28318053	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR8841--MA0523.1.TCF7L2	chr9	92217744	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR2480--MA0769.1.Tcf7	chr13	101669081	101669092	-	0.000	0.000	Merged-chr13-101669067-25
NR2492--MA0523.1.TCF7L2	chr13	103357025	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4628--MA0523.1.TCF7L2	chr2	29689707	29689720	+	0.000	0.000	Merged-chr2-29689675-19
NR4681--MA1421.1.TCF7L1	chr2	43992734	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR9055--MA0523.1.TCF7L2	chrX	37141903	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR1853--MA0523.1.TCF7L2	chr12	71048391	71048404	-	0.000	0.000	Merged-chr12-71048283-51
NR5705--MA0769.1.Tcf7	chr3	103640397	103640408	-	0.000	0.000	Merged-chr3-103640406-6
NR3306--MA0769.1.Tcf7	chr15	96778434	96778445	+	0.000	0.000	Merged-chr15-96778537-47
NR7343--MA0769.1.Tcf7	chr6	94637386	94637397	+	0.000	0.000	Merged-chr6-94637218-13
NR7830--MA1421.1.TCF7L1	chr7	81454397	81454408	+	0.000	0.000	Merged-chr7-81454544-19
NR3776--MA0769.1.Tcf7	chr17	21661845	21661856	+	0.000	0.000	Merged-chr17-21661730-8
NR3573--MA1421.1.TCF7L1	chr16	57318254	57318265	-	0.000	0.000	Merged-chr16-57318126-31
NR5497--MA1421.1.TCF7L1	chr3	58658551	58658562	-	0.000	0.000	Merged-chr3-58658570-11
NR5216--MA0523.1.TCF7L2	chr2	150130342	150130355	+	0.000	0.000	Merged-chr2-150130462-1
NR3726--MA0523.1.TCF7L2	chr17	3246828	3246841	+	0.000	0.000	Merged-chr17-3246798-10
NR5818--MA0523.1.TCF7L2	chr3	126825154	126825167	-	0.000	0.000	Merged-chr3-126825034-19
NR3823--MA1421.1.TCF7L1	chr17	33947917	33947928	-	0.000	0.000	Merged-chr17-33947911-26
NR3162--MA0523.1.TCF7L2	chr15	59010890	59010903	-	0.000	0.000	Merged-chr15-59010782-34
NR1658--MA1421.1.TCF7L1	chr11	118226118	118226129	+	0.000	0.000	Merged-chr11-118225979-35
NR1180--MA0769.1.Tcf7	chr10	111223391	111223402	-	0.000	0.000	Merged-chr10-111223319-26
NR7611--MA1421.1.TCF7L1	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR7178--MA0523.1.TCF7L2	chr6	53778773	53778786	-	0.000	0.000	Merged-chr6-53778855-8
NR1262--MA1421.1.TCF7L1	chr10	120872635	120872646	+	0.000	0.000	Merged-chr10-120872613-27
NR3089--MA0523.1.TCF7L2	chr15	35465167	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR796--MA1421.1.TCF7L1	chr10	22714721	22714732	-	0.000	0.000	Merged-chr10-22714818-39
NR8191--MA0523.1.TCF7L2	chr8	33508804	33508817	+	0.000	0.000	Merged-chr8-33508683-13
NR3548--MA0769.1.Tcf7	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR2054--MA0523.1.TCF7L2	chr12	110759069	110759082	-	0.000	0.000	Merged-chr12-110759192-38
NR1599--MA0523.1.TCF7L2	chr11	108901318	108901331	-	0.000	0.000	Merged-chr11-108901238-21
NR7018--MA1421.1.TCF7L1	chr5	149427542	149427553	+	0.000	0.000	Merged-chr5-149427432-30
NR7021--MA0769.1.Tcf7	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR3507--MA0523.1.TCF7L2	chr16	44735811	44735824	+	0.000	0.000	Merged-chr16-44735956-40
NR5862--MA0769.1.Tcf7	chr3	133626825	133626836	+	0.000	0.000	Merged-chr3-133626779-42
NR3392--MA1421.1.TCF7L1	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR3454--MA0769.1.Tcf7	chr16	32229274	32229285	+	0.000	0.000	Merged-chr16-32229198-4
NR8837--MA0523.1.TCF7L2	chr9	90213164	90213177	-	0.000	0.000	Merged-chr9-90213196-18
NR6--MA0523.1.TCF7L2	chr1	6519353	6519366	-	0.000	0.000	Merged-chr1-6519375-11
NR1621--MA0523.1.TCF7L2	chr11	111056295	111056308	+	0.000	0.000	Merged-chr11-111056370-11
NR933--MA0769.1.Tcf7	chr10	60000165	60000176	-	0.000	0.000	Merged-chr10-60000232-10
NR3566--MA0769.1.Tcf7	chr16	55421862	55421873	-	0.000	0.000	Merged-chr16-55421971-12
NR2862--MA0523.1.TCF7L2	chr14	73416718	73416731	+	0.000	0.000	Merged-chr14-73416835-27
NR854--MA0523.1.TCF7L2	chr10	39170467	39170480	+	0.000	0.000	Merged-chr10-39170391-11
NR4390--MA0523.1.TCF7L2	chr19	21547554	21547567	-	0.000	0.000	Merged-chr19-21547622-17
NR4602--MA0523.1.TCF7L2	chr2	19316120	19316133	-	0.000	0.000	Merged-chr2-19316159-10
NR8742--MA0523.1.TCF7L2	chr9	75115528	75115541	+	0.000	0.000	Merged-chr9-75115492-20
