#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR7054--MA0741.1.KLF16	chr10	80387691	80387701	+	0.000	0.000	Merged-chr10-80387709-52
NR6236--MA0493.1.Klf1	chr10	61492183	61492193	-	0.000	0.000	Merged-chr10-61492301-30
NR137--MA0599.1.KLF5	chr1	14740102	14740111	-	0.000	0.000	Merged-chr1-14740213-10
NR70030--MA0742.1.Klf12	chr9	88858895	88858909	-	0.000	0.000	Merged-chr9-88858930-57
NR25967--MA1107.1.KLF9	chr16	38088999	38089011	+	0.000	0.000	Merged-chr16-38089125-126
NR26082--MA0599.1.KLF5	chr16	44210825	44210834	+	0.000	0.000	Merged-chr16-44210859-20
NR63950--MA0599.1.KLF5	chr8	3587607	3587616	-	0.000	0.000	Merged-chr8-3587694-26
NR63063--MA0741.1.KLF16	chr7	130631892	130631902	-	0.000	0.000	Merged-chr7-130631867-47
NR5620--MA1107.1.KLF9	chr10	37721420	37721432	+	0.000	0.000	Merged-chr10-37721362-7
NR50465--MA0741.1.KLF16	chr5	57714981	57714991	-	0.000	0.000	Merged-chr5-57715009-24
NR56821--MA1107.1.KLF9	chr6	108251604	108251616	-	0.000	0.000	Merged-chr6-108251708-11
NR54986--MA1107.1.KLF9	chr6	35177700	35177712	-	0.000	0.000	Merged-chr6-35177687-66
NR27386--MA0741.1.KLF16	chr17	4980267	4980277	-	0.000	0.000	Merged-chr17-4980372-31
NR31526--MA1107.1.KLF9	chr18	52465667	52465679	-	0.000	0.000	Merged-chr18-52465816-63
NR71428--MA1107.1.KLF9	chr9	121455040	121455052	-	0.000	0.000	Merged-chr9-121454962-55
NR71385--MA0741.1.KLF16	chr9	120867019	120867029	+	0.000	0.000	Merged-chr9-120866868-24
NR66866--MA0599.1.KLF5	chr8	116735522	116735531	-	0.000	0.000	Merged-chr8-116735664-29
NR22444--MA0741.1.KLF16	chr15	25673781	25673791	+	0.000	0.000	Merged-chr15-25673661-24
NR40702--MA0740.1.KLF14	chr3	31145840	31145853	+	0.000	0.000	Merged-chr3-31145985-42
NR23353--MA1107.1.KLF9	chr15	73137759	73137771	+	0.000	0.000	Merged-chr15-73137730-76
NR20493--MA0741.1.KLF16	chr14	57571572	57571582	-	0.000	0.000	Merged-chr14-57571607-60
NR54628--MA1107.1.KLF9	chr6	17282296	17282308	-	0.000	0.000	Merged-chr6-17282259-15
NR6823--MA0599.1.KLF5	chr10	77418279	77418288	+	0.000	0.000	Merged-chr10-77418101-77
NR524--MA0741.1.KLF16	chr1	39702701	39702711	-	0.000	0.000	Merged-chr1-39702774-23
NR54413--MA1107.1.KLF9	chr5	150894468	150894480	-	0.000	0.000	Merged-chr5-150894547-1
NR15047--MA0599.1.KLF5	chr12	92303486	92303495	-	0.000	0.000	Merged-chr12-92303389-10
NR15196--MA0740.1.KLF14	chr12	99883547	99883560	-	0.000	0.000	Merged-chr12-99883517-13
NR696--MA0493.1.Klf1	chr1	50927286	50927296	-	0.000	0.000	Merged-chr1-50927546-47
NR15171--MA1107.1.KLF9	chr12	98628094	98628106	-	0.000	0.000	Merged-chr12-98628210-48
NR1019--MA1107.1.KLF9	chr1	66201880	66201892	+	0.000	0.000	Merged-chr1-66201710-4
NR44617--MA0741.1.KLF16	chr4	15273294	15273304	+	0.000	0.000	Merged-chr4-15273435-28
NR41337--MA1107.1.KLF9	chr3	68763111	68763123	+	0.000	0.000	Merged-chr3-68763187-8
NR50640--MA1107.1.KLF9	chr5	64455579	64455591	+	0.000	0.000	Merged-chr5-64455679-15
NR15028--MA1107.1.KLF9	chr12	91745725	91745737	+	0.000	0.000	Merged-chr12-91745848-45
NR59957--MA0493.1.Klf1	chr7	30626218	30626228	+	0.000	0.000	Merged-chr7-30626131-41
NR25892--MA0599.1.KLF5	chr16	35154885	35154894	-	0.000	0.000	Merged-chr16-35154981-11
NR18763--MA1107.1.KLF9	chr13	112824271	112824283	+	0.000	0.000	Merged-chr13-112824318-13
NR41122--MA1107.1.KLF9	chr3	55688151	55688163	-	0.000	0.000	Merged-chr3-55687980-1
NR52592--MA0493.1.Klf1	chr5	123512266	123512276	-	0.000	0.000	Merged-chr5-123512374-9
NR50890--MA0740.1.KLF14	chr5	73490930	73490943	-	0.000	0.000	Merged-chr5-73491046-72
NR8676--MA0599.1.KLF5	chr10	122755185	122755194	-	0.000	0.000	Merged-chr10-122755211-20
NR55059--MA0741.1.KLF16	chr6	38789652	38789662	+	0.000	0.000	Merged-chr6-38789563-52
NR24105--MA0740.1.KLF14	chr15	85735403	85735416	-	0.000	0.000	Merged-chr15-85735483-51
NR54633--MA0493.1.Klf1	chr6	17307666	17307676	-	0.000	0.000	Merged-chr6-17307561-30
NR62726--MA0599.1.KLF5	chr7	126285671	126285680	-	0.000	0.000	Merged-chr7-126285441-83
NR7172--MA0742.1.Klf12	chr10	80848715	80848729	+	0.000	0.000	Merged-chr10-80848752-35
NR22301--MA0741.1.KLF16	chr15	8168970	8168980	-	0.000	0.000	Merged-chr15-8169006-87
NR53379--MA0741.1.KLF16	chr5	135688968	135688978	-	0.000	0.000	Merged-chr5-135689128-71
NR981--MA0741.1.KLF16	chr1	64121728	64121738	-	0.000	0.000	Merged-chr1-64121787-120
NR110--MA0741.1.KLF16	chr1	13426241	13426251	-	0.000	0.000	Merged-chr1-13426013-7
NR3314--MA0740.1.KLF14	chr1	157017608	157017621	+	0.000	0.000	Merged-chr1-157017698-32
NR6723--MA0741.1.KLF16	chr10	75835755	75835765	+	0.000	0.000	Merged-chr10-75835813-94
NR62190--MA0741.1.KLF16	chr7	114093726	114093736	+	0.000	0.000	Merged-chr7-114093850-17
NR32705--MA0039.3.KLF4	chr18	84293565	84293575	+	0.000	0.000	Merged-chr18-84293673-106
NR4894--MA0599.1.KLF5	chr1	192532341	192532350	-	0.000	0.000	Merged-chr1-192532397-12
NR65202--MA1107.1.KLF9	chr8	69790626	69790638	+	0.000	0.000	Merged-chr8-69790538-1
NR72019--MA0741.1.KLF16	chrX	53607883	53607893	+	0.000	0.000	Merged-chrX-53607978-28
NR44598--MA0741.1.KLF16	chr4	14819949	14819959	-	0.000	0.000	Merged-chr4-14819908-10
NR16584--MA0493.1.Klf1	chr13	37453500	37453510	+	0.000	0.000	Merged-chr13-37453383-12
NR72485--MA0742.1.Klf12	chrX	113298188	113298202	-	0.000	0.000	Merged-chrX-113298172-75
NR48402--MA1107.1.KLF9	chr4	141663217	141663229	+	0.000	0.000	Merged-chr4-141663261-9
NR7326--MA0493.1.Klf1	chr10	81606091	81606101	+	0.000	0.000	Merged-chr10-81606133-64
NR1826--MA0599.1.KLF5	chr1	96871624	96871633	-	0.000	0.000	Merged-chr1-96871649-2
NR50771--MA0599.1.KLF5	chr5	66620373	66620382	-	0.000	0.000	Merged-chr5-66620441-17
NR57435--MA0740.1.KLF14	chr6	124782501	124782514	+	0.000	0.000	Merged-chr6-124782672-28
NR46352--MA1107.1.KLF9	chr4	98444865	98444877	-	0.000	0.000	Merged-chr4-98444883-15
NR2002--MA0493.1.Klf1	chr1	118459504	118459514	-	0.000	0.000	Merged-chr1-118459359-93
NR13785--MA0599.1.KLF5	chr12	28751793	28751802	-	0.000	0.000	Merged-chr12-28751781-47
NR32013--MA0740.1.KLF14	chr18	67212684	67212697	+	0.000	0.000	Merged-chr18-67212775-57
NR14176--MA0493.1.Klf1	chr12	54398449	54398459	-	0.000	0.000	Merged-chr12-54398333-42
NR5278--MA0741.1.KLF16	chr10	13993580	13993590	-	0.000	0.000	Merged-chr10-13993632-56
NR47126--MA0742.1.Klf12	chr4	120825835	120825849	+	0.000	0.000	Merged-chr4-120825889-1
NR16217--MA0493.1.Klf1	chr13	13531065	13531075	-	0.000	0.000	Merged-chr13-13531086-27
NR29978--MA0742.1.Klf12	chr17	72854434	72854448	-	0.000	0.000	Merged-chr17-72854440-12
NR71733--MA0740.1.KLF14	chrX	11664736	11664749	+	0.000	0.000	Merged-chrX-11664686-45
NR11108--MA0493.1.Klf1	chr11	76184486	76184496	-	0.000	0.000	Merged-chr11-76184587-9
NR10000--MA0741.1.KLF16	chr11	49202770	49202780	-	0.000	0.000	Merged-chr11-49202721-8
NR20126--MA0740.1.KLF14	chr14	47418256	47418269	+	0.000	0.000	Merged-chr14-47418232-53
NR15807--MA1107.1.KLF9	chr12	112629099	112629111	-	0.000	0.000	Merged-chr12-112629266-49
NR3464--MA0599.1.KLF5	chr1	161070943	161070952	-	0.000	0.000	Merged-chr1-161070949-93
NR67722--MA1107.1.KLF9	chr9	14172178	14172190	-	0.000	0.000	Merged-chr9-14171965-37
NR31586--MA0741.1.KLF16	chr18	55303712	55303722	+	0.000	0.000	Merged-chr18-55303601-6
NR68934--MA0599.1.KLF5	chr9	58112461	58112470	+	0.000	0.000	Merged-chr9-58112486-25
NR5844--MA1107.1.KLF9	chr10	43706426	43706438	-	0.000	0.000	Merged-chr10-43706280-54
NR23032--MA0599.1.KLF5	chr15	58141250	58141259	+	0.000	0.000	Merged-chr15-58141388-72
NR25627--MA1107.1.KLF9	chr16	23375105	23375117	+	0.000	0.000	Merged-chr16-23375120-32
NR16705--MA0741.1.KLF16	chr13	42049181	42049191	-	0.000	0.000	Merged-chr13-42049130-34
NR22702--MA1107.1.KLF9	chr15	38094978	38094990	+	0.000	0.000	Merged-chr15-38095035-21
NR79--MA0741.1.KLF16	chr1	11229580	11229590	+	0.000	0.000	Merged-chr1-11229597-37
NR65614--MA0740.1.KLF14	chr8	76902219	76902232	+	0.000	0.000	Merged-chr8-76902143-41
NR37625--MA0741.1.KLF16	chr2	112240501	112240511	+	0.000	0.000	Merged-chr2-112240570-1
NR52933--MA0599.1.KLF5	chr5	129715471	129715480	-	0.000	0.000	Merged-chr5-129715582-48
NR32022--MA0657.1.KLF13	chr18	67239286	67239303	-	0.000	0.000	Merged-chr18-67239336-22
NR37846--MA1107.1.KLF9	chr2	118491091	118491103	+	0.000	0.000	Merged-chr2-118491236-48
NR30491--MA0599.1.KLF5	chr17	84148971	84148980	+	0.000	0.000	Merged-chr17-84148977-32
NR32434--MA0742.1.Klf12	chr18	79257499	79257513	-	0.000	0.000	Merged-chr18-79257508-110
NR61983--MA0740.1.KLF14	chr7	108950489	108950502	+	0.000	0.000	Merged-chr7-108950745-92
NR68906--MA1107.1.KLF9	chr9	57647828	57647840	-	0.000	0.000	Merged-chr9-57647746-26
NR6822--MA1107.1.KLF9	chr10	77367042	77367054	+	0.000	0.000	Merged-chr10-77367193-51
NR30687--MA1107.1.KLF9	chr17	88597600	88597612	+	0.000	0.000	Merged-chr17-88597413-65
NR8989--MA0493.1.Klf1	chr10	128149933	128149943	+	0.000	0.000	Merged-chr10-128149784-21
NR44966--MA0599.1.KLF5	chr4	40948352	40948361	+	0.000	0.000	Merged-chr4-40948225-82
NR40391--MA0493.1.Klf1	chr3	10439631	10439641	-	0.000	0.000	Merged-chr3-10439565-1
NR138--MA0740.1.KLF14	chr1	14740132	14740145	-	0.000	0.000	Merged-chr1-14740213-10
NR61112--MA0740.1.KLF14	chr7	79592230	79592243	+	0.000	0.000	Merged-chr7-79592418-20
NR35913--MA0740.1.KLF14	chr2	36091472	36091485	+	0.000	0.000	Merged-chr2-36091401-36
NR58898--MA1107.1.KLF9	chr7	6383276	6383288	-	0.000	0.000	Merged-chr7-6383352-66
NR41650--MA0741.1.KLF16	chr3	88022959	88022969	+	0.000	0.000	Merged-chr3-88023115-51
NR36793--MA0599.1.KLF5	chr2	76648245	76648254	+	0.000	0.000	Merged-chr2-76648077-91
NR61408--MA0599.1.KLF5	chr7	89404184	89404193	-	0.000	0.000	Merged-chr7-89404144-109
NR10286--MA1107.1.KLF9	chr11	55194512	55194524	+	0.000	0.000	Merged-chr11-55194635-21
NR31172--MA0741.1.KLF16	chr18	34202689	34202699	+	0.000	0.000	Merged-chr18-34202543-19
NR46658--MA0741.1.KLF16	chr4	107434701	107434711	-	0.000	0.000	Merged-chr4-107434749-32
NR33182--MA1107.1.KLF9	chr19	7234931	7234943	+	0.000	0.000	Merged-chr19-7234989-20
NR9738--MA1107.1.KLF9	chr11	32011898	32011910	+	0.000	0.000	Merged-chr11-32012025-22
NR41770--MA0657.1.KLF13	chr3	89911444	89911461	+	0.000	0.000	Merged-chr3-89911440-10
NR44608--MA0599.1.KLF5	chr4	14930617	14930626	+	0.000	0.000	Merged-chr4-14930557-36
NR51469--MA0742.1.Klf12	chr5	99495558	99495572	+	0.000	0.000	Merged-chr5-99495568-41
NR18637--MA0741.1.KLF16	chr13	109343750	109343760	-	0.000	0.000	Merged-chr13-109343835-34
NR18810--MA0740.1.KLF14	chr13	113490607	113490620	-	0.000	0.000	Merged-chr13-113490560-4
NR52363--MA0741.1.KLF16	chr5	118661945	118661955	+	0.000	0.000	Merged-chr5-118661904-17
NR60890--MA0741.1.KLF16	chr7	66689634	66689644	-	0.000	0.000	Merged-chr7-66689788-64
NR60425--MA0493.1.Klf1	chr7	45643872	45643882	-	0.000	0.000	Merged-chr7-45643762-54
NR2579--MA1107.1.KLF9	chr1	134344789	134344801	+	0.000	0.000	Merged-chr1-134344743-32
NR53216--MA1107.1.KLF9	chr5	134373275	134373287	+	0.000	0.000	Merged-chr5-134373166-2
NR42995--MA0740.1.KLF14	chr3	123508511	123508524	-	0.000	0.000	Merged-chr3-123508551-84
NR60956--MA0741.1.KLF16	chr7	71379407	71379417	-	0.000	0.000	Merged-chr7-71379218-17
NR29079--MA0741.1.KLF16	chr17	45686242	45686252	-	0.000	0.000	Merged-chr17-45686351-100
NR23719--MA0742.1.Klf12	chr15	79038135	79038149	-	0.000	0.000	Merged-chr15-79038073-11
NR5411--MA0599.1.KLF5	chr10	21476441	21476450	+	0.000	0.000	Merged-chr10-21476462-10
NR65866--MA0740.1.KLF14	chr8	84664163	84664176	+	0.000	0.000	Merged-chr8-84664181-39
NR26149--MA0493.1.Klf1	chr16	45389937	45389947	+	0.000	0.000	Merged-chr16-45389886-49
NR22391--MA0741.1.KLF16	chr15	12371539	12371549	+	0.000	0.000	Merged-chr15-12371387-24
NR50651--MA0740.1.KLF14	chr5	64684279	64684292	+	0.000	0.000	Merged-chr5-64684447-46
NR17585--MA0599.1.KLF5	chr13	73265752	73265761	+	0.000	0.000	Merged-chr13-73265684-17
NR57487--MA0599.1.KLF5	chr6	125099460	125099469	+	0.000	0.000	Merged-chr6-125099387-32
NR45262--MA0741.1.KLF16	chr4	45766156	45766166	-	0.000	0.000	Merged-chr4-45766216-17
NR51503--MA0599.1.KLF5	chr5	99906516	99906525	+	0.000	0.000	Merged-chr5-99906466-49
NR35260--MA0741.1.KLF16	chr2	25054333	25054343	+	0.000	0.000	Merged-chr2-25054565-53
NR62725--MA1107.1.KLF9	chr7	126230482	126230494	-	0.000	0.000	Merged-chr7-126230639-34
NR14406--MA0741.1.KLF16	chr12	69680812	69680822	+	0.000	0.000	Merged-chr12-69681014-21
NR6071--MA0599.1.KLF5	chr10	59221847	59221856	-	0.000	0.000	Merged-chr10-59221913-69
NR2593--MA0493.1.Klf1	chr1	134747712	134747722	+	0.000	0.000	Merged-chr1-134747834-30
NR66453--MA0741.1.KLF16	chr8	105613998	105614008	-	0.000	0.000	Merged-chr8-105614025-28
NR49036--MA0493.1.Klf1	chr4	155050347	155050357	+	0.000	0.000	Merged-chr4-155050218-26
NR54758--MA1107.1.KLF9	chr6	28932000	28932012	+	0.000	0.000	Merged-chr6-28932026-12
NR64597--MA0599.1.KLF5	chr8	34651918	34651927	-	0.000	0.000	Merged-chr8-34651925-47
NR3003--MA0599.1.KLF5	chr1	151501042	151501051	+	0.000	0.000	Merged-chr1-151500785-93
NR808--MA0741.1.KLF16	chr1	55087886	55087896	+	0.000	0.000	Merged-chr1-55087990-104
NR23168--MA0741.1.KLF16	chr15	62079508	62079518	+	0.000	0.000	Merged-chr15-62079594-24
NR38183--MA0742.1.Klf12	chr2	128407202	128407216	+	0.000	0.000	Merged-chr2-128407229-23
NR36037--MA0741.1.KLF16	chr2	44953136	44953146	+	0.000	0.000	Merged-chr2-44953031-31
NR18889--MA0741.1.KLF16	chr13	114949266	114949276	+	0.000	0.000	Merged-chr13-114949183-17
NR72348--MA0740.1.KLF14	chrX	99136007	99136020	-	0.000	0.000	Merged-chrX-99136067-62
NR38955--MA0599.1.KLF5	chr2	151974371	151974380	-	0.000	0.000	Merged-chr2-151974232-5
NR42759--MA0493.1.Klf1	chr3	115815713	115815723	-	0.000	0.000	Merged-chr3-115815828-66
NR44803--MA0740.1.KLF14	chr4	32950899	32950912	+	0.000	0.000	Merged-chr4-32950743-79
NR65181--MA0740.1.KLF14	chr8	69193461	69193474	-	0.000	0.000	Merged-chr8-69193410-32
NR10735--MA0599.1.KLF5	chr11	69095013	69095022	-	0.000	0.000	Merged-chr11-69095094-65
NR22009--MA0493.1.Klf1	chr14	120313644	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR60088--MA0742.1.Klf12	chr7	35754531	35754545	+	0.000	0.000	Merged-chr7-35754427-56
NR14831--MA0740.1.KLF14	chr12	85375060	85375073	+	0.000	0.000	Merged-chr12-85374900-5
NR22167--MA0740.1.KLF14	chr14	122852467	122852480	-	0.000	0.000	Merged-chr14-122852603-67
NR3564--MA0741.1.KLF16	chr1	164248896	164248906	-	0.000	0.000	Merged-chr1-164249048-102
NR47215--MA0599.1.KLF5	chr4	123686655	123686664	+	0.000	0.000	Merged-chr4-123686542-1
NR22438--MA0740.1.KLF14	chr15	25622471	25622484	-	0.000	0.000	Merged-chr15-25622646-118
NR11107--MA0039.3.KLF4	chr11	76184484	76184494	-	0.000	0.000	Merged-chr11-76184587-9
NR48176--MA0741.1.KLF16	chr4	138262443	138262453	+	0.000	0.000	Merged-chr4-138262353-56
NR63167--MA0599.1.KLF5	chr7	132336890	132336899	-	0.000	0.000	Merged-chr7-132337014-20
NR12107--MA0741.1.KLF16	chr11	99150546	99150556	+	0.000	0.000	Merged-chr11-99150380-50
NR14503--MA0493.1.Klf1	chr12	71954570	71954580	+	0.000	0.000	Merged-chr12-71954531-3
NR69692--MA0493.1.Klf1	chr9	78527999	78528009	-	0.000	0.000	Merged-chr9-78528095-1
NR56103--MA0741.1.KLF16	chr6	85484620	85484630	-	0.000	0.000	Merged-chr6-85484631-14
NR46222--MA0039.3.KLF4	chr4	87669662	87669672	+	0.000	0.000	Merged-chr4-87669731-33
NR25306--MA0599.1.KLF5	chr16	13256730	13256739	-	0.000	0.000	Merged-chr16-13256575-87
NR72676--MA0599.1.KLF5	chrX	152353046	152353055	-	0.000	0.000	Merged-chrX-152352945-26
NR1289--MA0599.1.KLF5	chr1	75487853	75487862	+	0.000	0.000	Merged-chr1-75487610-71
NR31768--MA1107.1.KLF9	chr18	60844169	60844181	-	0.000	0.000	Merged-chr18-60844209-77
NR34139--MA0599.1.KLF5	chr19	46500002	46500011	+	0.000	0.000	Merged-chr19-46500051-50
NR17419--MA0493.1.Klf1	chr13	67061010	67061020	+	0.000	0.000	Merged-chr13-67060949-73
NR66614--MA0039.3.KLF4	chr8	109957366	109957376	+	0.000	0.000	Merged-chr8-109957445-42
NR62950--MA0741.1.KLF16	chr7	128633409	128633419	-	0.000	0.000	Merged-chr7-128633323-34
NR62622--MA1107.1.KLF9	chr7	122288976	122288988	-	0.000	0.000	Merged-chr7-122289082-6
NR31076--MA0741.1.KLF16	chr18	25487041	25487051	-	0.000	0.000	Merged-chr18-25487147-80
NR59333--MA0740.1.KLF14	chr7	19749760	19749773	+	0.000	0.000	Merged-chr7-19749873-53
NR27587--MA0039.3.KLF4	chr17	8372449	8372459	+	0.000	0.000	Merged-chr17-8372379-108
NR9998--MA0741.1.KLF16	chr11	49202768	49202778	-	0.000	0.000	Merged-chr11-49202721-8
NR25430--MA1107.1.KLF9	chr16	17132459	17132471	+	0.000	0.000	Merged-chr16-17132166-88
NR18746--MA0741.1.KLF16	chr13	112354962	112354972	-	0.000	0.000	Merged-chr13-112355130-25
NR36257--MA0740.1.KLF14	chr2	57253109	57253122	-	0.000	0.000	Merged-chr2-57253205-15
NR41329--MA0493.1.Klf1	chr3	68763070	68763080	-	0.000	0.000	Merged-chr3-68763187-8
NR9127--MA0741.1.KLF16	chr11	3863941	3863951	-	0.000	0.000	Merged-chr11-3863952-34
NR44541--MA0657.1.KLF13	chr4	11455278	11455295	-	0.000	0.000	Merged-chr4-11455280-34
NR7176--MA0741.1.KLF16	chr10	80848716	80848726	+	0.000	0.000	Merged-chr10-80848752-35
NR26090--MA1107.1.KLF9	chr16	44320489	44320501	+	0.000	0.000	Merged-chr16-44320422-17
NR64494--MA0599.1.KLF5	chr8	27023839	27023848	-	0.000	0.000	Merged-chr8-27023676-72
NR6164--MA1107.1.KLF9	chr10	60746571	60746583	+	0.000	0.000	Merged-chr10-60746399-1
NR41588--MA1107.1.KLF9	chr3	86104012	86104024	-	0.000	0.000	Merged-chr3-86103938-30
NR18675--MA0599.1.KLF5	chr13	110394964	110394973	-	0.000	0.000	Merged-chr13-110394904-109
NR32897--MA0740.1.KLF14	chr19	4148554	4148567	-	0.000	0.000	Merged-chr19-4148597-46
NR5767--MA0741.1.KLF16	chr10	42018397	42018407	-	0.000	0.000	Merged-chr10-42018378-38
NR39532--MA0742.1.Klf12	chr2	165854757	165854771	-	0.000	0.000	Merged-chr2-165854688-17
NR32026--MA0740.1.KLF14	chr18	67289139	67289152	-	0.000	0.000	Merged-chr18-67289383-133
NR580--MA0741.1.KLF16	chr1	40228152	40228162	-	0.000	0.000	Merged-chr1-40228252-23
NR31988--MA0493.1.Klf1	chr18	66502014	66502024	-	0.000	0.000	Merged-chr18-66502099-22
NR12564--MA0741.1.KLF16	chr11	109375504	109375514	-	0.000	0.000	Merged-chr11-109375589-56
NR71778--MA0741.1.KLF16	chrX	12128475	12128485	+	0.000	0.000	Merged-chrX-12128389-23
NR22837--MA0741.1.KLF16	chr15	44748516	44748526	+	0.000	0.000	Merged-chr15-44748463-50
NR67185--MA1107.1.KLF9	chr8	121898639	121898651	-	0.000	0.000	Merged-chr8-121898554-47
NR56084--MA0741.1.KLF16	chr6	85339432	85339442	+	0.000	0.000	Merged-chr6-85339410-34
NR43757--MA0741.1.KLF16	chr3	144202492	144202502	+	0.000	0.000	Merged-chr3-144202292-71
NR70034--MA1107.1.KLF9	chr9	88858897	88858909	-	0.000	0.000	Merged-chr9-88858930-57
NR1265--MA0741.1.KLF16	chr1	75218310	75218320	-	0.000	0.000	Merged-chr1-75218362-9
NR16267--MA0599.1.KLF5	chr13	19177852	19177861	+	0.000	0.000	Merged-chr13-19177849-31
NR25570--MA0599.1.KLF5	chr16	21310909	21310918	+	0.000	0.000	Merged-chr16-21310892-31
NR47121--MA0599.1.KLF5	chr4	120825617	120825626	-	0.000	0.000	Merged-chr4-120825534-85
NR45286--MA0599.1.KLF5	chr4	46138430	46138439	+	0.000	0.000	Merged-chr4-46138589-84
NR69902--MA1107.1.KLF9	chr9	85319583	85319595	-	0.000	0.000	Merged-chr9-85319747-2
NR56845--MA0599.1.KLF5	chr6	108571218	108571227	+	0.000	0.000	Merged-chr6-108571232-71
NR64803--MA0599.1.KLF5	chr8	46551978	46551987	+	0.000	0.000	Merged-chr8-46552010-50
NR68182--MA0599.1.KLF5	chr9	32740970	32740979	+	0.000	0.000	Merged-chr9-32741073-58
NR54675--MA0741.1.KLF16	chr6	18848804	18848814	-	0.000	0.000	Merged-chr6-18848640-86
NR1233--MA0740.1.KLF14	chr1	75125200	75125213	+	0.000	0.000	Merged-chr1-75124981-94
NR70916--MA1107.1.KLF9	chr9	112185872	112185884	+	0.000	0.000	Merged-chr9-112185998-1
NR54795--MA0599.1.KLF5	chr6	29513369	29513378	-	0.000	0.000	Merged-chr6-29513467-24
NR20667--MA0599.1.KLF5	chr14	63193861	63193870	+	0.000	0.000	Merged-chr14-63193803-41
NR34599--MA1107.1.KLF9	chr19	59650731	59650743	-	0.000	0.000	Merged-chr19-59650746-15
NR72868--MA0493.1.Klf1	chrX	162643655	162643665	+	0.000	0.000	Merged-chrX-162643590-34
NR9823--MA0740.1.KLF14	chr11	35838495	35838508	-	0.000	0.000	Merged-chr11-35838525-24
NR6139--MA0742.1.Klf12	chr10	60160929	60160943	+	0.000	0.000	Merged-chr10-60161046-15
NR43634--MA0493.1.Klf1	chr3	138861211	138861221	+	0.000	0.000	Merged-chr3-138861130-9
NR60922--MA0741.1.KLF16	chr7	68189868	68189878	+	0.000	0.000	Merged-chr7-68190151-33
NR3236--MA0599.1.KLF5	chr1	155742408	155742417	-	0.000	0.000	Merged-chr1-155742292-41
NR44859--MA0657.1.KLF13	chr4	33310291	33310308	-	0.000	0.000	Merged-chr4-33310385-59
NR41235--MA0493.1.Klf1	chr3	65528335	65528345	+	0.000	0.000	Merged-chr3-65528577-171
NR57147--MA0599.1.KLF5	chr6	117937311	117937320	-	0.000	0.000	Merged-chr6-117937569-43
NR21049--MA0493.1.Klf1	chr14	74918735	74918745	-	0.000	0.000	Merged-chr14-74918775-39
NR59321--MA1107.1.KLF9	chr7	19665133	19665145	+	0.000	0.000	Merged-chr7-19665223-91
NR46264--MA0599.1.KLF5	chr4	89137628	89137637	-	0.000	0.000	Merged-chr4-89137676-98
NR57203--MA0742.1.Klf12	chr6	119395786	119395800	-	0.000	0.000	Merged-chr6-119395821-77
NR45894--MA0741.1.KLF16	chr4	63948355	63948365	+	0.000	0.000	Merged-chr4-63948222-34
NR3021--MA0599.1.KLF5	chr1	152090404	152090413	-	0.000	0.000	Merged-chr1-152090175-114
NR14767--MA0741.1.KLF16	chr12	82187382	82187392	+	0.000	0.000	Merged-chr12-82187311-20
NR55988--MA0599.1.KLF5	chr6	82740533	82740542	-	0.000	0.000	Merged-chr6-82740470-44
NR50068--MA0493.1.Klf1	chr5	36484397	36484407	+	0.000	0.000	Merged-chr5-36484302-70
NR35381--MA0599.1.KLF5	chr2	26445362	26445371	+	0.000	0.000	Merged-chr2-26445495-99
NR58553--MA0039.3.KLF4	chr6	145002297	145002307	-	0.000	0.000	Merged-chr6-145002461-23
NR55777--MA0657.1.KLF13	chr6	67146672	67146689	-	0.000	0.000	Merged-chr6-67146910-15
NR15195--MA0599.1.KLF5	chr12	99883425	99883434	+	0.000	0.000	Merged-chr12-99883517-13
NR22423--MA0741.1.KLF16	chr15	25269713	25269723	-	0.000	0.000	Merged-chr15-25269773-79
NR63108--MA0741.1.KLF16	chr7	131560219	131560229	-	0.000	0.000	Merged-chr7-131560404-101
NR37909--MA0741.1.KLF16	chr2	119742873	119742883	-	0.000	0.000	Merged-chr2-119742846-8
NR41902--MA0493.1.Klf1	chr3	94483005	94483015	-	0.000	0.000	Merged-chr3-94482974-4
NR72215--MA0599.1.KLF5	chrX	74249944	74249953	-	0.000	0.000	Merged-chrX-74249872-9
NR66780--MA1107.1.KLF9	chr8	115136875	115136887	+	0.000	0.000	Merged-chr8-115136921-34
NR61601--MA0740.1.KLF14	chr7	97738062	97738075	+	0.000	0.000	Merged-chr7-97737968-59
NR38973--MA0599.1.KLF5	chr2	152293829	152293838	-	0.000	0.000	Merged-chr2-152293907-74
NR23349--MA1107.1.KLF9	chr15	73137751	73137763	+	0.000	0.000	Merged-chr15-73137730-76
NR12466--MA1107.1.KLF9	chr11	106057116	106057128	-	0.000	0.000	Merged-chr11-106057103-42
