#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR7778--MA0501.1.MAF::NFE2	chr2	59969361	59969375	-	0.000	0.000	Merged-chr2-59969233-23
NR2967--MA0496.2.MAFK	chr12	36474438	36474456	-	0.000	0.000	Merged-chr12-36474390-19
NR10933--MA0089.1.MAFG::NFE2L1	chr5	64472510	64472515	-	0.000	0.000	Merged-chr5-64472447-77
NR5232--MA0089.1.MAFG::NFE2L1	chr15	62091866	62091871	-	0.000	0.000	Merged-chr15-62091960-25
NR113--MA0501.1.MAF::NFE2	chr1	33454547	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR636--MA0496.2.MAFK	chr1	119469664	119469682	-	0.000	0.000	Merged-chr1-119469584-5
NR3269--MA0496.2.MAFK	chr12	98674815	98674833	+	0.000	0.000	Merged-chr12-98674935-52
NR7217--MA0089.1.MAFG::NFE2L1	chr19	16329332	16329337	-	0.000	0.000	Merged-chr19-16329432-55
NR9282--MA0117.2.Mafb	chr3	104963576	104963587	-	0.000	0.000	Merged-chr3-104963538-12
NR12803--MA0089.1.MAFG::NFE2L1	chr7	72270218	72270223	-	0.000	0.000	Merged-chr7-72270231-51
NR2244--MA0089.1.MAFG::NFE2L1	chr11	21253668	21253673	+	0.000	0.000	Merged-chr11-21253599-7
NR7292--MA0089.1.MAFG::NFE2L1	chr19	30113498	30113503	+	0.000	0.000	Merged-chr19-30113626-34
NR1881--MA0089.1.MAFG::NFE2L1	chr10	95914631	95914636	-	0.000	0.000	Merged-chr10-95914776-60
NR12722--MA0591.1.Bach1::Mafk	chr7	51964852	51964866	+	0.000	0.000	Merged-chr7-51964767-12
NR6377--MA0591.1.Bach1::Mafk	chr17	48404019	48404033	-	0.000	0.000	Merged-chr17-48404057-9
NR8724--MA0089.1.MAFG::NFE2L1	chr2	177464762	177464767	-	0.000	0.000	Merged-chr2-177464769-67
NR2379--MA0501.1.MAF::NFE2	chr11	51832673	51832687	+	0.000	0.000	Merged-chr11-51832716-20
NR10147--MA0501.1.MAF::NFE2	chr4	100095987	100096001	-	0.000	0.000	Merged-chr4-100096138-68
NR1467--MA0591.1.Bach1::Mafk	chr10	39242121	39242135	-	0.000	0.000	Merged-chr10-39242080-33
NR6578--MA0089.1.MAFG::NFE2L1	chr17	85189505	85189510	-	0.000	0.000	Merged-chr17-85189630-51
NR13067--MA0089.1.MAFG::NFE2L1	chr7	112225753	112225758	+	0.000	0.000	Merged-chr7-112225883-54
NR6450--MA0089.1.MAFG::NFE2L1	chr17	64826307	64826312	-	0.000	0.000	Merged-chr17-64826379-6
NR10260--MA0117.2.Mafb	chr4	111577510	111577521	+	0.000	0.000	Merged-chr4-111577435-1
NR6568--MA0501.1.MAF::NFE2	chr17	83483867	83483881	-	0.000	0.000	Merged-chr17-83484048-22
NR10391--MA0501.1.MAF::NFE2	chr4	131046480	131046494	-	0.000	0.000	Merged-chr4-131046528-13
NR3260--MA0089.1.MAFG::NFE2L1	chr12	98249903	98249908	-	0.000	0.000	Merged-chr12-98249926-13
NR8870--MA0591.1.Bach1::Mafk	chr3	33800168	33800182	+	0.000	0.000	Merged-chr3-33800015-65
NR2759--MA0117.2.Mafb	chr11	109785552	109785563	-	0.000	0.000	Merged-chr11-109785498-8
NR7247--MA0591.1.Bach1::Mafk	chr19	21200066	21200080	+	0.000	0.000	Merged-chr19-21199898-12
NR6114--MA0495.2.MAFF	chr17	5126119	5126139	+	0.000	0.000	Merged-chr17-5126157-22
NR11444--MA0117.2.Mafb	chr5	146904463	146904474	+	0.000	0.000	Merged-chr5-146904592-30
NR11499--MA0089.1.MAFG::NFE2L1	chr6	6217169	6217174	-	0.000	0.000	Merged-chr6-6217012-81
NR10079--MA0089.1.MAFG::NFE2L1	chr4	88179470	88179475	-	0.000	0.000	Merged-chr4-88179548-21
NR4740--MA0495.2.MAFF	chr14	73472443	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR64--MA0496.2.MAFK	chr1	20926482	20926500	+	0.000	0.000	Merged-chr1-20926362-24
NR7395--MA0501.1.MAF::NFE2	chr19	55383078	55383092	-	0.000	0.000	Merged-chr19-55383240-23
NR9148--MA0117.2.Mafb	chr3	89876585	89876596	-	0.000	0.000	Merged-chr3-89876737-10
NR8752--MA0117.2.Mafb	chr2	180227698	180227709	+	0.000	0.000	Merged-chr2-180227803-24
NR10366--MA0495.2.MAFF	chr4	128713568	128713588	-	0.000	0.000	Merged-chr4-128713412-15
NR5008--MA0117.2.Mafb	chr14	122453889	122453900	+	0.000	0.000	Merged-chr14-122453892-19
NR12615--MA0591.1.Bach1::Mafk	chr7	24237724	24237738	+	0.000	0.000	Merged-chr7-24237656-23
NR6261--MA0089.1.MAFG::NFE2L1	chr17	29552560	29552565	+	0.000	0.000	Merged-chr17-29552502-38
NR10051--MA0089.1.MAFG::NFE2L1	chr4	83485784	83485789	-	0.000	0.000	Merged-chr4-83485831-3
NR13222--MA0501.1.MAF::NFE2	chr7	129764597	129764611	-	0.000	0.000	Merged-chr7-129764736-16
NR1919--MA0089.1.MAFG::NFE2L1	chr10	99592301	99592306	-	0.000	0.000	Merged-chr10-99592304-27
NR505--MA0591.1.Bach1::Mafk	chr1	92799880	92799894	-	0.000	0.000	Merged-chr1-92799887-22
NR4964--MA0495.2.MAFF	chr14	119227930	119227950	+	0.000	0.000	Merged-chr14-119227938-9
NR12313--MA0495.2.MAFF	chr6	130429677	130429697	+	0.000	0.000	Merged-chr6-130429681-16
NR8763--MA0591.1.Bach1::Mafk	chr2	180822556	180822570	+	0.000	0.000	Merged-chr2-180822678-8
NR12646--MA0117.2.Mafb	chr7	30608044	30608055	+	0.000	0.000	Merged-chr7-30607986-27
NR9842--MA0117.2.Mafb	chr4	33310234	33310245	-	0.000	0.000	Merged-chr4-33310385-59
NR369--MA0089.1.MAFG::NFE2L1	chr1	79859555	79859560	+	0.000	0.000	Merged-chr1-79859601-7
NR10468--MA0089.1.MAFG::NFE2L1	chr4	143190922	143190927	+	0.000	0.000	Merged-chr4-143190909-19
NR9614--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR5970--MA0501.1.MAF::NFE2	chr16	87602945	87602959	-	0.000	0.000	Merged-chr16-87603079-11
NR10353--MA0089.1.MAFG::NFE2L1	chr4	126090367	126090372	-	0.000	0.000	Merged-chr4-126090420-25
NR8757--MA0659.1.MAFG	chr2	180227843	180227863	-	0.000	0.000	Merged-chr2-180227803-24
NR9146--MA0496.2.MAFK	chr3	89727208	89727226	-	0.000	0.000	Merged-chr3-89727230-25
NR14808--MA0117.2.Mafb	chrX	7866003	7866014	-	0.000	0.000	Merged-chrX-7865862-63
NR11362--MA0495.2.MAFF	chr5	136550856	136550876	+	0.000	0.000	Merged-chr5-136550897-14
NR3199--MA0089.1.MAFG::NFE2L1	chr12	89950227	89950232	-	0.000	0.000	Merged-chr12-89950260-14
NR2437--MA0117.2.Mafb	chr11	59226461	59226472	-	0.000	0.000	Merged-chr11-59226578-39
NR3084--MA0089.1.MAFG::NFE2L1	chr12	69863711	69863716	-	0.000	0.000	Merged-chr12-69863671-25
NR1914--MA0495.2.MAFF	chr10	99459977	99459997	-	0.000	0.000	Merged-chr10-99459996-60
NR14398--MA0089.1.MAFG::NFE2L1	chr9	74975993	74975998	+	0.000	0.000	Merged-chr9-74976047-58
NR2099--MA0496.2.MAFK	chr10	127114589	127114607	+	0.000	0.000	Merged-chr10-127114470-4
NR6489--MA0089.1.MAFG::NFE2L1	chr17	70851897	70851902	-	0.000	0.000	Merged-chr17-70852117-218
NR6865--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR5445--MA0089.1.MAFG::NFE2L1	chr15	100189188	100189193	+	0.000	0.000	Merged-chr15-100189073-42
NR9632--MA0659.1.MAFG	chr3	146776671	146776691	-	0.000	0.000	Merged-chr3-146776816-2
NR14851--MA0495.2.MAFF	chrX	42336960	42336980	-	0.000	0.000	Merged-chrX-42336875-23
NR357--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR5190--MA0495.2.MAFF	chr15	55327531	55327551	-	0.000	0.000	Merged-chr15-55327422-12
NR6022--MA0117.2.Mafb	chr16	91964762	91964773	-	0.000	0.000	Merged-chr16-91964745-42
NR4188--MA0591.1.Bach1::Mafk	chr13	111265745	111265759	+	0.000	0.000	Merged-chr13-111265821-37
NR5532--MA0089.1.MAFG::NFE2L1	chr16	17024650	17024655	-	0.000	0.000	Merged-chr16-17024705-22
NR10903--MA0496.2.MAFK	chr5	58084108	58084126	+	0.000	0.000	Merged-chr5-58084122-29
NR8853--MA0501.1.MAF::NFE2	chr3	28317954	28317968	-	0.000	0.000	Merged-chr3-28318064-9
NR2362--MA0591.1.Bach1::Mafk	chr11	49695208	49695222	+	0.000	0.000	Merged-chr11-49695258-6
NR8446--MA0089.1.MAFG::NFE2L1	chr2	147744133	147744138	+	0.000	0.000	Merged-chr2-147744071-13
NR13583--MA0501.1.MAF::NFE2	chr8	68674322	68674336	+	0.000	0.000	Merged-chr8-68674402-29
NR2544--MA0089.1.MAFG::NFE2L1	chr11	76677238	76677243	-	0.000	0.000	Merged-chr11-76677169-5
NR9943--MA0496.2.MAFK	chr4	57295322	57295340	+	0.000	0.000	Merged-chr4-57295265-18
NR11725--MA0591.1.Bach1::Mafk	chr6	53704642	53704656	+	0.000	0.000	Merged-chr6-53704558-10
NR12121--MA0089.1.MAFG::NFE2L1	chr6	114905013	114905018	+	0.000	0.000	Merged-chr6-114905018-60
NR2053--MA0089.1.MAFG::NFE2L1	chr10	122748724	122748729	-	0.000	0.000	Merged-chr10-122748643-28
NR6801--MA0117.2.Mafb	chr18	44812208	44812219	+	0.000	0.000	Merged-chr18-44812125-32
NR118--MA0495.2.MAFF	chr1	33757036	33757056	-	0.000	0.000	Merged-chr1-33757115-3
NR2567--MA0117.2.Mafb	chr11	80043596	80043607	+	0.000	0.000	Merged-chr11-80043547-27
NR7318--MA0117.2.Mafb	chr19	36183567	36183578	+	0.000	0.000	Merged-chr19-36183401-31
NR3762--MA0496.2.MAFK	chr13	45623916	45623934	-	0.000	0.000	Merged-chr13-45624002-39
NR7617--MA0089.1.MAFG::NFE2L1	chr2	33746603	33746608	+	0.000	0.000	Merged-chr2-33746692-5
NR6559--MA0501.1.MAF::NFE2	chr17	80621198	80621212	-	0.000	0.000	Merged-chr17-80621176-31
NR12645--MA0501.1.MAF::NFE2	chr7	30432018	30432032	+	0.000	0.000	Merged-chr7-30431947-18
NR10382--MA0501.1.MAF::NFE2	chr4	129987951	129987965	-	0.000	0.000	Merged-chr4-129987965-32
NR4553--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR55--MA0501.1.MAF::NFE2	chr1	15544449	15544463	+	0.000	0.000	Merged-chr1-15544410-27
NR2268--MA0089.1.MAFG::NFE2L1	chr11	29560810	29560815	-	0.000	0.000	Merged-chr11-29560805-27
NR10553--MA0089.1.MAFG::NFE2L1	chr4	149854336	149854341	-	0.000	0.000	Merged-chr4-149854542-67
NR9838--MA0117.2.Mafb	chr4	32405326	32405337	+	0.000	0.000	Merged-chr4-32405236-4
NR3682--MA0495.2.MAFF	chr13	36203199	36203219	+	0.000	0.000	Merged-chr13-36203222-10
NR2332--MA0496.2.MAFK	chr11	43748047	43748065	-	0.000	0.000	Merged-chr11-43747947-60
NR9677--MA0089.1.MAFG::NFE2L1	chr3	153411717	153411722	-	0.000	0.000	Merged-chr3-153411590-2
NR1426--MA0089.1.MAFG::NFE2L1	chr10	26359169	26359174	-	0.000	0.000	Merged-chr10-26358949-44
NR13167--MA0591.1.Bach1::Mafk	chr7	123327115	123327129	+	0.000	0.000	Merged-chr7-123327122-14
NR7894--MA0089.1.MAFG::NFE2L1	chr2	78915030	78915035	+	0.000	0.000	Merged-chr2-78915095-10
NR8633--MA0089.1.MAFG::NFE2L1	chr2	169398676	169398681	-	0.000	0.000	Merged-chr2-169398588-9
NR4791--MA0591.1.Bach1::Mafk	chr14	79587588	79587602	-	0.000	0.000	Merged-chr14-79587561-73
NR9786--MA0591.1.Bach1::Mafk	chr4	14819961	14819975	+	0.000	0.000	Merged-chr4-14819908-10
NR2252--MA0495.2.MAFF	chr11	23570306	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR3833--MA0591.1.Bach1::Mafk	chr13	58206785	58206799	-	0.000	0.000	Merged-chr13-58206802-1
NR10279--MA0659.1.MAFG	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR12277--MA0501.1.MAF::NFE2	chr6	128345846	128345860	+	0.000	0.000	Merged-chr6-128345779-18
NR14974--MA0089.1.MAFG::NFE2L1	chrX	106136097	106136102	-	0.000	0.000	Merged-chrX-106135909-80
NR10080--MA0495.2.MAFF	chr4	88236992	88237012	+	0.000	0.000	Merged-chr4-88237071-4
NR14721--MA0496.2.MAFK	chr9	116319685	116319703	+	0.000	0.000	Merged-chr9-116319642-35
NR7108--MA0659.1.MAFG	chr18	84159131	84159151	+	0.000	0.000	Merged-chr18-84159275-32
NR10962--MA0495.2.MAFF	chr5	68033468	68033488	+	0.000	0.000	Merged-chr5-68033501-23
NR10432--MA0501.1.MAF::NFE2	chr4	136031454	136031468	+	0.000	0.000	Merged-chr4-136031447-41
NR13683--MA0591.1.Bach1::Mafk	chr8	78738754	78738768	+	0.000	0.000	Merged-chr8-78738869-6
NR15023--MA0496.2.MAFK	chrX	139610653	139610671	+	0.000	0.000	Merged-chrX-139610581-86
NR4606--MA0496.2.MAFK	chr14	54222619	54222637	-	0.000	0.000	Merged-chr14-54222562-63
NR7101--MA0496.2.MAFK	chr18	82868219	82868237	+	0.000	0.000	Merged-chr18-82868234-58
NR8935--MA0089.1.MAFG::NFE2L1	chr3	52272706	52272711	+	0.000	0.000	Merged-chr3-52272680-5
NR467--MA0089.1.MAFG::NFE2L1	chr1	90739103	90739108	+	0.000	0.000	Merged-chr1-90739110-18
NR5942--MA0496.2.MAFK	chr16	77644508	77644526	+	0.000	0.000	Merged-chr16-77644361-24
NR6244--MA0496.2.MAFK	chr17	27027475	27027493	+	0.000	0.000	Merged-chr17-27027661-33
NR3491--MA0501.1.MAF::NFE2	chr12	116467319	116467333	+	0.000	0.000	Merged-chr12-116467208-51
NR4870--MA0496.2.MAFK	chr14	101470025	101470043	+	0.000	0.000	Merged-chr14-101470106-24
NR2270--MA0495.2.MAFF	chr11	31824815	31824835	-	0.000	0.000	Merged-chr11-31824780-24
NR10878--MA0591.1.Bach1::Mafk	chr5	53543573	53543587	-	0.000	0.000	Merged-chr5-53543664-17
NR5940--MA0591.1.Bach1::Mafk	chr16	77644510	77644524	+	0.000	0.000	Merged-chr16-77644361-24
NR8646--MA0089.1.MAFG::NFE2L1	chr2	170247903	170247908	+	0.000	0.000	Merged-chr2-170247949-28
NR10160--MA0501.1.MAF::NFE2	chr4	101142025	101142039	-	0.000	0.000	Merged-chr4-101141952-10
NR178--MA0089.1.MAFG::NFE2L1	chr1	43299651	43299656	-	0.000	0.000	Merged-chr1-43299668-27
NR10297--MA0659.1.MAFG	chr4	118078607	118078627	+	0.000	0.000	Merged-chr4-118078644-25
NR554--MA0089.1.MAFG::NFE2L1	chr1	104215344	104215349	+	0.000	0.000	Merged-chr1-104215254-1
NR7602--MA0089.1.MAFG::NFE2L1	chr2	32037457	32037462	-	0.000	0.000	Merged-chr2-32037609-52
NR12147--MA0591.1.Bach1::Mafk	chr6	116628692	116628706	-	0.000	0.000	Merged-chr6-116628813-88
NR7792--MA0089.1.MAFG::NFE2L1	chr2	61563435	61563440	+	0.000	0.000	Merged-chr2-61563608-27
NR7111--MA0089.1.MAFG::NFE2L1	chr18	84688503	84688508	-	0.000	0.000	Merged-chr18-84688561-12
NR10162--MA0089.1.MAFG::NFE2L1	chr4	101356210	101356215	-	0.000	0.000	Merged-chr4-101356432-43
NR8677--MA0659.1.MAFG	chr2	172977503	172977523	+	0.000	0.000	Merged-chr2-172977593-131
NR8332--MA0117.2.Mafb	chr2	133020646	133020657	-	0.000	0.000	Merged-chr2-133020601-19
NR10281--MA0496.2.MAFK	chr4	116018507	116018525	+	0.000	0.000	Merged-chr4-116018460-3
NR13076--MA0089.1.MAFG::NFE2L1	chr7	113143717	113143722	+	0.000	0.000	Merged-chr7-113143723-32
NR9551--MA0591.1.Bach1::Mafk	chr3	137981532	137981546	-	0.000	0.000	Merged-chr3-137981566-6
NR5616--MA0495.2.MAFF	chr16	30676264	30676284	-	0.000	0.000	Merged-chr16-30676152-12
NR14640--MA0591.1.Bach1::Mafk	chr9	108150738	108150752	-	0.000	0.000	Merged-chr9-108150702-30
NR7466--MA0117.2.Mafb	chr2	6220407	6220418	-	0.000	0.000	Merged-chr2-6220387-36
NR8295--MA0591.1.Bach1::Mafk	chr2	128465764	128465778	+	0.000	0.000	Merged-chr2-128465659-44
NR150--MA0089.1.MAFG::NFE2L1	chr1	39235259	39235264	+	0.000	0.000	Merged-chr1-39235066-45
NR3208--MA0495.2.MAFF	chr12	91604327	91604347	+	0.000	0.000	Merged-chr12-91604206-14,Merged-chr12-91604478-1
NR13667--MA0089.1.MAFG::NFE2L1	chr8	77435129	77435134	+	0.000	0.000	Merged-chr8-77435130-10
NR10088--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR7810--MA0591.1.Bach1::Mafk	chr2	65170813	65170827	+	0.000	0.000	Merged-chr2-65170889-79
NR14296--MA0496.2.MAFK	chr9	48538399	48538417	-	0.000	0.000	Merged-chr9-48538454-59
NR9774--MA0495.2.MAFF	chr4	11887894	11887914	-	0.000	0.000	Merged-chr4-11887917-34
NR6589--MA0496.2.MAFK	chr17	86063693	86063711	-	0.000	0.000	Merged-chr17-86063661-27
NR5770--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR875--MA0591.1.Bach1::Mafk	chr1	155040533	155040547	+	0.000	0.000	Merged-chr1-155040391-76
NR7310--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR12555--MA0496.2.MAFK	chr7	12965899	12965917	-	0.000	0.000	Merged-chr7-12966009-60
NR4049--MA0089.1.MAFG::NFE2L1	chr13	97406726	97406731	+	0.000	0.000	Merged-chr13-97406780-35
NR7008--MA0495.2.MAFF	chr18	75304849	75304869	-	0.000	0.000	Merged-chr18-75304696-39
NR6083--MA0591.1.Bach1::Mafk	chr16	95893659	95893673	+	0.000	0.000	Merged-chr16-95893684-47
NR11364--MA0591.1.Bach1::Mafk	chr5	136550859	136550873	+	0.000	0.000	Merged-chr5-136550897-14
NR11148--MA0495.2.MAFF	chr5	103367068	103367088	+	0.000	0.000	Merged-chr5-103367276-46
NR1500--MA0117.2.Mafb	chr10	43919090	43919101	-	0.000	0.000	Merged-chr10-43919152-21
NR7690--MA0089.1.MAFG::NFE2L1	chr2	48315527	48315532	-	0.000	0.000	Merged-chr2-48315490-45
NR951--MA0495.2.MAFF	chr1	164395262	164395282	+	0.000	0.000	Merged-chr1-164395295-18
NR13674--MA0117.2.Mafb	chr8	77713970	77713981	+	0.000	0.000	Merged-chr8-77713879-9
NR14319--MA0089.1.MAFG::NFE2L1	chr9	56128376	56128381	+	0.000	0.000	Merged-chr9-56128365-14
NR3776--MA0496.2.MAFK	chr13	48516053	48516071	-	0.000	0.000	Merged-chr13-48516187-54
NR12549--MA0089.1.MAFG::NFE2L1	chr7	11043685	11043690	-	0.000	0.000	Merged-chr7-11043649-12
NR9995--MA0501.1.MAF::NFE2	chr4	62739899	62739913	+	0.000	0.000	Merged-chr4-62739923-10
NR8992--MA0501.1.MAF::NFE2	chr3	61344212	61344226	+	0.000	0.000	Merged-chr3-61344207-16
NR4136--MA0089.1.MAFG::NFE2L1	chr13	106957535	106957540	-	0.000	0.000	Merged-chr13-106957693-14
NR10766--MA0089.1.MAFG::NFE2L1	chr5	30869665	30869670	-	0.000	0.000	Merged-chr5-30869662-46
NR5769--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR10268--MA0496.2.MAFK	chr4	114173170	114173188	-	0.000	0.000	Merged-chr4-114173056-28
NR11695--MA0089.1.MAFG::NFE2L1	chr6	48723848	48723853	-	0.000	0.000	Merged-chr6-48723812-13
NR9899--MA0501.1.MAF::NFE2	chr4	46560566	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR9209--MA0089.1.MAFG::NFE2L1	chr3	95650722	95650727	-	0.000	0.000	Merged-chr3-95650788-36
NR2365--MA0591.1.Bach1::Mafk	chr11	50827805	50827819	-	0.000	0.000	Merged-chr11-50827649-66
NR4705--MA0501.1.MAF::NFE2	chr14	70341442	70341456	-	0.000	0.000	Merged-chr14-70341335-48
NR12023--MA0495.2.MAFF	chr6	99388885	99388905	-	0.000	0.000	Merged-chr6-99389059-78
NR14894--MA0659.1.MAFG	chrX	71468813	71468833	-	0.000	0.000	Merged-chrX-71468864-48
NR124--MA0591.1.Bach1::Mafk	chr1	34849958	34849972	+	0.000	0.000	Merged-chr1-34850042-48
NR8731--MA0089.1.MAFG::NFE2L1	chr2	178023295	178023300	-	0.000	0.000	Merged-chr2-178023358-56
NR9411--MA0496.2.MAFK	chr3	121874813	121874831	-	0.000	0.000	Merged-chr3-121874730-10
NR9617--MA0496.2.MAFK	chr3	146063413	146063431	-	0.000	0.000	Merged-chr3-146063322-20
NR14506--MA0089.1.MAFG::NFE2L1	chr9	89874684	89874689	-	0.000	0.000	Merged-chr9-89874599-29
NR14696--MA0089.1.MAFG::NFE2L1	chr9	115088472	115088477	+	0.000	0.000	Merged-chr9-115088492-13
NR14876--MA0117.2.Mafb	chrX	57177642	57177653	+	0.000	0.000	Merged-chrX-57177488-49
NR12135--MA0495.2.MAFF	chr6	116287117	116287137	+	0.000	0.000	Merged-chr6-116287137-8
NR11589--MA0501.1.MAF::NFE2	chr6	24894762	24894776	+	0.000	0.000	Merged-chr6-24894743-37
NR10976--MA0495.2.MAFF	chr5	73199743	73199763	-	0.000	0.000	Merged-chr5-73199876-43
NR10953--MA0089.1.MAFG::NFE2L1	chr5	67260613	67260618	-	0.000	0.000	Merged-chr5-67260794-69
NR8785--MA0501.1.MAF::NFE2	chr3	9500065	9500079	-	0.000	0.000	Merged-chr3-9499976-58
NR5063--MA0591.1.Bach1::Mafk	chr15	18821598	18821612	+	0.000	0.000	Merged-chr15-18821535-37
NR2751--MA0501.1.MAF::NFE2	chr11	109410576	109410590	+	0.000	0.000	Merged-chr11-109410653-15
NR9721--MA0501.1.MAF::NFE2	chr3	157884228	157884242	-	0.000	0.000	Merged-chr3-157884103-23
NR14217--MA0089.1.MAFG::NFE2L1	chr9	37244836	37244841	+	0.000	0.000	Merged-chr9-37244873-24
NR3799--MA0089.1.MAFG::NFE2L1	chr13	51814101	51814106	+	0.000	0.000	Merged-chr13-51814319-87
NR8451--MA0496.2.MAFK	chr2	147744119	147744137	-	0.000	0.000	Merged-chr2-147744071-13
NR4034--MA0089.1.MAFG::NFE2L1	chr13	93593449	93593454	+	0.000	0.000	Merged-chr13-93593412-57
NR6399--MA0117.2.Mafb	chr17	51408639	51408650	-	0.000	0.000	Merged-chr17-51408616-68
NR12448--MA0496.2.MAFK	chr6	143132508	143132526	-	0.000	0.000	Merged-chr6-143132490-15
NR6577--MA0591.1.Bach1::Mafk	chr17	84633518	84633532	+	0.000	0.000	Merged-chr17-84633706-27
NR5862--MA0496.2.MAFK	chr16	64796758	64796776	-	0.000	0.000	Merged-chr16-64796887-9
NR3262--MA0495.2.MAFF	chr12	98269928	98269948	-	0.000	0.000	Merged-chr12-98269804-132
NR13954--MA0089.1.MAFG::NFE2L1	chr8	117395469	117395474	+	0.000	0.000	Merged-chr8-117395323-13
NR12534--MA0089.1.MAFG::NFE2L1	chr6	148934699	148934704	-	0.000	0.000	Merged-chr6-148934708-2
NR9673--MA0089.1.MAFG::NFE2L1	chr3	153059098	153059103	+	0.000	0.000	Merged-chr3-153059187-2
NR10414--MA0659.1.MAFG	chr4	134483935	134483955	+	0.000	0.000	Merged-chr4-134483836-10
NR286--MA0117.2.Mafb	chr1	67181191	67181202	-	0.000	0.000	Merged-chr1-67181322-10
NR11826--MA0117.2.Mafb	chr6	67014762	67014773	+	0.000	0.000	Merged-chr6-67014748-19
NR9309--MA0089.1.MAFG::NFE2L1	chr3	108562552	108562557	-	0.000	0.000	Merged-chr3-108562830-113
NR3904--MA0117.2.Mafb	chr13	69821588	69821599	+	0.000	0.000	Merged-chr13-69821460-47
NR9324--MA0117.2.Mafb	chr3	109740671	109740682	+	0.000	0.000	Merged-chr3-109740806-11
NR2215--MA0591.1.Bach1::Mafk	chr11	19926267	19926281	+	0.000	0.000	Merged-chr11-19926174-9
NR14404--MA0089.1.MAFG::NFE2L1	chr9	75645726	75645731	+	0.000	0.000	Merged-chr9-75645586-46
NR2024--MA0496.2.MAFK	chr10	120270914	120270932	+	0.000	0.000	Merged-chr10-120271095-32
NR2537--MA0591.1.Bach1::Mafk	chr11	75530552	75530566	-	0.000	0.000	Merged-chr11-75530665-33
NR14198--MA0496.2.MAFK	chr9	34996152	34996170	+	0.000	0.000	Merged-chr9-34996088-18
NR11201--MA0089.1.MAFG::NFE2L1	chr5	107283967	107283972	-	0.000	0.000	Merged-chr5-107283866-18
NR6685--MA0089.1.MAFG::NFE2L1	chr18	14717515	14717520	+	0.000	0.000	Merged-chr18-14717418-17
NR8252--MA0117.2.Mafb	chr2	122361283	122361294	-	0.000	0.000	Merged-chr2-122361363-21
NR10902--MA0591.1.Bach1::Mafk	chr5	58084110	58084124	+	0.000	0.000	Merged-chr5-58084122-29
NR7386--MA0117.2.Mafb	chr19	53972147	53972158	-	0.000	0.000	Merged-chr19-53972113-29
NR5538--MA0501.1.MAF::NFE2	chr16	18377408	18377422	+	0.000	0.000	Merged-chr16-18377300-20
NR2272--MA0501.1.MAF::NFE2	chr11	31824821	31824835	+	0.000	0.000	Merged-chr11-31824780-24
NR3687--MA0496.2.MAFK	chr13	36203200	36203218	-	0.000	0.000	Merged-chr13-36203222-10
NR11429--MA0591.1.Bach1::Mafk	chr5	144965187	144965201	+	0.000	0.000	Merged-chr5-144965112-15
NR13293--MA0501.1.MAF::NFE2	chr7	137550249	137550263	+	0.000	0.000	Merged-chr7-137550189-13
NR3922--MA0117.2.Mafb	chr13	72959395	72959406	+	0.000	0.000	Merged-chr13-72959557-1
NR12056--MA0089.1.MAFG::NFE2L1	chr6	106805005	106805010	+	0.000	0.000	Merged-chr6-106805157-19
NR12194--MA0501.1.MAF::NFE2	chr6	120357142	120357156	-	0.000	0.000	Merged-chr6-120357332-52
NR10777--MA0089.1.MAFG::NFE2L1	chr5	34407433	34407438	-	0.000	0.000	Merged-chr5-34407606-18
NR174--MA0089.1.MAFG::NFE2L1	chr1	43168786	43168791	+	0.000	0.000	Merged-chr1-43168933-57
NR8304--MA0501.1.MAF::NFE2	chr2	131191215	131191229	-	0.000	0.000	Merged-chr2-131191019-12
NR9207--MA0089.1.MAFG::NFE2L1	chr3	95511979	95511984	+	0.000	0.000	Merged-chr3-95512078-41
