#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR357--MA0508.2.PRDM1	chr11	20064304	20064313	-	0.000	0.000	Merged-chr11-20064139-6
NR628--MA0508.2.PRDM1	chr13	52721659	52721668	+	0.000	0.000	Merged-chr13-52721741-44
NR1962--MA0508.2.PRDM1	chr6	65585172	65585181	+	0.000	0.000	Merged-chr6-65585243-27
NR214--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR118--MA0508.2.PRDM1	chr1	139454804	139454813	+	0.000	0.000	Merged-chr1-139454784-71
NR1008--MA0508.2.PRDM1	chr17	26551277	26551286	+	0.000	0.000	Merged-chr17-26551311-33
NR575--MA0508.2.PRDM1	chr12	119147969	119147978	-	0.000	0.000	Merged-chr12-119148040-28
NR846--MA0508.2.PRDM1	chr15	30662237	30662246	-	0.000	0.000	Merged-chr15-30662184-17
NR1561--MA0508.2.PRDM1	chr3	142183742	142183751	+	0.000	0.000	Merged-chr3-142183834-1
NR336--MA0508.2.PRDM1	chr10	122194304	122194313	-	0.000	0.000	Merged-chr10-122194311-33
NR1670--MA0508.2.PRDM1	chr4	87669637	87669646	-	0.000	0.000	Merged-chr4-87669731-33
NR1941--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR2176--MA0508.2.PRDM1	chr7	112180324	112180333	+	0.000	0.000	Merged-chr7-112180328-30
NR2447--MA0508.2.PRDM1	chr9	114592575	114592584	+	0.000	0.000	Merged-chr9-114592565-4
NR174--MA0508.2.PRDM1	chr1	176996870	176996879	+	0.000	0.000	Merged-chr1-176997002-19
NR968--MA0508.2.PRDM1	chr16	70408304	70408313	+	0.000	0.000	Merged-chr16-70408152-21
NR2208--MA0508.2.PRDM1	chr7	132337117	132337126	+	0.000	0.000	Merged-chr7-132337014-20
NR349--MA0508.2.PRDM1	chr11	3181549	3181558	-	0.000	0.000	Merged-chr11-3181415-55
NR2394--MA0508.2.PRDM1	chr9	63173986	63173995	-	0.000	0.000	Merged-chr9-63174130-6
NR729--MA0508.2.PRDM1	chr14	12307864	12307873	-	0.000	0.000	Merged-chr14-12307905-40
NR2298--MA0508.2.PRDM1	chr8	86686689	86686698	-	0.000	0.000	Merged-chr8-86686852-24
NR1920--MA0508.2.PRDM1	chr6	24516169	24516178	+	0.000	0.000	Merged-chr6-24516367-18
NR296--MA0508.2.PRDM1	chr10	93195069	93195078	+	0.000	0.000	Merged-chr10-93194947-1
NR2121--MA0508.2.PRDM1	chr7	64309596	64309605	-	0.000	0.000	Merged-chr7-64309656-8
NR2373--MA0508.2.PRDM1	chr9	42995490	42995499	+	0.000	0.000	Merged-chr9-42995452-17
NR2439--MA0508.2.PRDM1	chr9	101099660	101099669	+	0.000	0.000	Merged-chr9-101099532-8
NR2025--MA0508.2.PRDM1	chr6	114397975	114397984	+	0.000	0.000	Merged-chr6-114397925-17
NR2405--MA0508.2.PRDM1	chr9	69467470	69467479	-	0.000	0.000	Merged-chr9-69467550-22
NR275--MA0508.2.PRDM1	chr10	79417237	79417246	-	0.000	0.000	Merged-chr10-79417442-89
NR1880--MA0508.2.PRDM1	chr5	123344705	123344714	-	0.000	0.000	Merged-chr5-123344591-87
NR1261--MA0508.2.PRDM1	chr2	59617060	59617069	+	0.000	0.000	Merged-chr2-59617159-6
NR2243--MA0508.2.PRDM1	chr8	18954089	18954098	+	0.000	0.000	Merged-chr8-18954142-48
NR2038--MA0508.2.PRDM1	chr6	121227027	121227036	-	0.000	0.000	Merged-chr6-121226970-16
NR179--MA0508.2.PRDM1	chr1	179130277	179130286	+	0.000	0.000	Merged-chr1-179130359-23
NR2081--MA0508.2.PRDM1	chr6	146530553	146530562	+	0.000	0.000	Merged-chr6-146530581-26
NR2418--MA0508.2.PRDM1	chr9	80026192	80026201	-	0.000	0.000	Merged-chr9-80026146-29
NR2004--MA0508.2.PRDM1	chr6	99521625	99521634	-	0.000	0.000	Merged-chr6-99521786-49
NR1131--MA0508.2.PRDM1	chr18	75304862	75304871	-	0.000	0.000	Merged-chr18-75304696-39
NR1925--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR2365--MA0508.2.PRDM1	chr9	35007139	35007148	+	0.000	0.000	Merged-chr9-35007274-11
NR20--MA0508.2.PRDM1	chr1	23882946	23882955	+	0.000	0.000	Merged-chr1-23882900-25
NR1492--MA0508.2.PRDM1	chr3	98086092	98086101	-	0.000	0.000	Merged-chr3-98085981-10
NR2235--MA0508.2.PRDM1	chr8	3631199	3631208	-	0.000	0.000	Merged-chr8-3631064-68
NR376--MA0508.2.PRDM1	chr11	52265871	52265880	+	0.000	0.000	Merged-chr11-52265909-50
NR1981--MA0508.2.PRDM1	chr6	83421920	83421929	-	0.000	0.000	Merged-chr6-83421842-37
NR1742--MA0508.2.PRDM1	chr4	145319390	145319399	-	0.000	0.000	Merged-chr4-145319470-38
NR2105--MA0508.2.PRDM1	chr7	44344854	44344863	+	0.000	0.000	Merged-chr7-44344765-20
NR246--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR1917--MA0508.2.PRDM1	chr6	22330459	22330468	-	0.000	0.000	Merged-chr6-22330722-48
NR2357--MA0508.2.PRDM1	chr9	21978126	21978135	+	0.000	0.000	Merged-chr9-21978174-8
NR2466--MA0508.2.PRDM1	chrX	9139761	9139770	-	0.000	0.000	Merged-chrX-9139636-53
NR2118--MA0508.2.PRDM1	chr7	58750043	58750052	-	0.000	0.000	Merged-chr7-58750204-53
NR259--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR368--MA0508.2.PRDM1	chr11	34093255	34093264	+	0.000	0.000	Merged-chr11-34093385-10
NR1973--MA0508.2.PRDM1	chr6	70103465	70103474	-	0.000	0.000	Merged-chr6-70103466-27
NR1830--MA0508.2.PRDM1	chr5	88727956	88727965	+	0.000	0.000	Merged-chr5-88727833-39
NR1986--MA0508.2.PRDM1	chr6	85239210	85239219	-	0.000	0.000	Merged-chr6-85239239-25
NR81--MA0508.2.PRDM1	chr1	105543573	105543582	-	0.000	0.000	Merged-chr1-105543373-21
NR2078--MA0508.2.PRDM1	chr6	145616546	145616555	-	0.000	0.000	Merged-chr6-145616643-48
NR1224--MA0508.2.PRDM1	chr2	18765828	18765837	-	0.000	0.000	Merged-chr2-18765910-35
NR2206--MA0508.2.PRDM1	chr7	130773359	130773368	+	0.000	0.000	Merged-chr7-130773473-37
NR1999--MA0508.2.PRDM1	chr6	97235377	97235386	-	0.000	0.000	Merged-chr6-97235343-20
NR2044--MA0508.2.PRDM1	chr6	127265147	127265156	-	0.000	0.000	Merged-chr6-127265230-18
NR2296--MA0508.2.PRDM1	chr8	84601590	84601599	-	0.000	0.000	Merged-chr8-84601669-24
NR1508--MA0508.2.PRDM1	chr3	109433442	109433451	-	0.000	0.000	Merged-chr3-109433404-19
NR1965--MA0508.2.PRDM1	chr6	66473130	66473139	-	0.000	0.000	Merged-chr6-66473070-26
NR1280--MA0508.2.PRDM1	chr2	76030120	76030129	-	0.000	0.000	Merged-chr2-76030062-28
NR1617--MA0508.2.PRDM1	chr4	33270254	33270263	+	0.000	0.000	Merged-chr4-33270288-23
NR1--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR2328--MA0508.2.PRDM1	chr8	120078268	120078277	+	0.000	0.000	Merged-chr8-120078339-32
NR1203--MA0508.2.PRDM1	chr19	54015204	54015213	+	0.000	0.000	Merged-chr19-54015154-21
NR1455--MA0508.2.PRDM1	chr3	69005934	69005943	+	0.000	0.000	Merged-chr3-69006115-39
NR1726--MA0508.2.PRDM1	chr4	136031440	136031449	-	0.000	0.000	Merged-chr4-136031447-41
NR1216--MA0508.2.PRDM1	chr2	9574307	9574316	+	0.000	0.000	Merged-chr2-9574386-32
NR2179--MA0508.2.PRDM1	chr7	112860102	112860111	+	0.000	0.000	Merged-chr7-112860209-23
NR640--MA0508.2.PRDM1	chr13	67500479	67500488	+	0.000	0.000	Merged-chr13-67500378-53
NR1705--MA0508.2.PRDM1	chr4	121002448	121002457	+	0.000	0.000	Merged-chr4-121002570-50
NR1686--MA0508.2.PRDM1	chr4	101458550	101458559	+	0.000	0.000	Merged-chr4-101458526-22
NR1957--MA0508.2.PRDM1	chr6	61263634	61263643	+	0.000	0.000	Merged-chr6-61263601-18
NR1272--MA0508.2.PRDM1	chr2	68932316	68932325	+	0.000	0.000	Merged-chr2-68932401-28
NR1609--MA0508.2.PRDM1	chr4	15958522	15958531	-	0.000	0.000	Merged-chr4-15958337-98
NR1400--MA0508.2.PRDM1	chr2	174723538	174723547	+	0.000	0.000	Merged-chr2-174723668-14
NR1381--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR1923--MA0508.2.PRDM1	chr6	30141149	30141158	+	0.000	0.000	Merged-chr6-30141112-2
NR65--MA0508.2.PRDM1	chr1	86344391	86344400	-	0.000	0.000	Merged-chr1-86344486-59
NR1490--MA0508.2.PRDM1	chr3	97338793	97338802	+	0.000	0.000	Merged-chr3-97338968-23
NR1827--MA0508.2.PRDM1	chr5	72938449	72938458	+	0.000	0.000	Merged-chr5-72938590-38
NR980--MA0508.2.PRDM1	chr16	92443872	92443881	-	0.000	0.000	Merged-chr16-92443749-37
NR1394--MA0508.2.PRDM1	chr2	169396589	169396598	-	0.000	0.000	Merged-chr2-169396513-5
NR1251--MA0508.2.PRDM1	chr2	53088983	53088992	-	0.000	0.000	Merged-chr2-53088913-36
NR1774--MA0508.2.PRDM1	chr5	21188669	21188678	+	0.000	0.000	Merged-chr5-21188682-9
NR741--MA0508.2.PRDM1	chr14	27390874	27390883	-	0.000	0.000	Merged-chr14-27390836-41
NR1535--MA0508.2.PRDM1	chr3	131126041	131126050	-	0.000	0.000	Merged-chr3-131125958-32
NR754--MA0508.2.PRDM1	chr14	46819039	46819048	+	0.000	0.000	Merged-chr14-46818898-31
NR1439--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR1896--MA0508.2.PRDM1	chr5	140915557	140915566	+	0.000	0.000	Merged-chr5-140915429-24
NR592--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR863--MA0508.2.PRDM1	chr15	66454132	66454141	+	0.000	0.000	Merged-chr15-66454152-12
NR972--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR1514--MA0508.2.PRDM1	chr3	117728538	117728547	+	0.000	0.000	Merged-chr3-117728445-14
NR1309--MA0508.2.PRDM1	chr2	102853438	102853447	-	0.000	0.000	Merged-chr2-102853359-14
NR1100--MA0508.2.PRDM1	chr18	50053409	50053418	+	0.000	0.000	Merged-chr18-50053279-83
NR733--MA0508.2.PRDM1	chr14	19751176	19751185	+	0.000	0.000	Merged-chr14-19751305-34
NR1081--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR1875--MA0508.2.PRDM1	chr5	117938513	117938522	+	0.000	0.000	Merged-chr5-117938550-41
NR1399--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR1004--MA0508.2.PRDM1	chr17	23193129	23193138	+	0.000	0.000	Merged-chr17-23193299-96
NR842--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR1527--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
NR1113--MA0508.2.PRDM1	chr18	61614597	61614606	+	0.000	0.000	Merged-chr18-61614590-32
NR680--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR1907--MA0508.2.PRDM1	chr5	149846969	149846978	-	0.000	0.000	Merged-chr5-149846777-12
NR332--MA0508.2.PRDM1	chr10	120628368	120628377	+	0.000	0.000	Merged-chr10-120628264-28
NR1888--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1017--MA0508.2.PRDM1	chr17	31011881	31011890	-	0.000	0.000	Merged-chr17-31011806-34
NR855--MA0508.2.PRDM1	chr15	50298320	50298329	+	0.000	0.000	Merged-chr15-50298353-6
NR1474--MA0508.2.PRDM1	chr3	85887675	85887684	-	0.000	0.000	Merged-chr3-85887790-94
