#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR8368--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR7162--MA0117.2.Mafb	chr2	151944386	151944397	-	0.000	0.000	Merged-chr2-151944383-43
NR8228--MA0495.2.MAFF	chr4	45407792	45407812	+	0.000	0.000	Merged-chr4-45408005-5
NR652--MA0089.1.MAFG::NFE2L1	chr1	160046007	160046012	+	0.000	0.000	Merged-chr1-160046087-41
NR11411--MA0501.1.MAF::NFE2	chr8	79679128	79679142	+	0.000	0.000	Merged-chr8-79679083-33
NR1530--MA0495.2.MAFF	chr10	105229292	105229312	-	0.000	0.000	Merged-chr10-105229362-2
NR5636--MA0117.2.Mafb	chr18	37694534	37694545	+	0.000	0.000	Merged-chr18-37694498-20
NR8131--MA0117.2.Mafb	chr4	8803306	8803317	+	0.000	0.000	Merged-chr4-8803354-28
NR10379--MA0501.1.MAF::NFE2	chr6	147155312	147155326	+	0.000	0.000	Merged-chr6-147155344-5
NR4706--MA0591.1.Bach1::Mafk	chr16	30308592	30308606	+	0.000	0.000	Merged-chr16-30308604-1
NR1284--MA0501.1.MAF::NFE2	chr10	67493717	67493731	-	0.000	0.000	Merged-chr10-67493801-11
NR8578--MA0501.1.MAF::NFE2	chr4	127060909	127060923	-	0.000	0.000	Merged-chr4-127061069-56
NR8492--MA0495.2.MAFF	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR2165--MA0117.2.Mafb	chr11	87662628	87662639	-	0.000	0.000	Merged-chr11-87662654-50
NR8040--MA0591.1.Bach1::Mafk	chr3	148465200	148465214	+	0.000	0.000	Merged-chr3-148465027-5
NR3349--MA0117.2.Mafb	chr13	72818128	72818139	-	0.000	0.000	Merged-chr13-72817976-1
NR6059--MA0117.2.Mafb	chr19	24477455	24477466	-	0.000	0.000	Merged-chr19-24477262-125
NR7626--MA0089.1.MAFG::NFE2L1	chr3	79336218	79336223	-	0.000	0.000	Merged-chr3-79336264-23
NR4927--MA0089.1.MAFG::NFE2L1	chr16	87394136	87394141	-	0.000	0.000	Merged-chr16-87394132-33
NR2768--MA0089.1.MAFG::NFE2L1	chr12	91746086	91746091	-	0.000	0.000	Merged-chr12-91745848-45
NR9360--MA0659.1.MAFG	chr5	118269183	118269203	-	0.000	0.000	Merged-chr5-118269215-26
NR2277--MA0089.1.MAFG::NFE2L1	chr11	103697656	103697661	+	0.000	0.000	Merged-chr11-103697774-72
NR1532--MA0659.1.MAFG	chr10	105229292	105229312	+	0.000	0.000	Merged-chr10-105229362-2
NR2062--MA0117.2.Mafb	chr11	73137763	73137774	-	0.000	0.000	Merged-chr11-73137945-101
NR2653--MA0089.1.MAFG::NFE2L1	chr12	55051437	55051442	+	0.000	0.000	Merged-chr12-55051446-14
NR9582--MA0495.2.MAFF	chr6	8641035	8641055	-	0.000	0.000	Merged-chr6-8641126-10
NR2510--MA0659.1.MAFG	chr12	12278413	12278433	-	0.000	0.000	Merged-chr12-12278395-37
NR12363--MA0496.2.MAFK	chr9	119334540	119334558	-	0.000	0.000	Merged-chr9-119334532-37
NR613--MA0117.2.Mafb	chr1	153583309	153583320	-	0.000	0.000	Merged-chr1-153583385-34
NR10105--MA0501.1.MAF::NFE2	chr6	120470819	120470833	+	0.000	0.000	Merged-chr6-120470872-38
NR4147--MA0089.1.MAFG::NFE2L1	chr15	9528410	9528415	-	0.000	0.000	Merged-chr15-9528468-81
NR10777--MA0089.1.MAFG::NFE2L1	chr7	97355066	97355071	-	0.000	0.000	Merged-chr7-97355237-14
NR7222--MA0089.1.MAFG::NFE2L1	chr2	158160169	158160174	+	0.000	0.000	Merged-chr2-158160127-37
NR9407--MA0496.2.MAFK	chr5	125107468	125107486	-	0.000	0.000	Merged-chr5-125107407-3
NR2364--MA0089.1.MAFG::NFE2L1	chr11	113187343	113187348	-	0.000	0.000	Merged-chr11-113187180-1
NR1238--MA0501.1.MAF::NFE2	chr10	58383470	58383484	-	0.000	0.000	Merged-chr10-58383440-43
NR607--MA0495.2.MAFF	chr1	153288164	153288184	-	0.000	0.000	Merged-chr1-153288080-22
NR7529--MA0501.1.MAF::NFE2	chr3	30952367	30952381	-	0.000	0.000	Merged-chr3-30952502-53
NR9207--MA0089.1.MAFG::NFE2L1	chr5	96879054	96879059	-	0.000	0.000	Merged-chr5-96879087-37
NR6508--MA0089.1.MAFG::NFE2L1	chr2	48322594	48322599	-	0.000	0.000	Merged-chr2-48322438-54
NR11815--MA0496.2.MAFK	chr9	14248438	14248456	-	0.000	0.000	Merged-chr9-14248366-20
NR5547--MA0659.1.MAFG	chr18	4292134	4292154	+	0.000	0.000	Merged-chr18-4292169-11
NR3809--MA0089.1.MAFG::NFE2L1	chr14	54158810	54158815	+	0.000	0.000	Merged-chr14-54158757-16
NR9083--MA0591.1.Bach1::Mafk	chr5	67532368	67532382	-	0.000	0.000	Merged-chr5-67532583-28
NR3421--MA0501.1.MAF::NFE2	chr13	96510790	96510804	+	0.000	0.000	Merged-chr13-96510915-80
NR4173--MA0591.1.Bach1::Mafk	chr15	28081379	28081393	+	0.000	0.000	Merged-chr15-28081319-36
NR5751--MA0591.1.Bach1::Mafk	chr18	61626443	61626457	+	0.000	0.000	Merged-chr18-61626581-16
NR11186--MA0117.2.Mafb	chr7	144857381	144857392	-	0.000	0.000	Merged-chr7-144857340-18
NR11045--MA0496.2.MAFK	chr7	126725175	126725193	+	0.000	0.000	Merged-chr7-126725257-13
NR8577--MA0591.1.Bach1::Mafk	chr4	127060912	127060926	-	0.000	0.000	Merged-chr4-127061069-56
NR5444--MA0659.1.MAFG	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR1246--MA0089.1.MAFG::NFE2L1	chr10	59636948	59636953	+	0.000	0.000	Merged-chr10-59636988-40
NR1622--MA0089.1.MAFG::NFE2L1	chr10	118766320	118766325	+	0.000	0.000	Merged-chr10-118766153-45
NR3595--MA0089.1.MAFG::NFE2L1	chr13	112288403	112288408	+	0.000	0.000	Merged-chr13-112288360-131
NR1368--MA0591.1.Bach1::Mafk	chr10	80342883	80342897	+	0.000	0.000	Merged-chr10-80342924-40
NR3196--MA0591.1.Bach1::Mafk	chr13	44507141	44507155	+	0.000	0.000	Merged-chr13-44507226-54
NR11933--MA0501.1.MAF::NFE2	chr9	56098164	56098178	+	0.000	0.000	Merged-chr9-56098023-21
NR4786--MA0496.2.MAFK	chr16	45310576	45310594	+	0.000	0.000	Merged-chr16-45310615-7
NR3861--MA0591.1.Bach1::Mafk	chr14	62879722	62879736	+	0.000	0.000	Merged-chr14-62879632-33
NR2238--MA0591.1.Bach1::Mafk	chr11	97728509	97728523	-	0.000	0.000	Merged-chr11-97728662-57
NR2172--MA0496.2.MAFK	chr11	87724907	87724925	-	0.000	0.000	Merged-chr11-87724985-4
NR11883--MA0591.1.Bach1::Mafk	chr9	44510603	44510617	-	0.000	0.000	Merged-chr9-44510535-66
NR7943--MA0591.1.Bach1::Mafk	chr3	136730124	136730138	-	0.000	0.000	Merged-chr3-136730222-15
NR10609--MA0496.2.MAFK	chr7	58730409	58730427	+	0.000	0.000	Merged-chr7-58730426-6
NR1790--MA0495.2.MAFF	chr11	19993172	19993192	+	0.000	0.000	Merged-chr11-19993082-47
NR6541--MA0495.2.MAFF	chr2	52955271	52955291	+	0.000	0.000	Merged-chr2-52955279-28
NR5176--MA0089.1.MAFG::NFE2L1	chr17	28701353	28701358	+	0.000	0.000	Merged-chr17-28701389-22
NR10101--MA0659.1.MAFG	chr6	120294491	120294511	-	0.000	0.000	Merged-chr6-120294540-46
NR2828--MA0117.2.Mafb	chr12	101977341	101977352	-	0.000	0.000	Merged-chr12-101977432-1
NR9671--MA0089.1.MAFG::NFE2L1	chr6	35133985	35133990	-	0.000	0.000	Merged-chr6-35133862-87
NR2903--MA0501.1.MAF::NFE2	chr12	110389664	110389678	-	0.000	0.000	Merged-chr12-110389691-32
NR4132--MA0089.1.MAFG::NFE2L1	chr15	5106722	5106727	-	0.000	0.000	Merged-chr15-5106568-21
NR7934--MA0501.1.MAF::NFE2	chr3	135610515	135610529	+	0.000	0.000	Merged-chr3-135610468-43
NR12088--MA0591.1.Bach1::Mafk	chr9	80057829	80057843	+	0.000	0.000	Merged-chr9-80057847-17
NR11661--MA0501.1.MAF::NFE2	chr8	123051729	123051743	+	0.000	0.000	Merged-chr8-123051694-23
NR8813--MA0591.1.Bach1::Mafk	chr4	150117521	150117535	-	0.000	0.000	Merged-chr4-150117497-12
NR858--MA0495.2.MAFF	chr1	183052781	183052801	+	0.000	0.000	Merged-chr1-183052837-15
NR3418--MA0089.1.MAFG::NFE2L1	chr13	95813820	95813825	-	0.000	0.000	Merged-chr13-95813903-46
NR12176--MA0495.2.MAFF	chr9	92602540	92602560	+	0.000	0.000	Merged-chr9-92602445-4
NR11851--MA0496.2.MAFK	chr9	35475548	35475566	+	0.000	0.000	Merged-chr9-35475679-27
NR6739--MA0501.1.MAF::NFE2	chr2	103601408	103601422	-	0.000	0.000	Merged-chr2-103601590-5
NR11822--MA0501.1.MAF::NFE2	chr9	14884822	14884836	+	0.000	0.000	Merged-chr9-14884942-24
NR3303--MA0089.1.MAFG::NFE2L1	chr13	62653302	62653307	+	0.000	0.000	Merged-chr13-62653213-52
NR11925--MA0591.1.Bach1::Mafk	chr9	55252251	55252265	-	0.000	0.000	Merged-chr9-55252206-3
NR3089--MA0591.1.Bach1::Mafk	chr13	18757809	18757823	-	0.000	0.000	Merged-chr13-18757680-4
NR10768--MA0117.2.Mafb	chr7	92420824	92420835	-	0.000	0.000	Merged-chr7-92420666-38
NR10688--MA0089.1.MAFG::NFE2L1	chr7	78584475	78584480	+	0.000	0.000	Merged-chr7-78584470-21
NR6032--MA0501.1.MAF::NFE2	chr19	20393788	20393802	+	0.000	0.000	Merged-chr19-20393834-21
NR741--MA0496.2.MAFK	chr1	170863171	170863189	+	0.000	0.000	Merged-chr1-170863214-38
NR11539--MA0591.1.Bach1::Mafk	chr8	110939142	110939156	-	0.000	0.000	Merged-chr8-110939286-87
NR7839--MA0089.1.MAFG::NFE2L1	chr3	116440540	116440545	+	0.000	0.000	Merged-chr3-116440390-48
NR2992--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR10209--MA0089.1.MAFG::NFE2L1	chr6	134021043	134021048	+	0.000	0.000	Merged-chr6-134020995-11
NR676--MA0089.1.MAFG::NFE2L1	chr1	161436811	161436816	-	0.000	0.000	Merged-chr1-161436721-21
NR4689--MA0501.1.MAF::NFE2	chr16	24828452	24828466	-	0.000	0.000	Merged-chr16-24828599-16
NR7935--MA0496.2.MAFK	chr3	135610510	135610528	-	0.000	0.000	Merged-chr3-135610468-43
NR5941--MA0089.1.MAFG::NFE2L1	chr19	4119814	4119819	-	0.000	0.000	Merged-chr19-4119891-46
NR4521--MA0089.1.MAFG::NFE2L1	chr15	96666527	96666532	-	0.000	0.000	Merged-chr15-96666476-85
NR8721--MA0495.2.MAFF	chr4	144916721	144916741	+	0.000	0.000	Merged-chr4-144916675-7
NR5450--MA0089.1.MAFG::NFE2L1	chr17	80174328	80174333	-	0.000	0.000	Merged-chr17-80174428-10
NR8172--MA0117.2.Mafb	chr4	32352134	32352145	+	0.000	0.000	Merged-chr4-32352065-6
NR10307--MA0117.2.Mafb	chr6	142835154	142835165	-	0.000	0.000	Merged-chr6-142835169-31
NR10660--MA0089.1.MAFG::NFE2L1	chr7	75416082	75416087	+	0.000	0.000	Merged-chr7-75416159-31
NR9814--MA0501.1.MAF::NFE2	chr6	71125156	71125170	+	0.000	0.000	Merged-chr6-71125305-30
NR2079--MA0495.2.MAFF	chr11	74973439	74973459	+	0.000	0.000	Merged-chr11-74973432-13
NR277--MA0501.1.MAF::NFE2	chr1	80321300	80321314	-	0.000	0.000	Merged-chr1-80321528-19
NR7435--MA0089.1.MAFG::NFE2L1	chr2	177464762	177464767	-	0.000	0.000	Merged-chr2-177464769-67
NR6015--MA0089.1.MAFG::NFE2L1	chr19	14534417	14534422	-	0.000	0.000	Merged-chr19-14534548-20
NR3316--MA0089.1.MAFG::NFE2L1	chr13	67082079	67082084	+	0.000	0.000	Merged-chr13-67082172-4
NR11791--MA0089.1.MAFG::NFE2L1	chr9	7510032	7510037	+	0.000	0.000	Merged-chr9-7510063-49
NR10428--MA0117.2.Mafb	chr7	12955043	12955054	-	0.000	0.000	Merged-chr7-12955055-4
NR2864--MA0117.2.Mafb	chr12	106008655	106008666	+	0.000	0.000	Merged-chr12-106008779-30
NR10213--MA0117.2.Mafb	chr6	134348651	134348662	-	0.000	0.000	Merged-chr6-134348726-53
NR8619--MA0501.1.MAF::NFE2	chr4	133185414	133185428	-	0.000	0.000	Merged-chr4-133185402-47
NR4578--MA0501.1.MAF::NFE2	chr15	103172790	103172804	+	0.000	0.000	Merged-chr15-103172692-7
NR4144--MA0117.2.Mafb	chr15	8616120	8616131	-	0.000	0.000	Merged-chr15-8616259-27
NR860--MA0591.1.Bach1::Mafk	chr1	183296467	183296481	+	0.000	0.000	Merged-chr1-183296566-1
NR7192--MA0496.2.MAFK	chr2	154603807	154603825	-	0.000	0.000	Merged-chr2-154603925-61
NR12037--MA0496.2.MAFK	chr9	68717084	68717102	+	0.000	0.000	Merged-chr9-68717105-6
NR2289--MA0496.2.MAFK	chr11	104639166	104639184	-	0.000	0.000	Merged-chr11-104639154-13
NR7258--MA0591.1.Bach1::Mafk	chr2	164389634	164389648	-	0.000	0.000	Merged-chr2-164389680-42
NR9900--MA0496.2.MAFK	chr6	94623148	94623166	-	0.000	0.000	Merged-chr6-94623201-16
NR4256--MA0117.2.Mafb	chr15	53222579	53222590	+	0.000	0.000	Merged-chr15-53222571-24
NR7505--MA0501.1.MAF::NFE2	chr3	18623967	18623981	-	0.000	0.000	Merged-chr3-18624063-31
NR11671--MA0591.1.Bach1::Mafk	chr8	123406751	123406765	+	0.000	0.000	Merged-chr8-123406909-21
NR6658--MA0495.2.MAFF	chr2	84059439	84059459	-	0.000	0.000	Merged-chr2-84059493-47
NR9116--MA0089.1.MAFG::NFE2L1	chr5	77367924	77367929	-	0.000	0.000	Merged-chr5-77367800-15
NR5678--MA0089.1.MAFG::NFE2L1	chr18	41979645	41979650	+	0.000	0.000	Merged-chr18-41979653-39
NR10888--MA0089.1.MAFG::NFE2L1	chr7	110953301	110953306	+	0.000	0.000	Merged-chr7-110953237-23
NR1559--MA0089.1.MAFG::NFE2L1	chr10	112278315	112278320	-	0.000	0.000	Merged-chr10-112278323-19
NR3860--MA0117.2.Mafb	chr14	62879728	62879739	-	0.000	0.000	Merged-chr14-62879632-33
NR4634--MA0089.1.MAFG::NFE2L1	chr16	17024650	17024655	-	0.000	0.000	Merged-chr16-17024705-22
NR3214--MA0089.1.MAFG::NFE2L1	chr13	45884989	45884994	-	0.000	0.000	Merged-chr13-45885080-29
NR1935--MA0089.1.MAFG::NFE2L1	chr11	53774933	53774938	-	0.000	0.000	Merged-chr11-53775083-5
NR6776--MA0117.2.Mafb	chr2	112262006	112262017	+	0.000	0.000	Merged-chr2-112262159-71
NR9682--MA0089.1.MAFG::NFE2L1	chr6	41048155	41048160	-	0.000	0.000	Merged-chr6-41048174-22
NR5563--MA0089.1.MAFG::NFE2L1	chr18	10531709	10531714	+	0.000	0.000	Merged-chr18-10531815-35
NR12052--MA0089.1.MAFG::NFE2L1	chr9	70310163	70310168	+	0.000	0.000	Merged-chr9-70310142-32
NR12139--MA0501.1.MAF::NFE2	chr9	86695907	86695921	-	0.000	0.000	Merged-chr9-86695858-50
NR4143--MA0089.1.MAFG::NFE2L1	chr15	8577694	8577699	+	0.000	0.000	Merged-chr15-8577774-16
NR3780--MA0089.1.MAFG::NFE2L1	chr14	47518828	47518833	+	0.000	0.000	Merged-chr14-47518812-18
NR11968--MA0496.2.MAFK	chr9	61187131	61187149	+	0.000	0.000	Merged-chr9-61187199-16
NR11338--MA0089.1.MAFG::NFE2L1	chr8	69809117	69809122	-	0.000	0.000	Merged-chr8-69808913-73
NR5274--MA0089.1.MAFG::NFE2L1	chr17	44654600	44654605	-	0.000	0.000	Merged-chr17-44654790-53
NR8723--MA0117.2.Mafb	chr4	144916730	144916741	-	0.000	0.000	Merged-chr4-144916675-7
NR9598--MA0117.2.Mafb	chr6	17065717	17065728	+	0.000	0.000	Merged-chr6-17065755-144
NR4230--MA0089.1.MAFG::NFE2L1	chr15	44364115	44364120	-	0.000	0.000	Merged-chr15-44364254-41
NR1423--MA0496.2.MAFK	chr10	86727748	86727766	+	0.000	0.000	Merged-chr10-86727830-49
NR11188--MA0501.1.MAF::NFE2	chr7	144857378	144857392	+	0.000	0.000	Merged-chr7-144857340-18
NR11425--MA0089.1.MAFG::NFE2L1	chr8	83742440	83742445	-	0.000	0.000	Merged-chr8-83742460-39
NR10005--MA0089.1.MAFG::NFE2L1	chr6	108537159	108537164	+	0.000	0.000	Merged-chr6-108536943-79
NR963--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR10021--MA0659.1.MAFG	chr6	113661267	113661287	-	0.000	0.000	Merged-chr6-113661383-125
NR9171--MA0495.2.MAFF	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR7520--MA0089.1.MAFG::NFE2L1	chr3	22138113	22138118	-	0.000	0.000	Merged-chr3-22138280-48
NR6103--MA0495.2.MAFF	chr19	33429569	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR1243--MA0591.1.Bach1::Mafk	chr10	59380458	59380472	+	0.000	0.000	Merged-chr10-59380482-71
NR11813--MA0501.1.MAF::NFE2	chr9	14248437	14248451	-	0.000	0.000	Merged-chr9-14248366-20
NR1155--MA0501.1.MAF::NFE2	chr10	39764838	39764852	-	0.000	0.000	Merged-chr10-39764888-24
NR6186--MA0501.1.MAF::NFE2	chr19	53219204	53219218	+	0.000	0.000	Merged-chr19-53219347-6
NR475--MA0501.1.MAF::NFE2	chr1	127320080	127320094	+	0.000	0.000	Merged-chr1-127320105-13
NR5581--MA0496.2.MAFK	chr18	12634782	12634800	-	0.000	0.000	Merged-chr18-12634847-43
NR4412--MA0591.1.Bach1::Mafk	chr15	77807414	77807428	+	0.000	0.000	Merged-chr15-77807264-57
NR2513--MA0496.2.MAFK	chr12	12278414	12278432	-	0.000	0.000	Merged-chr12-12278395-37
NR5969--MA0591.1.Bach1::Mafk	chr19	5850316	5850330	-	0.000	0.000	Merged-chr19-5850230-41
NR11093--MA0591.1.Bach1::Mafk	chr7	133740765	133740779	+	0.000	0.000	Merged-chr7-133740776-40
NR8731--MA0591.1.Bach1::Mafk	chr4	144996074	144996088	-	0.000	0.000	Merged-chr4-144996009-47
NR636--MA0501.1.MAF::NFE2	chr1	156217606	156217620	-	0.000	0.000	Merged-chr1-156217514-18
NR3821--MA0591.1.Bach1::Mafk	chr14	55660363	55660377	-	0.000	0.000	Merged-chr14-55660377-55
NR12519--MA0591.1.Bach1::Mafk	chrX	101733931	101733945	-	0.000	0.000	Merged-chrX-101734120-41
NR9276--MA0501.1.MAF::NFE2	chr5	105732924	105732938	+	0.000	0.000	Merged-chr5-105732928-2
NR111--MA0495.2.MAFF	chr1	39196872	39196892	+	0.000	0.000	Merged-chr1-39196974-45
NR8177--MA0501.1.MAF::NFE2	chr4	32424392	32424406	-	0.000	0.000	Merged-chr4-32424256-17
NR5172--MA0089.1.MAFG::NFE2L1	chr17	28007368	28007373	-	0.000	0.000	Merged-chr17-28007418-17
NR4937--MA0501.1.MAF::NFE2	chr16	89835837	89835851	-	0.000	0.000	Merged-chr16-89835915-50
NR11702--MA0501.1.MAF::NFE2	chr8	125344038	125344052	+	0.000	0.000	Merged-chr8-125344095-45
NR3350--MA0591.1.Bach1::Mafk	chr13	73305944	73305958	-	0.000	0.000	Merged-chr13-73305950-36
NR9997--MA0089.1.MAFG::NFE2L1	chr6	108324513	108324518	+	0.000	0.000	Merged-chr6-108324380-1
NR7157--MA0089.1.MAFG::NFE2L1	chr2	150918921	150918926	+	0.000	0.000	Merged-chr2-150918832-31
NR9017--MA0501.1.MAF::NFE2	chr5	36996675	36996689	+	0.000	0.000	Merged-chr5-36996710-15
NR5264--MA0495.2.MAFF	chr17	42887610	42887630	-	0.000	0.000	Merged-chr17-42887503-23
NR370--MA0089.1.MAFG::NFE2L1	chr1	92473816	92473821	+	0.000	0.000	Merged-chr1-92473909-79
NR6448--MA0495.2.MAFF	chr2	34508772	34508792	+	0.000	0.000	Merged-chr2-34508742-2
NR1140--MA0089.1.MAFG::NFE2L1	chr10	39412040	39412045	+	0.000	0.000	Merged-chr10-39412218-22
NR5218--MA0591.1.Bach1::Mafk	chr17	34203516	34203530	-	0.000	0.000	Merged-chr17-34203495-21
NR11850--MA0501.1.MAF::NFE2	chr9	35475547	35475561	-	0.000	0.000	Merged-chr9-35475679-27
NR200--MA0496.2.MAFK	chr1	58857004	58857022	-	0.000	0.000	Merged-chr1-58857046-16
NR603--MA0591.1.Bach1::Mafk	chr1	152038378	152038392	+	0.000	0.000	Merged-chr1-152038311-34
NR7976--MA0496.2.MAFK	chr3	142590893	142590911	-	0.000	0.000	Merged-chr3-142590942-14
NR1846--MA0089.1.MAFG::NFE2L1	chr11	34009464	34009469	+	0.000	0.000	Merged-chr11-34009597-4
NR8066--MA0501.1.MAF::NFE2	chr3	152800796	152800810	-	0.000	0.000	Merged-chr3-152800764-1
NR3714--MA0591.1.Bach1::Mafk	chr14	25033085	25033099	-	0.000	0.000	Merged-chr14-25033079-23
NR11543--MA0496.2.MAFK	chr8	110939140	110939158	+	0.000	0.000	Merged-chr8-110939286-87
NR10158--MA0591.1.Bach1::Mafk	chr6	128345843	128345857	+	0.000	0.000	Merged-chr6-128345779-18
NR2801--MA0591.1.Bach1::Mafk	chr12	98628303	98628317	+	0.000	0.000	Merged-chr12-98628210-48
NR7835--MA0089.1.MAFG::NFE2L1	chr3	115801433	115801438	-	0.000	0.000	Merged-chr3-115801349-115
NR4156--MA0591.1.Bach1::Mafk	chr15	11972099	11972113	+	0.000	0.000	Merged-chr15-11972026-28
NR296--MA0089.1.MAFG::NFE2L1	chr1	82839779	82839784	+	0.000	0.000	Merged-chr1-82839592-65
NR2486--MA0089.1.MAFG::NFE2L1	chr12	3846299	3846304	-	0.000	0.000	Merged-chr12-3846265-11
NR1066--MA0089.1.MAFG::NFE2L1	chr10	20235914	20235919	-	0.000	0.000	Merged-chr10-20235836-6
NR8184--MA0496.2.MAFK	chr4	33587739	33587757	+	0.000	0.000	Merged-chr4-33587729-131
NR5070--MA0089.1.MAFG::NFE2L1	chr17	5165466	5165471	-	0.000	0.000	Merged-chr17-5165532-60
NR4731--MA0117.2.Mafb	chr16	34664802	34664813	+	0.000	0.000	Merged-chr16-34664723-11
NR3791--MA0089.1.MAFG::NFE2L1	chr14	51386090	51386095	-	0.000	0.000	Merged-chr14-51385941-36
NR1142--MA0495.2.MAFF	chr10	39412352	39412372	-	0.000	0.000	Merged-chr10-39412218-22
NR5557--MA0501.1.MAF::NFE2	chr18	6281378	6281392	+	0.000	0.000	Merged-chr18-6281338-48
NR7055--MA0089.1.MAFG::NFE2L1	chr2	144555951	144555956	-	0.000	0.000	Merged-chr2-144556034-87
NR5776--MA0089.1.MAFG::NFE2L1	chr18	64913497	64913502	+	0.000	0.000	Merged-chr18-64913437-34
NR4356--MA0089.1.MAFG::NFE2L1	chr15	66779052	66779057	-	0.000	0.000	Merged-chr15-66778898-35
NR6971--MA0591.1.Bach1::Mafk	chr2	131386544	131386558	-	0.000	0.000	Merged-chr2-131386542-16
NR5821--MA0591.1.Bach1::Mafk	chr18	73643376	73643390	-	0.000	0.000	Merged-chr18-73643262-33
NR6226--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR9301--MA0089.1.MAFG::NFE2L1	chr5	107754956	107754961	-	0.000	0.000	Merged-chr5-107754930-37
NR11696--MA0495.2.MAFF	chr8	125344032	125344052	+	0.000	0.000	Merged-chr8-125344095-45
NR3729--MA0089.1.MAFG::NFE2L1	chr14	27237989	27237994	-	0.000	0.000	Merged-chr14-27238003-64
NR8091--MA0591.1.Bach1::Mafk	chr3	155235653	155235667	+	0.000	0.000	Merged-chr3-155235663-12
NR8286--MA0089.1.MAFG::NFE2L1	chr4	63018272	63018277	-	0.000	0.000	Merged-chr4-63018226-1,Merged-chr4-63018456-1
NR820--MA0591.1.Bach1::Mafk	chr1	181157219	181157233	-	0.000	0.000	Merged-chr1-181157308-13
NR3751--MA0496.2.MAFK	chr14	33400262	33400280	+	0.000	0.000	Merged-chr14-33400156-27
NR364--MA0659.1.MAFG	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR5789--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR6305--MA0591.1.Bach1::Mafk	chr2	3925275	3925289	+	0.000	0.000	Merged-chr2-3925386-29
NR563--MA0496.2.MAFK	chr1	139179653	139179671	+	0.000	0.000	Merged-chr1-139179531-1
NR5286--MA0591.1.Bach1::Mafk	chr17	47171428	47171442	+	0.000	0.000	Merged-chr17-47171280-54
NR9818--MA0089.1.MAFG::NFE2L1	chr6	71156901	71156906	-	0.000	0.000	Merged-chr6-71156958-28
NR6000--MA0496.2.MAFK	chr19	10839217	10839235	+	0.000	0.000	Merged-chr19-10839389-65
NR12167--MA0501.1.MAF::NFE2	chr9	90242863	90242877	-	0.000	0.000	Merged-chr9-90243059-48
NR10029--MA0089.1.MAFG::NFE2L1	chr6	114790344	114790349	-	0.000	0.000	Merged-chr6-114790345-26
NR987--MA0089.1.MAFG::NFE2L1	chr1	193102918	193102923	+	0.000	0.000	Merged-chr1-193102904-19
NR10161--MA0501.1.MAF::NFE2	chr6	128345846	128345860	+	0.000	0.000	Merged-chr6-128345779-18
NR11141--MA0495.2.MAFF	chr7	140987362	140987382	+	0.000	0.000	Merged-chr7-140987400-4
NR10062--MA0659.1.MAFG	chr6	116136313	116136333	-	0.000	0.000	Merged-chr6-116136227-16
NR1266--MA0089.1.MAFG::NFE2L1	chr10	61715406	61715411	+	0.000	0.000	Merged-chr10-61715305-29
NR10971--MA0089.1.MAFG::NFE2L1	chr7	117988649	117988654	-	0.000	0.000	Merged-chr7-117988670-8
NR11910--MA0591.1.Bach1::Mafk	chr9	52074081	52074095	-	0.000	0.000	Merged-chr9-52073999-13
NR5270--MA0089.1.MAFG::NFE2L1	chr17	44060910	44060915	-	0.000	0.000	Merged-chr17-44060988-1
NR2909--MA0591.1.Bach1::Mafk	chr12	110889190	110889204	-	0.000	0.000	Merged-chr12-110889168-75
NR2207--MA0089.1.MAFG::NFE2L1	chr11	94370906	94370911	-	0.000	0.000	Merged-chr11-94371007-27
NR713--MA0591.1.Bach1::Mafk	chr1	166360345	166360359	+	0.000	0.000	Merged-chr1-166360361-34
NR4415--MA0591.1.Bach1::Mafk	chr15	77956699	77956713	-	0.000	0.000	Merged-chr15-77956720-50
NR1097--MA0591.1.Bach1::Mafk	chr10	25457377	25457391	-	0.000	0.000	Merged-chr10-25457296-47
NR2282--MA0089.1.MAFG::NFE2L1	chr11	104639094	104639099	+	0.000	0.000	Merged-chr11-104639154-13
