#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR6943--MA0089.1.MAFG::NFE2L1	chr2	10024414	10024419	+	0.000	0.000	Merged-chr2-10024427-23
NR13432--MA0089.1.MAFG::NFE2L1	chr9	112217310	112217315	-	0.000	0.000	Merged-chr9-112217438-9
NR159--MA0591.1.Bach1::Mafk	chr1	33883565	33883579	+	0.000	0.000	Merged-chr1-33883578-48
NR7872--MA0089.1.MAFG::NFE2L1	chr2	164911807	164911812	+	0.000	0.000	Merged-chr2-164911678-153
NR5032--MA0089.1.MAFG::NFE2L1	chr15	94223678	94223683	-	0.000	0.000	Merged-chr15-94223705-1
NR9857--MA0089.1.MAFG::NFE2L1	chr4	154899154	154899159	+	0.000	0.000	Merged-chr4-154899180-52
NR2535--MA0089.1.MAFG::NFE2L1	chr12	16049797	16049802	-	0.000	0.000	Merged-chr12-16049748-36
NR10294--MA0591.1.Bach1::Mafk	chr5	73199817	73199831	-	0.000	0.000	Merged-chr5-73199876-43
NR2911--MA0089.1.MAFG::NFE2L1	chr12	93230482	93230487	+	0.000	0.000	Merged-chr12-93230592-22
NR3892--MA0501.1.MAF::NFE2	chr14	10802211	10802225	+	0.000	0.000	Merged-chr14-10802111-1
NR13358--MA0089.1.MAFG::NFE2L1	chr9	94670528	94670533	-	0.000	0.000	Merged-chr9-94670459-1
NR11321--MA0495.2.MAFF	chr6	108426942	108426962	+	0.000	0.000	Merged-chr6-108426934-21
NR8980--MA0659.1.MAFG	chr3	153260800	153260820	+	0.000	0.000	Merged-chr3-153260790-34
NR10658--MA0591.1.Bach1::Mafk	chr5	149454667	149454681	+	0.000	0.000	Merged-chr5-149454508-33
NR8295--MA0117.2.Mafb	chr3	52522990	52523001	+	0.000	0.000	Merged-chr3-52523173-17
NR6841--MA0089.1.MAFG::NFE2L1	chr19	41483223	41483228	-	0.000	0.000	Merged-chr19-41483233-3
NR7629--MA0495.2.MAFF	chr2	133558722	133558742	+	0.000	0.000	Merged-chr2-133558747-1
NR734--MA0089.1.MAFG::NFE2L1	chr1	133542318	133542323	+	0.000	0.000	Merged-chr1-133542272-8
NR4961--MA0659.1.MAFG	chr15	81872293	81872313	+	0.000	0.000	Merged-chr15-81872198-88
NR9653--MA0591.1.Bach1::Mafk	chr4	115057379	115057393	-	0.000	0.000	Merged-chr4-115057224-34
NR515--MA0496.2.MAFK	chr1	94497026	94497044	-	0.000	0.000	Merged-chr1-94497080-23
NR13632--MA0089.1.MAFG::NFE2L1	chrX	85839387	85839392	+	0.000	0.000	Merged-chrX-85839388-40
NR2444--MA0591.1.Bach1::Mafk	chr11	116319380	116319394	-	0.000	0.000	Merged-chr11-116319237-29
NR11688--MA0089.1.MAFG::NFE2L1	chr7	12987500	12987505	-	0.000	0.000	Merged-chr7-12987633-12
NR8609--MA0659.1.MAFG	chr3	98030692	98030712	-	0.000	0.000	Merged-chr3-98030658-2
NR8591--MA0591.1.Bach1::Mafk	chr3	95658731	95658745	+	0.000	0.000	Merged-chr3-95659023-108
NR12400--MA0591.1.Bach1::Mafk	chr8	18564866	18564880	-	0.000	0.000	Merged-chr8-18564769-25
NR6120--MA0117.2.Mafb	chr17	85189690	85189701	+	0.000	0.000	Merged-chr17-85189630-51
NR2331--MA0089.1.MAFG::NFE2L1	chr11	79339688	79339693	-	0.000	0.000	Merged-chr11-79339786-62
NR12251--MA0591.1.Bach1::Mafk	chr7	122414407	122414421	+	0.000	0.000	Merged-chr7-122414418-49
NR10921--MA0495.2.MAFF	chr6	41526527	41526547	-	0.000	0.000	Merged-chr6-41526509-3
NR8611--MA0496.2.MAFK	chr3	98030693	98030711	-	0.000	0.000	Merged-chr3-98030658-2
NR6752--MA0089.1.MAFG::NFE2L1	chr19	8880884	8880889	+	0.000	0.000	Merged-chr19-8880870-57
NR7571--MA0591.1.Bach1::Mafk	chr2	122668157	122668171	+	0.000	0.000	Merged-chr2-122668057-9
NR3186--MA0089.1.MAFG::NFE2L1	chr13	18717296	18717301	+	0.000	0.000	Merged-chr13-18717386-51
NR113--MA0495.2.MAFF	chr1	20926481	20926501	+	0.000	0.000	Merged-chr1-20926362-24
NR12036--MA0089.1.MAFG::NFE2L1	chr7	82579675	82579680	+	0.000	0.000	Merged-chr7-82579689-5
NR1587--MA0495.2.MAFF	chr10	67512298	67512318	+	0.000	0.000	Merged-chr10-67512381-13
NR8622--MA0089.1.MAFG::NFE2L1	chr3	101233602	101233607	-	0.000	0.000	Merged-chr3-101233598-27
NR11975--MA0501.1.MAF::NFE2	chr7	75630057	75630071	-	0.000	0.000	Merged-chr7-75629936-10
NR5923--MA0089.1.MAFG::NFE2L1	chr17	50185721	50185726	-	0.000	0.000	Merged-chr17-50185897-34
NR11668--MA0117.2.Mafb	chr7	7171418	7171429	-	0.000	0.000	Merged-chr7-7171468-49
NR11182--MA0089.1.MAFG::NFE2L1	chr6	86922054	86922059	-	0.000	0.000	Merged-chr6-86921974-19
NR9842--MA0117.2.Mafb	chr4	150583617	150583628	+	0.000	0.000	Merged-chr4-150583490-1
NR5634--MA0089.1.MAFG::NFE2L1	chr16	95729025	95729030	-	0.000	0.000	Merged-chr16-95728966-56
NR10238--MA0117.2.Mafb	chr5	65898037	65898048	+	0.000	0.000	Merged-chr5-65898025-23
NR7983--MA0089.1.MAFG::NFE2L1	chr2	178078439	178078444	+	0.000	0.000	Merged-chr2-178078540-79
NR5636--MA0591.1.Bach1::Mafk	chr16	95893701	95893715	+	0.000	0.000	Merged-chr16-95893684-47
NR119--MA0591.1.Bach1::Mafk	chr1	21963195	21963209	+	0.000	0.000	Merged-chr1-21963410-76
NR4401--MA0591.1.Bach1::Mafk	chr14	103469661	103469675	-	0.000	0.000	Merged-chr14-103469586-86
NR8377--MA0591.1.Bach1::Mafk	chr3	65537405	65537419	-	0.000	0.000	Merged-chr3-65537527-21
NR4960--MA0591.1.Bach1::Mafk	chr15	81811332	81811346	+	0.000	0.000	Merged-chr15-81811152-87
NR12338--MA0089.1.MAFG::NFE2L1	chr7	144846470	144846475	-	0.000	0.000	Merged-chr7-144846420-24
NR11484--MA0089.1.MAFG::NFE2L1	chr6	130429671	130429676	-	0.000	0.000	Merged-chr6-130429681-16
NR8741--MA0496.2.MAFK	chr3	121593327	121593345	-	0.000	0.000	Merged-chr3-121593516-30
NR11689--MA0495.2.MAFF	chr7	13038281	13038301	+	0.000	0.000	Merged-chr7-13038148-88
NR10279--MA0089.1.MAFG::NFE2L1	chr5	72159705	72159710	-	0.000	0.000	Merged-chr5-72159731-18
NR8334--MA0591.1.Bach1::Mafk	chr3	59321438	59321452	-	0.000	0.000	Merged-chr3-59321525-21
NR7078--MA0591.1.Bach1::Mafk	chr2	30712175	30712189	-	0.000	0.000	Merged-chr2-30712039-69
NR5808--MA0495.2.MAFF	chr17	27755570	27755590	-	0.000	0.000	Merged-chr17-27755639-7
NR5183--MA0659.1.MAFG	chr16	14237421	14237441	-	0.000	0.000	Merged-chr16-14237452-27
NR5259--MA0117.2.Mafb	chr16	33337330	33337341	-	0.000	0.000	Merged-chr16-33337489-51
NR5850--MA0659.1.MAFG	chr17	33781060	33781080	-	0.000	0.000	Merged-chr17-33781173-86
NR8636--MA0117.2.Mafb	chr3	104963576	104963587	-	0.000	0.000	Merged-chr3-104963538-12
NR6904--MA0117.2.Mafb	chr2	6220407	6220418	-	0.000	0.000	Merged-chr2-6220387-36
NR11228--MA0495.2.MAFF	chr6	94623147	94623167	-	0.000	0.000	Merged-chr6-94623201-16
NR10251--MA0089.1.MAFG::NFE2L1	chr5	67260613	67260618	-	0.000	0.000	Merged-chr5-67260794-69
NR5747--MA0089.1.MAFG::NFE2L1	chr17	17581413	17581418	-	0.000	0.000	Merged-chr17-17581518-7
NR10147--MA0591.1.Bach1::Mafk	chr5	45402932	45402946	+	0.000	0.000	Merged-chr5-45402885-8
NR12121--MA0089.1.MAFG::NFE2L1	chr7	100992056	100992061	-	0.000	0.000	Merged-chr7-100992205-4
NR118--MA0495.2.MAFF	chr1	21963192	21963212	-	0.000	0.000	Merged-chr1-21963410-76
NR3977--MA0496.2.MAFK	chr14	17414422	17414440	-	0.000	0.000	Merged-chr14-17414498-32
NR5813--MA0501.1.MAF::NFE2	chr17	27755576	27755590	+	0.000	0.000	Merged-chr17-27755639-7
NR8042--MA0089.1.MAFG::NFE2L1	chr3	9401032	9401037	-	0.000	0.000	Merged-chr3-9400917-27
NR4980--MA0089.1.MAFG::NFE2L1	chr15	85610905	85610910	+	0.000	0.000	Merged-chr15-85610839-41
NR9745--MA0501.1.MAF::NFE2	chr4	139599011	139599025	+	0.000	0.000	Merged-chr4-139599159-54
NR6909--MA0659.1.MAFG	chr2	6478400	6478420	+	0.000	0.000	Merged-chr2-6478572-51
NR7354--MA0659.1.MAFG	chr2	75823972	75823992	-	0.000	0.000	Merged-chr2-75823994-29
NR1426--MA0089.1.MAFG::NFE2L1	chr10	42762368	42762373	-	0.000	0.000	Merged-chr10-42762562-19
NR5810--MA0591.1.Bach1::Mafk	chr17	27755573	27755587	+	0.000	0.000	Merged-chr17-27755639-7
NR6850--MA0089.1.MAFG::NFE2L1	chr19	46511346	46511351	+	0.000	0.000	Merged-chr19-46511275-84
NR8551--MA0591.1.Bach1::Mafk	chr3	89912852	89912866	-	0.000	0.000	Merged-chr3-89912987-87
NR3284--MA0089.1.MAFG::NFE2L1	chr13	42077768	42077773	-	0.000	0.000	Merged-chr13-42077893-29
NR6448--MA0501.1.MAF::NFE2	chr18	49721877	49721891	+	0.000	0.000	Merged-chr18-49721855-41
NR8672--MA0117.2.Mafb	chr3	109732611	109732622	+	0.000	0.000	Merged-chr3-109732646-37
NR1919--MA0495.2.MAFF	chr10	111107640	111107660	+	0.000	0.000	Merged-chr10-111107692-40
NR13063--MA0089.1.MAFG::NFE2L1	chr9	21852586	21852591	+	0.000	0.000	Merged-chr9-21852740-52
NR901--MA0496.2.MAFK	chr1	165828809	165828827	+	0.000	0.000	Merged-chr1-165828679-59
NR10075--MA0089.1.MAFG::NFE2L1	chr5	29205966	29205971	+	0.000	0.000	Merged-chr5-29205850-28
NR13102--MA0501.1.MAF::NFE2	chr9	32713431	32713445	-	0.000	0.000	Merged-chr9-32713353-6
NR12954--MA0501.1.MAF::NFE2	chr8	125557551	125557565	-	0.000	0.000	Merged-chr8-125557520-11
NR272--MA0117.2.Mafb	chr1	58806808	58806819	+	0.000	0.000	Merged-chr1-58806904-11
NR2253--MA0089.1.MAFG::NFE2L1	chr11	55461091	55461096	+	0.000	0.000	Merged-chr11-55461087-74
NR11471--MA0591.1.Bach1::Mafk	chr6	130029870	130029884	+	0.000	0.000	Merged-chr6-130029953-23
NR9066--MA0496.2.MAFK	chr4	6446816	6446834	+	0.000	0.000	Merged-chr4-6446926-20
NR7260--MA0117.2.Mafb	chr2	60019291	60019302	-	0.000	0.000	Merged-chr2-60019234-65
NR243--MA0496.2.MAFK	chr1	53909443	53909461	-	0.000	0.000	Merged-chr1-53909307-13
NR10088--MA0089.1.MAFG::NFE2L1	chr5	36006138	36006143	+	0.000	0.000	Merged-chr5-36006302-34
NR13421--MA0496.2.MAFK	chr9	108156925	108156943	-	0.000	0.000	Merged-chr9-108157018-18
NR9165--MA0591.1.Bach1::Mafk	chr4	24850976	24850990	+	0.000	0.000	Merged-chr4-24851017-40
NR11393--MA0089.1.MAFG::NFE2L1	chr6	117431693	117431698	+	0.000	0.000	Merged-chr6-117431708-65
NR13754--MA0089.1.MAFG::NFE2L1	chrX	166329272	166329277	+	0.000	0.000	Merged-chrX-166329162-24
NR2266--MA0089.1.MAFG::NFE2L1	chr11	60334396	60334401	-	0.000	0.000	Merged-chr11-60334317-7
NR8920--MA0089.1.MAFG::NFE2L1	chr3	146192527	146192532	+	0.000	0.000	Merged-chr3-146192596-55
NR13043--MA0501.1.MAF::NFE2	chr9	15550738	15550752	+	0.000	0.000	Merged-chr9-15550755-58
NR8053--MA0089.1.MAFG::NFE2L1	chr3	10466041	10466046	+	0.000	0.000	Merged-chr3-10466039-18
NR476--MA0496.2.MAFK	chr1	88256136	88256154	-	0.000	0.000	Merged-chr1-88256034-1,Merged-chr1-88256312-2
NR4991--MA0089.1.MAFG::NFE2L1	chr15	89123059	89123064	+	0.000	0.000	Merged-chr15-89123028-62
NR2857--MA0089.1.MAFG::NFE2L1	chr12	84031109	84031114	+	0.000	0.000	Merged-chr12-84031100-14
NR6861--MA0089.1.MAFG::NFE2L1	chr19	53390661	53390666	+	0.000	0.000	Merged-chr19-53390523-85
NR10858--MA0501.1.MAF::NFE2	chr6	28351379	28351393	+	0.000	0.000	Merged-chr6-28351294-19
NR12636--MA0089.1.MAFG::NFE2L1	chr8	69168595	69168600	-	0.000	0.000	Merged-chr8-69168549-18
NR4727--MA0089.1.MAFG::NFE2L1	chr15	36792595	36792600	-	0.000	0.000	Merged-chr15-36792702-8
NR6196--MA0089.1.MAFG::NFE2L1	chr18	3507554	3507559	+	0.000	0.000	Merged-chr18-3507740-84
NR2275--MA0495.2.MAFF	chr11	62280803	62280823	-	0.000	0.000	Merged-chr11-62280813-1
NR6572--MA0089.1.MAFG::NFE2L1	chr18	68765798	68765803	+	0.000	0.000	Merged-chr18-68765844-17
NR1924--MA0501.1.MAF::NFE2	chr10	111107640	111107654	-	0.000	0.000	Merged-chr10-111107692-40
NR13679--MA0659.1.MAFG	chrX	106171360	106171380	-	0.000	0.000	Merged-chrX-106171533-49
NR5856--MA0501.1.MAF::NFE2	chr17	34079783	34079797	+	0.000	0.000	Merged-chr17-34079741-9
NR11732--MA0659.1.MAFG	chr7	19332921	19332941	-	0.000	0.000	Merged-chr7-19332998-44
NR10286--MA0496.2.MAFK	chr5	72622448	72622466	+	0.000	0.000	Merged-chr5-72622310-11
NR13161--MA0089.1.MAFG::NFE2L1	chr9	61385988	61385993	-	0.000	0.000	Merged-chr9-61385921-10
NR10071--MA0496.2.MAFK	chr5	28072064	28072082	-	0.000	0.000	Merged-chr5-28071950-1
NR7256--MA0117.2.Mafb	chr2	59338614	59338625	-	0.000	0.000	Merged-chr2-59338660-28
NR6498--MA0089.1.MAFG::NFE2L1	chr18	56455713	56455718	-	0.000	0.000	Merged-chr18-56455831-43
NR10866--MA0659.1.MAFG	chr6	30671874	30671894	+	0.000	0.000	Merged-chr6-30671721-27
NR10288--MA0089.1.MAFG::NFE2L1	chr5	72800168	72800173	+	0.000	0.000	Merged-chr5-72800240-6
NR10508--MA0659.1.MAFG	chr5	118269183	118269203	-	0.000	0.000	Merged-chr5-118269215-26
NR8746--MA0591.1.Bach1::Mafk	chr3	122419706	122419720	-	0.000	0.000	Merged-chr3-122419865-81
NR1260--MA0591.1.Bach1::Mafk	chr10	19712419	19712433	-	0.000	0.000	Merged-chr10-19712534-24
NR5186--MA0496.2.MAFK	chr16	14237422	14237440	-	0.000	0.000	Merged-chr16-14237452-27
NR5669--MA0089.1.MAFG::NFE2L1	chr17	5195642	5195647	+	0.000	0.000	Merged-chr17-5195608-19
NR10879--MA0089.1.MAFG::NFE2L1	chr6	32548872	32548877	-	0.000	0.000	Merged-chr6-32548882-1
NR276--MA0089.1.MAFG::NFE2L1	chr1	60882910	60882915	-	0.000	0.000	Merged-chr1-60883000-15
NR13042--MA0591.1.Bach1::Mafk	chr9	15550735	15550749	+	0.000	0.000	Merged-chr9-15550755-58
NR3386--MA0501.1.MAF::NFE2	chr13	70600400	70600414	-	0.000	0.000	Merged-chr13-70600282-8
NR12153--MA0495.2.MAFF	chr7	104465137	104465157	-	0.000	0.000	Merged-chr7-104465292-53
NR7890--MA0089.1.MAFG::NFE2L1	chr2	168154776	168154781	+	0.000	0.000	Merged-chr2-168154639-40
NR9756--MA0496.2.MAFK	chr4	142153735	142153753	+	0.000	0.000	Merged-chr4-142153700-30
NR6119--MA0089.1.MAFG::NFE2L1	chr17	85189505	85189510	-	0.000	0.000	Merged-chr17-85189630-51
NR6534--MA0591.1.Bach1::Mafk	chr18	62156039	62156053	+	0.000	0.000	Merged-chr18-62156054-2
NR8739--MA0501.1.MAF::NFE2	chr3	121593332	121593346	+	0.000	0.000	Merged-chr3-121593516-30
NR1302--MA0591.1.Bach1::Mafk	chr10	25457377	25457391	-	0.000	0.000	Merged-chr10-25457296-47
NR11056--MA0117.2.Mafb	chr6	63424364	63424375	+	0.000	0.000	Merged-chr6-63424255-1
NR9275--MA0591.1.Bach1::Mafk	chr4	49567752	49567766	+	0.000	0.000	Merged-chr4-49567834-34
NR1946--MA0591.1.Bach1::Mafk	chr10	112922666	112922680	-	0.000	0.000	Merged-chr10-112922544-15
NR6206--MA0089.1.MAFG::NFE2L1	chr18	5334382	5334387	-	0.000	0.000	Merged-chr18-5334580-80
NR12207--MA0501.1.MAF::NFE2	chr7	111782124	111782138	+	0.000	0.000	Merged-chr7-111782187-19
NR10096--MA0117.2.Mafb	chr5	38039281	38039292	+	0.000	0.000	Merged-chr5-38039260-92
NR7064--MA0659.1.MAFG	chr2	26964418	26964438	+	0.000	0.000	Merged-chr2-26964427-62
NR3293--MA0089.1.MAFG::NFE2L1	chr13	49267889	49267894	+	0.000	0.000	Merged-chr13-49267914-12
NR2667--MA0591.1.Bach1::Mafk	chr12	40017109	40017123	+	0.000	0.000	Merged-chr12-40017136-45
NR864--MA0659.1.MAFG	chr1	160247412	160247432	+	0.000	0.000	Merged-chr1-160247316-67
NR6583--MA0089.1.MAFG::NFE2L1	chr18	70678712	70678717	+	0.000	0.000	Merged-chr18-70678715-18
NR5836--MA0591.1.Bach1::Mafk	chr17	31789320	31789334	+	0.000	0.000	Merged-chr17-31789470-34
NR4923--MA0591.1.Bach1::Mafk	chr15	75549079	75549093	+	0.000	0.000	Merged-chr15-75549017-20
NR7619--MA0591.1.Bach1::Mafk	chr2	132102955	132102969	+	0.000	0.000	Merged-chr2-132102969-23
NR1747--MA0117.2.Mafb	chr10	90981770	90981781	+	0.000	0.000	Merged-chr10-90981841-14
NR1711--MA0591.1.Bach1::Mafk	chr10	85829474	85829488	-	0.000	0.000	Merged-chr10-85829298-76
NR5858--MA0496.2.MAFK	chr17	34079778	34079796	-	0.000	0.000	Merged-chr17-34079741-9
NR9769--MA0591.1.Bach1::Mafk	chr4	145254684	145254698	-	0.000	0.000	Merged-chr4-145254618-54
NR5316--MA0501.1.MAF::NFE2	chr16	49888309	49888323	-	0.000	0.000	Merged-chr16-49888266-54
NR7826--MA0089.1.MAFG::NFE2L1	chr2	158666585	158666590	+	0.000	0.000	Merged-chr2-158666771-26
NR2477--MA0089.1.MAFG::NFE2L1	chr11	120776302	120776307	+	0.000	0.000	Merged-chr11-120776291-32
NR1433--MA0089.1.MAFG::NFE2L1	chr10	43742748	43742753	+	0.000	0.000	Merged-chr10-43742761-23
NR10538--MA0495.2.MAFF	chr5	125158606	125158626	+	0.000	0.000	Merged-chr5-125158641-59
NR13583--MA0496.2.MAFK	chrX	53670508	53670526	+	0.000	0.000	Merged-chrX-53670342-87
NR7046--MA0089.1.MAFG::NFE2L1	chr2	23006446	23006451	+	0.000	0.000	Merged-chr2-23006422-36
NR6322--MA0591.1.Bach1::Mafk	chr18	30365829	30365843	-	0.000	0.000	Merged-chr18-30365802-26
NR7422--MA0089.1.MAFG::NFE2L1	chr2	90917617	90917622	-	0.000	0.000	Merged-chr2-90917717-75
NR4925--MA0089.1.MAFG::NFE2L1	chr15	75894615	75894620	-	0.000	0.000	Merged-chr15-75894455-46
NR5782--MA0496.2.MAFK	chr17	23630406	23630424	+	0.000	0.000	Merged-chr17-23630399-39
NR5854--MA0089.1.MAFG::NFE2L1	chr17	34031995	34032000	-	0.000	0.000	Merged-chr17-34031904-65
NR4810--MA0089.1.MAFG::NFE2L1	chr15	53328210	53328215	+	0.000	0.000	Merged-chr15-53328390-15
NR5260--MA0591.1.Bach1::Mafk	chr16	33684470	33684484	+	0.000	0.000	Merged-chr16-33684496-70
NR11629--MA0089.1.MAFG::NFE2L1	chr6	144922951	144922956	-	0.000	0.000	Merged-chr6-144923057-24
NR2849--MA0495.2.MAFF	chr12	81845168	81845188	+	0.000	0.000	Merged-chr12-81845150-28
NR11454--MA0501.1.MAF::NFE2	chr6	127945883	127945897	+	0.000	0.000	Merged-chr6-127945972-30
NR2587--MA0501.1.MAF::NFE2	chr12	26315180	26315194	-	0.000	0.000	Merged-chr12-26315128-15
NR11717--MA0496.2.MAFK	chr7	16314088	16314106	+	0.000	0.000	Merged-chr7-16314036-50
NR1969--MA0496.2.MAFK	chr10	117829927	117829945	-	0.000	0.000	Merged-chr10-117829855-64
NR9000--MA0496.2.MAFK	chr3	154372399	154372417	-	0.000	0.000	Merged-chr3-154372398-2
NR2462--MA0089.1.MAFG::NFE2L1	chr11	117302177	117302182	-	0.000	0.000	Merged-chr11-117302059-32
NR12948--MA0117.2.Mafb	chr8	125391398	125391409	-	0.000	0.000	Merged-chr8-125391496-45
NR10898--MA0117.2.Mafb	chr6	34869689	34869700	+	0.000	0.000	Merged-chr6-34869594-48
NR13035--MA0117.2.Mafb	chr9	14262856	14262867	+	0.000	0.000	Merged-chr9-14262730-55
NR2618--MA0117.2.Mafb	chr12	34272998	34273009	+	0.000	0.000	Merged-chr12-34273173-1
NR6881--MA0496.2.MAFK	chr19	58104747	58104765	+	0.000	0.000	Merged-chr19-58104736-34
NR9607--MA0089.1.MAFG::NFE2L1	chr4	101349694	101349699	-	0.000	0.000	Merged-chr4-101349658-19
NR10888--MA0089.1.MAFG::NFE2L1	chr6	34029420	34029425	+	0.000	0.000	Merged-chr6-34029485-50
NR5991--MA0591.1.Bach1::Mafk	chr17	66101702	66101716	-	0.000	0.000	Merged-chr17-66101673-100
NR170--MA0089.1.MAFG::NFE2L1	chr1	36797660	36797665	-	0.000	0.000	Merged-chr1-36797700-29
NR6342--MA0659.1.MAFG	chr18	33060132	33060152	-	0.000	0.000	Merged-chr18-33060171-12
NR11829--MA0089.1.MAFG::NFE2L1	chr7	46796045	46796050	-	0.000	0.000	Merged-chr7-46795936-83
NR12758--MA0089.1.MAFG::NFE2L1	chr8	84737848	84737853	+	0.000	0.000	Merged-chr8-84737825-38
NR8605--MA0495.2.MAFF	chr3	98030692	98030712	-	0.000	0.000	Merged-chr3-98030658-2
NR843--MA0501.1.MAF::NFE2	chr1	155029375	155029389	-	0.000	0.000	Merged-chr1-155029443-27
NR4721--MA0089.1.MAFG::NFE2L1	chr15	35465177	35465182	+	0.000	0.000	Merged-chr15-35465086-12
NR4230--MA0089.1.MAFG::NFE2L1	chr14	62870636	62870641	-	0.000	0.000	Merged-chr14-62870465-48
NR3614--MA0117.2.Mafb	chr13	95765097	95765108	+	0.000	0.000	Merged-chr13-95765232-46
NR1531--MA0089.1.MAFG::NFE2L1	chr10	57448140	57448145	+	0.000	0.000	Merged-chr10-57448269-42
NR4692--MA0591.1.Bach1::Mafk	chr15	31239948	31239962	-	0.000	0.000	Merged-chr15-31239940-27
NR4936--MA0089.1.MAFG::NFE2L1	chr15	78528785	78528790	-	0.000	0.000	Merged-chr15-78528885-1
NR6781--MA0089.1.MAFG::NFE2L1	chr19	14695500	14695505	+	0.000	0.000	Merged-chr19-14695584-43
NR472--MA0089.1.MAFG::NFE2L1	chr1	87862704	87862709	+	0.000	0.000	Merged-chr1-87862821-1
NR7654--MA0495.2.MAFF	chr2	135748539	135748559	+	0.000	0.000	Merged-chr2-135748609-5
NR7631--MA0496.2.MAFK	chr2	133558723	133558741	+	0.000	0.000	Merged-chr2-133558747-1
NR8838--MA0495.2.MAFF	chr3	136686690	136686710	-	0.000	0.000	Merged-chr3-136686664-13
NR9695--MA0089.1.MAFG::NFE2L1	chr4	123588811	123588816	+	0.000	0.000	Merged-chr4-123588937-38
NR4834--MA0659.1.MAFG	chr15	60141740	60141760	-	0.000	0.000	Merged-chr15-60141822-49
NR10133--MA0659.1.MAFG	chr5	43425120	43425140	-	0.000	0.000	Merged-chr5-43425059-17
NR13370--MA0089.1.MAFG::NFE2L1	chr9	96936080	96936085	-	0.000	0.000	Merged-chr9-96936027-74
NR5812--MA0659.1.MAFG	chr17	27755570	27755590	-	0.000	0.000	Merged-chr17-27755639-7
NR12955--MA0496.2.MAFK	chr8	125557552	125557570	+	0.000	0.000	Merged-chr8-125557520-11
NR13183--MA0117.2.Mafb	chr9	66946099	66946110	+	0.000	0.000	Merged-chr9-66946019-72
NR1544--MA0089.1.MAFG::NFE2L1	chr10	61233192	61233197	+	0.000	0.000	Merged-chr10-61233317-40
NR7656--MA0659.1.MAFG	chr2	135748539	135748559	-	0.000	0.000	Merged-chr2-135748609-5
NR13671--MA0591.1.Bach1::Mafk	chrX	103616989	103617003	-	0.000	0.000	Merged-chrX-103616839-86
NR4949--MA0089.1.MAFG::NFE2L1	chr15	80562585	80562590	-	0.000	0.000	Merged-chr15-80562627-18
NR3672--MA0591.1.Bach1::Mafk	chr13	103374638	103374652	+	0.000	0.000	Merged-chr13-103374467-6
NR6113--MA0089.1.MAFG::NFE2L1	chr17	84136596	84136601	-	0.000	0.000	Merged-chr17-84136663-5
NR6863--MA0501.1.MAF::NFE2	chr19	53434030	53434044	-	0.000	0.000	Merged-chr19-53434218-37
NR8298--MA0117.2.Mafb	chr3	52638891	52638902	-	0.000	0.000	Merged-chr3-52638981-9
NR11637--MA0496.2.MAFK	chr6	145993222	145993240	+	0.000	0.000	Merged-chr6-145993129-56
NR3286--MA0591.1.Bach1::Mafk	chr13	43628148	43628162	-	0.000	0.000	Merged-chr13-43628200-5
NR4921--MA0089.1.MAFG::NFE2L1	chr15	74788806	74788811	+	0.000	0.000	Merged-chr15-74788759-4
NR253--MA0501.1.MAF::NFE2	chr1	55812753	55812767	-	0.000	0.000	Merged-chr1-55812730-9
NR11134--MA0089.1.MAFG::NFE2L1	chr6	71500833	71500838	-	0.000	0.000	Merged-chr6-71500692-12
NR2486--MA0089.1.MAFG::NFE2L1	chr12	3568935	3568940	+	0.000	0.000	Merged-chr12-3568895-12
NR9861--MA0591.1.Bach1::Mafk	chr4	155129616	155129630	-	0.000	0.000	Merged-chr4-155129607-22
NR4917--MA0496.2.MAFK	chr15	73627475	73627493	+	0.000	0.000	Merged-chr15-73627530-51
NR12407--MA0117.2.Mafb	chr8	18954109	18954120	-	0.000	0.000	Merged-chr8-18954142-48
NR11474--MA0659.1.MAFG	chr6	130029867	130029887	-	0.000	0.000	Merged-chr6-130029953-23
NR12856--MA0089.1.MAFG::NFE2L1	chr8	105623141	105623146	-	0.000	0.000	Merged-chr8-105622975-103
NR2297--MA0089.1.MAFG::NFE2L1	chr11	69063596	69063601	+	0.000	0.000	Merged-chr11-69063631-1
NR8997--MA0659.1.MAFG	chr3	154372398	154372418	+	0.000	0.000	Merged-chr3-154372398-2
NR194--MA0089.1.MAFG::NFE2L1	chr1	43299542	43299547	-	0.000	0.000	Merged-chr1-43299668-27
NR11436--MA0501.1.MAF::NFE2	chr6	124805733	124805747	+	0.000	0.000	Merged-chr6-124805887-69
NR10293--MA0089.1.MAFG::NFE2L1	chr5	73199824	73199829	-	0.000	0.000	Merged-chr5-73199876-43
NR2760--MA0089.1.MAFG::NFE2L1	chr12	55465240	55465245	-	0.000	0.000	Merged-chr12-55465291-109
NR5936--MA0495.2.MAFF	chr17	52312185	52312205	-	0.000	0.000	Merged-chr17-52312219-8
