#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR12959--MA0659.1.MAFG	chr7	98995279	98995299	+	0.000	0.000	Merged-chr7-98995432-21
NR2716--MA0496.2.MAFK	chr11	104622754	104622772	+	0.000	0.000	Merged-chr11-104622687-63
NR6032--MA0591.1.Bach1::Mafk	chr16	92944070	92944084	-	0.000	0.000	Merged-chr16-92944045-14
NR2535--MA0089.1.MAFG::NFE2L1	chr11	75454704	75454709	-	0.000	0.000	Merged-chr11-75454726-54
NR14252--MA0117.2.Mafb	chr9	44498272	44498283	-	0.000	0.000	Merged-chr9-44498422-28
NR12793--MA0089.1.MAFG::NFE2L1	chr7	67631085	67631090	-	0.000	0.000	Merged-chr7-67631020-23
NR9114--MA0496.2.MAFK	chr3	84732099	84732117	+	0.000	0.000	Merged-chr3-84732134-27
NR1681--MA0089.1.MAFG::NFE2L1	chr10	75536262	75536267	+	0.000	0.000	Merged-chr10-75536310-39
NR2420--MA0089.1.MAFG::NFE2L1	chr11	55039713	55039718	+	0.000	0.000	Merged-chr11-55039805-19
NR1958--MA0591.1.Bach1::Mafk	chr10	111562752	111562766	-	0.000	0.000	Merged-chr10-111562842-26
NR5449--MA0089.1.MAFG::NFE2L1	chr15	100461237	100461242	+	0.000	0.000	Merged-chr15-100461368-57
NR4699--MA0591.1.Bach1::Mafk	chr14	69813199	69813213	+	0.000	0.000	Merged-chr14-69813335-19
NR5825--MA0089.1.MAFG::NFE2L1	chr16	57634365	57634370	+	0.000	0.000	Merged-chr16-57634391-20
NR1790--MA0501.1.MAF::NFE2	chr10	85829471	85829485	-	0.000	0.000	Merged-chr10-85829298-76
NR9763--MA0501.1.MAF::NFE2	chr4	8499317	8499331	+	0.000	0.000	Merged-chr4-8499502-2
NR2697--MA0501.1.MAF::NFE2	chr11	103262561	103262575	+	0.000	0.000	Merged-chr11-103262578-52
NR10797--MA0117.2.Mafb	chr5	36538670	36538681	-	0.000	0.000	Merged-chr5-36538864-43
NR14892--MA0591.1.Bach1::Mafk	chrX	71468816	71468830	-	0.000	0.000	Merged-chrX-71468864-48
NR11299--MA0089.1.MAFG::NFE2L1	chr5	121843014	121843019	-	0.000	0.000	Merged-chr5-121843055-34
NR11629--MA0501.1.MAF::NFE2	chr6	30162228	30162242	-	0.000	0.000	Merged-chr6-30162256-14
NR6230--MA0495.2.MAFF	chr17	26572479	26572499	+	0.000	0.000	Merged-chr17-26572396-49
NR4419--MA0591.1.Bach1::Mafk	chr14	25609576	25609590	-	0.000	0.000	Merged-chr14-25609615-15
NR2722--MA0089.1.MAFG::NFE2L1	chr11	104667853	104667858	-	0.000	0.000	Merged-chr11-104667644-45
NR1302--MA0089.1.MAFG::NFE2L1	chr10	7846458	7846463	+	0.000	0.000	Merged-chr10-7846413-3
NR12626--MA0495.2.MAFF	chr7	27508826	27508846	+	0.000	0.000	Merged-chr7-27508743-1
NR11332--MA0659.1.MAFG	chr5	132218577	132218597	+	0.000	0.000	Merged-chr5-132218633-11
NR12961--MA0496.2.MAFK	chr7	98995280	98995298	-	0.000	0.000	Merged-chr7-98995432-21
NR13046--MA0117.2.Mafb	chr7	110630430	110630441	-	0.000	0.000	Merged-chr7-110630391-39
NR2586--MA0501.1.MAF::NFE2	chr11	84016343	84016357	+	0.000	0.000	Merged-chr11-84016302-8
NR2747--MA0501.1.MAF::NFE2	chr11	109149702	109149716	+	0.000	0.000	Merged-chr11-109149686-17
NR13716--MA0495.2.MAFF	chr8	83131932	83131952	+	0.000	0.000	Merged-chr8-83131891-13
NR2648--MA0089.1.MAFG::NFE2L1	chr11	96504777	96504782	-	0.000	0.000	Merged-chr11-96504933-13
NR10933--MA0089.1.MAFG::NFE2L1	chr5	64472510	64472515	-	0.000	0.000	Merged-chr5-64472447-77
NR5232--MA0089.1.MAFG::NFE2L1	chr15	62091866	62091871	-	0.000	0.000	Merged-chr15-62091960-25
NR113--MA0501.1.MAF::NFE2	chr1	33454547	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR636--MA0496.2.MAFK	chr1	119469664	119469682	-	0.000	0.000	Merged-chr1-119469584-5
NR3269--MA0496.2.MAFK	chr12	98674815	98674833	+	0.000	0.000	Merged-chr12-98674935-52
NR7292--MA0089.1.MAFG::NFE2L1	chr19	30113498	30113503	+	0.000	0.000	Merged-chr19-30113626-34
NR1472--MA0501.1.MAF::NFE2	chr10	39418588	39418602	+	0.000	0.000	Merged-chr10-39418565-23
NR5001--MA0496.2.MAFK	chr14	121903486	121903504	-	0.000	0.000	Merged-chr14-121903586-22
NR8724--MA0089.1.MAFG::NFE2L1	chr2	177464762	177464767	-	0.000	0.000	Merged-chr2-177464769-67
NR2379--MA0501.1.MAF::NFE2	chr11	51832673	51832687	+	0.000	0.000	Merged-chr11-51832716-20
NR10147--MA0501.1.MAF::NFE2	chr4	100095987	100096001	-	0.000	0.000	Merged-chr4-100096138-68
NR6578--MA0089.1.MAFG::NFE2L1	chr17	85189505	85189510	-	0.000	0.000	Merged-chr17-85189630-51
NR13067--MA0089.1.MAFG::NFE2L1	chr7	112225753	112225758	+	0.000	0.000	Merged-chr7-112225883-54
NR1575--MA0117.2.Mafb	chr10	57753275	57753286	-	0.000	0.000	Merged-chr10-57753371-62
NR6450--MA0089.1.MAFG::NFE2L1	chr17	64826307	64826312	-	0.000	0.000	Merged-chr17-64826379-6
NR10260--MA0117.2.Mafb	chr4	111577510	111577521	+	0.000	0.000	Merged-chr4-111577435-1
NR8870--MA0591.1.Bach1::Mafk	chr3	33800168	33800182	+	0.000	0.000	Merged-chr3-33800015-65
NR12573--MA0591.1.Bach1::Mafk	chr7	16057373	16057387	-	0.000	0.000	Merged-chr7-16057177-61
NR7247--MA0591.1.Bach1::Mafk	chr19	21200066	21200080	+	0.000	0.000	Merged-chr19-21199898-12
NR11444--MA0117.2.Mafb	chr5	146904463	146904474	+	0.000	0.000	Merged-chr5-146904592-30
NR11499--MA0089.1.MAFG::NFE2L1	chr6	6217169	6217174	-	0.000	0.000	Merged-chr6-6217012-81
NR10079--MA0089.1.MAFG::NFE2L1	chr4	88179470	88179475	-	0.000	0.000	Merged-chr4-88179548-21
NR4740--MA0495.2.MAFF	chr14	73472443	73472463	+	0.000	0.000	Merged-chr14-73472602-8
NR64--MA0496.2.MAFK	chr1	20926482	20926500	+	0.000	0.000	Merged-chr1-20926362-24
NR4391--MA0089.1.MAFG::NFE2L1	chr14	20766174	20766179	-	0.000	0.000	Merged-chr14-20766175-32
NR9148--MA0117.2.Mafb	chr3	89876585	89876596	-	0.000	0.000	Merged-chr3-89876737-10
NR8331--MA0501.1.MAF::NFE2	chr2	132874100	132874114	-	0.000	0.000	Merged-chr2-132874056-29
NR9579--MA0089.1.MAFG::NFE2L1	chr3	142550486	142550491	-	0.000	0.000	Merged-chr3-142550449-49
NR766--MA0496.2.MAFK	chr1	138912320	138912338	-	0.000	0.000	Merged-chr1-138912378-18
NR8752--MA0117.2.Mafb	chr2	180227698	180227709	+	0.000	0.000	Merged-chr2-180227803-24
NR5008--MA0117.2.Mafb	chr14	122453889	122453900	+	0.000	0.000	Merged-chr14-122453892-19
NR6261--MA0089.1.MAFG::NFE2L1	chr17	29552560	29552565	+	0.000	0.000	Merged-chr17-29552502-38
NR10051--MA0089.1.MAFG::NFE2L1	chr4	83485784	83485789	-	0.000	0.000	Merged-chr4-83485831-3
NR13222--MA0501.1.MAF::NFE2	chr7	129764597	129764611	-	0.000	0.000	Merged-chr7-129764736-16
NR5357--MA0591.1.Bach1::Mafk	chr15	83474198	83474212	+	0.000	0.000	Merged-chr15-83474258-63
NR8246--MA0089.1.MAFG::NFE2L1	chr2	121442635	121442640	+	0.000	0.000	Merged-chr2-121442652-51
NR5358--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR2636--MA0496.2.MAFK	chr11	94275921	94275939	+	0.000	0.000	Merged-chr11-94275707-70
NR8622--MA0089.1.MAFG::NFE2L1	chr2	168230632	168230637	-	0.000	0.000	Merged-chr2-168230468-122
NR7202--MA0089.1.MAFG::NFE2L1	chr19	11965707	11965712	+	0.000	0.000	Merged-chr19-11965731-84
NR1229--MA0495.2.MAFF	chr1	191420990	191421010	+	0.000	0.000	Merged-chr1-191421132-37
NR12313--MA0495.2.MAFF	chr6	130429677	130429697	+	0.000	0.000	Merged-chr6-130429681-16
NR10468--MA0089.1.MAFG::NFE2L1	chr4	143190922	143190927	+	0.000	0.000	Merged-chr4-143190909-19
NR5970--MA0501.1.MAF::NFE2	chr16	87602945	87602959	-	0.000	0.000	Merged-chr16-87603079-11
NR10353--MA0089.1.MAFG::NFE2L1	chr4	126090367	126090372	-	0.000	0.000	Merged-chr4-126090420-25
NR8757--MA0659.1.MAFG	chr2	180227843	180227863	-	0.000	0.000	Merged-chr2-180227803-24
NR9968--MA0089.1.MAFG::NFE2L1	chr4	59531247	59531252	-	0.000	0.000	Merged-chr4-59531324-24
NR4429--MA0089.1.MAFG::NFE2L1	chr14	27351659	27351664	+	0.000	0.000	Merged-chr14-27351647-44
NR11362--MA0495.2.MAFF	chr5	136550856	136550876	+	0.000	0.000	Merged-chr5-136550897-14
NR3199--MA0089.1.MAFG::NFE2L1	chr12	89950227	89950232	-	0.000	0.000	Merged-chr12-89950260-14
NR2437--MA0117.2.Mafb	chr11	59226461	59226472	-	0.000	0.000	Merged-chr11-59226578-39
NR3084--MA0089.1.MAFG::NFE2L1	chr12	69863711	69863716	-	0.000	0.000	Merged-chr12-69863671-25
NR14398--MA0089.1.MAFG::NFE2L1	chr9	74975993	74975998	+	0.000	0.000	Merged-chr9-74976047-58
NR2099--MA0496.2.MAFK	chr10	127114589	127114607	+	0.000	0.000	Merged-chr10-127114470-4
NR6489--MA0089.1.MAFG::NFE2L1	chr17	70851897	70851902	-	0.000	0.000	Merged-chr17-70852117-218
NR6865--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR9632--MA0659.1.MAFG	chr3	146776671	146776691	-	0.000	0.000	Merged-chr3-146776816-2
NR142--MA0659.1.MAFG	chr1	37308181	37308201	+	0.000	0.000	Merged-chr1-37308112-49
NR14530--MA0591.1.Bach1::Mafk	chr9	95151982	95151996	+	0.000	0.000	Merged-chr9-95151869-50
NR10903--MA0496.2.MAFK	chr5	58084108	58084126	+	0.000	0.000	Merged-chr5-58084122-29
NR8853--MA0501.1.MAF::NFE2	chr3	28317954	28317968	-	0.000	0.000	Merged-chr3-28318064-9
NR14273--MA0496.2.MAFK	chr9	45247853	45247871	+	0.000	0.000	Merged-chr9-45247703-45
NR2362--MA0591.1.Bach1::Mafk	chr11	49695208	49695222	+	0.000	0.000	Merged-chr11-49695258-6
NR10957--MA0089.1.MAFG::NFE2L1	chr5	67437667	67437672	+	0.000	0.000	Merged-chr5-67437495-24
NR2544--MA0089.1.MAFG::NFE2L1	chr11	76677238	76677243	-	0.000	0.000	Merged-chr11-76677169-5
NR9943--MA0496.2.MAFK	chr4	57295322	57295340	+	0.000	0.000	Merged-chr4-57295265-18
NR2053--MA0089.1.MAFG::NFE2L1	chr10	122748724	122748729	-	0.000	0.000	Merged-chr10-122748643-28
NR12484--MA0501.1.MAF::NFE2	chr6	145187747	145187761	-	0.000	0.000	Merged-chr6-145187642-51
NR118--MA0495.2.MAFF	chr1	33757036	33757056	-	0.000	0.000	Merged-chr1-33757115-3
NR13725--MA0496.2.MAFK	chr8	84825733	84825751	+	0.000	0.000	Merged-chr8-84825845-44
NR6559--MA0501.1.MAF::NFE2	chr17	80621198	80621212	-	0.000	0.000	Merged-chr17-80621176-31
NR14092--MA0659.1.MAFG	chr9	7776014	7776034	-	0.000	0.000	Merged-chr9-7776145-26
NR10553--MA0089.1.MAFG::NFE2L1	chr4	149854336	149854341	-	0.000	0.000	Merged-chr4-149854542-67
NR2332--MA0496.2.MAFK	chr11	43748047	43748065	-	0.000	0.000	Merged-chr11-43747947-60
NR9677--MA0089.1.MAFG::NFE2L1	chr3	153411717	153411722	-	0.000	0.000	Merged-chr3-153411590-2
NR8633--MA0089.1.MAFG::NFE2L1	chr2	169398676	169398681	-	0.000	0.000	Merged-chr2-169398588-9
NR3168--MA0591.1.Bach1::Mafk	chr12	84218907	84218921	+	0.000	0.000	Merged-chr12-84218783-53
NR2252--MA0495.2.MAFF	chr11	23570306	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR3833--MA0591.1.Bach1::Mafk	chr13	58206785	58206799	-	0.000	0.000	Merged-chr13-58206802-1
NR10279--MA0659.1.MAFG	chr4	116018506	116018526	+	0.000	0.000	Merged-chr4-116018460-3
NR7108--MA0659.1.MAFG	chr18	84159131	84159151	+	0.000	0.000	Merged-chr18-84159275-32
NR10962--MA0495.2.MAFF	chr5	68033468	68033488	+	0.000	0.000	Merged-chr5-68033501-23
NR15023--MA0496.2.MAFK	chrX	139610653	139610671	+	0.000	0.000	Merged-chrX-139610581-86
NR13188--MA0496.2.MAFK	chr7	125638954	125638972	+	0.000	0.000	Merged-chr7-125638939-46
NR958--MA0089.1.MAFG::NFE2L1	chr1	164665797	164665802	+	0.000	0.000	Merged-chr1-164665875-3
NR8935--MA0089.1.MAFG::NFE2L1	chr3	52272706	52272711	+	0.000	0.000	Merged-chr3-52272680-5
NR467--MA0089.1.MAFG::NFE2L1	chr1	90739103	90739108	+	0.000	0.000	Merged-chr1-90739110-18
NR5942--MA0496.2.MAFK	chr16	77644508	77644526	+	0.000	0.000	Merged-chr16-77644361-24
NR10942--MA0089.1.MAFG::NFE2L1	chr5	65938175	65938180	-	0.000	0.000	Merged-chr5-65938272-22
NR6244--MA0496.2.MAFK	chr17	27027475	27027493	+	0.000	0.000	Merged-chr17-27027661-33
NR3491--MA0501.1.MAF::NFE2	chr12	116467319	116467333	+	0.000	0.000	Merged-chr12-116467208-51
NR4870--MA0496.2.MAFK	chr14	101470025	101470043	+	0.000	0.000	Merged-chr14-101470106-24
NR2270--MA0495.2.MAFF	chr11	31824815	31824835	-	0.000	0.000	Merged-chr11-31824780-24
NR5940--MA0591.1.Bach1::Mafk	chr16	77644510	77644524	+	0.000	0.000	Merged-chr16-77644361-24
NR178--MA0089.1.MAFG::NFE2L1	chr1	43299651	43299656	-	0.000	0.000	Merged-chr1-43299668-27
NR554--MA0089.1.MAFG::NFE2L1	chr1	104215344	104215349	+	0.000	0.000	Merged-chr1-104215254-1
NR1324--MA0089.1.MAFG::NFE2L1	chr10	12842754	12842759	-	0.000	0.000	Merged-chr10-12842715-46
NR12147--MA0591.1.Bach1::Mafk	chr6	116628692	116628706	-	0.000	0.000	Merged-chr6-116628813-88
NR13609--MA0496.2.MAFK	chr8	71729309	71729327	-	0.000	0.000	Merged-chr8-71729431-24
NR7792--MA0089.1.MAFG::NFE2L1	chr2	61563435	61563440	+	0.000	0.000	Merged-chr2-61563608-27
NR10162--MA0089.1.MAFG::NFE2L1	chr4	101356210	101356215	-	0.000	0.000	Merged-chr4-101356432-43
NR6141--MA0496.2.MAFK	chr17	7931731	7931749	+	0.000	0.000	Merged-chr17-7931540-55
NR10281--MA0496.2.MAFK	chr4	116018507	116018525	+	0.000	0.000	Merged-chr4-116018460-3
NR13943--MA0089.1.MAFG::NFE2L1	chr8	116605575	116605580	+	0.000	0.000	Merged-chr8-116605593-15
NR12105--MA0117.2.Mafb	chr6	113681372	113681383	+	0.000	0.000	Merged-chr6-113681431-40
NR9551--MA0591.1.Bach1::Mafk	chr3	137981532	137981546	-	0.000	0.000	Merged-chr3-137981566-6
NR14640--MA0591.1.Bach1::Mafk	chr9	108150738	108150752	-	0.000	0.000	Merged-chr9-108150702-30
NR3385--MA0591.1.Bach1::Mafk	chr12	110591596	110591610	+	0.000	0.000	Merged-chr12-110591527-74
NR13667--MA0089.1.MAFG::NFE2L1	chr8	77435129	77435134	+	0.000	0.000	Merged-chr8-77435130-10
NR5770--MA0659.1.MAFG	chr16	50737727	50737747	-	0.000	0.000	Merged-chr16-50737708-13
NR8313--MA0501.1.MAF::NFE2	chr2	131502107	131502121	-	0.000	0.000	Merged-chr2-131502191-12
NR7310--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR6083--MA0591.1.Bach1::Mafk	chr16	95893659	95893673	+	0.000	0.000	Merged-chr16-95893684-47
NR11364--MA0591.1.Bach1::Mafk	chr5	136550859	136550873	+	0.000	0.000	Merged-chr5-136550897-14
NR6211--MA0501.1.MAF::NFE2	chr17	24152470	24152484	+	0.000	0.000	Merged-chr17-24152368-58
NR1500--MA0117.2.Mafb	chr10	43919090	43919101	-	0.000	0.000	Merged-chr10-43919152-21
NR951--MA0495.2.MAFF	chr1	164395262	164395282	+	0.000	0.000	Merged-chr1-164395295-18
NR13674--MA0117.2.Mafb	chr8	77713970	77713981	+	0.000	0.000	Merged-chr8-77713879-9
NR14834--MA0501.1.MAF::NFE2	chrX	19157613	19157627	+	0.000	0.000	Merged-chrX-19157742-22
NR5447--MA0591.1.Bach1::Mafk	chr15	100411200	100411214	+	0.000	0.000	Merged-chr15-100411281-12
NR9995--MA0501.1.MAF::NFE2	chr4	62739899	62739913	+	0.000	0.000	Merged-chr4-62739923-10
NR4136--MA0089.1.MAFG::NFE2L1	chr13	106957535	106957540	-	0.000	0.000	Merged-chr13-106957693-14
NR10766--MA0089.1.MAFG::NFE2L1	chr5	30869665	30869670	-	0.000	0.000	Merged-chr5-30869662-46
NR5769--MA0591.1.Bach1::Mafk	chr16	50737730	50737744	+	0.000	0.000	Merged-chr16-50737708-13
NR14394--MA0089.1.MAFG::NFE2L1	chr9	73068535	73068540	+	0.000	0.000	Merged-chr9-73068515-27
NR10268--MA0496.2.MAFK	chr4	114173170	114173188	-	0.000	0.000	Merged-chr4-114173056-28
NR8041--MA0501.1.MAF::NFE2	chr2	102813058	102813072	+	0.000	0.000	Merged-chr2-102812992-26
NR9899--MA0501.1.MAF::NFE2	chr4	46560566	46560580	+	0.000	0.000	Merged-chr4-46560470-31
NR4619--MA0591.1.Bach1::Mafk	chr14	56296748	56296762	+	0.000	0.000	Merged-chr14-56296830-101
NR9209--MA0089.1.MAFG::NFE2L1	chr3	95650722	95650727	-	0.000	0.000	Merged-chr3-95650788-36
NR2365--MA0591.1.Bach1::Mafk	chr11	50827805	50827819	-	0.000	0.000	Merged-chr11-50827649-66
NR12023--MA0495.2.MAFF	chr6	99388885	99388905	-	0.000	0.000	Merged-chr6-99389059-78
NR14894--MA0659.1.MAFG	chrX	71468813	71468833	-	0.000	0.000	Merged-chrX-71468864-48
NR124--MA0591.1.Bach1::Mafk	chr1	34849958	34849972	+	0.000	0.000	Merged-chr1-34850042-48
NR1900--MA0089.1.MAFG::NFE2L1	chr10	98878092	98878097	+	0.000	0.000	Merged-chr10-98878013-50
NR9411--MA0496.2.MAFK	chr3	121874813	121874831	-	0.000	0.000	Merged-chr3-121874730-10
NR7144--MA0117.2.Mafb	chr19	4169565	4169576	+	0.000	0.000	Merged-chr19-4169695-50
NR14696--MA0089.1.MAFG::NFE2L1	chr9	115088472	115088477	+	0.000	0.000	Merged-chr9-115088492-13
NR12135--MA0495.2.MAFF	chr6	116287117	116287137	+	0.000	0.000	Merged-chr6-116287137-8
NR10953--MA0089.1.MAFG::NFE2L1	chr5	67260613	67260618	-	0.000	0.000	Merged-chr5-67260794-69
NR5063--MA0591.1.Bach1::Mafk	chr15	18821598	18821612	+	0.000	0.000	Merged-chr15-18821535-37
NR3799--MA0089.1.MAFG::NFE2L1	chr13	51814101	51814106	+	0.000	0.000	Merged-chr13-51814319-87
NR4034--MA0089.1.MAFG::NFE2L1	chr13	93593449	93593454	+	0.000	0.000	Merged-chr13-93593412-57
NR7168--MA0591.1.Bach1::Mafk	chr19	7295164	7295178	+	0.000	0.000	Merged-chr19-7295405-60
NR6399--MA0117.2.Mafb	chr17	51408639	51408650	-	0.000	0.000	Merged-chr17-51408616-68
NR12448--MA0496.2.MAFK	chr6	143132508	143132526	-	0.000	0.000	Merged-chr6-143132490-15
NR6520--MA0501.1.MAF::NFE2	chr17	73656553	73656567	-	0.000	0.000	Merged-chr17-73656544-26
NR1023--MA0591.1.Bach1::Mafk	chr1	173535948	173535962	+	0.000	0.000	Merged-chr1-173535900-60
NR6577--MA0591.1.Bach1::Mafk	chr17	84633518	84633532	+	0.000	0.000	Merged-chr17-84633706-27
NR11605--MA0089.1.MAFG::NFE2L1	chr6	29232431	29232436	-	0.000	0.000	Merged-chr6-29232345-65
NR5862--MA0496.2.MAFK	chr16	64796758	64796776	-	0.000	0.000	Merged-chr16-64796887-9
NR11161--MA0496.2.MAFK	chr5	103817973	103817991	+	0.000	0.000	Merged-chr5-103817975-33
NR3386--MA0501.1.MAF::NFE2	chr12	110591599	110591613	+	0.000	0.000	Merged-chr12-110591527-74
NR9673--MA0089.1.MAFG::NFE2L1	chr3	153059098	153059103	+	0.000	0.000	Merged-chr3-153059187-2
NR10414--MA0659.1.MAFG	chr4	134483935	134483955	+	0.000	0.000	Merged-chr4-134483836-10
NR286--MA0117.2.Mafb	chr1	67181191	67181202	-	0.000	0.000	Merged-chr1-67181322-10
NR145--MA0496.2.MAFK	chr1	37308182	37308200	-	0.000	0.000	Merged-chr1-37308112-49
NR9309--MA0089.1.MAFG::NFE2L1	chr3	108562552	108562557	-	0.000	0.000	Merged-chr3-108562830-113
NR2351--MA0089.1.MAFG::NFE2L1	chr11	46375218	46375223	-	0.000	0.000	Merged-chr11-46375177-31
NR3904--MA0117.2.Mafb	chr13	69821588	69821599	+	0.000	0.000	Merged-chr13-69821460-47
NR9324--MA0117.2.Mafb	chr3	109740671	109740682	+	0.000	0.000	Merged-chr3-109740806-11
NR14404--MA0089.1.MAFG::NFE2L1	chr9	75645726	75645731	+	0.000	0.000	Merged-chr9-75645586-46
NR2537--MA0591.1.Bach1::Mafk	chr11	75530552	75530566	-	0.000	0.000	Merged-chr11-75530665-33
NR12621--MA0089.1.MAFG::NFE2L1	chr7	24890573	24890578	+	0.000	0.000	Merged-chr7-24890610-35
NR1445--MA0501.1.MAF::NFE2	chr10	34418439	34418453	-	0.000	0.000	Merged-chr10-34418340-93
NR6685--MA0089.1.MAFG::NFE2L1	chr18	14717515	14717520	+	0.000	0.000	Merged-chr18-14717418-17
NR8252--MA0117.2.Mafb	chr2	122361283	122361294	-	0.000	0.000	Merged-chr2-122361363-21
NR10902--MA0591.1.Bach1::Mafk	chr5	58084110	58084124	+	0.000	0.000	Merged-chr5-58084122-29
NR7180--MA0117.2.Mafb	chr19	9038340	9038351	+	0.000	0.000	Merged-chr19-9038318-39
NR7386--MA0117.2.Mafb	chr19	53972147	53972158	-	0.000	0.000	Merged-chr19-53972113-29
NR5538--MA0501.1.MAF::NFE2	chr16	18377408	18377422	+	0.000	0.000	Merged-chr16-18377300-20
NR5321--MA0495.2.MAFF	chr15	77970840	77970860	-	0.000	0.000	Merged-chr15-77970844-78
NR2272--MA0501.1.MAF::NFE2	chr11	31824821	31824835	+	0.000	0.000	Merged-chr11-31824780-24
NR11429--MA0591.1.Bach1::Mafk	chr5	144965187	144965201	+	0.000	0.000	Merged-chr5-144965112-15
NR12578--MA0496.2.MAFK	chr7	16057371	16057389	-	0.000	0.000	Merged-chr7-16057177-61
NR5472--MA0591.1.Bach1::Mafk	chr15	102376995	102377009	+	0.000	0.000	Merged-chr15-102377119-58
NR6461--MA0501.1.MAF::NFE2	chr17	66123568	66123582	+	0.000	0.000	Merged-chr17-66123713-52
NR9232--MA0591.1.Bach1::Mafk	chr3	96269598	96269612	+	0.000	0.000	Merged-chr3-96269426-97
NR3922--MA0117.2.Mafb	chr13	72959395	72959406	+	0.000	0.000	Merged-chr13-72959557-1
NR12056--MA0089.1.MAFG::NFE2L1	chr6	106805005	106805010	+	0.000	0.000	Merged-chr6-106805157-19
NR10777--MA0089.1.MAFG::NFE2L1	chr5	34407433	34407438	-	0.000	0.000	Merged-chr5-34407606-18
NR8304--MA0501.1.MAF::NFE2	chr2	131191215	131191229	-	0.000	0.000	Merged-chr2-131191019-12
NR12581--MA0591.1.Bach1::Mafk	chr7	16314090	16314104	+	0.000	0.000	Merged-chr7-16314036-50
NR10405--MA0117.2.Mafb	chr4	133277775	133277786	-	0.000	0.000	Merged-chr4-133277744-67
NR9207--MA0089.1.MAFG::NFE2L1	chr3	95511979	95511984	+	0.000	0.000	Merged-chr3-95512078-41
NR2108--MA0591.1.Bach1::Mafk	chr10	127744986	127745000	+	0.000	0.000	Merged-chr10-127744856-26
NR11956--MA0117.2.Mafb	chr6	90746481	90746492	+	0.000	0.000	Merged-chr6-90746372-25
NR4562--MA0496.2.MAFK	chr14	47367041	47367059	+	0.000	0.000	Merged-chr14-47367011-11
NR476--MA0089.1.MAFG::NFE2L1	chr1	91298233	91298238	+	0.000	0.000	Merged-chr1-91298212-56
NR10849--MA0501.1.MAF::NFE2	chr5	48372386	48372400	-	0.000	0.000	Merged-chr5-48372456-58
NR852--MA0089.1.MAFG::NFE2L1	chr1	153700776	153700781	+	0.000	0.000	Merged-chr1-153700855-14
NR14022--MA0501.1.MAF::NFE2	chr8	126188897	126188911	+	0.000	0.000	Merged-chr8-126188962-13
NR2991--MA0591.1.Bach1::Mafk	chr12	40016954	40016968	+	0.000	0.000	Merged-chr12-40017136-45
NR10084--MA0089.1.MAFG::NFE2L1	chr4	88693552	88693557	-	0.000	0.000	Merged-chr4-88693660-22
NR9208--MA0117.2.Mafb	chr3	95523976	95523987	-	0.000	0.000	Merged-chr3-95523820-51
NR13491--MA0117.2.Mafb	chr8	35678099	35678110	-	0.000	0.000	Merged-chr8-35678032-30
NR1519--MA0659.1.MAFG	chr10	44716058	44716078	-	0.000	0.000	Merged-chr10-44715918-29
NR2855--MA0659.1.MAFG	chr12	3892086	3892106	-	0.000	0.000	Merged-chr12-3892053-9
NR5426--MA0117.2.Mafb	chr15	97361178	97361189	+	0.000	0.000	Merged-chr15-97361236-9
NR5316--MA0501.1.MAF::NFE2	chr15	76908067	76908081	-	0.000	0.000	Merged-chr15-76908278-27
NR10997--MA0501.1.MAF::NFE2	chr5	77082922	77082936	+	0.000	0.000	Merged-chr5-77082994-13
NR4236--MA0495.2.MAFF	chr13	113418359	113418379	+	0.000	0.000	Merged-chr13-113418245-6
NR5465--MA0089.1.MAFG::NFE2L1	chr15	101198277	101198282	-	0.000	0.000	Merged-chr15-101198379-35
NR14241--MA0659.1.MAFG	chr9	43785161	43785181	+	0.000	0.000	Merged-chr9-43784994-20
NR5572--MA0495.2.MAFF	chr16	23274635	23274655	-	0.000	0.000	Merged-chr16-23274580-84
NR6596--MA0089.1.MAFG::NFE2L1	chr17	87315165	87315170	-	0.000	0.000	Merged-chr17-87315064-70
NR127--MA0591.1.Bach1::Mafk	chr1	36068772	36068786	-	0.000	0.000	Merged-chr1-36068645-92
NR3497--MA0117.2.Mafb	chr12	117290022	117290033	+	0.000	0.000	Merged-chr12-117289926-8
NR3356--MA0496.2.MAFK	chr12	106447411	106447429	+	0.000	0.000	Merged-chr12-106447324-1
NR8063--MA0591.1.Bach1::Mafk	chr2	104847827	104847841	-	0.000	0.000	Merged-chr2-104847897-10
NR5140--MA0501.1.MAF::NFE2	chr15	41949019	41949033	-	0.000	0.000	Merged-chr15-41949066-24
