#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1922--MA0769.1.Tcf7	chr12	82187507	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR5896--MA0523.1.TCF7L2	chr3	138649917	138649930	+	0.000	0.000	Merged-chr3-138649925-12
NR2797--MA0769.1.Tcf7	chr14	59202012	59202023	-	0.000	0.000	Merged-chr14-59201879-5
NR2439--MA0769.1.Tcf7	chr13	92639031	92639042	-	0.000	0.000	Merged-chr13-92639220-17
NR3547--MA0523.1.TCF7L2	chr16	50555181	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR4077--MA0769.1.Tcf7	chr18	33781014	33781025	+	0.000	0.000	Merged-chr18-33781041-12
NR4959--MA0769.1.Tcf7	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR4788--MA0523.1.TCF7L2	chr2	61494270	61494283	-	0.000	0.000	Merged-chr2-61494309-57
NR8996--MA0769.1.Tcf7	chr9	118890390	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR4642--MA0523.1.TCF7L2	chr2	32181552	32181565	-	0.000	0.000	Merged-chr2-32181600-13
NR8430--MA0523.1.TCF7L2	chr8	115126874	115126887	+	0.000	0.000	Merged-chr8-115126776-11
NR8622--MA1421.1.TCF7L1	chr9	42463999	42464010	+	0.000	0.000	Merged-chr9-42464013-7
NR1274--MA0523.1.TCF7L2	chr10	122604119	122604132	+	0.000	0.000	Merged-chr10-122604110-13
NR1712--MA0769.1.Tcf7	chr12	21172236	21172247	+	0.000	0.000	Merged-chr12-21172304-14
NR256--MA0769.1.Tcf7	chr1	91626307	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR8316--MA0769.1.Tcf7	chr8	81735844	81735855	-	0.000	0.000	Merged-chr8-81736050-71
NR8704--MA1421.1.TCF7L1	chr9	65084569	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR5496--MA0523.1.TCF7L2	chr3	58516800	58516813	-	0.000	0.000	Merged-chr3-58516835-3
NR7588--MA0523.1.TCF7L2	chr6	143420007	143420020	+	0.000	0.000	Merged-chr6-143420125-29
NR3917--MA0523.1.TCF7L2	chr17	70702351	70702364	+	0.000	0.000	Merged-chr17-70702396-15
NR2995--MA1421.1.TCF7L1	chr14	121354191	121354202	+	0.000	0.000	Merged-chr14-121354142-24
NR3328--MA0769.1.Tcf7	chr15	100145188	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR7589--MA0769.1.Tcf7	chr6	143420007	143420018	+	0.000	0.000	Merged-chr6-143420125-29
NR6783--MA1421.1.TCF7L1	chr5	96825232	96825243	+	0.000	0.000	Merged-chr5-96825060-50
NR1090--MA0769.1.Tcf7	chr10	93050744	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR4472--MA1421.1.TCF7L1	chr19	47915525	47915536	+	0.000	0.000	Merged-chr19-47915460-18
NR7034--MA0769.1.Tcf7	chr5	151416717	151416728	+	0.000	0.000	Merged-chr5-151416725-1
NR8824--MA1421.1.TCF7L1	chr9	88332675	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR5828--MA0523.1.TCF7L2	chr3	129545375	129545388	-	0.000	0.000	Merged-chr3-129545403-15
NR1059--MA0769.1.Tcf7	chr10	85050898	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR8594--MA0769.1.Tcf7	chr9	36802533	36802544	+	0.000	0.000	Merged-chr9-36802612-8
NR2158--MA0769.1.Tcf7	chr13	9107246	9107257	+	0.000	0.000	Merged-chr13-9107382-45
NR6910--MA0523.1.TCF7L2	chr5	119348498	119348511	+	0.000	0.000	Merged-chr5-119348448-39
NR7048--MA0769.1.Tcf7	chr6	6189133	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR4123--MA0769.1.Tcf7	chr18	46381113	46381124	-	0.000	0.000	Merged-chr18-46381195-31
NR1846--MA0523.1.TCF7L2	chr12	69825403	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR3374--MA0523.1.TCF7L2	chr16	10399304	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR4783--MA0523.1.TCF7L2	chr2	60803054	60803067	+	0.000	0.000	Merged-chr2-60802993-21
NR8639--MA1421.1.TCF7L1	chr9	46083734	46083745	-	0.000	0.000	Merged-chr9-46083625-49
NR3816--MA1421.1.TCF7L1	chr17	33456822	33456833	+	0.000	0.000	Merged-chr17-33456861-18
NR978--MA0769.1.Tcf7	chr10	71362094	71362105	-	0.000	0.000	Merged-chr10-71362071-33
NR2472--MA0523.1.TCF7L2	chr13	100806006	100806019	-	0.000	0.000	Merged-chr13-100805989-18
NR6782--MA0769.1.Tcf7	chr5	96254011	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR5343--MA0769.1.Tcf7	chr2	172937510	172937521	+	0.000	0.000	Merged-chr2-172937621-25
NR8935--MA0769.1.Tcf7	chr9	112175259	112175270	+	0.000	0.000	Merged-chr9-112175419-1
NR3056--MA0769.1.Tcf7	chr15	18951828	18951839	-	0.000	0.000	Merged-chr15-18951851-25
NR4034--MA0769.1.Tcf7	chr18	12876590	12876601	+	0.000	0.000	Merged-chr18-12876665-8
NR2199--MA0769.1.Tcf7	chr13	23734524	23734535	+	0.000	0.000	Merged-chr13-23734534-7
NR2866--MA0769.1.Tcf7	chr14	73472603	73472614	+	0.000	0.000	Merged-chr14-73472602-8
NR451--MA0523.1.TCF7L2	chr1	144141067	144141080	-	0.000	0.000	Merged-chr1-144141131-13
NR5464--MA1421.1.TCF7L1	chr3	41077509	41077520	+	0.000	0.000	Merged-chr3-41077638-22
NR557--MA1421.1.TCF7L1	chr1	165063212	165063223	+	0.000	0.000	Merged-chr1-165063084-17
NR4061--MA0769.1.Tcf7	chr18	24237172	24237183	+	0.000	0.000	Merged-chr18-24237197-17
NR8386--MA0523.1.TCF7L2	chr8	104416244	104416257	+	0.000	0.000	Merged-chr8-104416222-18
NR3992--MA0769.1.Tcf7	chr17	87983328	87983339	-	0.000	0.000	Merged-chr17-87983353-13
NR95--MA0523.1.TCF7L2	chr1	43475214	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR119--MA1421.1.TCF7L1	chr1	57952719	57952730	+	0.000	0.000	Merged-chr1-57952740-16
NR485--MA0523.1.TCF7L2	chr1	151167830	151167843	+	0.000	0.000	Merged-chr1-151167792-22
NR6107--MA0769.1.Tcf7	chr4	34429185	34429196	+	0.000	0.000	Merged-chr4-34429163-2
NR3574--MA1421.1.TCF7L1	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR759--MA1421.1.TCF7L1	chr10	13467072	13467083	+	0.000	0.000	Merged-chr10-13467057-15
NR8251--MA1421.1.TCF7L1	chr8	60954792	60954803	+	0.000	0.000	Merged-chr8-60954738-34
NR7103--MA0769.1.Tcf7	chr6	33056066	33056077	-	0.000	0.000	Merged-chr6-33055928-12
NR2114--MA1421.1.TCF7L1	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR3536--MA0769.1.Tcf7	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
