#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR9765--MA0002.2.RUNX1	chr9	79919432	79919442	-	0.000	0.000	Merged-chr9-79919473-56
NR6073--MA0511.2.RUNX2	chr3	68789751	68789759	+	0.000	0.000	Merged-chr3-68789660-34
NR1763--MA0511.2.RUNX2	chr11	94141817	94141825	+	0.000	0.000	Merged-chr11-94141772-16
NR1793--MA0684.1.RUNX3	chr11	100804662	100804671	+	0.000	0.000	Merged-chr11-100804708-41
NR7290--MA0684.1.RUNX3	chr5	23722212	23722221	+	0.000	0.000	Merged-chr5-23722080-21
NR3757--MA0684.1.RUNX3	chr16	14088390	14088399	-	0.000	0.000	Merged-chr16-14088440-49
NR1805--MA0002.2.RUNX1	chr11	104361985	104361995	+	0.000	0.000	Merged-chr11-104361864-47
NR4054--MA0684.1.RUNX3	chr16	91789929	91789938	+	0.000	0.000	Merged-chr16-91789935-50
NR8364--MA0511.2.RUNX2	chr6	130031808	130031816	+	0.000	0.000	Merged-chr6-130031811-45
NR1315--MA0684.1.RUNX3	chr10	98897684	98897693	-	0.000	0.000	Merged-chr10-98897679-33
NR9713--MA0511.2.RUNX2	chr9	64797603	64797611	+	0.000	0.000	Merged-chr9-64797561-46
NR6588--MA0511.2.RUNX2	chr3	157803538	157803546	-	0.000	0.000	Merged-chr3-157803404-34
NR9965--MA0511.2.RUNX2	chr9	114787861	114787869	-	0.000	0.000	Merged-chr9-114787935-34
NR3336--MA0002.2.RUNX1	chr14	122063903	122063913	-	0.000	0.000	Merged-chr14-122063804-67
NR22--MA0002.2.RUNX1	chr1	13559517	13559527	-	0.000	0.000	Merged-chr1-13559747-54
NR3588--MA0002.2.RUNX1	chr15	78926163	78926173	-	0.000	0.000	Merged-chr15-78926202-1
NR1308--MA0002.2.RUNX1	chr10	98776540	98776550	-	0.000	0.000	Merged-chr10-98776574-38
NR7328--MA0002.2.RUNX1	chr5	35166060	35166070	+	0.000	0.000	Merged-chr5-35166204-55
NR5377--MA0002.2.RUNX1	chr2	60845517	60845527	+	0.000	0.000	Merged-chr2-60845573-40
NR9194--MA0002.2.RUNX1	chr8	31120903	31120913	+	0.000	0.000	Merged-chr8-31121038-43
NR1480--MA0684.1.RUNX3	chr11	3703758	3703767	-	0.000	0.000	Merged-chr11-3703654-26
NR9988--MA0002.2.RUNX1	chr9	116212260	116212270	+	0.000	0.000	Merged-chr9-116212405-59
NR1625--MA0511.2.RUNX2	chr11	55031376	55031384	+	0.000	0.000	Merged-chr11-55031517-56
NR3557--MA0511.2.RUNX2	chr15	74935318	74935326	+	0.000	0.000	Merged-chr15-74935411-23
NR5822--MA0511.2.RUNX2	chr2	166610520	166610528	+	0.000	0.000	Merged-chr2-166610595-30
NR1635--MA0002.2.RUNX1	chr11	57911898	57911908	-	0.000	0.000	Merged-chr11-57911963-18
NR7803--MA0684.1.RUNX3	chr5	146882501	146882510	+	0.000	0.000	Merged-chr5-146882424-24
NR7384--MA0002.2.RUNX1	chr5	54111001	54111011	-	0.000	0.000	Merged-chr5-54110931-21
NR7036--MA0002.2.RUNX1	chr4	130899917	130899927	+	0.000	0.000	Merged-chr4-130900085-53
NR3010--MA0002.2.RUNX1	chr14	26878882	26878892	+	0.000	0.000	Merged-chr14-26878931-33
NR1525--MA0684.1.RUNX3	chr11	16988016	16988025	+	0.000	0.000	Merged-chr11-16987963-24
NR7959--MA0684.1.RUNX3	chr6	50417093	50417102	-	0.000	0.000	Merged-chr6-50417055-62
NR9827--MA0511.2.RUNX2	chr9	86624346	86624354	-	0.000	0.000	Merged-chr9-86624608-86
NR4972--MA0002.2.RUNX1	chr19	21897583	21897593	+	0.000	0.000	Merged-chr19-21897533-47
NR2801--MA0002.2.RUNX1	chr13	98692165	98692175	-	0.000	0.000	Merged-chr13-98692096-35
