#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR64009--MA1107.1.KLF9	chr8	81012394	81012406	+	0.000	0.000	Merged-chr8-81012350-63
NR64940--MA1107.1.KLF9	chr8	116645533	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR24442--MA0741.1.KLF16	chr15	80192530	80192540	+	0.000	0.000	Merged-chr15-80192413-58
NR66435--MA1107.1.KLF9	chr9	48980581	48980593	+	0.000	0.000	Merged-chr9-48980590-7
NR26739--MA1107.1.KLF9	chr16	48788724	48788736	-	0.000	0.000	Merged-chr16-48788871-49
NR45872--MA0599.1.KLF5	chr4	42866046	42866055	+	0.000	0.000	Merged-chr4-42865977-16
NR1987--MA0599.1.KLF5	chr1	91095281	91095290	+	0.000	0.000	Merged-chr1-91095433-53
NR20240--MA1107.1.KLF9	chr14	32716953	32716965	+	0.000	0.000	Merged-chr14-32716978-71
NR55548--MA1107.1.KLF9	chr6	71831725	71831737	-	0.000	0.000	Merged-chr6-71831897-1
NR36831--MA0741.1.KLF16	chr2	59482659	59482669	+	0.000	0.000	Merged-chr2-59482840-22
NR2727--MA1107.1.KLF9	chr1	127796437	127796449	-	0.000	0.000	Merged-chr1-127796546-56
NR62765--MA0039.3.KLF4	chr8	34397967	34397977	-	0.000	0.000	Merged-chr8-34397971-66
NR64860--MA1107.1.KLF9	chr8	111967406	111967418	+	0.000	0.000	Merged-chr8-111967453-22
NR22407--MA1107.1.KLF9	chr14	120313644	120313656	+	0.000	0.000	Merged-chr14-120313531-118
NR15510--MA0741.1.KLF16	chr12	109446514	109446524	-	0.000	0.000	Merged-chr12-109446341-43
NR62771--MA0741.1.KLF16	chr8	34398002	34398012	+	0.000	0.000	Merged-chr8-34397971-66
NR20237--MA0493.1.Klf1	chr14	32716953	32716963	+	0.000	0.000	Merged-chr14-32716978-71
NR39050--MA0657.1.KLF13	chr2	140395326	140395343	-	0.000	0.000	Merged-chr2-140395575-93
NR58053--MA0493.1.Klf1	chr7	4948532	4948542	+	0.000	0.000	Merged-chr7-4948568-26
NR52431--MA1107.1.KLF9	chr5	115711896	115711908	-	0.000	0.000	Merged-chr5-115712054-77
NR58616--MA0741.1.KLF16	chr7	24482003	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR7864--MA0493.1.Klf1	chr10	84897308	84897318	+	0.000	0.000	Merged-chr10-84897526-62
NR30196--MA0493.1.Klf1	chr17	63405677	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR47502--MA0741.1.KLF16	chr4	111415072	111415082	+	0.000	0.000	Merged-chr4-111415155-52
NR22591--MA1107.1.KLF9	chr14	123162940	123162952	+	0.000	0.000	Merged-chr14-123163033-38
NR66994--MA0741.1.KLF16	chr9	72660394	72660404	+	0.000	0.000	Merged-chr9-72660303-37
NR68107--MA0599.1.KLF5	chr9	114613181	114613190	-	0.000	0.000	Merged-chr9-114613191-38
NR1208--MA0039.3.KLF4	chr1	60017020	60017030	+	0.000	0.000	Merged-chr1-60017133-4
NR61090--MA0740.1.KLF14	chr7	113572969	113572982	-	0.000	0.000	Merged-chr7-113573033-33
NR47742--MA0742.1.Klf12	chr4	120288020	120288034	+	0.000	0.000	Merged-chr4-120287807-68
NR68111--MA0493.1.Klf1	chr9	114613222	114613232	-	0.000	0.000	Merged-chr9-114613191-38
NR41346--MA0741.1.KLF16	chr3	38280293	38280303	+	0.000	0.000	Merged-chr3-38280395-39
NR47744--MA0493.1.Klf1	chr4	120288020	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR48633--MA0599.1.KLF5	chr4	140833017	140833026	-	0.000	0.000	Merged-chr4-140833040-18
NR35681--MA1107.1.KLF9	chr2	21223016	21223028	-	0.000	0.000	Merged-chr2-21222970-39
NR34251--MA1107.1.KLF9	chr19	25360962	25360974	-	0.000	0.000	Merged-chr19-25360847-26
NR65736--MA0039.3.KLF4	chr9	20610050	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR39427--MA0039.3.KLF4	chr2	153292574	153292584	+	0.000	0.000	Merged-chr2-153292567-49
