#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR5673--MA0496.2.MAFK	chr18	39877922	39877940	+	0.000	0.000	Merged-chr18-39877975-43
NR9043--MA0089.1.MAFG::NFE2L1	chr5	57868855	57868860	-	0.000	0.000	Merged-chr5-57869019-33
NR847--MA0496.2.MAFK	chr1	182100629	182100647	-	0.000	0.000	Merged-chr1-182100503-13
NR60--MA0089.1.MAFG::NFE2L1	chr1	20740624	20740629	+	0.000	0.000	Merged-chr1-20740658-39
NR10458--MA0659.1.MAFG	chr7	16343735	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR8175--MA0117.2.Mafb	chr4	32405326	32405337	+	0.000	0.000	Merged-chr4-32405236-4
NR7777--MA0089.1.MAFG::NFE2L1	chr3	101651484	101651489	-	0.000	0.000	Merged-chr3-101651434-38
NR7867--MA0495.2.MAFF	chr3	123192153	123192173	-	0.000	0.000	Merged-chr3-123192207-28
NR1499--MA0089.1.MAFG::NFE2L1	chr10	96535667	96535672	+	0.000	0.000	Merged-chr10-96535668-22
NR6423--MA0591.1.Bach1::Mafk	chr2	32772913	32772927	-	0.000	0.000	Merged-chr2-32772920-32
NR1218--MA0659.1.MAFG	chr10	53348580	53348600	+	0.000	0.000	Merged-chr10-53348557-41
NR7871--MA0496.2.MAFK	chr3	123192154	123192172	-	0.000	0.000	Merged-chr3-123192207-28
NR9610--MA0659.1.MAFG	chr6	22314618	22314638	+	0.000	0.000	Merged-chr6-22314730-22
NR11089--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR4348--MA0501.1.MAF::NFE2	chr15	64252670	64252684	-	0.000	0.000	Merged-chr15-64252738-7
NR4384--MA0591.1.Bach1::Mafk	chr15	73268472	73268486	-	0.000	0.000	Merged-chr15-73268336-36
NR4208--MA0089.1.MAFG::NFE2L1	chr15	38120472	38120477	-	0.000	0.000	Merged-chr15-38120488-27
NR12329--MA0501.1.MAF::NFE2	chr9	116283898	116283912	-	0.000	0.000	Merged-chr9-116283998-37
NR360--MA0495.2.MAFF	chr1	92119341	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR4222--MA0501.1.MAF::NFE2	chr15	38710302	38710316	+	0.000	0.000	Merged-chr15-38710125-56
NR4942--MA0591.1.Bach1::Mafk	chr16	89974508	89974522	+	0.000	0.000	Merged-chr16-89974505-28
NR1008--MA0659.1.MAFG	chr10	3238612	3238632	+	0.000	0.000	Merged-chr10-3238463-21
NR6795--MA0496.2.MAFK	chr2	114059829	114059847	+	0.000	0.000	Merged-chr2-114059851-34
NR4111--MA0501.1.MAF::NFE2	chr14	122000896	122000910	-	0.000	0.000	Merged-chr14-122000857-51
NR6363--MA0117.2.Mafb	chr2	17845441	17845452	-	0.000	0.000	Merged-chr2-17845339-45
NR2362--MA0659.1.MAFG	chr11	113174351	113174371	-	0.000	0.000	Merged-chr11-113174221-33
NR1990--MA0591.1.Bach1::Mafk	chr11	64115901	64115915	-	0.000	0.000	Merged-chr11-64115983-5
NR9609--MA0495.2.MAFF	chr6	22314618	22314638	-	0.000	0.000	Merged-chr6-22314730-22
NR363--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	-	0.000	0.000	Merged-chr1-92119439-48
NR9569--MA0089.1.MAFG::NFE2L1	chr6	6217169	6217174	-	0.000	0.000	Merged-chr6-6217012-81
NR114--MA0496.2.MAFK	chr1	39196873	39196891	-	0.000	0.000	Merged-chr1-39196974-45
NR2557--MA0496.2.MAFK	chr12	25851736	25851754	-	0.000	0.000	Merged-chr12-25851772-17
NR256--MA0591.1.Bach1::Mafk	chr1	74854905	74854919	+	0.000	0.000	Merged-chr1-74854969-34
NR11098--MA0089.1.MAFG::NFE2L1	chr7	135647132	135647137	+	0.000	0.000	Merged-chr7-135647119-33
NR11410--MA0591.1.Bach1::Mafk	chr8	79679125	79679139	+	0.000	0.000	Merged-chr8-79679083-33
NR4784--MA0659.1.MAFG	chr16	45310575	45310595	+	0.000	0.000	Merged-chr16-45310615-7
NR12011--MA0089.1.MAFG::NFE2L1	chr9	63802244	63802249	+	0.000	0.000	Merged-chr9-63802306-15
NR1593--MA0089.1.MAFG::NFE2L1	chr10	117293709	117293714	+	0.000	0.000	Merged-chr10-117293824-9
NR4753--MA0591.1.Bach1::Mafk	chr16	43253287	43253301	-	0.000	0.000	Merged-chr16-43253230-31
NR1018--MA0501.1.MAF::NFE2	chr10	7041181	7041195	-	0.000	0.000	Merged-chr10-7041240-23
NR10658--MA0089.1.MAFG::NFE2L1	chr7	74343820	74343825	-	0.000	0.000	Merged-chr7-74343758-7
NR12528--MA0089.1.MAFG::NFE2L1	chrX	106962485	106962490	+	0.000	0.000	Merged-chrX-106962471-28
NR9793--MA0495.2.MAFF	chr6	67668204	67668224	+	0.000	0.000	Merged-chr6-67668321-12
NR11552--MA0501.1.MAF::NFE2	chr8	111449823	111449837	-	0.000	0.000	Merged-chr8-111449964-18
NR818--MA0495.2.MAFF	chr1	181157216	181157236	+	0.000	0.000	Merged-chr1-181157308-13
NR11270--MA0089.1.MAFG::NFE2L1	chr8	33968385	33968390	-	0.000	0.000	Merged-chr8-33968508-27
NR11724--MA0659.1.MAFG	chr8	126686967	126686987	-	0.000	0.000	Merged-chr8-126687126-29
NR4670--MA0496.2.MAFK	chr16	22794956	22794974	-	0.000	0.000	Merged-chr16-22794765-7
NR4453--MA0117.2.Mafb	chr15	84372887	84372898	+	0.000	0.000	Merged-chr15-84372915-18
NR9773--MA0591.1.Bach1::Mafk	chr6	61263678	61263692	-	0.000	0.000	Merged-chr6-61263601-18
NR6504--MA0501.1.MAF::NFE2	chr2	46302669	46302683	-	0.000	0.000	Merged-chr2-46302794-23
NR2545--MA0089.1.MAFG::NFE2L1	chr12	25306111	25306116	-	0.000	0.000	Merged-chr12-25306142-51
NR5620--MA0089.1.MAFG::NFE2L1	chr18	32598298	32598303	-	0.000	0.000	Merged-chr18-32598271-33
NR4434--MA0591.1.Bach1::Mafk	chr15	81308191	81308205	-	0.000	0.000	Merged-chr15-81308219-24
NR109--MA0591.1.Bach1::Mafk	chr1	38723982	38723996	-	0.000	0.000	Merged-chr1-38723833-22
NR9784--MA0496.2.MAFK	chr6	65765318	65765336	+	0.000	0.000	Merged-chr6-65765316-29
NR11157--MA0591.1.Bach1::Mafk	chr7	141097385	141097399	+	0.000	0.000	Merged-chr7-141097451-2
NR4787--MA0496.2.MAFK	chr16	45310576	45310594	-	0.000	0.000	Merged-chr16-45310615-7
NR366--MA0501.1.MAF::NFE2	chr1	92119347	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR2501--MA0591.1.Bach1::Mafk	chr12	8829648	8829662	+	0.000	0.000	Merged-chr12-8829730-25
NR9778--MA0089.1.MAFG::NFE2L1	chr6	65538444	65538449	-	0.000	0.000	Merged-chr6-65538516-95
NR8372--MA0496.2.MAFK	chr4	89350397	89350415	-	0.000	0.000	Merged-chr4-89350457-2
NR11287--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR8330--MA0089.1.MAFG::NFE2L1	chr4	86886282	86886287	-	0.000	0.000	Merged-chr4-86886222-78
NR2052--MA0089.1.MAFG::NFE2L1	chr11	72762468	72762473	+	0.000	0.000	Merged-chr11-72762548-4
NR9676--MA0089.1.MAFG::NFE2L1	chr6	38809566	38809571	+	0.000	0.000	Merged-chr6-38809579-1
NR4940--MA0495.2.MAFF	chr16	89974505	89974525	+	0.000	0.000	Merged-chr16-89974505-28
NR4033--MA0117.2.Mafb	chr14	103017209	103017220	-	0.000	0.000	Merged-chr14-103017290-44
NR9733--MA0501.1.MAF::NFE2	chr6	53498094	53498108	+	0.000	0.000	Merged-chr6-53498072-40
NR10339--MA0501.1.MAF::NFE2	chr6	144909752	144909766	-	0.000	0.000	Merged-chr6-144909826-5
NR12190--MA0496.2.MAFK	chr9	93131712	93131730	-	0.000	0.000	Merged-chr9-93131866-17
NR7225--MA0089.1.MAFG::NFE2L1	chr2	158166963	158166968	-	0.000	0.000	Merged-chr2-158166857-55
NR10867--MA0089.1.MAFG::NFE2L1	chr7	109265802	109265807	-	0.000	0.000	Merged-chr7-109265818-41
NR7972--MA0496.2.MAFK	chr3	142533311	142533329	-	0.000	0.000	Merged-chr3-142533345-44
NR12197--MA0117.2.Mafb	chr9	94945738	94945749	+	0.000	0.000	Merged-chr9-94945890-45
NR1973--MA0501.1.MAF::NFE2	chr11	61564298	61564312	+	0.000	0.000	Merged-chr11-61564144-31
NR6104--MA0495.2.MAFF	chr19	33429569	33429589	-	0.000	0.000	Merged-chr19-33429713-40
NR10689--MA0117.2.Mafb	chr7	78721725	78721736	-	0.000	0.000	Merged-chr7-78721730-59
NR112--MA0495.2.MAFF	chr1	39196872	39196892	-	0.000	0.000	Merged-chr1-39196974-45
NR6480--MA0495.2.MAFF	chr2	38548156	38548176	-	0.000	0.000	Merged-chr2-38548313-22
NR555--MA0501.1.MAF::NFE2	chr1	138952349	138952363	+	0.000	0.000	Merged-chr1-138952405-35
NR10361--MA0089.1.MAFG::NFE2L1	chr6	146081106	146081111	-	0.000	0.000	Merged-chr6-146081045-99
NR2593--MA0501.1.MAF::NFE2	chr12	35534167	35534181	+	0.000	0.000	Merged-chr12-35534275-3
NR12352--MA0501.1.MAF::NFE2	chr9	118361134	118361148	-	0.000	0.000	Merged-chr9-118361138-26
NR7501--MA0591.1.Bach1::Mafk	chr3	16227583	16227597	+	0.000	0.000	Merged-chr3-16227487-10
NR226--MA0659.1.MAFG	chr1	64601371	64601391	+	0.000	0.000	Merged-chr1-64601532-28
NR4711--MA0089.1.MAFG::NFE2L1	chr16	31205968	31205973	+	0.000	0.000	Merged-chr16-31205914-4
NR11466--MA0501.1.MAF::NFE2	chr8	91545802	91545816	-	0.000	0.000	Merged-chr8-91545805-43
NR1015--MA0117.2.Mafb	chr10	5448533	5448544	+	0.000	0.000	Merged-chr10-5448562-35
NR10479--MA0117.2.Mafb	chr7	19239705	19239716	+	0.000	0.000	Merged-chr7-19239613-31
NR6395--MA0089.1.MAFG::NFE2L1	chr2	25620596	25620601	-	0.000	0.000	Merged-chr2-25620603-21
NR799--MA0117.2.Mafb	chr1	179169976	179169987	-	0.000	0.000	Merged-chr1-179169843-56
NR365--MA0659.1.MAFG	chr1	92119341	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR1938--MA0089.1.MAFG::NFE2L1	chr11	54163129	54163134	+	0.000	0.000	Merged-chr11-54163174-10
NR10776--MA0089.1.MAFG::NFE2L1	chr7	97067531	97067536	-	0.000	0.000	Merged-chr7-97067401-28
NR5390--MA0496.2.MAFK	chr17	73810262	73810280	+	0.000	0.000	Merged-chr17-73810198-2
NR9206--MA0089.1.MAFG::NFE2L1	chr5	96825067	96825072	+	0.000	0.000	Merged-chr5-96825060-50
NR7575--MA0495.2.MAFF	chr3	55419474	55419494	-	0.000	0.000	Merged-chr3-55419547-37
NR6016--MA0089.1.MAFG::NFE2L1	chr19	16255497	16255502	+	0.000	0.000	Merged-chr19-16255427-25
NR4939--MA0089.1.MAFG::NFE2L1	chr16	89872268	89872273	+	0.000	0.000	Merged-chr16-89872318-26
NR9179--MA0117.2.Mafb	chr5	92963210	92963221	+	0.000	0.000	Merged-chr5-92963069-8
NR3594--MA0089.1.MAFG::NFE2L1	chr13	111655550	111655555	+	0.000	0.000	Merged-chr13-111655433-3
NR2174--MA0089.1.MAFG::NFE2L1	chr11	88132167	88132172	-	0.000	0.000	Merged-chr11-88132051-21
NR4943--MA0501.1.MAF::NFE2	chr16	89974511	89974525	+	0.000	0.000	Merged-chr16-89974505-28
NR12071--MA0501.1.MAF::NFE2	chr9	75541743	75541757	+	0.000	0.000	Merged-chr9-75541698-38
NR1547--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR822--MA0659.1.MAFG	chr1	181157216	181157236	-	0.000	0.000	Merged-chr1-181157308-13
NR2135--MA0495.2.MAFF	chr11	83828747	83828767	+	0.000	0.000	Merged-chr11-83828814-21
NR2634--MA0501.1.MAF::NFE2	chr12	52644368	52644382	+	0.000	0.000	Merged-chr12-52644289-23
NR2081--MA0591.1.Bach1::Mafk	chr11	74973442	74973456	+	0.000	0.000	Merged-chr11-74973432-13
NR8061--MA0089.1.MAFG::NFE2L1	chr3	152355557	152355562	+	0.000	0.000	Merged-chr3-152355609-21
NR8334--MA0495.2.MAFF	chr4	88079188	88079208	-	0.000	0.000	Merged-chr4-88079193-33
NR2137--MA0659.1.MAFG	chr11	83828747	83828767	+	0.000	0.000	Merged-chr11-83828814-21
NR7158--MA0089.1.MAFG::NFE2L1	chr2	150918919	150918924	-	0.000	0.000	Merged-chr2-150918832-31
NR4552--MA0591.1.Bach1::Mafk	chr15	100600093	100600107	-	0.000	0.000	Merged-chr15-100600141-58
NR11331--MA0501.1.MAF::NFE2	chr8	68674322	68674336	+	0.000	0.000	Merged-chr8-68674402-29
NR5502--MA0501.1.MAF::NFE2	chr17	87300509	87300523	+	0.000	0.000	Merged-chr17-87300519-3
NR7392--MA0495.2.MAFF	chr2	173452102	173452122	+	0.000	0.000	Merged-chr2-173452276-60
NR12188--MA0591.1.Bach1::Mafk	chr9	93131714	93131728	-	0.000	0.000	Merged-chr9-93131866-17
NR11962--MA0495.2.MAFF	chr9	61187130	61187150	+	0.000	0.000	Merged-chr9-61187199-16
NR2610--MA0495.2.MAFF	chr12	40244074	40244094	+	0.000	0.000	Merged-chr12-40244001-31
NR368--MA0496.2.MAFK	chr1	92119342	92119360	-	0.000	0.000	Merged-chr1-92119439-48
NR2612--MA0659.1.MAFG	chr12	40244074	40244094	+	0.000	0.000	Merged-chr12-40244001-31
NR6962--MA0501.1.MAF::NFE2	chr2	130030038	130030052	-	0.000	0.000	Merged-chr2-130029976-28
NR7869--MA0501.1.MAF::NFE2	chr3	123192159	123192173	+	0.000	0.000	Merged-chr3-123192207-28
NR3136--MA0495.2.MAFF	chr13	31505464	31505484	-	0.000	0.000	Merged-chr13-31505526-12
NR4668--MA0501.1.MAF::NFE2	chr16	22794961	22794975	+	0.000	0.000	Merged-chr16-22794765-7
NR9956--MA0501.1.MAF::NFE2	chr6	100314332	100314346	-	0.000	0.000	Merged-chr6-100314409-23
NR5473--MA0089.1.MAFG::NFE2L1	chr17	84635862	84635867	-	0.000	0.000	Merged-chr17-84635720-1
NR7970--MA0495.2.MAFF	chr3	142533310	142533330	-	0.000	0.000	Merged-chr3-142533345-44
NR12125--MA0496.2.MAFK	chr9	83564271	83564289	-	0.000	0.000	Merged-chr9-83564254-44
NR4344--MA0117.2.Mafb	chr15	64173598	64173609	-	0.000	0.000	Merged-chr15-64173635-34
NR7919--MA0501.1.MAF::NFE2	chr3	133626798	133626812	-	0.000	0.000	Merged-chr3-133626779-42
NR11389--MA0501.1.MAF::NFE2	chr8	77376674	77376688	+	0.000	0.000	Merged-chr8-77376569-21
NR2616--MA0501.1.MAF::NFE2	chr12	41090047	41090061	+	0.000	0.000	Merged-chr12-41090116-16
NR597--MA0089.1.MAFG::NFE2L1	chr1	151236796	151236801	+	0.000	0.000	Merged-chr1-151236737-36
NR825--MA0496.2.MAFK	chr1	181157217	181157235	-	0.000	0.000	Merged-chr1-181157308-13
NR6791--MA0089.1.MAFG::NFE2L1	chr2	114059831	114059836	-	0.000	0.000	Merged-chr2-114059851-34
NR4669--MA0496.2.MAFK	chr16	22794956	22794974	+	0.000	0.000	Merged-chr16-22794765-7
NR11824--MA0089.1.MAFG::NFE2L1	chr9	15104004	15104009	+	0.000	0.000	Merged-chr9-15103870-28
NR2993--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR10970--MA0089.1.MAFG::NFE2L1	chr7	117428880	117428885	-	0.000	0.000	Merged-chr7-117429043-56
NR7084--MA0495.2.MAFF	chr2	145804907	145804927	+	0.000	0.000	Merged-chr2-145804796-32
NR554--MA0591.1.Bach1::Mafk	chr1	138952346	138952360	+	0.000	0.000	Merged-chr1-138952405-35
NR3056--MA0495.2.MAFF	chr13	6626710	6626730	+	0.000	0.000	Merged-chr13-6626818-32
NR11909--MA0501.1.MAF::NFE2	chr9	51961322	51961336	+	0.000	0.000	Merged-chr9-51961362-1
NR4696--MA0496.2.MAFK	chr16	24854664	24854682	+	0.000	0.000	Merged-chr16-24854563-13
NR5482--MA0495.2.MAFF	chr17	86206502	86206522	+	0.000	0.000	Merged-chr17-86206449-38
NR2082--MA0496.2.MAFK	chr11	74973440	74973458	+	0.000	0.000	Merged-chr11-74973432-13
NR5674--MA0496.2.MAFK	chr18	39877922	39877940	-	0.000	0.000	Merged-chr18-39877975-43
NR216--MA0089.1.MAFG::NFE2L1	chr1	61203263	61203268	-	0.000	0.000	Merged-chr1-61203375-24
NR10345--MA0591.1.Bach1::Mafk	chr6	145256833	145256847	+	0.000	0.000	Merged-chr6-145256997-16
NR1572--MA0117.2.Mafb	chr10	115332621	115332632	-	0.000	0.000	Merged-chr10-115332593-43
NR10459--MA0659.1.MAFG	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR4806--MA0117.2.Mafb	chr16	51691084	51691095	+	0.000	0.000	Merged-chr16-51690993-50
NR9890--MA0089.1.MAFG::NFE2L1	chr6	91156637	91156642	+	0.000	0.000	Merged-chr6-91156791-33
NR5021--MA0591.1.Bach1::Mafk	chr16	95893617	95893631	+	0.000	0.000	Merged-chr16-95893684-47
NR5587--MA0117.2.Mafb	chr18	13787133	13787144	-	0.000	0.000	Merged-chr18-13787099-71
NR10692--MA0089.1.MAFG::NFE2L1	chr7	79190874	79190879	-	0.000	0.000	Merged-chr7-79190820-25
NR1219--MA0659.1.MAFG	chr10	53348580	53348600	-	0.000	0.000	Merged-chr10-53348557-41
NR5050--MA0659.1.MAFG	chr16	97442080	97442100	+	0.000	0.000	Merged-chr16-97442198-19
NR9172--MA0117.2.Mafb	chr5	92353787	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR7567--MA0089.1.MAFG::NFE2L1	chr3	52791171	52791176	-	0.000	0.000	Merged-chr3-52791161-46
NR10461--MA0496.2.MAFK	chr7	16343736	16343754	+	0.000	0.000	Merged-chr7-16343810-22
NR9611--MA0659.1.MAFG	chr6	22314618	22314638	-	0.000	0.000	Merged-chr6-22314730-22
NR11444--MA0089.1.MAFG::NFE2L1	chr8	86484982	86484987	-	0.000	0.000	Merged-chr8-86484982-16
NR5366--MA0501.1.MAF::NFE2	chr17	70746963	70746977	+	0.000	0.000	Merged-chr17-70746811-20
NR6106--MA0591.1.Bach1::Mafk	chr19	33429572	33429586	+	0.000	0.000	Merged-chr19-33429713-40
NR9148--MA0089.1.MAFG::NFE2L1	chr5	90612243	90612248	+	0.000	0.000	Merged-chr5-90612116-89
NR1221--MA0496.2.MAFK	chr10	53348581	53348599	+	0.000	0.000	Merged-chr10-53348557-41
NR4551--MA0089.1.MAFG::NFE2L1	chr15	100600100	100600105	-	0.000	0.000	Merged-chr15-100600141-58
NR5351--MA0501.1.MAF::NFE2	chr17	65826440	65826454	+	0.000	0.000	Merged-chr17-65826425-32
NR3741--MA0496.2.MAFK	chr14	31368009	31368027	-	0.000	0.000	Merged-chr14-31367995-29
NR805--MA0089.1.MAFG::NFE2L1	chr1	179578778	179578783	-	0.000	0.000	Merged-chr1-179578897-31
NR4944--MA0501.1.MAF::NFE2	chr16	89974505	89974519	-	0.000	0.000	Merged-chr16-89974505-28
NR8972--MA0089.1.MAFG::NFE2L1	chr5	28382568	28382573	-	0.000	0.000	Merged-chr5-28382451-39
NR2013--MA0089.1.MAFG::NFE2L1	chr11	68447539	68447544	+	0.000	0.000	Merged-chr11-68447453-15
NR5418--MA0089.1.MAFG::NFE2L1	chr17	74864912	74864917	-	0.000	0.000	Merged-chr17-74864979-18
NR1009--MA0659.1.MAFG	chr10	3238612	3238632	-	0.000	0.000	Merged-chr10-3238463-21
NR591--MA0089.1.MAFG::NFE2L1	chr1	147237318	147237323	+	0.000	0.000	Merged-chr1-147237183-6
NR4966--MA0495.2.MAFF	chr16	91545685	91545705	-	0.000	0.000	Merged-chr16-91545855-29
NR6111--MA0496.2.MAFK	chr19	33429570	33429588	+	0.000	0.000	Merged-chr19-33429713-40
NR5505--MA0089.1.MAFG::NFE2L1	chr17	87513843	87513848	-	0.000	0.000	Merged-chr17-87513976-28
NR8898--MA0089.1.MAFG::NFE2L1	chr5	10245992	10245997	-	0.000	0.000	Merged-chr5-10245943-14
NR6796--MA0496.2.MAFK	chr2	114059829	114059847	-	0.000	0.000	Merged-chr2-114059851-34
NR8106--MA0591.1.Bach1::Mafk	chr3	157802965	157802979	-	0.000	0.000	Merged-chr3-157802919-1
NR1011--MA0496.2.MAFK	chr10	3238613	3238631	+	0.000	0.000	Merged-chr10-3238463-21
NR6382--MA0117.2.Mafb	chr2	19634169	19634180	-	0.000	0.000	Merged-chr2-19634112-21
NR4677--MA0089.1.MAFG::NFE2L1	chr16	23272310	23272315	+	0.000	0.000	Merged-chr16-23272438-10
NR9401--MA0117.2.Mafb	chr5	124943817	124943828	+	0.000	0.000	Merged-chr5-124943788-2
NR484--MA0117.2.Mafb	chr1	127322598	127322609	+	0.000	0.000	Merged-chr1-127322582-29
NR225--MA0089.1.MAFG::NFE2L1	chr1	64301355	64301360	+	0.000	0.000	Merged-chr1-64301347-19
NR601--MA0089.1.MAFG::NFE2L1	chr1	151698037	151698042	+	0.000	0.000	Merged-chr1-151698105-31
NR9795--MA0591.1.Bach1::Mafk	chr6	67668207	67668221	+	0.000	0.000	Merged-chr6-67668321-12
NR5329--MA0089.1.MAFG::NFE2L1	chr17	56884950	56884955	-	0.000	0.000	Merged-chr17-56885050-19
NR1673--MA0591.1.Bach1::Mafk	chr10	124138701	124138715	-	0.000	0.000	Merged-chr10-124138683-21
NR12223--MA0117.2.Mafb	chr9	101249844	101249855	+	0.000	0.000	Merged-chr9-101249791-43
NR11179--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR4662--MA0495.2.MAFF	chr16	22794955	22794975	+	0.000	0.000	Merged-chr16-22794765-7
NR9635--MA0089.1.MAFG::NFE2L1	chr6	29838691	29838696	-	0.000	0.000	Merged-chr6-29838666-29
NR4693--MA0591.1.Bach1::Mafk	chr16	24854666	24854680	+	0.000	0.000	Merged-chr16-24854563-13
NR9782--MA0659.1.MAFG	chr6	65765317	65765337	+	0.000	0.000	Merged-chr6-65765316-29
NR11857--MA0089.1.MAFG::NFE2L1	chr9	37244836	37244841	+	0.000	0.000	Merged-chr9-37244873-24
NR2528--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR5053--MA0496.2.MAFK	chr16	97442081	97442099	+	0.000	0.000	Merged-chr16-97442198-19
NR1007--MA0591.1.Bach1::Mafk	chr10	3238615	3238629	-	0.000	0.000	Merged-chr10-3238463-21
NR1183--MA0089.1.MAFG::NFE2L1	chr10	44402219	44402224	+	0.000	0.000	Merged-chr10-44402226-5
NR4785--MA0659.1.MAFG	chr16	45310575	45310595	-	0.000	0.000	Merged-chr16-45310615-7
NR5879--MA0501.1.MAF::NFE2	chr18	80980252	80980266	-	0.000	0.000	Merged-chr18-80980321-3
NR11805--MA0117.2.Mafb	chr9	14171987	14171998	-	0.000	0.000	Merged-chr9-14171965-37
NR12371--MA0117.2.Mafb	chr9	120116469	120116480	+	0.000	0.000	Merged-chr9-120116499-4
NR7098--MA0089.1.MAFG::NFE2L1	chr2	146265178	146265183	-	0.000	0.000	Merged-chr2-146265229-24
NR604--MA0591.1.Bach1::Mafk	chr1	152053410	152053424	+	0.000	0.000	Merged-chr1-152053412-31
NR9796--MA0501.1.MAF::NFE2	chr6	67668210	67668224	+	0.000	0.000	Merged-chr6-67668321-12
NR12328--MA0591.1.Bach1::Mafk	chr9	116283901	116283915	-	0.000	0.000	Merged-chr9-116283998-37
NR7776--MA0089.1.MAFG::NFE2L1	chr3	101651486	101651491	+	0.000	0.000	Merged-chr3-101651434-38
NR6356--MA0089.1.MAFG::NFE2L1	chr2	14992631	14992636	-	0.000	0.000	Merged-chr2-14992808-37
NR9431--MA0089.1.MAFG::NFE2L1	chr5	135115443	135115448	-	0.000	0.000	Merged-chr5-135115482-49
NR12330--MA0591.1.Bach1::Mafk	chr9	116319687	116319701	+	0.000	0.000	Merged-chr9-116319642-35
NR6732--MA0089.1.MAFG::NFE2L1	chr2	102701607	102701612	-	0.000	0.000	Merged-chr2-102701497-15
NR9794--MA0495.2.MAFF	chr6	67668204	67668224	-	0.000	0.000	Merged-chr6-67668321-12
NR6067--MA0089.1.MAFG::NFE2L1	chr19	29185756	29185761	+	0.000	0.000	Merged-chr19-29185697-46
NR2815--MA0089.1.MAFG::NFE2L1	chr12	100994817	100994822	-	0.000	0.000	Merged-chr12-100994584-90
NR2267--MA0591.1.Bach1::Mafk	chr11	101697344	101697358	-	0.000	0.000	Merged-chr11-101697250-12
NR819--MA0495.2.MAFF	chr1	181157216	181157236	-	0.000	0.000	Merged-chr1-181157308-13
NR6369--MA0089.1.MAFG::NFE2L1	chr2	18519387	18519392	-	0.000	0.000	Merged-chr2-18519177-24
NR11536--MA0501.1.MAF::NFE2	chr8	110079909	110079923	-	0.000	0.000	Merged-chr8-110079856-46
NR11464--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR2080--MA0495.2.MAFF	chr11	74973439	74973459	-	0.000	0.000	Merged-chr11-74973432-13
NR823--MA0501.1.MAF::NFE2	chr1	181157216	181157230	-	0.000	0.000	Merged-chr1-181157308-13
NR3061--MA0501.1.MAF::NFE2	chr13	6626996	6627010	-	0.000	0.000	Merged-chr13-6626818-32
NR8092--MA0501.1.MAF::NFE2	chr3	155235656	155235670	+	0.000	0.000	Merged-chr3-155235663-12
NR6625--MA0117.2.Mafb	chr2	75148091	75148102	+	0.000	0.000	Merged-chr2-75148078-33
NR5052--MA0501.1.MAF::NFE2	chr16	97442080	97442094	-	0.000	0.000	Merged-chr16-97442198-19
NR11288--MA0089.1.MAFG::NFE2L1	chr8	41334269	41334274	+	0.000	0.000	Merged-chr8-41334366-24
NR9785--MA0496.2.MAFK	chr6	65765318	65765336	-	0.000	0.000	Merged-chr6-65765316-29
NR9735--MA0591.1.Bach1::Mafk	chr6	53709848	53709862	-	0.000	0.000	Merged-chr6-53709881-31
NR4407--MA0089.1.MAFG::NFE2L1	chr15	77071768	77071773	-	0.000	0.000	Merged-chr15-77071598-27
NR4390--MA0495.2.MAFF	chr15	73627474	73627494	+	0.000	0.000	Merged-chr15-73627530-51
NR2571--MA0591.1.Bach1::Mafk	chr12	28835841	28835855	-	0.000	0.000	Merged-chr12-28835846-42
NR9072--MA0591.1.Bach1::Mafk	chr5	64919054	64919068	+	0.000	0.000	Merged-chr5-64918962-32
NR10687--MA0501.1.MAF::NFE2	chr7	78583770	78583784	-	0.000	0.000	Merged-chr7-78583930-15
NR4392--MA0659.1.MAFG	chr15	73627474	73627494	+	0.000	0.000	Merged-chr15-73627530-51
